
[selected] 2 counters, interval 0.005 s
       SP         gid=0x0a selector=1    SP_BUSY_CYCLES                               (A8XX_PERF_SP_BUSY_CYCLES)
       SP         gid=0x0a selector=2    SP_ALU_WORKING_CYCLES                        (A8XX_PERF_SP_ALU_WORKING_CYCLES)
[GET] SP_BUSY_CYCLES                               group=0xa selector=1 reg_low=0x29c reg_high=0x29d
[GET] SP_ALU_WORKING_CYCLES                        group=0xa selector=2 reg_low=0x29a reg_high=0x29b

[stream] Press Ctrl+C to stop. Values are deltas since previous sample.
[csv] logging elapsed_s and counter deltas to /data/local/tmp/adreno_perf_stream_last.csv
elapsed_s,SP_BUSY_CYCLES,SP_ALU_WORKING_CYCLES
0.005212,0,0
0.010434,0,0
0.015701,0,0
0.021041,0,0
0.026451,0,0
0.031792,0,0
0.037092,0,0
0.042536,0,0
0.048000,0,0
0.053371,0,0
0.059018,0,0
0.065469,0,0
0.071649,0,0
0.077102,0,0
0.082547,0,0
0.087777,0,0
0.094072,0,0
0.099395,0,0
0.109155,0,0
0.120027,0,0
0.137115,0,0
0.142552,0,0
0.147916,0,0
0.153159,0,0
0.158414,0,0
0.164457,0,0
0.169866,0,0
0.181032,0,0
0.197136,0,0
0.206114,0,0
0.211973,0,0
0.217288,0,0
0.222526,0,0
0.228404,0,0
0.234472,0,0
0.247315,0,0
0.252543,1100394,2159819
0.257764,9993062,19434306
0.264088,12104980,23580834
0.269308,10017823,19478905
0.274514,9969376,19386525
0.279717,9974209,19439461
0.284927,9983361,19414844
0.290137,9990631,19478822
0.295365,10016627,19486213
0.300578,9992748,19433698
0.305797,9995996,19486606
0.311114,10189676,19819289
0.318682,14483431,28179448
0.329695,10247741,19918830
0.339201,425000,273038
0.344450,0,0
0.349761,0,0
0.355162,0,0
0.360453,0,0
0.365728,0,0
0.371986,0,0
0.377352,0,0
0.382630,0,0
0.388088,0,0
0.393657,0,0
0.398949,0,0
0.404335,0,0
0.409799,0,0
0.415156,0,0
0.420495,0,0
0.426050,0,0
0.431529,0,0
0.437217,0,0
0.442578,0,0
0.447974,0,0
0.453475,0,0
0.458762,0,0
0.464189,0,0

[cleanup] releasing 2 active counters

[csv] samples were recorded to temporary file: /data/local/tmp/adreno_perf_stream_last.csv
[csv] stdin is not interactive, so the file was kept at the temporary path.
