
[selected] 6 counters, interval 0.005 s
       SP         gid=0x0a selector=1    SP_BUSY_CYCLES                               (A8XX_PERF_SP_BUSY_CYCLES)
       SP         gid=0x0a selector=2    SP_ALU_WORKING_CYCLES                        (A8XX_PERF_SP_ALU_WORKING_CYCLES)
       UCHE       gid=0x08 selector=1    UCHE_BUSY_CYCLES                             (A8XX_PERF_UCHE_BUSY_CYCLES)
       UCHE       gid=0x08 selector=52   UCHE_RAM_READ_REQ                            (A8XX_PERF_UCHE_RAM_READ_REQ)
       UCHE       gid=0x08 selector=25   UCHE_VBIF_READ_BEATS_SP                      (A8XX_PERF_UCHE_VBIF_READ_BEATS_SP)
       SP         gid=0x0a selector=46   SP_UCHE_READ_TRANS                           (A8XX_PERF_SP_UCHE_READ_TRANS)
[GET] SP_BUSY_CYCLES                               group=0xa selector=1 reg_low=0x29c reg_high=0x29d
[GET] SP_ALU_WORKING_CYCLES                        group=0xa selector=2 reg_low=0x29a reg_high=0x29b
[GET] UCHE_BUSY_CYCLES                             group=0x8 selector=1 reg_low=0x254 reg_high=0x255
[GET] UCHE_RAM_READ_REQ                            group=0x8 selector=52 reg_low=0x252 reg_high=0x253
[GET] UCHE_VBIF_READ_BEATS_SP                      group=0x8 selector=25 reg_low=0x250 reg_high=0x251
[GET] SP_UCHE_READ_TRANS                           group=0xa selector=46 reg_low=0x296 reg_high=0x297

[stream] Press Ctrl+C to stop. Values are deltas since previous sample.
[csv] logging elapsed_s and counter deltas to /data/local/tmp/adreno_perf_stream_last.csv
elapsed_s,SP_BUSY_CYCLES,SP_ALU_WORKING_CYCLES,UCHE_BUSY_CYCLES,UCHE_RAM_READ_REQ,UCHE_VBIF_READ_BEATS_SP,SP_UCHE_READ_TRANS
0.005363,0,0,0,0,0,0
0.010814,0,0,0,0,0,0
0.016263,0,0,0,0,0,0
0.022895,0,0,0,0,0,0
0.028300,0,0,0,0,0,0
0.036060,0,0,0,0,0,0
0.044224,0,0,0,0,0,0
0.056107,0,0,0,0,0,0
0.061406,0,0,0,0,0,0
0.067766,0,0,0,0,0,0
0.073355,0,0,0,0,0,0
0.079276,0,0,0,0,0,0
0.084575,0,0,0,0,0,0
0.090049,0,0,0,0,0,0
0.095814,0,0,0,0,0,0
0.101275,0,0,0,0,0,0
0.107893,0,0,0,0,0,0
0.114561,0,0,0,0,0,0
0.119900,0,0,0,0,0,0
0.125730,0,0,0,0,0,0
0.131085,0,0,0,0,0,0
0.136451,0,0,0,0,0,0
0.141848,0,0,0,0,0,0
0.147253,0,0,0,0,0,0
0.152569,0,0,0,0,0,0
0.158104,0,0,0,0,0,0
0.163634,0,0,0,0,0,0
0.168945,0,0,0,0,0,0
0.179345,0,0,0,0,0,0
0.187535,0,0,0,0,0,0
0.195868,0,0,0,0,0,0
0.202928,0,0,0,0,0,0
0.208314,0,0,0,0,0,0
0.213678,0,0,0,0,0,0
0.221227,0,0,0,0,0,0
0.229333,304914,212349,21531,6176,0,0
0.234573,60900720,37650229,2509469,344304,0,0
0.240059,63389005,39215478,2593122,291710,0,0
0.246424,73717499,45626381,3169100,332710,0,0
0.251657,60777503,37614637,2634123,274054,0,0
0.256887,60635480,37498768,2659878,272444,0,0
0.262154,61013951,37723882,2703325,274348,0,0
0.268239,70510510,43588607,3140965,317072,0,0
0.274909,77329006,47804779,3442093,347590,0,0
0.280143,60714940,37538461,2693827,273298,0,0
0.285382,60701832,37526761,2694325,273008,0,0
0.290638,60943043,37683527,2701583,273948,0,0
