
[selected] 2 counters, interval 0.005 s
       SP         gid=0x0a selector=1    SP_BUSY_CYCLES                               (A8XX_PERF_SP_BUSY_CYCLES)
       SP         gid=0x0a selector=2    SP_ALU_WORKING_CYCLES                        (A8XX_PERF_SP_ALU_WORKING_CYCLES)
[GET] SP_BUSY_CYCLES                               group=0xa selector=1 reg_low=0x29c reg_high=0x29d
[GET] SP_ALU_WORKING_CYCLES                        group=0xa selector=2 reg_low=0x29a reg_high=0x29b
[csv] temp path for this run: /data/local/tmp/jerry_work/adreno_perf_stream_last.csv

[stream] Press Ctrl+C to stop. Values are deltas since previous sample.
[csv] logging elapsed_s and counter deltas to /data/local/tmp/jerry_work/adreno_perf_stream_last.csv
elapsed_s,SP_BUSY_CYCLES,SP_ALU_WORKING_CYCLES
0.005370,0,0
0.010849,0,0
0.016612,0,0
0.022318,0,0
0.027909,0,0
0.033541,0,0
0.039133,0,0
0.047130,0,0
0.052608,0,0
0.058156,0,0
0.063602,0,0
0.069006,0,0
0.074833,0,0
0.080320,0,0
0.085711,0,0
0.091113,0,0
0.096953,0,0
0.102397,0,0
0.107791,0,0
0.113195,0,0
0.118656,0,0
0.124219,0,0
0.129617,0,0
0.135090,0,0
0.140997,0,0
0.146467,0,0
0.151915,0,0
0.157390,0,0
0.163009,0,0
0.168695,0,0
0.174429,0,0
0.179976,0,0
0.185666,0,0
0.191421,0,0
0.196969,0,0
0.202528,0,0
0.208149,0,0
0.213691,0,0
0.219190,0,0
0.224794,0,0
0.230892,0,0
0.236384,0,0
0.241850,0,0
0.247297,0,0
0.252713,0,0
0.258145,0,0
0.263586,0,0
0.269050,0,0
0.275428,0,0
0.281302,0,0
0.286824,0,0
0.292282,0,0
0.297703,0,0
0.303228,0,0
0.308809,0,0
0.314402,0,0
0.319936,0,0
0.325380,0,0
0.344944,0,0
0.350373,0,0
0.355758,0,0
0.361221,0,0
0.366785,0,0
0.372350,0,0
0.377771,0,0
0.383251,0,0
0.388848,0,0
0.394800,453066,993508
0.400139,70360748,138667480
0.405864,65536046,129036612
0.411374,0,0
0.416782,0,0
0.422224,0,0
0.427662,0,0
0.433051,0,0
0.438446,0,0
0.443841,0,0
0.449410,0,0
0.454808,0,0
0.460294,0,0
0.465799,0,0
0.471417,0,0
0.476761,0,0
0.482239,0,0
0.487656,0,0
0.493191,0,0
0.498590,0,0
0.504003,0,0
0.509397,0,0
0.514954,0,0
0.520560,0,0
0.526032,0,0
0.531621,0,0
0.537062,0,0
0.542667,0,0
0.548249,0,0
0.553857,0,0
0.559313,0,0
0.564877,0,0
0.570535,0,0
0.576142,0,0
0.581719,0,0
0.587327,0,0
0.592947,0,0
0.598556,0,0
0.604136,0,0
0.609743,0,0
0.615364,0,0
0.620927,0,0
0.626564,0,0
0.632175,0,0
0.637755,0,0
0.643362,0,0
0.648985,0,0
0.654592,0,0
0.660173,0,0
0.665783,0,0
0.671400,0,0

[cleanup] releasing 2 active counters

[csv] samples were recorded to temporary file: /data/local/tmp/jerry_work/adreno_perf_stream_last.csv
[csv] stdin is not interactive, so the file was kept at the temporary path.
