group,counter,label,total_all_widths,total_width_first,total_width_last,scaling_ratio_last_over_first,corr_total_vs_width,slope_total_vs_width,total_w128,total_w256,total_w512,total_w1024,total_w2048
RAS,RAS_STALL_CYCLES_LRZ,active_mixed,8005853.0,0.0,0.0,inf,-0.31367864075168955,-1100.9863596270159,0.0,1678475.0,6327378.0,0.0,0.0
RAS,RAS_SUPERTILE_ACTIVE_CYCLES,active_mixed,109832.0,0.0,0.0,inf,-0.29530815202268124,-14.761025705645155,0.0,19757.0,90075.0,0.0,0.0
PC,PC_US_BR2BV_SWITCH,active_mixed,6.0,0.0,0.0,inf,0.16497800439902238,0.0005670362903225808,0.0,0.0,0.0,6.0,0.0
PC,PC_US_BV2BR_SWITCH,active_mixed,6.0,0.0,0.0,inf,0.16497800439902238,0.0005670362903225808,0.0,0.0,0.0,6.0,0.0
VPC,VPC_BE_STARVE_CYCLES_CCHE,flat_or_saturated,15992177454.0,14082424332.0,193160784.0,0.013716443947870097,-0.47746198849655314,-3728811.0917968783,14082424332.0,41820924.0,630934350.0,1043837064.0,193160784.0
HLSQ,HLSQ_VS_BATCH_COUNT_ZERO,flat_or_saturated,3808397751.0,3476483001.0,29756868.0,0.008559474615995684,-0.47879620453969335,-931708.2784778234,3476483001.0,7199358.0,115070574.0,179887950.0,29756868.0
HLSQ,HLSQ_FS_BATCH_COUNT_ZERO,flat_or_saturated,3806155218.0,3474250830.0,29757048.0,0.008565025801548129,-0.4787958020967838,-931096.6071068556,3474250830.0,7199016.0,115056072.0,179892252.0,29757048.0
LRZ,LRZ_STARVE_CYCLES_RAS,flat_or_saturated,2499164990.0,2344586802.0,15077020.0,0.006430565926217305,-0.4775022155084083,-631052.3795572922,2344586802.0,3393041.0,51480831.0,84627296.0,15077020.0
VPC,VPC_US_STARVE_CYCLES_REORDER,flat_or_saturated,1855206276.0,1701678753.0,13460496.0,0.007910127558606239,-0.47885611694075275,-456675.85833543376,1701678753.0,3655527.0,52850475.0,83561025.0,13460496.0
CP,CP_ALWAYS_COUNT,flat_or_saturated,733795674.0,665936637.0,6163220.0,0.009254964598080824,-0.4812128207295491,-179069.6438067038,665936637.0,2745149.0,25685671.0,33264997.0,6163220.0
