group,chunk,csv_file,csv_path,counter,width,region_index,region_start_s,region_end_s,samples,total,max,mean,active_mean,active_samples
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_NEVER_COUNT,128,1,0.077758,0.085658,5,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_ALWAYS_COUNT,128,1,0.077758,0.085658,5,2343766.0,475160.0,468753.2,468753.2,5
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_BUSY_GFX_CORE_IDLE,128,1,0.077758,0.085658,5,11899.0,2437.0,2379.8,2379.8,5
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_BUSY_CYCLES,128,1,0.077758,0.085658,5,11894.0,2436.0,2378.8,2378.8,5
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_NUM_PREEMPTIONS,128,1,0.077758,0.085658,5,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_PREEMPTION_REACTION_DELAY,128,1,0.077758,0.085658,5,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_PREEMPTION_SWITCH_OUT_TIME,128,1,0.077758,0.085658,5,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_PREEMPTION_SWITCH_IN_TIME,128,1,0.077758,0.085658,5,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_DEAD_DRAWS_IN_BIN_RENDER,128,1,0.077758,0.085658,5,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_PREDICATED_DRAWS_KILLED,128,1,0.077758,0.085658,5,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_MODE_SWITCH,128,1,0.077758,0.085658,5,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_ZPASS_DONE,128,1,0.077758,0.085658,5,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_CONTEXT_DONE,128,1,0.077758,0.085658,5,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_CACHE_FLUSH,128,1,0.077758,0.085658,5,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_NEVER_COUNT,256,2,0.275134,0.281029,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_ALWAYS_COUNT,256,2,0.275134,0.281029,4,1974284.0,551688.0,493571.0,493571.0,4
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_BUSY_GFX_CORE_IDLE,256,2,0.275134,0.281029,4,9407.0,2368.0,2351.75,2351.75,4
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_BUSY_CYCLES,256,2,0.275134,0.281029,4,9403.0,2367.0,2350.75,2350.75,4
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_NUM_PREEMPTIONS,256,2,0.275134,0.281029,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_PREEMPTION_REACTION_DELAY,256,2,0.275134,0.281029,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_PREEMPTION_SWITCH_OUT_TIME,256,2,0.275134,0.281029,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_PREEMPTION_SWITCH_IN_TIME,256,2,0.275134,0.281029,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_DEAD_DRAWS_IN_BIN_RENDER,256,2,0.275134,0.281029,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_PREDICATED_DRAWS_KILLED,256,2,0.275134,0.281029,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_MODE_SWITCH,256,2,0.275134,0.281029,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_ZPASS_DONE,256,2,0.275134,0.281029,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_CONTEXT_DONE,256,2,0.275134,0.281029,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_CACHE_FLUSH,256,2,0.275134,0.281029,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_NEVER_COUNT,512,3,0.468238,0.473971,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_ALWAYS_COUNT,512,3,0.468238,0.473971,4,1923985.0,499544.0,480996.25,480996.25,4
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_BUSY_GFX_CORE_IDLE,512,3,0.468238,0.473971,4,9487.0,2442.0,2371.75,2371.75,4
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_BUSY_CYCLES,512,3,0.468238,0.473971,4,9483.0,2441.0,2370.75,2370.75,4
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_NUM_PREEMPTIONS,512,3,0.468238,0.473971,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_PREEMPTION_REACTION_DELAY,512,3,0.468238,0.473971,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_PREEMPTION_SWITCH_OUT_TIME,512,3,0.468238,0.473971,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_PREEMPTION_SWITCH_IN_TIME,512,3,0.468238,0.473971,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_DEAD_DRAWS_IN_BIN_RENDER,512,3,0.468238,0.473971,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_PREDICATED_DRAWS_KILLED,512,3,0.468238,0.473971,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_MODE_SWITCH,512,3,0.468238,0.473971,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_ZPASS_DONE,512,3,0.468238,0.473971,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_CONTEXT_DONE,512,3,0.468238,0.473971,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_CACHE_FLUSH,512,3,0.468238,0.473971,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_NEVER_COUNT,1024,4,0.660732,0.666723,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_ALWAYS_COUNT,1024,4,0.660732,0.666723,4,1995301.0,595803.0,498825.25,498825.25,4
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_BUSY_GFX_CORE_IDLE,1024,4,0.660732,0.666723,4,9646.0,2491.0,2411.5,2411.5,4
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_BUSY_CYCLES,1024,4,0.660732,0.666723,4,9642.0,2490.0,2410.5,2410.5,4
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_NUM_PREEMPTIONS,1024,4,0.660732,0.666723,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_PREEMPTION_REACTION_DELAY,1024,4,0.660732,0.666723,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_PREEMPTION_SWITCH_OUT_TIME,1024,4,0.660732,0.666723,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_PREEMPTION_SWITCH_IN_TIME,1024,4,0.660732,0.666723,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_DEAD_DRAWS_IN_BIN_RENDER,1024,4,0.660732,0.666723,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_PREDICATED_DRAWS_KILLED,1024,4,0.660732,0.666723,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_MODE_SWITCH,1024,4,0.660732,0.666723,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_ZPASS_DONE,1024,4,0.660732,0.666723,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_CONTEXT_DONE,1024,4,0.660732,0.666723,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_CACHE_FLUSH,1024,4,0.660732,0.666723,4,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_NEVER_COUNT,2048,5,0.870269,0.876158,3,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_ALWAYS_COUNT,2048,5,0.870269,0.876158,3,1444458.0,532715.0,481486.0,481486.0,3
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_BUSY_GFX_CORE_IDLE,2048,5,0.870269,0.876158,3,6985.0,2344.0,2328.3333333333335,2328.3333333333335,3
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_BUSY_CYCLES,2048,5,0.870269,0.876158,3,6982.0,2343.0,2327.3333333333335,2327.3333333333335,3
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_NUM_PREEMPTIONS,2048,5,0.870269,0.876158,3,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_PREEMPTION_REACTION_DELAY,2048,5,0.870269,0.876158,3,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_PREEMPTION_SWITCH_OUT_TIME,2048,5,0.870269,0.876158,3,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_PREEMPTION_SWITCH_IN_TIME,2048,5,0.870269,0.876158,3,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_DEAD_DRAWS_IN_BIN_RENDER,2048,5,0.870269,0.876158,3,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_PREDICATED_DRAWS_KILLED,2048,5,0.870269,0.876158,3,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_MODE_SWITCH,2048,5,0.870269,0.876158,3,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_ZPASS_DONE,2048,5,0.870269,0.876158,3,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_CONTEXT_DONE,2048,5,0.870269,0.876158,3,0.0,0.0,0.0,0.0,0
CP,1,CP_chunk001.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv,CP_CACHE_FLUSH,2048,5,0.870269,0.876158,3,0.0,0.0,0.0,0.0,0
CP,2,CP_chunk002.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv,CP_LONG_PREEMPTIONS,128,1,0.077758,0.085658,6,0.0,0.0,0.0,0.0,0
CP,2,CP_chunk002.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv,CP_SQE_I_CACHE_STARVE,128,1,0.077758,0.085658,6,21808.0,18070.0,3634.6666666666665,3634.6666666666665,6
CP,2,CP_chunk002.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv,CP_SQE_IDLE,128,1,0.077758,0.085658,6,610474.0,214304.0,101745.66666666667,101745.66666666667,6
CP,2,CP_chunk002.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv,CP_SQE_PM4_STARVE_RB,128,1,0.077758,0.085658,6,284.0,48.0,47.333333333333336,47.333333333333336,6
CP,2,CP_chunk002.csv,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv,CP_SQE_PM4_STARVE_IB1,128,1,0.077758,0.085658,6,8.0,8.0,1.3333333333333333,8.0,1
