group,counter,label,total_all_widths,total_width_first,total_width_last,scaling_ratio_last_over_first,corr_total_vs_width,slope_total_vs_width,total_w128,total_w256,total_w512,total_w1024,total_w2048
LRZ,LRZ_STARVE_CYCLES_RAS,flat_or_saturated,347221833.0,61791370.0,71758942.0,1.1613100988050598,0.528486649425522,2902.106718329987,61791370.0,71189288.0,71030208.0,71452025.0,71758942.0
CP,CP_ALWAYS_COUNT,flat_or_saturated,102773438.0,17456465.0,19577524.0,1.1215056427518402,0.18700815488586842,596.2027154737933,17456465.0,21110835.0,20349150.0,24279464.0,19577524.0
CP,CP_MEMORY_POOL_EMPTY,flat_or_saturated,93544767.0,13937072.0,20364730.0,1.4611914181113508,0.5529471966422244,1900.2501575100848,13937072.0,19646812.0,19916280.0,19679873.0,20364730.0
CP,CP_SQE_EXEC_PROFILED,flat_or_saturated,93436676.0,13915900.0,20340308.0,1.4616595405255859,0.5517663570997374,1895.8459761424758,13915900.0,19636312.0,19892567.0,19651589.0,20340308.0
SP,SP_CCHE_UAV_TOTAL_ATOM_REQ,flat_or_saturated,38249516.0,7389059.0,0.0,0.0,-0.6342869002282981,-3820.7751701108873,7389059.0,8433288.0,9824500.0,12602669.0,0.0
SP,SP_FS_STAGE_CFLOW_INSTRUCTIONS,flat_or_saturated,13161472.0,2376704.0,3113984.0,1.3102111158983196,1.0,384.0000000000005,2376704.0,2425856.0,2524160.0,2720768.0,3113984.0
SP,SP_TTU_GPR_WR_CYCLES,flat_or_saturated,11459073.0,1888354.0,0.0,0.0,-0.48207784872079773,-967.1682102654561,1888354.0,2321897.0,2974386.0,4274436.0,0.0
SP,SP_GPR_READ_BANK,flat_or_saturated,9579672.0,1557904.0,0.0,0.0,-0.4752246428480531,-801.5250336021501,1557904.0,1939652.0,2491584.0,3590532.0,0.0
SP,SP_GPR_WRITE_BANK,flat_or_saturated,6658242.0,1096347.0,0.0,0.0,-0.4959780246305524,-572.0137873823925,1096347.0,1377715.0,1734730.0,2449450.0,0.0
ALWAYSON,ALWAYSON,flat_or_saturated,5637622.0,1174895.0,1111138.0,0.9457338740908762,-0.5887546985192236,-20.213867187499563,1174895.0,1119524.0,1120104.0,1111961.0,1111138.0
SP,SP_TTU_INSTRUCTIONS,flat_or_saturated,4143445.0,829276.0,0.0,0.0,-0.619336908766236,-407.8275684643818,829276.0,866694.0,1055188.0,1392287.0,0.0
SP,SP_SCH_MEM_CTRL_WORKING_CYCLES,flat_or_saturated,3807693.0,777934.0,0.0,0.0,-0.6342953095179625,-380.46794144825276,777934.0,798023.0,966679.0,1265057.0,0.0
SP,SP_TTU_GPR_RD_REQ,flat_or_saturated,3740734.0,760536.0,0.0,0.0,-0.6238472358201087,-369.97757056451604,760536.0,775391.0,950991.0,1253816.0,0.0
SP,SP_FS_WAVE_REQ_PENDING,flat_or_saturated,3690831.0,753532.0,0.0,0.0,-0.628582259937307,-366.7601331485217,753532.0,768202.0,936255.0,1232842.0,0.0
RAS,RAS_STARVE_CYCLES_TSE,flat_or_saturated,3107280.0,712425.0,552762.0,0.7758879882092852,-0.7306011090121215,-55.12490549395165,712425.0,593052.0,629961.0,619080.0,552762.0
SP,SP_TTU_ACTIVE_FIBERS,flat_or_saturated,2522624.0,445348.0,0.0,0.0,-0.5198502062133529,-222.93025453629025,445348.0,513565.0,646979.0,916732.0,0.0
SP,SP_LB_LDST_RW_LM,flat_or_saturated,2199540.0,369210.0,0.0,0.0,-0.4751857380914374,-183.97933467741933,369210.0,436083.0,565587.0,828660.0,0.0
SP,SP_CCHE_NONUAV_TOTAL_AOM_REQ,flat_or_saturated,1377917.0,236486.0,0.0,0.0,-0.5291912082338247,-123.1536353326612,236486.0,289639.0,358162.0,493630.0,0.0
SP,SP_WAVE_WAIT_CYCLES,flat_or_saturated,1079808.0,192000.0,261120.0,1.36,0.9999999999999999,36.00000000000005,192000.0,196608.0,205824.0,224256.0,261120.0
SP,SP_FLOW_CONTROL_WORKING_CYCLES,flat_or_saturated,891797.0,162174.0,208569.0,1.286081616042029,0.999989280876145,24.112199680779597,162174.0,165461.0,171638.0,183955.0,208569.0
SP,SP_TTU_GPR_WR_REQ,flat_or_saturated,891731.0,162123.0,208551.0,1.2863751596010438,0.9999829222783007,24.11914062500003,162123.0,165444.0,171654.0,183959.0,208551.0
RBBM,RBBM_US_ALWAYS_ON,flat_or_saturated,804906.0,161147.0,168404.0,1.0450334166940745,0.6502178386085298,8.3037109375,161147.0,145125.0,159782.0,170448.0,168404.0
SP,SP_WAVE_CTRL_CYCLES,flat_or_saturated,674845.0,116492.0,169989.0,1.4592332520688116,0.9999894444608163,27.87198630712369,116492.0,120066.0,126983.0,141315.0,169989.0
SP,SP_CS_INVOCATIONS,flat_or_saturated,655360.0,131072.0,131072.0,1.0,0.0,1.2312974856146922e-14,131072.0,131072.0,131072.0,131072.0,131072.0
SP,SP_PIXELS,flat_or_saturated,655360.0,131072.0,131072.0,1.0,0.0,1.2312974856146922e-14,131072.0,131072.0,131072.0,131072.0,131072.0
SP,SP_WAVE_JOIN_CYCLES,flat_or_saturated,563777.0,112657.0,112825.0,1.0014912522080297,0.7334548470905168,0.08503444220431575,112657.0,112656.0,112811.0,112828.0,112825.0
SP,SP_TTU_GPR_RD_CYCLES,flat_or_saturated,545281.0,90684.0,0.0,0.0,-0.46985121437788374,-45.29507938508062,90684.0,108307.0,139896.0,206394.0,0.0
CP,CP_SQE_I_CACHE_STARVE,flat_or_saturated,463835.0,79895.0,100475.0,1.2575880843607234,0.7989533725226706,8.383001512096804,79895.0,90478.0,94226.0,98761.0,100475.0
CP,CP_ICACHE_STALL,flat_or_saturated,420709.0,71455.0,81628.0,1.1423693233503605,0.11503446472100702,1.1535618279570086,71455.0,88548.0,89214.0,89864.0,81628.0
SP,SP_WAVE_INPUT_CYCLES,flat_or_saturated,380664.0,76156.0,76075.0,0.9989363937181575,-0.9026020043058033,-0.0459299395161201,76156.0,76181.0,76123.0,76129.0,76075.0
