group,counter,total_all_widths,total_width_first,total_width_last,scaling_ratio_last_over_first,corr_total_vs_width,slope_total_vs_width,label,total_w128,total_w256,total_w512,total_w1024,total_w2048
CP,CP_CLUSTER_FE_S_EMPTY,818974843.0,814021202.0,330455.0,0.0004059537997144207,-0.4785597524918238,-222815.70609669035,flat_or_saturated,814021202.0,2661738.0,1629145.0,332303.0,330455.0
CP,CP_CLUSTER_VPC_VS_EMPTY,818969030.0,814015531.0,330443.0,0.00040594188613828796,-0.4785597310035309,-222814.1511781755,flat_or_saturated,814015531.0,2661727.0,1629042.0,332287.0,330443.0
CP,CP_CLUSTER_GRAS_EMPTY,818967532.0,814013639.0,330447.0,0.00040594774358565755,-0.478559945270468,-222813.70544564864,flat_or_saturated,814013639.0,2661984.0,1629179.0,332283.0,330447.0
CP,CP_CLUSTER_VPC_PS_EMPTY,818960538.0,814009854.0,328200.0,0.0004031892223260482,-0.47856170146645005,-222813.70608618972,flat_or_saturated,814009854.0,2661875.0,1628328.0,332281.0,328200.0
CP,CP_CLUSTER_FE_U_EMPTY,818337786.0,813384057.0,330455.0,0.00040627179394050995,-0.4785613326101561,-222641.77000378043,flat_or_saturated,813384057.0,2661794.0,1629175.0,332305.0,330455.0
CP,CP_CLUSTER_SP_VS_EMPTY,818059265.0,813105708.0,330452.0,0.00040640718266855407,-0.47856191786066976,-222565.74780535972,flat_or_saturated,813105708.0,2661686.0,1629120.0,332299.0,330452.0
CP,CP_CLUSTER_VPC_US_EMPTY,815776709.0,810823093.0,330443.0,0.0004075401932342349,-0.47856749434240065,-221942.5772219423,flat_or_saturated,810823093.0,2661782.0,1629095.0,332296.0,330443.0
CP,CP_CLUSTER_SP_PS_EMPTY,814741958.0,809791386.0,328205.0,0.00040529574119228774,-0.47857187266472245,-221661.98061575953,flat_or_saturated,809791386.0,2661931.0,1628156.0,332280.0,328205.0
CP,CP_CLUSTER_PS_EMPTY,814584136.0,809633541.0,328197.0,0.00040536487605816716,-0.4785722568773603,-221618.88462911642,flat_or_saturated,809633541.0,2661821.0,1628308.0,332269.0,328197.0
RAS,RAS_STARVE_CYCLES_TSE,29127162.0,25987839.0,161856.0,0.006228143863751041,-0.5019529230562705,-7277.694650957668,flat_or_saturated,25987839.0,20955.0,2574255.0,382257.0,161856.0
CP,CP_ICACHE_STALL,540234.0,85547.0,72785.0,0.8508188481185781,-0.41199325334883224,-51.4166351646505,flat_or_saturated,85547.0,279515.0,64521.0,37866.0,72785.0
CP,CP_ICACHE_HITS,22832.0,3212.0,3876.0,1.2067247820672478,-0.2976099119392904,-1.4550991263440851,flat_or_saturated,3212.0,11276.0,2420.0,2048.0,3876.0
CP,CP_AHB_STALL_SQE_GMU,2530.0,2530.0,0.0,0.0,-0.4766031238193981,-0.6907342069892478,flat_or_saturated,2530.0,0.0,0.0,0.0,0.0
CP,CP_ICACHE_MISSES,1360.0,204.0,187.0,0.9166666666666666,-0.3900027093343548,-0.12495799731182793,flat_or_saturated,204.0,714.0,153.0,102.0,187.0
