run,region_index,width,start_idx,end_idx_exclusive,start_s,end_s,samples
sweep_20260625_152944,1,128,27,69,0.049915,0.112017,42
sweep_20260625_152944,2,256,157,198,0.248662,0.307354,41
sweep_20260625_152944,3,512,285,326,0.441789,0.500608,41
sweep_20260625_152944,4,1024,411,452,0.634295,0.693474,41
sweep_20260625_152944,5,2048,549,590,0.844253,0.902618,41
sweep_20260625_174559,1,128,30,72,0.057689,0.119569,42
sweep_20260625_174559,2,256,165,206,0.262054,0.320504,41
sweep_20260625_174559,3,512,304,345,0.468723,0.527212,41
sweep_20260625_174559,4,1024,441,483,0.675249,0.735577,42
sweep_20260625_174559,5,2048,577,618,0.880872,0.940251,41
