group,counter,n_runs,majority_label,majority_label_count,label_consistency,ratio_mean,ratio_std,ratio_cv,corr_mean,corr_std,total_all_mean,total_all_std,total_w128_mean,total_w128_std,total_w128_cv,total_w256_mean,total_w256_std,total_w256_cv,total_w512_mean,total_w512_std,total_w512_cv,total_w1024_mean,total_w1024_std,total_w1024_cv,total_w2048_mean,total_w2048_std,total_w2048_cv,stable_strong_scaling,near_16x_scaling
TSE,TSE_FE_ST1_VP_PARAMS_CACHE_MISS,2,zero_all_widths,1,0.5,,0.0,,-0.20163978315436074,0.0,70.5,99.7020561473032,0.0,0.0,,0.0,0.0,,70.5,99.7020561473032,1.414213562373095,0.0,0.0,,0.0,0.0,,False,False
TSE,TSE_FE_ST2_SCISSOR_VP_PARAMS_CACHE_MISS,2,zero_all_widths,1,0.5,,0.0,,-0.20163978315436074,0.0,70.5,99.7020561473032,0.0,0.0,,0.0,0.0,,70.5,99.7020561473032,1.414213562373095,0.0,0.0,,0.0,0.0,,False,False
TSE,TSE_FE_ST2_VPORT_VP_PARAMS_CACHE_MISS,2,zero_all_widths,1,0.5,,0.0,,-0.20163978315436074,0.0,70.5,99.7020561473032,0.0,0.0,,0.0,0.0,,70.5,99.7020561473032,1.414213562373095,0.0,0.0,,0.0,0.0,,False,False
CP,CP_AHB_STALL_SQE_RD_OTHER,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_AHB_WR_STALL_PRE_DRAWS,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_AQE_NUM_AS_CHUNKS,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_AQE_NUM_MS_CHUNKS,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_AQE_SQE_STALL,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_CLUSTER_FE_S_FULL,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_CLUSTER_FE_US_FULL,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_CLUSTER_GRAS_FULL,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_CLUSTER_PS_FULL,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_CLUSTER_SP_PS_FULL,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_CLUSTER_SP_VS_FULL,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_CLUSTER_VPC_PS_FULL,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_CLUSTER_VPC_US_FULL,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_CLUSTER_VPC_VS_FULL,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_DCACHE_HITS,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_DCACHE_MISSES,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_DCACHE_STALLS,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_DEAD_DRAWS_IN_BIN_RENDER,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_ECACHE_BUSY,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_ECACHE_EVEN_REQS,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_ECACHE_HITS,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_ECACHE_KILLS,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_ECACHE_REQS,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_ECACHE_STALLS_RAP,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_ISR_CYCLES,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_MEMORY_POOL_BELOW_THRESH,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_MODE_SWITCH,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_NEVER_COUNT,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_OUTPUT_BLOCKED,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_PREDICATED_DRAWS_KILLED,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_SQE_AQE_STARVE,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_SQE_DRAW_EXEC,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_SQE_LOAD_STATE_EXEC,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_SQE_MD8_STALL_CYCLES,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_SQE_MESH_EXEC_CYCLES,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_SQE_PIPE_OUT_STALL,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
CP,CP_SQE_PM4_STARVE_FSDT,2,zero_all_widths,2,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,False,False
