group,counter,n_runs,majority_label,majority_label_count,label_consistency,ratio_mean,ratio_std,ratio_cv,corr_mean,corr_std,total_all_mean,total_all_std,total_w128_mean,total_w128_std,total_w256_mean,total_w256_std,total_w512_mean,total_w512_std,total_w1024_mean,total_w1024_std,total_w2048_mean,total_w2048_std,stable_strong_scaling,near_16x_scaling
TP,TP_FILTER_POINT_FP32,1,strong_width_scaling,1,1.0,16.0,0.0,,1.0,0.0,2031616.0,0.0,65536.0,0.0,131072.0,0.0,262144.0,0.0,524288.0,0.0,1048576.0,0.0,True,True
SP,SP_LOW_EFFICIENCY_STARVED_BY_TP,2,strong_width_scaling,2,1.0,15.049313038227014,0.6843955923117949,0.045476865992045624,0.9570466166752994,0.0031305960646426704,1638461.0,48984.115159916895,73657.0,154.14927829866735,87722.0,868.3271272970803,109586.5,3117.633798251488,258955.5,1651.0943340705885,1108540.0,52730.36688664322,True,True
SP,SP_FULL_ALU_MUL_INSTRUCTIONS,2,strong_width_scaling,2,1.0,16.0,0.0,0.0,1.0,0.0,1015808.0,0.0,32768.0,0.0,65536.0,0.0,131072.0,0.0,262144.0,0.0,524288.0,0.0,True,True
SP,SP_FS_STAGE_TEX_INSTRUCTIONS,2,strong_width_scaling,2,1.0,16.0,0.0,0.0,1.0,0.0,507904.0,0.0,16384.0,0.0,32768.0,0.0,65536.0,0.0,131072.0,0.0,262144.0,0.0,True,True
SP,SP_GM_STORE_INSTRUCTIONS,2,strong_width_scaling,2,1.0,16.0,0.0,0.0,1.0,0.0,507904.0,0.0,16384.0,0.0,32768.0,0.0,65536.0,0.0,131072.0,0.0,262144.0,0.0,True,True
SP,SP_TEXTURE_FETCH_LATENCY_SAMPLES,1,strong_width_scaling,1,1.0,16.0,0.0,,1.0,0.0,507904.0,0.0,16384.0,0.0,32768.0,0.0,65536.0,0.0,131072.0,0.0,262144.0,0.0,True,True
UCHE,UCHE_WRITE_REQUESTS_SP,1,strong_width_scaling,1,1.0,16.0,0.0,,1.0,0.0,507904.0,0.0,16384.0,0.0,32768.0,0.0,65536.0,0.0,131072.0,0.0,262144.0,0.0,True,True
UCHE,UCHE_READ_REQUESTS_TP,1,strong_width_scaling,1,1.0,16.51764112903226,0.0,,0.9999824851913159,0.0,504868.0,0.0,15872.0,0.0,32320.0,0.0,63772.0,0.0,130736.0,0.0,262168.0,0.0,True,True
UCHE,UCHE_READ_REQUESTS_TP_GBIF,1,strong_width_scaling,1,1.0,16.51764112903226,0.0,,0.9999824851913159,0.0,504868.0,0.0,15872.0,0.0,32320.0,0.0,63772.0,0.0,130736.0,0.0,262168.0,0.0,True,True
SP,SP_CCHE_NONUAV_TOTAL_DUALQUAD,2,strong_width_scaling,2,1.0,16.0,0.0,0.0,1.0,0.0,253952.0,0.0,8192.0,0.0,16384.0,0.0,32768.0,0.0,65536.0,0.0,131072.0,0.0,True,True
SP,SP_CCHE_UAV_TOTAL_DUALQUAD,2,strong_width_scaling,2,1.0,16.0,0.0,0.0,1.0,0.0,253952.0,0.0,8192.0,0.0,16384.0,0.0,32768.0,0.0,65536.0,0.0,131072.0,0.0,True,True
SP,SP_CCHE_UAV_TOTAL_REQ,2,strong_width_scaling,2,1.0,16.0,0.0,0.0,1.0,0.0,253952.0,0.0,8192.0,0.0,16384.0,0.0,32768.0,0.0,65536.0,0.0,131072.0,0.0,True,True
SP,SP_UCHE_WRITE_TRANS,2,strong_width_scaling,2,1.0,16.0,0.0,0.0,1.0,0.0,253952.0,0.0,8192.0,0.0,16384.0,0.0,32768.0,0.0,65536.0,0.0,131072.0,0.0,True,True
TP,TP_TPA2TPC_TRANS,1,strong_width_scaling,1,1.0,16.0,0.0,,1.0,0.0,253952.0,0.0,8192.0,0.0,16384.0,0.0,32768.0,0.0,65536.0,0.0,131072.0,0.0,True,True
SP,SP_PGPR_ALLOC_CONTEXTS,2,moderate_width_scaling,2,1.0,2.7147476715095626,0.09711389956781248,0.03577271677474589,0.992545255412173,0.0023799086127979856,271114264.5,3760033.9449984357,35803551.0,37786.37217304673,37094084.5,26566.708875959775,43982452.0,86320.76742012898,57034735.5,29757.17467267348,97199441.5,3579602.921856627,True,False
