elapsed_s,CP_NEVER_COUNT,CP_ALWAYS_COUNT,CP_BUSY_GFX_CORE_IDLE,CP_BUSY_CYCLES,CP_NUM_PREEMPTIONS,CP_PREEMPTION_REACTION_DELAY,CP_PREEMPTION_SWITCH_OUT_TIME,CP_PREEMPTION_SWITCH_IN_TIME,CP_DEAD_DRAWS_IN_BIN_RENDER,CP_PREDICATED_DRAWS_KILLED,CP_MODE_SWITCH,CP_ZPASS_DONE,CP_CONTEXT_DONE,CP_CACHE_FLUSH
0.001047,0,133450,1911,1910,0,0,0,0,0,0,0,0,0,0
0.002663,0,156436,2052,2051,0,0,0,0,0,0,0,0,0,0
0.004420,0,133501,1982,1981,0,0,0,0,0,0,0,0,0,0
0.006015,0,130301,1988,1987,0,0,0,0,0,0,0,0,0,0
0.007723,0,140195,1751,1750,0,0,0,0,0,0,0,0,0,0
0.009409,0,148051,1681,1680,0,0,0,0,0,0,0,0,0,0
0.011125,0,127645,2144,2143,0,0,0,0,0,0,0,0,0,0
0.012650,0,116907,1315,1314,0,0,0,0,0,0,0,0,0,0
0.013979,0,114761,1534,1533,0,0,0,0,0,0,0,0,0,0
0.015488,0,112925,1374,1373,0,0,0,0,0,0,0,0,0,0
0.016919,0,111522,1503,1502,0,0,0,0,0,0,0,0,0,0
0.018382,0,88453,1341,1340,0,0,0,0,0,0,0,0,0,0
0.019719,0,87477,1552,1551,0,0,0,0,0,0,0,0,0,0
0.021049,0,88481,1376,1375,0,0,0,0,0,0,0,0,0,0
0.022381,0,88242,1291,1290,0,0,0,0,0,0,0,0,0,0
0.023711,0,87992,1414,1413,0,0,0,0,0,0,0,0,0,0
0.025042,0,87738,1387,1386,0,0,0,0,0,0,0,0,0,0
0.026397,0,110828,1544,1543,0,0,0,0,0,0,0,0,0,0
0.027859,0,88284,1365,1364,0,0,0,0,0,0,0,0,0,0
0.029263,0,89866,1294,1293,0,0,0,0,0,0,0,0,0,0
0.030587,0,87428,1461,1460,0,0,0,0,0,0,0,0,0,0
0.031980,0,90978,1281,1280,0,0,0,0,0,0,0,0,0,0
0.033298,0,86401,1321,1321,0,0,0,0,0,0,0,0,0,0
0.034617,0,86756,1359,1358,0,0,0,0,0,0,0,0,0,0
0.035986,0,89578,1397,1396,0,0,0,0,0,0,0,0,0,0
0.037470,0,139093,1515,1514,0,0,0,0,0,0,0,0,0,0
0.038958,0,116468,1257,1256,0,0,0,0,0,0,0,0,0,0
0.040382,0,87955,1299,1298,0,0,0,0,0,0,0,0,0,0
0.041718,0,88204,1494,1493,0,0,0,0,0,0,0,0,0,0
0.043069,0,92642,1464,1463,0,0,0,0,0,0,0,0,0,0
0.044434,0,87960,1433,1432,0,0,0,0,0,0,0,0,0,0
0.045768,0,87785,1550,1549,0,0,0,0,0,0,0,0,0,0
0.047117,0,91463,1293,1292,0,0,0,0,0,0,0,0,0,0
0.048464,0,92033,1341,1340,0,0,0,0,0,0,0,0,0,0
0.049833,0,91547,1538,1537,0,0,0,0,0,0,0,0,0,0
0.051253,0,95456,1348,1347,0,0,0,0,0,0,0,0,0,0
0.052700,0,80765,1211,1210,0,0,0,0,0,0,0,0,0,0
0.054170,0,63840,1149,1148,0,0,0,0,0,0,0,0,0,0
0.055594,0,80573,1166,1165,0,0,0,0,0,0,0,0,0,0
0.057054,0,80079,1204,1203,0,0,0,0,0,0,0,0,0,0
0.058524,0,77495,1129,1128,0,0,0,0,0,0,0,0,0,0
0.060010,0,77256,1156,1155,0,0,0,0,0,0,0,0,0,0
0.061505,0,78876,1165,1164,0,0,0,0,0,0,0,0,0,0
0.062951,0,79567,1048,1047,0,0,0,0,0,0,0,0,0,0
0.064453,0,77041,1269,1268,0,0,0,0,0,0,0,0,0,0
0.065903,0,82503,1100,1099,0,0,0,0,0,0,0,0,0,0
0.067460,0,76732,1230,1229,0,0,0,0,0,0,0,0,0,0
0.068892,0,76731,1141,1140,0,0,0,0,0,0,0,0,0,0
0.070372,0,76538,1279,1278,0,0,0,0,0,0,0,0,0,0
0.071857,0,82003,1202,1201,0,0,0,0,0,0,0,0,0,0
0.073504,0,96076,1184,1183,0,0,0,0,0,0,0,0,0,0
0.075054,0,71244,1338,1337,0,0,0,0,0,0,0,0,0,0
0.076496,0,91733,1421,1420,0,0,0,0,0,0,0,0,0,0
0.078064,0,72638,1212,1211,0,0,0,0,0,0,0,0,0,0
0.079504,0,77585,1590,1589,0,0,0,0,0,0,0,0,0,0
0.081044,0,73152,1191,1190,0,0,0,0,0,0,0,0,0,0
0.082627,0,88697,1294,1293,0,0,0,0,0,0,0,0,0,0
0.084323,0,92390,1327,1326,0,0,0,0,0,0,0,0,0,0
0.085929,0,81259,1189,1188,0,0,0,0,0,0,0,0,0,0
0.087465,0,73796,1140,1139,0,0,0,0,0,0,0,0,0,0
0.088980,0,72517,1140,1139,0,0,0,0,0,0,0,0,0,0
0.090523,0,78841,1152,1151,0,0,0,0,0,0,0,0,0,0
0.092014,0,77792,1109,1108,0,0,0,0,0,0,0,0,0,0
0.093507,0,81857,1135,1134,0,0,0,0,0,0,0,0,0,0
0.094946,0,66423,1094,1093,0,0,0,0,0,0,0,0,0,0
0.096367,0,77805,1137,1136,0,0,0,0,0,0,0,0,0,0
0.097879,0,84388,1168,1168,0,0,0,0,0,0,0,0,0,0
0.099357,0,79100,1162,1161,0,0,0,0,0,0,0,0,0,0
0.100817,0,79201,1148,1147,0,0,0,0,0,0,0,0,0,0
0.102277,0,80454,1222,1221,0,0,0,0,0,0,0,0,0,0
0.103836,0,85143,1173,1173,0,0,0,0,0,0,0,0,0,0
0.105462,0,97934,1353,1352,0,0,0,0,0,0,0,0,0,0
0.106988,0,85614,1417,1416,0,0,0,0,0,0,0,0,0,0
0.108490,0,85519,1363,1362,0,0,0,0,0,0,0,0,0,0
0.109993,0,85427,1372,1371,0,0,0,0,0,0,0,0,0,0
0.111551,0,89452,1616,1615,0,0,0,0,0,0,0,0,0,0
0.113190,0,102589,1658,1657,0,0,0,0,0,0,0,0,0,0
0.114874,0,91860,1428,1427,0,0,0,0,0,0,0,0,0,0
0.116526,0,130061,1390,1389,0,0,0,0,0,0,0,0,0,0
0.118447,0,104482,1599,1598,0,0,0,0,0,0,0,0,0,0
0.120369,0,133450,1366,1365,0,0,0,0,0,0,0,0,0,0
0.122079,0,106869,1389,1388,0,0,0,0,0,0,0,0,0,0
0.123776,0,91280,4709,7231,0,1800,10203,0,0,0,0,0,0,0
0.125790,0,146278,76168,76577,1,0,27646,15937,0,0,0,0,11,2
0.127388,0,76780,1205,1204,0,0,0,0,0,0,0,0,0,0
0.128916,0,72950,1189,1188,0,0,0,0,0,0,0,0,0,0
0.130418,0,84117,1123,1122,0,0,0,0,0,0,0,0,0,0
0.131915,0,82876,1199,1198,0,0,0,0,0,0,0,0,0,0
0.133439,0,82968,1136,1135,0,0,0,0,0,0,0,0,0,0
0.134931,0,81601,1197,1196,0,0,0,0,0,0,0,0,0,0
0.136417,0,79770,1278,1277,0,0,0,0,0,0,0,0,0,0
0.137880,0,79864,1190,1189,0,0,0,0,0,0,0,0,0,0
0.139341,0,86303,1304,1303,0,0,0,0,0,0,0,0,0,0
0.141297,0,130635,1523,1522,0,0,0,0,0,0,0,0,0,0
0.142889,0,103963,1387,1386,0,0,0,0,0,0,0,0,0,0
0.144590,0,101918,1224,1223,0,0,0,0,0,0,0,0,0,0
0.146238,0,100027,1246,1245,0,0,0,0,0,0,0,0,0,0
0.147830,0,88736,1240,1239,0,0,0,0,0,0,0,0,0,0
0.149474,0,105553,1203,1202,0,0,0,0,0,0,0,0,0,0
0.150997,0,77464,1191,1190,0,0,0,0,0,0,0,0,0,0
0.152449,0,87107,1219,1218,0,0,0,0,0,0,0,0,0,0
0.153984,0,76295,1347,1346,0,0,0,0,0,0,0,0,0,0
0.155415,0,87668,1224,1223,0,0,0,0,0,0,0,0,0,0
0.156937,0,87067,1195,1194,0,0,0,0,0,0,0,0,0,0
0.158463,0,87751,1446,1445,0,0,0,0,0,0,0,0,0,0
0.159988,0,88532,1405,1404,0,0,0,0,0,0,0,0,0,0
0.161497,0,86522,1242,1241,0,0,0,0,0,0,0,0,0,0
0.163056,0,86960,1324,1323,0,0,0,0,0,0,0,0,0,0
0.164619,0,88250,1226,1225,0,0,0,0,0,0,0,0,0,0
0.166217,0,178731,22002,90653,0,0,0,0,0,0,0,0,31,12
0.167772,0,1314587,384,1314545,0,0,0,0,0,0,0,0,43,21
0.169008,0,1085225,4199,573096,0,0,0,0,0,0,0,0,4,2
0.170471,0,571790,2440,2439,0,0,0,0,0,0,0,0,0,0
0.171916,0,452358,2463,2462,0,0,0,0,0,0,0,0,0,0
0.173350,0,473120,2617,2616,0,0,0,0,0,0,0,0,0,0
0.174727,0,435975,2353,2352,0,0,0,0,0,0,0,0,0,0
0.176122,0,499643,2472,2471,0,0,0,0,0,0,0,0,0,0
0.177462,0,436154,2351,2350,0,0,0,0,0,0,0,0,0,0
0.178795,0,443905,2408,2407,0,0,0,0,0,0,0,0,0,0
0.180188,0,639396,2475,2474,0,0,0,0,0,0,0,0,0,0
0.181762,0,461672,2374,2373,0,0,0,0,0,0,0,0,0,0
0.183142,0,461692,2333,2332,0,0,0,0,0,0,0,0,0,0
0.184525,0,445014,2334,2333,0,0,0,0,0,0,0,0,0,0
0.185865,0,440825,2359,2358,0,0,0,0,0,0,0,0,0,0
0.187256,0,453749,2536,2535,0,0,0,0,0,0,0,0,0,0
0.188678,0,554657,2342,2341,0,0,0,0,0,0,0,0,0,0
0.190151,0,447642,2359,2358,0,0,0,0,0,0,0,0,0,0
0.191492,0,442018,2344,2343,0,0,0,0,0,0,0,0,0,0
0.192824,0,430498,2340,2339,0,0,0,0,0,0,0,0,0,0
0.194198,0,559494,2516,2515,0,0,0,0,0,0,0,0,0,0
0.195634,0,425043,2336,2335,0,0,0,0,0,0,0,0,0,0
0.196956,0,428213,2492,2491,0,0,0,0,0,0,0,0,0,0
0.198277,0,421094,2351,2350,0,0,0,0,0,0,0,0,0,0
0.199596,0,424579,2348,2347,0,0,0,0,0,0,0,0,0,0
0.200978,0,435815,2398,2397,0,0,0,0,0,0,0,0,0,0
0.202306,0,429326,2363,2362,0,0,0,0,0,0,0,0,0,0
0.203685,0,519729,2387,2386,0,0,0,0,0,0,0,0,0,0
0.205150,0,436568,2388,2387,0,0,0,0,0,0,0,0,0,0
0.206530,0,421548,2345,2344,0,0,0,0,0,0,0,0,0,0
0.208002,0,485156,2334,2333,0,0,0,0,0,0,0,0,0,0
0.209433,0,420177,2340,2339,0,0,0,0,0,0,0,0,0,0
0.210820,0,554066,2481,2480,0,0,0,0,0,0,0,0,0,0
0.212317,0,469379,2501,2500,0,0,0,0,0,0,0,0,0,0
0.213710,0,464309,2328,2327,0,0,0,0,0,0,0,0,0,0
0.215085,0,460685,2370,2369,0,0,0,0,0,0,0,0,0,0
0.216448,0,451261,2382,2381,0,0,0,0,0,0,0,0,0,0
0.217863,0,451864,2341,2340,0,0,0,0,0,0,0,0,0,0
0.219322,0,728841,2331,2330,0,0,0,0,0,0,0,0,0,0
