elapsed_s,VFD_ATTR_INFO_FIFO_FULL,VFD_DECODED_ATTRIBUTE_BYTES,VFD_NUM_ATTRIBUTES,VFD_UPPER_SHADER_FIBERS,VFD_LOWER_SHADER_FIBERS,VFD_MODE_0_FIBERS,VFD_MODE_1_FIBERS,VFD_MODE_2_FIBERS
0.001068,0,0,0,0,0,0,0,0
0.002584,0,0,0,0,0,0,0,0
0.008613,0,0,0,0,0,0,0,0
0.010066,0,0,0,0,0,0,0,0
0.011656,0,0,0,0,0,0,0,0
0.016587,0,0,0,0,0,0,0,0
0.020526,0,0,0,0,0,0,0,0
0.024595,0,0,0,0,0,0,0,0
0.026048,0,0,0,0,0,0,0,0
0.027520,0,0,0,0,0,0,0,0
0.028995,0,0,0,0,0,0,0,0
0.030441,0,0,0,0,0,0,0,0
0.031896,0,0,0,0,0,0,0,0
0.033345,0,0,0,0,0,0,0,0
0.034849,0,0,0,0,0,0,0,0
0.036333,0,0,0,0,0,0,0,0
0.037812,0,0,0,0,0,0,0,0
0.039264,0,0,0,0,0,0,0,0
0.040741,0,0,0,0,0,0,0,0
0.042224,0,0,0,0,0,0,0,0
0.043701,0,0,0,0,0,0,0,0
0.045175,0,0,0,0,0,0,0,0
0.046662,0,0,0,0,0,0,0,0
0.048145,0,0,0,0,0,0,0,0
0.049610,0,0,0,0,0,0,0,0
0.051095,0,0,0,0,0,0,0,0
0.052708,0,0,0,0,0,0,0,0
0.054190,0,0,0,0,0,0,0,0
0.055662,0,0,0,0,0,0,0,0
0.057155,0,0,0,0,0,0,0,0
0.058649,0,0,0,0,0,0,0,0
0.060097,0,0,0,0,0,0,0,0
0.061577,0,0,0,0,0,0,0,0
0.063031,0,0,0,0,0,0,0,0
0.064501,0,0,0,0,0,0,0,0
0.065936,0,0,0,0,0,0,0,0
0.067407,0,0,0,0,0,0,0,0
0.068884,0,0,0,0,0,0,0,0
0.070370,0,0,0,0,0,0,0,0
0.071853,0,0,0,0,0,0,0,0
0.077388,0,0,0,0,0,0,0,0
0.079015,0,0,0,0,0,0,0,0
0.080631,0,0,0,0,0,0,0,0
0.082243,0,0,0,0,0,0,0,0
0.086868,0,0,0,0,0,0,0,0
0.088384,0,0,0,0,0,0,0,0
0.089794,0,0,0,0,0,0,0,0
0.091234,0,0,0,0,0,0,0,0
0.092643,0,0,0,0,0,0,0,0
0.094107,0,0,0,0,0,0,0,0
0.095513,0,0,0,0,0,0,0,0
0.096886,0,0,0,0,0,0,0,0
0.098305,0,0,0,0,0,0,0,0
0.099772,0,0,0,0,0,0,0,0
0.101229,0,0,0,0,0,0,0,0
0.102654,0,0,0,0,0,0,0,0
0.104225,0,0,0,0,0,0,0,0
0.105656,0,0,0,0,0,0,0,0
0.107109,0,0,0,0,0,0,0,0
0.108552,0,0,0,0,0,0,0,0
0.109913,0,0,0,0,0,0,0,0
0.111320,0,0,0,0,0,0,0,0
0.112798,0,0,0,0,0,0,0,0
0.114207,0,0,0,0,0,0,0,0
0.115630,0,0,0,0,0,0,0,0
0.117060,0,0,0,0,0,0,0,0
0.118476,0,0,0,0,0,0,0,0
0.119886,0,0,0,0,0,0,0,0
0.121311,0,0,0,0,0,0,0,0
0.122719,0,0,0,0,0,0,0,0
0.124133,0,0,0,0,0,0,0,0
0.125684,0,0,0,0,0,0,0,0
0.126861,0,0,0,0,0,0,0,0
0.128037,0,0,0,0,0,0,0,0
0.129214,0,0,0,0,0,0,0,0
0.130522,0,0,0,0,0,0,0,0
0.131818,0,0,0,0,0,0,0,0
0.133178,0,0,0,0,0,0,0,0
0.134498,0,0,0,0,0,0,0,0
0.135854,0,0,0,0,0,0,0,0
0.137146,0,0,0,0,0,0,0,0
