elapsed_s,HLSQ_STALL_CYCLES_UCHE,HLSQ_RESERVED_7,HLSQ_RESERVED_8,HLSQ_RESERVED_9,HLSQ_COMPUTE_DRAWCALLS,HLSQ_FS_DATA_WAIT_PROGRAMMING
0.001185,0,0,0,0,0,0
0.002808,0,0,0,0,0,0
0.004385,0,0,0,0,0,0
0.005868,0,0,0,0,0,0
0.007364,0,0,0,0,0,0
0.008822,0,0,0,0,0,0
0.010359,0,0,0,0,0,0
0.011835,0,0,0,0,0,0
0.013234,0,0,0,0,0,0
0.014645,0,0,0,0,0,0
0.016099,0,0,0,0,0,0
0.017632,0,0,0,0,0,0
0.019050,0,0,0,0,0,0
0.020447,0,0,0,0,0,0
0.021869,0,0,0,0,0,0
0.023270,0,0,0,0,0,0
0.024738,0,0,0,0,0,0
0.026136,0,0,0,0,0,0
0.027614,0,0,0,0,0,0
0.029084,0,0,0,0,0,0
0.030448,0,0,0,0,0,0
0.031912,0,0,0,0,0,0
0.033362,0,0,0,0,0,0
0.034797,0,0,0,0,0,0
0.036216,0,0,0,0,0,0
0.037674,0,0,0,0,0,0
0.039123,0,0,0,0,0,0
0.040602,0,0,0,0,0,0
0.042360,0,0,0,0,0,0
0.043813,0,0,0,0,0,0
0.045186,0,0,0,0,0,0
0.046598,0,0,0,0,0,0
0.048071,0,0,0,0,0,0
0.049463,0,0,0,0,0,0
0.050863,0,0,0,0,0,0
0.052252,0,0,0,0,0,0
0.053690,0,0,0,0,0,0
0.055280,0,0,0,0,0,0
0.056765,0,0,0,0,0,0
0.058626,0,0,0,0,0,0
0.060080,0,0,0,0,0,0
0.061545,0,0,0,0,0,0
0.063022,0,0,0,0,0,0
0.064473,0,0,0,0,0,0
0.065957,0,0,0,0,0,0
0.067370,0,0,0,0,0,0
0.068843,0,0,0,0,0,0
0.070292,0,0,0,0,0,0
0.071703,0,0,0,0,0,0
0.073120,0,0,0,0,0,0
0.074570,0,0,0,0,0,0
0.076125,0,0,0,0,0,0
0.078090,0,0,0,0,0,0
0.080029,0,0,0,0,0,0
0.081487,0,0,0,0,0,0
0.083152,0,0,0,0,0,0
0.084656,0,0,0,0,0,0
0.086160,0,0,0,0,0,0
0.087588,0,0,0,0,0,0
0.089050,0,0,0,0,0,0
0.090541,0,0,0,0,0,0
0.092280,0,0,0,0,0,0
0.093705,0,0,0,0,0,0
0.096805,0,0,0,0,0,0
0.098237,0,0,0,0,0,0
0.101202,0,0,0,0,0,0
0.102587,0,0,0,0,0,0
0.105069,0,0,0,0,0,0
0.106945,0,0,0,0,0,0
0.108513,4,0,0,0,2,264
0.109780,0,0,0,0,14,3318
0.111043,0,0,0,0,14,3504
0.112337,0,0,0,0,2,534
0.113770,0,0,0,0,0,0
0.115245,0,0,0,0,0,0
0.116638,0,0,0,0,0,0
0.118075,0,0,0,0,0,0
0.119496,0,0,0,0,0,0
0.120902,0,0,0,0,0,0
0.122266,0,0,0,0,0,0
0.124070,0,0,0,0,0,0
0.127395,0,0,0,0,0,0
0.128825,0,0,0,0,0,0
0.131550,0,0,0,0,0,0
0.132966,0,0,0,0,0,0
0.134662,0,0,0,0,0,0
0.136105,0,0,0,0,0,0
0.137444,0,0,0,0,0,0
0.138781,0,0,0,0,0,0
0.140112,0,0,0,0,0,0
0.141468,0,0,0,0,0,0
0.142753,0,0,0,0,0,0
0.144032,0,0,0,0,0,0
0.145451,0,0,0,0,0,0
0.146937,0,0,0,0,0,0
0.149288,0,0,0,0,0,0
0.150687,0,0,0,0,0,0
0.152917,0,0,0,0,0,0
0.154343,0,0,0,0,0,0
0.155900,0,0,0,0,0,0
0.157221,0,0,0,0,0,0
0.158617,0,0,0,0,0,0
0.160001,0,0,0,0,0,0
0.161377,0,0,0,0,0,0
0.162841,0,0,0,0,0,0
0.164341,0,0,0,0,0,0
0.165778,0,0,0,0,0,0
0.168256,0,0,0,0,0,0
0.169624,0,0,0,0,0,0
0.172835,0,0,0,0,0,0
0.175645,0,0,0,0,0,0
0.177055,0,0,0,0,0,0
0.179144,0,0,0,0,0,0
0.180583,0,0,0,0,0,0
0.182045,0,0,0,0,0,0
0.183431,0,0,0,0,0,0
0.184805,0,0,0,0,0,0
0.186238,0,0,0,0,0,0
0.187717,0,0,0,0,0,0
0.189158,0,0,0,0,0,0
0.190486,0,0,0,0,0,0
0.192328,0,0,0,0,0,0
0.194399,0,0,0,0,0,0
0.196906,0,0,0,0,0,0
0.198447,0,0,0,0,0,0
0.200047,0,0,0,0,0,0
0.201578,0,0,0,0,0,0
0.203015,0,0,0,0,0,0
0.204615,0,0,0,0,0,0
0.206045,0,0,0,0,0,0
0.207528,0,0,0,0,0,0
0.209042,0,0,0,0,0,0
0.210515,0,0,0,0,0,0
0.211962,0,0,0,0,0,0
0.213633,0,0,0,0,0,0
0.215116,0,0,0,0,0,0
0.216787,0,0,0,0,0,0
0.218177,0,0,0,0,0,0
0.220398,0,0,0,0,0,0
0.221773,0,0,0,0,0,0
0.223170,0,0,0,0,0,0
0.224655,0,0,0,0,0,0
0.226090,0,0,0,0,0,0
0.227546,0,0,0,0,0,0
0.228941,0,0,0,0,0,0
0.230393,0,0,0,0,0,0
0.231746,0,0,0,0,0,0
0.233109,0,0,0,0,0,0
0.234422,0,0,0,0,0,0
0.235839,0,0,0,0,0,0
0.237308,0,0,0,0,0,0
0.240453,0,0,0,0,0,0
0.241911,0,0,0,0,0,0
0.244472,0,0,0,0,0,0
0.246666,0,0,0,0,0,0
0.248173,0,0,0,0,0,0
0.249652,0,0,0,0,0,0
0.251333,0,0,0,0,0,0
0.252794,0,0,0,0,0,0
0.254212,0,0,0,0,0,0
0.255653,0,0,0,0,0,0
0.257075,0,0,0,0,0,0
0.258498,0,0,0,0,0,0
0.259940,0,0,0,0,0,0
0.261438,0,0,0,0,0,0
0.263395,0,0,0,0,0,0
0.266742,0,0,0,0,0,0
0.268220,0,0,0,0,0,0
0.271229,0,0,0,0,0,0
0.272647,0,0,0,0,0,0
0.275411,0,0,0,0,0,0
0.276904,0,0,0,0,0,0
0.278558,0,0,0,0,0,0
0.280001,0,0,0,0,0,0
0.281437,0,0,0,0,0,0
0.282858,0,0,0,0,0,0
0.284276,0,0,0,0,0,0
0.285735,0,0,0,0,0,0
0.287137,0,0,0,0,0,0
0.288708,0,0,0,0,0,0
0.290130,0,0,0,0,0,0
0.293052,0,0,0,0,0,0
0.295261,0,0,0,0,0,0
0.296725,0,0,0,0,0,0
0.298128,0,0,0,0,0,0
0.300325,0,0,0,0,0,0
0.301815,0,0,0,0,0,0
0.303940,0,0,0,0,0,0
0.305439,0,0,0,0,0,0
0.306938,0,0,0,0,0,0
0.308394,0,0,0,0,0,0
0.309941,0,0,0,0,0,0
0.311742,0,0,0,0,0,0
0.313214,0,0,0,0,0,0
0.314696,0,0,0,0,0,0
0.319113,0,0,0,0,0,0
0.320749,0,0,0,0,0,0
0.323635,0,0,0,0,0,0
0.325045,0,0,0,0,0,0
0.327018,0,0,0,0,0,0
0.328428,0,0,0,0,0,0
0.329848,0,0,0,0,0,0
0.331244,0,0,0,0,0,0
0.332676,0,0,0,0,0,0
0.334099,0,0,0,0,0,0
0.335519,0,0,0,0,0,0
0.336986,0,0,0,0,0,0
0.338443,0,0,0,0,0,0
0.339906,0,0,0,0,0,0
0.342609,0,0,0,0,0,0
0.346024,0,0,0,0,0,0
0.348628,0,0,0,0,0,0
0.350103,0,0,0,0,0,0
0.351970,0,0,0,0,0,0
0.353428,0,0,0,0,0,0
0.354862,0,0,0,0,0,0
0.356291,0,0,0,0,0,0
0.357696,0,0,0,0,0,0
0.359110,0,0,0,0,0,0
0.360639,0,0,0,0,0,0
0.362052,0,0,0,0,0,0
0.363479,0,0,0,0,0,0
0.364939,0,0,0,0,0,0
0.366428,0,0,0,0,0,0
0.368971,0,0,0,0,0,0
0.370429,0,0,0,0,0,0
0.373515,0,0,0,0,0,0
0.375838,0,0,0,0,0,0
0.377403,0,0,0,0,0,0
0.378906,0,0,0,0,0,0
0.381192,0,0,0,0,0,0
0.382763,0,0,0,0,0,0
0.384270,0,0,0,0,0,0
0.385756,0,0,0,0,0,0
0.387235,0,0,0,0,0,0
0.388758,0,0,0,0,0,0
0.390176,0,0,0,0,0,0
0.391547,0,0,0,0,0,0
0.393198,0,0,0,0,0,0
0.394664,0,0,0,0,0,0
0.398137,0,0,0,0,0,0
0.401336,0,0,0,0,0,0
0.402773,0,0,0,0,0,0
0.404730,0,0,0,0,0,0
0.406124,0,0,0,0,0,0
0.407952,0,0,0,0,0,0
0.409387,0,0,0,0,0,0
0.410880,0,0,0,0,0,0
0.412390,0,0,0,0,0,0
0.413971,0,0,0,0,0,0
0.415591,0,0,0,0,0,0
0.417232,0,0,0,0,0,0
0.418679,0,0,0,0,0,0
0.420178,0,0,0,0,0,0
0.421680,0,0,0,0,0,0
0.423139,0,0,0,0,0,0
0.424758,0,0,0,0,0,0
0.427049,0,0,0,0,0,0
0.428453,0,0,0,0,0,0
0.431115,0,0,0,0,0,0
0.433217,0,0,0,0,0,0
0.434727,0,0,0,0,0,0
0.436190,0,0,0,0,0,0
0.437584,0,0,0,0,0,0
0.439130,0,0,0,0,0,0
0.440652,0,0,0,0,0,0
0.442031,0,0,0,0,0,0
0.443488,0,0,0,0,0,0
0.445667,0,0,0,0,0,0
0.448659,0,0,0,0,0,0
0.450195,0,0,0,0,0,0
0.452852,0,0,0,0,0,0
0.454425,0,0,0,0,0,0
0.457110,0,0,0,0,0,0
0.458581,0,0,0,0,0,0
0.460075,0,0,0,0,0,0
0.461576,0,0,0,0,0,0
0.463038,0,0,0,0,0,0
0.464528,0,0,0,0,0,0
0.465990,0,0,0,0,0,0
0.467430,0,0,0,0,0,0
0.468908,0,0,0,0,0,0
0.470457,0,0,0,0,0,0
0.472472,0,0,0,0,0,0
0.473973,0,0,0,0,0,0
0.477192,0,0,0,0,0,0
0.478916,0,0,0,0,0,0
0.481378,0,0,0,0,0,0
0.485190,0,0,0,0,0,0
0.486942,0,0,0,0,0,0
0.488913,0,0,0,0,0,0
