elapsed_s,TSE_SETUP_FDP3_2_WORKING_CYCLE_L3,TSE_SETUP_FDP3_3_WORKING_CYCLE_L3,TSE_SETUP_FDP3_4_WORKING_CYCLE_L3,TSE_SETUP_FDP3_5_WORKING_CYCLE_L3
0.001215,0,0,0,0
0.002859,0,0,0,0
0.004399,0,0,0,0
0.006166,0,0,0,0
0.007900,0,0,0,0
0.009475,0,0,0,0
0.010967,0,0,0,0
0.012615,0,0,0,0
0.014178,0,0,0,0
0.015704,0,0,0,0
0.017245,0,0,0,0
0.018891,0,0,0,0
0.020609,0,0,0,0
0.022145,0,0,0,0
0.023831,0,0,0,0
0.025226,0,0,0,0
0.026817,0,0,0,0
0.028330,0,0,0,0
0.029884,0,0,0,0
0.031376,0,0,0,0
0.032816,0,0,0,0
0.034236,0,0,0,0
0.035736,0,0,0,0
0.037162,0,0,0,0
0.038586,0,0,0,0
0.040011,0,0,0,0
0.041436,0,0,0,0
0.042919,0,0,0,0
0.044357,0,0,0,0
0.045808,0,0,0,0
0.047280,0,0,0,0
0.048712,0,0,0,0
0.050131,0,0,0,0
0.051606,0,0,0,0
0.053026,0,0,0,0
0.054471,0,0,0,0
0.055912,0,0,0,0
0.057331,0,0,0,0
0.058798,0,0,0,0
0.060218,0,0,0,0
0.061647,0,0,0,0
0.063121,0,0,0,0
0.064539,0,0,0,0
0.065958,0,0,0,0
0.067464,0,0,0,0
0.068895,0,0,0,0
0.070343,0,0,0,0
0.071784,0,0,0,0
0.073333,0,0,0,0
0.074816,0,0,0,0
0.076244,0,0,0,0
0.077670,0,0,0,0
0.079058,0,0,0,0
0.080599,0,0,0,0
0.082119,0,0,0,0
0.083695,0,0,0,0
0.085206,0,0,0,0
0.086720,0,0,0,0
0.088218,0,0,0,0
0.089712,0,0,0,0
0.091236,0,0,0,0
0.092752,0,0,0,0
0.094383,273,273,273,273
0.096093,0,0,0,0
0.097593,0,0,0,0
0.099140,0,0,0,0
0.100636,0,0,0,0
0.102174,0,0,0,0
0.103792,0,0,0,0
0.105218,0,0,0,0
0.106633,0,0,0,0
0.108054,0,0,0,0
0.109472,0,0,0,0
0.110853,0,0,0,0
0.112274,0,0,0,0
0.113693,0,0,0,0
0.115169,0,0,0,0
0.116592,0,0,0,0
0.118042,0,0,0,0
0.119469,0,0,0,0
0.120974,0,0,0,0
0.122469,435,435,435,435
0.124901,756,819,819,819
0.126065,819,756,756,756
0.127223,483,483,483,483
0.128587,0,0,0,0
0.129912,0,0,0,0
0.131228,0,0,0,0
0.132544,0,0,0,0
0.133895,0,0,0,0
0.135260,0,0,0,0
0.136623,0,0,0,0
0.137985,0,0,0,0
0.139405,0,0,0,0
0.140845,0,0,0,0
0.142239,0,0,0,0
0.143598,0,0,0,0
0.144957,0,0,0,0
0.146315,0,0,0,0
0.147737,0,0,0,0
0.149097,0,0,0,0
0.150490,0,0,0,0
0.151844,0,0,0,0
0.153196,0,0,0,0
0.154550,0,0,0,0
0.155917,0,0,0,0
0.157272,0,0,0,0
0.158757,0,0,0,0
0.160149,0,0,0,0
0.161524,0,0,0,0
0.162894,0,0,0,0
0.164261,0,0,0,0
0.165630,0,0,0,0
0.167349,0,0,0,0
0.168842,0,0,0,0
0.170308,0,0,0,0
0.171789,0,0,0,0
0.173245,0,0,0,0
0.174762,0,0,0,0
0.176284,0,0,0,0
0.177804,0,0,0,0
0.179263,0,0,0,0
0.180965,0,0,0,0
0.182507,0,0,0,0
0.183924,0,0,0,0
0.185389,0,0,0,0
0.186859,0,0,0,0
0.188325,0,0,0,0
0.189844,0,0,0,0
0.191316,0,0,0,0
0.192971,0,0,0,0
0.194787,0,0,0,0
0.196378,0,0,0,0
0.198101,0,0,0,0
0.199571,0,0,0,0
0.201036,0,0,0,0
0.202517,0,0,0,0
0.204012,0,0,0,0
0.205483,0,0,0,0
0.207207,0,0,0,0
0.208917,0,0,0,0
0.210629,0,0,0,0
0.212340,0,0,0,0
0.214113,0,0,0,0
0.215757,0,0,0,0
0.217421,0,0,0,0
0.219135,0,0,0,0
0.220845,0,0,0,0
0.222625,0,0,0,0
0.224337,0,0,0,0
0.226064,0,0,0,0
0.227773,0,0,0,0
0.229485,0,0,0,0
0.231267,0,0,0,0
0.232978,0,0,0,0
0.234689,0,0,0,0
0.236419,0,0,0,0
0.238189,0,0,0,0
0.240032,0,0,0,0
0.241741,0,0,0,0
0.243451,0,0,0,0
0.245162,0,0,0,0
0.246712,0,0,0,0
0.248382,0,0,0,0
0.250090,0,0,0,0
0.251798,0,0,0,0
0.253492,0,0,0,0
0.255231,0,0,0,0
0.257052,0,0,0,0
0.258763,0,0,0,0
0.260691,0,0,0,0
0.262461,0,0,0,0
0.264176,0,0,0,0
0.265882,0,0,0,0
0.267611,0,0,0,0
0.269320,0,0,0,0
0.271031,0,0,0,0
0.272742,0,0,0,0
0.274448,0,0,0,0
0.276164,0,0,0,0
0.277956,0,0,0,0
0.279665,0,0,0,0
0.281376,0,0,0,0
0.283285,0,0,0,0
0.285001,0,0,0,0
0.286714,0,0,0,0
0.288259,0,0,0,0
0.289924,0,0,0,0
0.291636,0,0,0,0
0.293346,0,0,0,0
0.295057,0,0,0,0
0.296768,0,0,0,0
0.298497,0,0,0,0
0.300089,0,0,0,0
0.301566,0,0,0,0
0.303105,0,0,0,0
0.304577,0,0,0,0
0.306045,0,0,0,0
0.307515,0,0,0,0
0.309189,0,0,0,0
0.310905,0,0,0,0
0.312601,0,0,0,0
0.314293,0,0,0,0
0.315898,0,0,0,0
0.317374,0,0,0,0
0.319164,0,0,0,0
0.320879,0,0,0,0
0.322690,0,0,0,0
0.324432,0,0,0,0
0.326205,0,0,0,0
0.327992,0,0,0,0
0.329699,0,0,0,0
0.331237,0,0,0,0
0.332906,0,0,0,0
0.334620,0,0,0,0
0.336331,0,0,0,0
0.338038,0,0,0,0
0.339749,0,0,0,0
0.341489,0,0,0,0
0.343208,0,0,0,0
0.344920,0,0,0,0
0.346631,0,0,0,0
0.348343,0,0,0,0
0.350113,0,0,0,0
0.351789,0,0,0,0
0.353295,0,0,0,0
0.354772,0,0,0,0
0.356240,0,0,0,0
0.357769,0,0,0,0
0.359241,0,0,0,0
0.360707,0,0,0,0
0.362378,0,0,0,0
0.363892,0,0,0,0
0.365369,0,0,0,0
0.367025,0,0,0,0
0.368735,0,0,0,0
0.370440,0,0,0,0
0.372146,0,0,0,0
0.373676,0,0,0,0
0.375373,0,0,0,0
0.376936,0,0,0,0
0.378693,0,0,0,0
0.380457,0,0,0,0
0.382044,0,0,0,0
0.383720,0,0,0,0
0.385447,0,0,0,0
0.387155,0,0,0,0
0.388864,0,0,0,0
0.390638,0,0,0,0
0.392424,0,0,0,0
0.393919,0,0,0,0
0.395409,0,0,0,0
0.397057,0,0,0,0
0.398947,0,0,0,0
0.400477,0,0,0,0
0.401952,0,0,0,0
0.403418,0,0,0,0
0.404880,0,0,0,0
0.406413,0,0,0,0
0.407863,0,0,0,0
0.409517,0,0,0,0
0.411226,0,0,0,0
0.412934,0,0,0,0
0.414644,0,0,0,0
0.416349,0,0,0,0
0.417891,0,0,0,0
0.419566,0,0,0,0
0.421277,0,0,0,0
0.422990,0,0,0,0
0.424699,0,0,0,0
0.426407,0,0,0,0
0.427953,0,0,0,0
0.429606,0,0,0,0
0.431182,0,0,0,0
0.432833,0,0,0,0
0.434527,0,0,0,0
0.436179,0,0,0,0
0.437654,0,0,0,0
0.439481,0,0,0,0
0.441206,0,0,0,0
0.442915,0,0,0,0
0.444620,0,0,0,0
0.446390,0,0,0,0
0.448103,0,0,0,0
0.449822,0,0,0,0
0.451343,0,0,0,0
0.453015,0,0,0,0
0.454538,0,0,0,0
0.456264,0,0,0,0
0.457971,0,0,0,0
0.459680,0,0,0,0
0.461219,0,0,0,0
0.462952,0,0,0,0
0.464658,0,0,0,0
0.466183,0,0,0,0
0.467945,0,0,0,0
0.469655,0,0,0,0
0.471171,0,0,0,0
0.472857,0,0,0,0
0.474696,0,0,0,0
0.476255,0,0,0,0
0.477792,0,0,0,0
0.479456,0,0,0,0
0.481167,0,0,0,0
0.482898,0,0,0,0
0.484609,0,0,0,0
0.486380,0,0,0,0
0.487895,0,0,0,0
0.489371,0,0,0,0
0.491036,0,0,0,0
0.492731,0,0,0,0
0.494504,0,0,0,0
0.496076,0,0,0,0
0.497895,0,0,0,0
0.499414,0,0,0,0
0.501078,0,0,0,0
0.502789,0,0,0,0
0.504330,0,0,0,0
0.505995,0,0,0,0
0.507705,0,0,0,0
0.509413,0,0,0,0
0.511191,0,0,0,0
0.512900,0,0,0,0
0.514631,0,0,0,0
0.516340,0,0,0,0
0.518112,0,0,0,0
0.519815,0,0,0,0
0.521520,0,0,0,0
0.523229,0,0,0,0
0.524958,0,0,0,0
0.526671,0,0,0,0
0.528379,0,0,0,0
0.530083,0,0,0,0
0.531790,0,0,0,0
0.533501,0,0,0,0
0.535234,0,0,0,0
0.536943,0,0,0,0
0.538654,0,0,0,0
0.540366,0,0,0,0
0.541952,0,0,0,0
0.543423,0,0,0,0
0.544891,0,0,0,0
0.546371,0,0,0,0
0.547837,0,0,0,0
0.549299,0,0,0,0
0.550755,0,0,0,0
0.552184,0,0,0,0
0.553604,0,0,0,0
0.555023,0,0,0,0
0.556579,0,0,0,0
0.558055,0,0,0,0
0.559583,0,0,0,0
0.561050,0,0,0,0
0.562516,0,0,0,0
0.563983,0,0,0,0
0.565483,0,0,0,0
0.567022,0,0,0,0
0.568675,0,0,0,0
0.570195,0,0,0,0
0.572390,0,0,0,0
0.574152,0,0,0,0
0.576067,0,0,0,0
0.577608,0,0,0,0
0.579275,0,0,0,0
0.580979,0,0,0,0
0.582502,0,0,0,0
0.584210,0,0,0,0
0.585696,0,0,0,0
0.587213,0,0,0,0
0.588763,0,0,0,0
0.590462,0,0,0,0
0.592064,0,0,0,0
0.593600,0,0,0,0
0.595998,0,0,0,0
0.598731,0,0,0,0
0.600324,0,0,0,0
0.601861,0,0,0,0
0.603402,0,0,0,0
0.604939,0,0,0,0
0.606543,0,0,0,0
0.608098,0,0,0,0
0.609822,0,0,0,0
0.611515,0,0,0,0
0.613143,0,0,0,0
0.614944,0,0,0,0
0.616872,0,0,0,0
0.618476,0,0,0,0
0.620012,0,0,0,0
0.621561,0,0,0,0
0.623164,0,0,0,0
0.624739,0,0,0,0
0.626327,0,0,0,0
0.627804,0,0,0,0
0.629279,0,0,0,0
0.630811,0,0,0,0
0.632306,0,0,0,0
0.633780,0,0,0,0
0.635460,0,0,0,0
0.637169,0,0,0,0
0.638947,0,0,0,0
0.640649,0,0,0,0
0.642353,0,0,0,0
0.643972,0,0,0,0
0.645638,0,0,0,0
0.647477,0,0,0,0
0.649730,0,0,0,0
0.651315,0,0,0,0
0.652926,0,0,0,0
0.654578,0,0,0,0
0.656185,0,0,0,0
0.657733,0,0,0,0
0.659395,0,0,0,0
0.660949,0,0,0,0
0.662709,0,0,0,0
0.664192,0,0,0,0
0.665665,0,0,0,0
0.667130,0,0,0,0
0.668583,0,0,0,0
0.670111,0,0,0,0
0.671535,0,0,0,0
0.673081,0,0,0,0
0.674493,0,0,0,0
0.675887,0,0,0,0
0.677319,0,0,0,0
0.678779,0,0,0,0
0.680172,0,0,0,0
0.681563,0,0,0,0
0.683094,0,0,0,0
0.684495,0,0,0,0
0.685934,0,0,0,0
0.687317,0,0,0,0
0.688700,0,0,0,0
0.690077,0,0,0,0
0.691453,0,0,0,0
0.692839,0,0,0,0
0.694341,0,0,0,0
0.695976,0,0,0,0
0.697988,0,0,0,0
0.699861,0,0,0,0
0.701819,0,0,0,0
0.703485,0,0,0,0
0.705023,0,0,0,0
0.706774,0,0,0,0
0.708910,0,0,0,0
0.710547,0,0,0,0
0.712379,0,0,0,0
0.713908,0,0,0,0
0.715417,0,0,0,0
0.717360,0,0,0,0
0.719029,0,0,0,0
0.720686,0,0,0,0
0.722188,0,0,0,0
0.723925,0,0,0,0
0.725502,0,0,0,0
0.727077,0,0,0,0
0.728537,0,0,0,0
0.729995,0,0,0,0
0.731453,0,0,0,0
0.732913,0,0,0,0
0.734733,0,0,0,0
0.736427,0,0,0,0
0.738139,0,0,0,0
0.739951,0,0,0,0
0.741421,0,0,0,0
0.742949,0,0,0,0
0.744420,0,0,0,0
0.745889,0,0,0,0
0.747362,0,0,0,0
0.748853,0,0,0,0
0.750677,0,0,0,0
0.752452,0,0,0,0
0.754225,0,0,0,0
0.756017,0,0,0,0
0.757556,0,0,0,0
0.759395,0,0,0,0
0.761204,0,0,0,0
0.762791,0,0,0,0
0.764535,0,0,0,0
0.766399,0,0,0,0
0.768194,0,0,0,0
0.770070,0,0,0,0
0.771654,0,0,0,0
0.773399,0,0,0,0
0.775270,0,0,0,0
0.777056,0,0,0,0
0.778848,0,0,0,0
0.780610,0,0,0,0
0.782477,0,0,0,0
0.784066,0,0,0,0
0.785824,0,0,0,0
0.787613,0,0,0,0
0.789400,0,0,0,0
0.791290,0,0,0,0
0.793076,0,0,0,0
0.795319,0,0,0,0
0.797129,0,0,0,0
0.798779,0,0,0,0
0.800378,0,0,0,0
0.801922,0,0,0,0
0.803450,0,0,0,0
0.805176,0,0,0,0
0.806877,0,0,0,0
0.808628,0,0,0,0
0.810417,0,0,0,0
0.812028,0,0,0,0
0.813840,0,0,0,0
0.815421,0,0,0,0
0.816949,0,0,0,0
0.818688,0,0,0,0
0.820369,0,0,0,0
0.822319,0,0,0,0
0.824137,0,0,0,0
0.825927,0,0,0,0
0.827716,0,0,0,0
0.829507,0,0,0,0
0.831026,0,0,0,0
0.832775,0,0,0,0
0.834380,0,0,0,0
0.835951,0,0,0,0
0.837485,0,0,0,0
0.839307,0,0,0,0
0.841096,0,0,0,0
0.842888,0,0,0,0
0.844500,0,0,0,0
0.846324,0,0,0,0
0.848116,0,0,0,0
0.849904,0,0,0,0
0.851693,0,0,0,0
0.853411,0,0,0,0
0.855816,0,0,0,0
0.857363,0,0,0,0
0.858891,0,0,0,0
0.860418,0,0,0,0
0.862012,0,0,0,0
0.863543,0,0,0,0
0.865094,0,0,0,0
0.866633,0,0,0,0
0.868168,0,0,0,0
0.869769,0,0,0,0
0.871306,0,0,0,0
0.872832,0,0,0,0
0.874555,0,0,0,0
0.877152,0,0,0,0
0.878695,0,0,0,0
0.880170,0,0,0,0
0.881638,0,0,0,0
0.883107,0,0,0,0
0.884575,0,0,0,0
0.886092,0,0,0,0
0.887760,0,0,0,0
0.889466,0,0,0,0
0.891175,0,0,0,0
0.892883,0,0,0,0
0.894656,0,0,0,0
0.896364,0,0,0,0
0.898089,0,0,0,0
0.899795,0,0,0,0
0.901503,0,0,0,0
0.903218,0,0,0,0
0.904925,0,0,0,0
0.906634,0,0,0,0
0.908181,0,0,0,0
0.910004,0,0,0,0
0.911792,0,0,0,0
0.913578,0,0,0,0
0.915368,0,0,0,0
0.917155,0,0,0,0
0.918764,0,0,0,0
0.920511,0,0,0,0
0.922295,0,0,0,0
0.923893,0,0,0,0
0.925643,0,0,0,0
0.927445,0,0,0,0
0.929054,0,0,0,0
0.930805,0,0,0,0
0.932580,0,0,0,0
0.934430,0,0,0,0
0.936092,0,0,0,0
0.937836,0,0,0,0
0.939569,0,0,0,0
0.941337,0,0,0,0
0.942919,0,0,0,0
0.944663,0,0,0,0
0.946450,0,0,0,0
0.948246,0,0,0,0
0.950129,0,0,0,0
0.952066,0,0,0,0
0.953854,0,0,0,0
0.955641,0,0,0,0
0.957429,0,0,0,0
0.959300,0,0,0,0
0.960909,0,0,0,0
0.962660,0,0,0,0
0.964450,0,0,0,0
0.966315,0,0,0,0
0.968108,0,0,0,0
0.969891,0,0,0,0
0.971494,0,0,0,0
0.973242,0,0,0,0
0.975033,0,0,0,0
0.976825,0,0,0,0
0.978615,0,0,0,0
0.980405,0,0,0,0
0.982288,0,0,0,0
0.984011,0,0,0,0
0.985767,0,0,0,0
0.987558,0,0,0,0
0.989343,0,0,0,0
0.991105,0,0,0,0
0.992818,0,0,0,0
0.994472,0,0,0,0
0.996024,0,0,0,0
0.997468,0,0,0,0
0.999277,0,0,0,0
1.000964,0,0,0,0
1.002728,0,0,0,0
1.004338,0,0,0,0
1.006164,0,0,0,0
1.008095,0,0,0,0
1.009676,0,0,0,0
1.011530,0,0,0,0
1.013159,0,0,0,0
1.014704,0,0,0,0
1.016245,0,0,0,0
1.017782,0,0,0,0
1.019321,0,0,0,0
1.020849,0,0,0,0
1.022447,0,0,0,0
1.024190,0,0,0,0
1.026000,0,0,0,0
1.027792,0,0,0,0
1.029583,0,0,0,0
1.031099,0,0,0,0
1.032850,0,0,0,0
1.034413,0,0,0,0
1.036502,0,0,0,0
1.038104,0,0,0,0
1.039648,0,0,0,0
1.041173,0,0,0,0
1.042770,0,0,0,0
1.044295,0,0,0,0
1.045893,0,0,0,0
1.047413,0,0,0,0
1.048934,0,0,0,0
1.050455,0,0,0,0
1.051986,0,0,0,0
1.053710,0,0,0,0
1.055307,0,0,0,0
1.056905,0,0,0,0
1.058427,0,0,0,0
1.061077,0,0,0,0
1.063090,0,0,0,0
1.064710,0,0,0,0
1.066248,0,0,0,0
1.067975,0,0,0,0
1.069599,0,0,0,0
1.071210,0,0,0,0
1.072747,0,0,0,0
1.074280,0,0,0,0
1.075820,0,0,0,0
1.077353,0,0,0,0
1.078888,0,0,0,0
1.080643,0,0,0,0
1.082432,0,0,0,0
