elapsed_s,TSE_EDGE_SETUP_IMUL_WORKING_CYCLE_L2,TSE_RAS_INTF_WORKING_CYCLE_L1,TSE_LRZ_Z_INTF_WORKING_CYCLE_L1,TSE_LRZ_BARY_INTF_WORKING_CYCLE_L1
0.001226,0,0,0,0
0.002910,0,0,0,0
0.004451,0,0,0,0
0.005985,0,0,0,0
0.007898,0,0,0,0
0.009481,0,0,0,0
0.010988,0,0,0,0
0.012529,0,0,0,0
0.014023,0,0,0,0
0.015516,0,0,0,0
0.016992,0,0,0,0
0.018495,0,0,0,0
0.019908,0,0,0,0
0.021395,0,0,0,0
0.022885,0,0,0,0
0.024374,0,0,0,0
0.025895,0,0,0,0
0.027364,0,0,0,0
0.028832,0,0,0,0
0.030312,0,0,0,0
0.031829,0,0,0,0
0.033303,0,0,0,0
0.034784,0,0,0,0
0.036252,0,0,0,0
0.037721,0,0,0,0
0.039188,0,0,0,0
0.040585,0,0,0,0
0.042052,0,0,0,0
0.043520,0,0,0,0
0.044944,0,0,0,0
0.046364,0,0,0,0
0.047858,0,0,0,0
0.049283,0,0,0,0
0.050740,0,0,0,0
0.052159,0,0,0,0
0.053578,0,0,0,0
0.055048,0,0,0,0
0.056466,0,0,0,0
0.057886,0,0,0,0
0.059378,0,0,0,0
0.060982,0,0,0,0
0.062454,0,0,0,0
0.063937,0,0,0,0
0.066019,0,0,0,0
0.067561,0,0,0,0
0.069046,0,0,0,0
0.070593,0,0,0,0
0.072226,0,0,0,0
0.073770,0,0,0,0
0.075237,0,0,0,0
0.076780,0,0,0,0
0.078440,0,0,0,0
0.080423,0,0,0,0
0.081960,0,0,0,0
0.083471,0,0,0,0
0.084976,0,0,0,0
0.086474,0,0,0,0
0.087968,0,0,0,0
0.089469,0,0,0,0
0.091123,0,0,0,0
0.092759,0,0,0,0
0.094431,0,0,0,0
0.096056,24,0,0,681
0.098068,0,0,0,0
0.099559,0,0,0,0
0.101052,0,0,0,0
0.102545,0,0,0,0
0.104002,0,0,0,0
0.105443,0,0,0,0
0.106873,0,0,0,0
0.108550,0,0,0,0
0.110006,0,0,0,0
0.111440,0,0,0,0
0.112864,0,0,0,0
0.114320,0,0,0,0
0.116036,0,0,0,0
0.117514,0,0,0,0
0.118996,0,0,0,0
0.120628,0,0,0,0
0.122304,0,0,0,0
0.124088,24,0,0,1770
0.125384,282,0,0,5616
0.126535,252,0,0,5616
0.127726,198,0,0,4383
0.129219,0,0,0,0
0.130863,0,0,0,0
0.132524,0,0,0,0
0.133985,0,0,0,0
0.135447,0,0,0,0
0.136907,0,0,0,0
0.138434,0,0,0,0
0.139972,0,0,0,0
0.141432,0,0,0,0
0.142959,0,0,0,0
0.144421,0,0,0,0
0.146299,0,0,0,0
0.147764,0,0,0,0
0.149227,0,0,0,0
0.150703,0,0,0,0
0.154841,0,0,0,0
0.156389,0,0,0,0
0.157926,0,0,0,0
0.159387,0,0,0,0
0.160822,0,0,0,0
0.162307,0,0,0,0
0.163688,0,0,0,0
0.165072,0,0,0,0
0.166455,0,0,0,0
0.167969,0,0,0,0
0.169385,0,0,0,0
0.171277,0,0,0,0
0.172708,0,0,0,0
0.174164,0,0,0,0
0.175621,0,0,0,0
0.177075,0,0,0,0
0.178583,0,0,0,0
0.179999,0,0,0,0
0.181470,0,0,0,0
0.182902,0,0,0,0
0.184360,0,0,0,0
0.185815,0,0,0,0
0.187276,0,0,0,0
0.188748,0,0,0,0
0.190216,0,0,0,0
0.191699,0,0,0,0
0.193167,0,0,0,0
0.194694,0,0,0,0
0.196191,0,0,0,0
0.197657,0,0,0,0
0.199320,0,0,0,0
0.201032,0,0,0,0
0.202571,0,0,0,0
0.204244,0,0,0,0
0.205949,0,0,0,0
0.207656,0,0,0,0
0.209364,0,0,0,0
0.211076,0,0,0,0
0.212609,0,0,0,0
0.214259,0,0,0,0
0.215861,0,0,0,0
0.217327,0,0,0,0
0.218999,0,0,0,0
0.220600,0,0,0,0
0.222078,0,0,0,0
0.223569,0,0,0,0
0.225031,0,0,0,0
0.226551,0,0,0,0
0.228267,0,0,0,0
0.229921,0,0,0,0
0.231628,0,0,0,0
0.233333,0,0,0,0
0.235058,0,0,0,0
0.236763,0,0,0,0
0.238465,0,0,0,0
0.240178,0,0,0,0
0.241945,0,0,0,0
0.243652,0,0,0,0
0.245192,0,0,0,0
0.246860,0,0,0,0
0.248565,0,0,0,0
0.250333,0,0,0,0
0.252170,0,0,0,0
0.253873,0,0,0,0
0.255596,0,0,0,0
0.257301,0,0,0,0
0.259010,0,0,0,0
0.260534,0,0,0,0
0.262202,0,0,0,0
0.263909,0,0,0,0
0.265453,0,0,0,0
0.267124,0,0,0,0
0.268848,0,0,0,0
0.270433,0,0,0,0
0.271918,0,0,0,0
0.273377,0,0,0,0
0.274983,0,0,0,0
0.276772,0,0,0,0
0.278244,0,0,0,0
0.279706,0,0,0,0
0.281175,0,0,0,0
0.282694,0,0,0,0
0.284157,0,0,0,0
0.285810,0,0,0,0
0.287349,0,0,0,0
0.289014,0,0,0,0
0.290533,0,0,0,0
0.292234,0,0,0,0
0.294103,0,0,0,0
0.295813,0,0,0,0
0.297536,0,0,0,0
0.299311,0,0,0,0
0.301016,0,0,0,0
0.302819,0,0,0,0
0.304560,0,0,0,0
0.306328,0,0,0,0
0.308137,0,0,0,0
0.309827,0,0,0,0
0.311499,0,0,0,0
0.313203,0,0,0,0
0.314912,0,0,0,0
0.316618,0,0,0,0
0.318339,0,0,0,0
0.319988,0,0,0,0
0.321647,0,0,0,0
0.323177,0,0,0,0
0.324854,0,0,0,0
0.326560,0,0,0,0
0.328261,0,0,0,0
0.329791,0,0,0,0
0.331322,0,0,0,0
0.332968,0,0,0,0
0.334656,0,0,0,0
0.336163,0,0,0,0
0.337771,0,0,0,0
0.339385,0,0,0,0
0.341100,0,0,0,0
0.342808,0,0,0,0
0.344515,0,0,0,0
0.346286,0,0,0,0
0.348084,0,0,0,0
0.349789,0,0,0,0
0.351514,0,0,0,0
0.353221,0,0,0,0
0.354943,0,0,0,0
0.356665,0,0,0,0
0.358368,0,0,0,0
0.359976,0,0,0,0
0.361651,0,0,0,0
0.363366,0,0,0,0
0.365074,0,0,0,0
0.366782,0,0,0,0
0.368490,0,0,0,0
0.370258,0,0,0,0
0.371797,0,0,0,0
0.373465,0,0,0,0
0.375175,0,0,0,0
0.376882,0,0,0,0
0.378649,0,0,0,0
0.380214,0,0,0,0
0.381689,0,0,0,0
0.383442,0,0,0,0
0.385149,0,0,0,0
0.386859,0,0,0,0
0.388567,0,0,0,0
0.390270,0,0,0,0
0.391782,0,0,0,0
0.393450,0,0,0,0
0.394940,0,0,0,0
0.396555,0,0,0,0
0.398214,0,0,0,0
0.399731,0,0,0,0
0.401396,0,0,0,0
0.403108,0,0,0,0
0.404650,0,0,0,0
0.406167,0,0,0,0
0.407876,0,0,0,0
0.409569,0,0,0,0
0.411148,0,0,0,0
0.412811,0,0,0,0
0.414514,0,0,0,0
0.415993,0,0,0,0
0.417463,0,0,0,0
0.418931,0,0,0,0
0.420543,0,0,0,0
0.422191,0,0,0,0
0.423707,0,0,0,0
0.425373,0,0,0,0
0.426924,0,0,0,0
0.428674,0,0,0,0
0.430460,0,0,0,0
0.432248,0,0,0,0
0.434096,0,0,0,0
0.435678,0,0,0,0
0.437241,0,0,0,0
0.438986,0,0,0,0
0.440775,0,0,0,0
0.442640,0,0,0,0
0.444243,0,0,0,0
0.445988,0,0,0,0
0.447598,0,0,0,0
0.449347,0,0,0,0
0.451138,0,0,0,0
0.452914,0,0,0,0
0.454685,0,0,0,0
0.456399,0,0,0,0
0.458033,0,0,0,0
0.459879,0,0,0,0
0.461666,0,0,0,0
0.463257,0,0,0,0
0.465005,0,0,0,0
0.466798,0,0,0,0
0.468410,0,0,0,0
0.470157,0,0,0,0
0.471945,0,0,0,0
0.473720,0,0,0,0
0.475229,0,0,0,0
0.476973,0,0,0,0
0.478577,0,0,0,0
0.480330,0,0,0,0
0.482189,0,0,0,0
0.483965,0,0,0,0
0.485727,0,0,0,0
0.487426,0,0,0,0
0.489074,0,0,0,0
0.490625,0,0,0,0
0.492370,0,0,0,0
0.494152,0,0,0,0
0.495936,0,0,0,0
0.497723,0,0,0,0
0.499263,0,0,0,0
0.500806,0,0,0,0
0.502337,0,0,0,0
0.503984,0,0,0,0
0.505515,0,0,0,0
0.507054,0,0,0,0
0.508535,0,0,0,0
0.510026,0,0,0,0
0.511508,0,0,0,0
0.512991,0,0,0,0
0.514544,0,0,0,0
0.516234,0,0,0,0
0.517947,0,0,0,0
0.519616,0,0,0,0
0.521413,0,0,0,0
0.523218,0,0,0,0
0.525013,0,0,0,0
0.526567,0,0,0,0
0.528313,0,0,0,0
0.530177,0,0,0,0
0.532190,0,0,0,0
0.533863,0,0,0,0
0.535573,0,0,0,0
0.537269,0,0,0,0
0.539251,0,0,0,0
0.540742,0,0,0,0
0.542229,0,0,0,0
0.543907,0,0,0,0
0.545405,0,0,0,0
0.546994,0,0,0,0
0.548464,0,0,0,0
0.550115,0,0,0,0
0.551642,0,0,0,0
0.553350,0,0,0,0
0.555063,0,0,0,0
0.556772,0,0,0,0
0.558478,0,0,0,0
0.560193,0,0,0,0
0.561965,0,0,0,0
0.563507,0,0,0,0
0.565177,0,0,0,0
0.566887,0,0,0,0
0.568596,0,0,0,0
0.570151,0,0,0,0
0.571637,0,0,0,0
0.573288,0,0,0,0
0.574998,0,0,0,0
0.576899,0,0,0,0
0.578445,0,0,0,0
0.580045,0,0,0,0
0.581533,0,0,0,0
0.583007,0,0,0,0
0.584477,0,0,0,0
0.587337,0,0,0,0
0.589096,0,0,0,0
0.590632,0,0,0,0
0.592170,0,0,0,0
0.593706,0,0,0,0
0.595312,0,0,0,0
0.596875,0,0,0,0
0.598411,0,0,0,0
0.599947,0,0,0,0
0.601479,0,0,0,0
0.603089,0,0,0,0
0.605545,0,0,0,0
0.607153,0,0,0,0
0.608692,0,0,0,0
0.610295,0,0,0,0
0.611995,0,0,0,0
0.613529,0,0,0,0
0.615069,0,0,0,0
0.616808,0,0,0,0
0.618497,0,0,0,0
0.620253,0,0,0,0
0.622040,0,0,0,0
0.623830,0,0,0,0
0.625620,0,0,0,0
0.627492,0,0,0,0
0.629104,0,0,0,0
0.630858,0,0,0,0
0.632632,0,0,0,0
0.634478,0,0,0,0
0.636473,0,0,0,0
0.638255,0,0,0,0
0.640135,0,0,0,0
0.641863,0,0,0,0
0.643451,0,0,0,0
0.645194,0,0,0,0
0.646983,0,0,0,0
0.648769,0,0,0,0
0.650453,0,0,0,0
0.652002,0,0,0,0
0.653551,0,0,0,0
0.655150,0,0,0,0
0.656691,0,0,0,0
0.658291,0,0,0,0
0.660167,0,0,0,0
0.661771,0,0,0,0
0.663520,0,0,0,0
0.665308,0,0,0,0
0.667098,0,0,0,0
0.668883,0,0,0,0
0.670666,0,0,0,0
0.672325,0,0,0,0
0.674326,0,0,0,0
0.676245,0,0,0,0
0.677773,0,0,0,0
0.679301,0,0,0,0
0.680827,0,0,0,0
0.682439,0,0,0,0
0.684112,0,0,0,0
0.685859,0,0,0,0
0.687650,0,0,0,0
0.689440,0,0,0,0
0.691233,0,0,0,0
0.693160,0,0,0,0
0.694944,0,0,0,0
0.696489,0,0,0,0
0.698045,0,0,0,0
0.699518,0,0,0,0
0.700986,0,0,0,0
0.702452,0,0,0,0
0.703957,0,0,0,0
0.705439,0,0,0,0
0.706959,0,0,0,0
0.708421,0,0,0,0
0.709877,0,0,0,0
0.711335,0,0,0,0
0.712794,0,0,0,0
0.714459,0,0,0,0
0.716091,0,0,0,0
0.717741,0,0,0,0
0.719252,0,0,0,0
0.720722,0,0,0,0
0.722242,0,0,0,0
0.723703,0,0,0,0
0.725199,0,0,0,0
0.726668,0,0,0,0
0.728169,0,0,0,0
0.729628,0,0,0,0
0.731145,0,0,0,0
0.732665,0,0,0,0
0.734133,0,0,0,0
