elapsed_s,TSE_MVC_STALL_VPC,TSE_VPC_STARVE_TSE,TSE_WORKING_CYCLE_L0
0.001133,0,0,0
0.002768,0,0,0
0.004356,0,0,0
0.005871,0,0,0
0.007412,0,0,0
0.009096,0,0,0
0.010669,0,0,0
0.012197,0,0,0
0.013725,0,0,0
0.015205,0,0,0
0.016761,0,0,0
0.018198,0,0,0
0.019613,0,0,0
0.020965,0,0,0
0.022400,0,0,0
0.023834,0,0,0
0.025273,0,0,0
0.026793,0,0,0
0.028314,0,0,0
0.029856,0,0,0
0.031403,0,0,0
0.032923,0,0,0
0.034387,0,0,0
0.035878,0,0,0
0.037342,0,0,0
0.038803,0,0,0
0.040265,0,0,0
0.041720,0,0,0
0.043182,0,0,0
0.044693,0,0,0
0.046122,0,0,0
0.047534,0,0,0
0.048996,0,0,0
0.050409,0,0,0
0.051855,0,0,0
0.053317,0,0,0
0.054727,0,0,0
0.056139,0,0,0
0.057604,0,0,0
0.059019,0,0,0
0.060456,0,0,0
0.061875,0,0,0
0.063362,0,0,0
0.064840,0,0,0
0.066269,0,0,0
0.067745,0,0,0
0.069166,0,0,0
0.070583,0,0,0
0.072007,0,0,0
0.073476,0,0,0
0.074929,0,0,0
0.076347,0,0,0
0.077790,0,0,0
0.079228,0,0,0
0.080761,0,0,0
0.082272,0,0,0
0.083795,0,0,0
0.085278,0,0,0
0.086813,0,0,0
0.088298,0,0,0
0.090101,0,0,0
0.091634,0,0,0
0.093279,0,0,0
0.094810,177,681,0
0.096752,0,0,0
0.098240,0,0,0
0.099763,0,0,0
0.101334,0,0,0
0.102866,0,0,0
0.104575,0,0,0
0.105967,0,0,0
0.107390,0,0,0
0.108828,0,0,0
0.110243,0,0,0
0.111658,0,0,0
0.113121,0,0,0
0.114548,0,0,0
0.115985,0,0,0
0.117448,0,0,0
0.118920,0,0,0
0.120389,0,0,0
0.121914,0,0,0
0.123472,867,1758,0
0.127167,5343,6084,0
0.128380,5343,6084,0
0.129637,2634,3447,0
0.131108,0,0,0
0.132466,0,0,0
0.133931,0,0,0
0.135315,0,0,0
0.136706,0,0,0
0.138098,0,0,0
0.139483,0,0,0
0.140907,0,0,0
0.142275,0,0,0
0.143643,0,0,0
0.145013,0,0,0
0.146380,0,0,0
0.147778,0,0,0
0.149142,0,0,0
0.150501,0,0,0
0.151861,0,0,0
0.153219,0,0,0
0.154582,0,0,0
0.155975,0,0,0
0.157342,0,0,0
0.158668,0,0,0
0.160041,0,0,0
0.161399,0,0,0
0.162707,0,0,0
0.164072,0,0,0
0.165455,0,0,0
0.166809,0,0,0
0.168160,0,0,0
0.169511,0,0,0
0.170866,0,0,0
0.172257,0,0,0
0.173789,0,0,0
0.175246,0,0,0
0.176704,0,0,0
0.178189,0,0,0
0.179633,0,0,0
0.181206,0,0,0
0.183205,0,0,0
0.184729,0,0,0
0.187007,0,0,0
0.188512,0,0,0
0.190036,0,0,0
0.191506,0,0,0
0.192955,0,0,0
0.194403,0,0,0
0.195903,0,0,0
0.197354,0,0,0
0.198809,0,0,0
0.200451,0,0,0
0.202174,0,0,0
0.203934,0,0,0
0.205469,0,0,0
0.207162,0,0,0
0.208873,0,0,0
0.210574,0,0,0
0.212172,0,0,0
0.213773,0,0,0
0.215412,0,0,0
0.216916,0,0,0
0.218507,0,0,0
0.220219,0,0,0
0.222013,0,0,0
0.223723,0,0,0
0.225425,0,0,0
0.227123,0,0,0
0.228825,0,0,0
0.230523,0,0,0
0.232219,0,0,0
0.233940,0,0,0
0.235634,0,0,0
0.237143,0,0,0
0.238796,0,0,0
0.240490,0,0,0
0.242002,0,0,0
0.243462,0,0,0
0.245194,0,0,0
0.246894,0,0,0
0.248594,0,0,0
0.250288,0,0,0
0.252045,0,0,0
0.253742,0,0,0
0.255273,0,0,0
0.256929,0,0,0
0.258622,0,0,0
0.260272,0,0,0
0.261979,0,0,0
0.263677,0,0,0
0.265380,0,0,0
0.266905,0,0,0
0.269515,0,0,0
0.270989,0,0,0
0.272650,0,0,0
0.274336,0,0,0
0.276082,0,0,0
0.277611,0,0,0
0.279116,0,0,0
0.280577,0,0,0
0.282091,0,0,0
0.283548,0,0,0
0.285057,0,0,0
0.286778,0,0,0
0.288715,0,0,0
0.290414,0,0,0
0.291987,0,0,0
0.293644,0,0,0
0.295344,0,0,0
0.297044,0,0,0
0.298654,0,0,0
0.300376,0,0,0
0.302084,0,0,0
0.303785,0,0,0
0.305485,0,0,0
0.307188,0,0,0
0.308912,0,0,0
0.310612,0,0,0
0.312313,0,0,0
0.314019,0,0,0
0.315784,0,0,0
0.317362,0,0,0
0.318851,0,0,0
0.320491,0,0,0
0.321959,0,0,0
0.323419,0,0,0
0.324939,0,0,0
0.326590,0,0,0
0.328288,0,0,0
0.330005,0,0,0
0.331753,0,0,0
0.333254,0,0,0
0.334895,0,0,0
0.336642,0,0,0
0.338181,0,0,0
0.339909,0,0,0
0.341436,0,0,0
0.343094,0,0,0
0.344795,0,0,0
0.346494,0,0,0
0.348257,0,0,0
0.349963,0,0,0
0.351680,0,0,0
0.353381,0,0,0
0.355081,0,0,0
0.356787,0,0,0
0.358487,0,0,0
0.360185,0,0,0
0.361833,0,0,0
0.363489,0,0,0
0.365260,0,0,0
0.366960,0,0,0
0.368664,0,0,0
0.370364,0,0,0
0.372144,0,0,0
0.373987,0,0,0
0.375684,0,0,0
0.377385,0,0,0
0.378949,0,0,0
0.380483,0,0,0
0.381970,0,0,0
0.383622,0,0,0
0.385326,0,0,0
0.387027,0,0,0
0.388732,0,0,0
0.390435,0,0,0
0.392134,0,0,0
0.393796,0,0,0
0.395439,0,0,0
0.397007,0,0,0
0.398798,0,0,0
0.400493,0,0,0
0.402127,0,0,0
0.403594,0,0,0
0.405323,0,0,0
0.407022,0,0,0
0.408724,0,0,0
0.410425,0,0,0
0.412187,0,0,0
0.414016,0,0,0
0.415549,0,0,0
0.417213,0,0,0
0.418913,0,0,0
0.420616,0,0,0
0.422315,0,0,0
0.424012,0,0,0
0.425710,0,0,0
0.427247,0,0,0
0.428750,0,0,0
0.430561,0,0,0
0.432333,0,0,0
0.433910,0,0,0
0.435434,0,0,0
0.437239,0,0,0
0.439033,0,0,0
0.440809,0,0,0
0.442583,0,0,0
0.444432,0,0,0
0.446024,0,0,0
0.447760,0,0,0
0.449360,0,0,0
0.451097,0,0,0
0.452875,0,0,0
0.454635,0,0,0
0.456392,0,0,0
0.458119,0,0,0
0.459649,0,0,0
0.461500,0,0,0
0.463083,0,0,0
0.464611,0,0,0
0.466132,0,0,0
0.467647,0,0,0
0.469192,0,0,0
0.470724,0,0,0
0.472445,0,0,0
0.474222,0,0,0
0.476071,0,0,0
0.477992,0,0,0
0.479767,0,0,0
0.481359,0,0,0
0.483090,0,0,0
0.484867,0,0,0
0.486637,0,0,0
0.488214,0,0,0
0.489963,0,0,0
0.491836,0,0,0
0.493611,0,0,0
0.495389,0,0,0
0.497167,0,0,0
0.498940,0,0,0
0.500720,0,0,0
0.502516,0,0,0
0.504292,0,0,0
0.506074,0,0,0
0.507923,0,0,0
0.509698,0,0,0
0.511473,0,0,0
0.513073,0,0,0
0.514792,0,0,0
0.516817,0,0,0
0.518319,0,0,0
0.520164,0,0,0
0.521837,0,0,0
0.523607,0,0,0
0.525391,0,0,0
0.526961,0,0,0
0.528691,0,0,0
0.530464,0,0,0
0.532310,0,0,0
0.533890,0,0,0
0.535413,0,0,0
0.537136,0,0,0
0.538907,0,0,0
0.540684,0,0,0
0.542455,0,0,0
0.544078,0,0,0
0.546586,0,0,0
0.548334,0,0,0
0.549893,0,0,0
0.551356,0,0,0
0.553008,0,0,0
0.554723,0,0,0
0.556496,0,0,0
0.558212,0,0,0
0.559688,0,0,0
0.561190,0,0,0
0.562888,0,0,0
0.564591,0,0,0
0.566308,0,0,0
0.568003,0,0,0
0.569701,0,0,0
