group,chunk,counter_start_index,counter_end_index,active_counters,csv_path,benchmark_log,benchmark_exit_status
CP,1,0,14,14,/data/local/tmp/jerry_work/perfcounter_sweeps/sweep_20260624_145250/01_CP/CP_chunk001.csv,/data/local/tmp/jerry_work/perfcounter_sweeps/sweep_20260624_145250/01_CP/CP_chunk001_benchmark.log,143
CP,2,14,28,14,/data/local/tmp/jerry_work/perfcounter_sweeps/sweep_20260624_145250/01_CP/CP_chunk002.csv,/data/local/tmp/jerry_work/perfcounter_sweeps/sweep_20260624_145250/01_CP/CP_chunk002_benchmark.log,143
CP,3,28,42,14,/data/local/tmp/jerry_work/perfcounter_sweeps/sweep_20260624_145250/01_CP/CP_chunk003.csv,/data/local/tmp/jerry_work/perfcounter_sweeps/sweep_20260624_145250/01_CP/CP_chunk003_benchmark.log,143
CP,4,42,56,14,/data/local/tmp/jerry_work/perfcounter_sweeps/sweep_20260624_145250/01_CP/CP_chunk004.csv,/data/local/tmp/jerry_work/perfcounter_sweeps/sweep_20260624_145250/01_CP/CP_chunk004_benchmark.log,143
CP,5,56,70,14,/data/local/tmp/jerry_work/perfcounter_sweeps/sweep_20260624_145250/01_CP/CP_chunk005.csv,/data/local/tmp/jerry_work/perfcounter_sweeps/sweep_20260624_145250/01_CP/CP_chunk005_benchmark.log,143
CP,6,70,84,14,/data/local/tmp/jerry_work/perfcounter_sweeps/sweep_20260624_145250/01_CP/CP_chunk006.csv,/data/local/tmp/jerry_work/perfcounter_sweeps/sweep_20260624_145250/01_CP/CP_chunk006_benchmark.log,143
CP,7,84,91,7,/data/local/tmp/jerry_work/perfcounter_sweeps/sweep_20260624_145250/01_CP/CP_chunk007.csv,/data/local/tmp/jerry_work/perfcounter_sweeps/sweep_20260624_145250/01_CP/CP_chunk007_benchmark.log,143
RBBM,1,0,4,4,/data/local/tmp/jerry_work/perfcounter_sweeps/sweep_20260624_145250/02_RBBM/RBBM_chunk001.csv,/data/local/tmp/jerry_work/perfcounter_sweeps/sweep_20260624_145250/02_RBBM/RBBM_chunk001_benchmark.log,143
RBBM,2,4,8,4,/data/local/tmp/jerry_work/perfcounter_sweeps/sweep_20260624_145250/02_RBBM/RBBM_chunk002.csv,/data/local/tmp/jerry_work/perfcounter_sweeps/sweep_20260624_145250/02_RBBM/RBBM_chunk002_benchmark.log,143
RBBM,3,8,12,4,/data/local/tmp/jerry_work/perfcounter_sweeps/sweep_20260624_145250/02_RBBM/RBBM_chunk003.csv,/data/local/tmp/jerry_work/perfcounter_sweeps/sweep_20260624_145250/02_RBBM/RBBM_chunk003_benchmark.log,143
RBBM,4,12,16,4,/data/local/tmp/jerry_work/perfcounter_sweeps/sweep_20260624_145250/02_RBBM/RBBM_chunk004.csv,/data/local/tmp/jerry_work/perfcounter_sweeps/sweep_20260624_145250/02_RBBM/RBBM_chunk004_benchmark.log,143
