elapsed_s,CP_ICACHE_MISSES,CP_ICACHE_HITS,CP_ICACHE_STALL,CP_DCACHE_MISSES,CP_DCACHE_HITS,CP_DCACHE_STALLS,CP_AQE_SQE_STALL,CP_SQE_AQE_STARVE,CP_ISR_CYCLES,CP_SQE_MD8_STALL_CYCLES,CP_SQE_MESH_EXEC_CYCLES,CP_AQE_NUM_AS_CHUNKS,CP_AQE_NUM_MS_CHUNKS,CP_S_SKEW_BUFFER_FULL
0.001101,17,250,2033,0,0,0,0,0,0,0,0,0,0,0
0.002772,17,300,1991,0,0,0,0,0,0,0,0,0,0,0
0.004509,17,376,2280,0,0,0,0,0,0,0,0,0,0,0
0.006143,17,356,2669,0,0,0,0,0,0,0,0,0,0,0
0.007831,17,356,2252,0,0,0,0,0,0,0,0,0,0,0
0.009487,17,246,2207,0,0,0,0,0,0,0,0,0,0,0
0.011091,17,340,2630,0,0,0,0,0,0,0,0,0,0,0
0.012848,17,354,2594,0,0,0,0,0,0,0,0,0,0,0
0.014447,17,268,2507,0,0,0,0,0,0,0,0,0,0,0
0.016055,17,352,2352,0,0,0,0,0,0,0,0,0,0,0
0.017695,17,360,2465,0,0,0,0,0,0,0,0,0,0,0
0.019319,17,372,2377,0,0,0,0,0,0,0,0,0,0,0
0.021041,17,360,2672,0,0,0,0,0,0,0,0,0,0,0
0.022608,17,356,2687,0,0,0,0,0,0,0,0,0,0,0
0.024173,17,268,2367,0,0,0,0,0,0,0,0,0,0,0
0.025738,17,344,2364,0,0,0,0,0,0,0,0,0,0,0
0.027300,17,368,2463,0,0,0,0,0,0,0,0,0,0,0
0.029056,17,344,2193,0,0,0,0,0,0,0,0,0,0,0
0.030641,17,344,2288,0,0,0,0,0,0,0,0,0,0,0
0.032190,17,272,2227,0,0,0,0,0,0,0,0,0,0,0
0.033693,17,344,2249,0,0,0,0,0,0,0,0,0,0,0
0.035196,17,260,2069,0,0,0,0,0,0,0,0,0,0,0
0.036778,17,280,2256,0,0,0,0,0,0,0,0,0,0,0
0.038288,17,276,2329,0,0,0,0,0,0,0,0,0,0,0
0.039790,17,376,2413,0,0,0,0,0,0,0,0,0,0,0
0.041302,17,268,2374,0,0,0,0,0,0,0,0,0,0,0
0.042805,17,272,2466,0,0,0,0,0,0,0,0,0,0,0
0.044300,17,212,1383,0,0,0,0,0,0,0,0,0,0,0
0.045717,18,219,1396,0,0,0,0,0,0,0,0,0,0,0
0.047135,18,293,1732,0,0,0,0,0,0,0,0,0,0,0
0.048554,18,223,1368,0,0,0,0,0,0,0,0,0,0,0
0.049973,18,223,1358,0,0,0,0,0,0,0,0,0,0,0
0.051396,18,303,1420,0,0,0,0,0,0,0,0,0,0,0
0.052814,18,297,1518,0,0,0,0,0,0,0,0,0,0,0
0.054122,18,217,1371,0,0,0,0,0,0,0,0,0,0,0
0.055539,18,221,1388,0,0,0,0,0,0,0,0,0,0,0
0.056956,18,213,1323,0,0,0,0,0,0,0,0,0,0,0
0.058374,18,225,1331,0,0,0,0,0,0,0,0,0,0,0
0.059841,18,217,1284,0,0,0,0,0,0,0,0,0,0,0
0.061277,18,217,1369,0,0,0,0,0,0,0,0,0,0,0
0.062749,18,303,1391,0,0,0,0,0,0,0,0,0,0,0
0.064170,18,223,1544,0,0,0,0,0,0,0,0,0,0,0
0.065589,18,221,1416,0,0,0,0,0,0,0,0,0,0,0
0.066901,18,269,1348,0,0,0,0,0,0,0,0,0,0,0
0.068321,18,219,1320,0,0,0,0,0,0,0,0,0,0,0
0.069627,18,297,1555,0,0,0,0,0,0,0,0,0,0,0
0.071047,18,297,1714,0,0,0,0,0,0,0,0,0,0,0
0.072470,18,297,1535,0,0,0,0,0,0,0,0,0,0,0
0.073898,18,219,1532,0,0,0,0,0,0,0,0,0,0,0
0.075318,18,297,1802,0,0,0,0,0,0,0,0,0,0,0
0.076856,17,364,6774,0,0,0,0,0,0,0,0,0,0,0
0.078360,17,402,2743,0,0,0,0,0,0,0,0,0,0,0
0.079982,147,4075,25711,0,0,0,0,0,0,0,0,0,0,0
0.081377,18,273,4108,0,0,0,0,0,0,0,0,0,0,0
0.083001,17,276,2272,0,0,0,0,0,0,0,0,0,0,0
0.084520,17,272,2651,0,0,0,0,0,0,0,0,0,0,0
0.086043,17,276,2485,0,0,0,0,0,0,0,0,0,0,0
0.087546,17,268,2283,0,0,0,0,0,0,0,0,0,0,0
0.089099,17,304,2619,0,0,0,0,0,0,0,0,0,0,0
0.090631,17,266,6324,0,0,0,0,0,0,0,0,0,0,0
0.092122,17,290,1436,0,0,0,0,0,0,0,0,0,0,0
0.093542,18,293,1802,0,0,0,0,0,0,0,0,0,0,0
0.094963,18,211,1607,0,0,0,0,0,0,0,0,0,0,0
0.096381,18,223,1340,0,0,0,0,0,0,0,0,0,0,0
0.097808,18,223,1580,0,0,0,0,0,0,0,0,0,0,0
0.099228,18,297,1772,0,0,0,0,0,0,0,0,0,0,0
0.100673,17,222,1386,0,0,0,0,0,0,0,0,0,0,0
0.102092,169,205563,18252,0,0,0,0,0,0,0,0,0,0,0
0.103324,23,44154,3263,0,0,0,0,0,0,0,0,0,0,0
0.104758,18,239,1656,0,0,0,0,0,0,0,0,0,0,0
0.106222,18,235,1651,0,0,0,0,0,0,0,0,0,0,0
