elapsed_s,RBBM_S_PC_BUSY,RBBM_S_TESS_BUSY,RBBM_S_TSEFE_BUSY,RBBM_S_TSEBE_BUSY
0.001913,0,0,0,0
0.003452,0,0,0,0
0.005068,0,0,0,0
0.006544,0,0,0,0
0.007968,0,0,0,0
0.009384,0,0,0,0
0.010809,0,0,0,0
0.012224,0,0,0,0
0.013761,0,0,0,0
0.015190,0,0,0,0
0.016609,0,0,0,0
0.018075,0,0,0,0
0.019520,0,0,0,0
0.020938,0,0,0,0
0.022357,0,0,0,0
0.023743,0,0,0,0
0.025118,0,0,0,0
0.026495,0,0,0,0
0.027871,0,0,0,0
0.029262,0,0,0,0
0.030690,0,0,0,0
0.032117,0,0,0,0
0.033534,0,0,0,0
0.034958,0,0,0,0
0.036430,0,0,0,0
0.037822,0,0,0,0
0.039234,0,0,0,0
0.040645,0,0,0,0
0.042058,0,0,0,0
0.043490,0,0,0,0
0.044899,0,0,0,0
0.046290,0,0,0,0
0.047680,0,0,0,0
0.049072,0,0,0,0
0.050465,0,0,0,0
0.051859,0,0,0,0
0.053251,0,0,0,0
0.054651,0,0,0,0
0.056044,0,0,0,0
0.057437,0,0,0,0
0.058831,0,0,0,0
0.060224,0,0,0,0
0.061716,0,0,0,0
0.063062,0,0,0,0
0.064409,0,0,0,0
0.065776,0,0,0,0
0.067078,0,0,0,0
0.068376,0,0,0,0
0.069692,0,0,0,0
0.070988,0,0,0,0
0.072286,0,0,0,0
0.073591,0,0,0,0
0.074887,0,0,0,0
0.076239,0,0,0,0
0.077589,0,0,0,0
0.078887,0,0,0,0
0.080182,0,0,0,0
0.081574,0,0,0,0
0.082887,0,0,0,0
0.084207,0,0,0,0
0.085498,0,0,0,0
0.086767,0,0,0,0
0.088032,0,0,0,0
0.089297,0,0,0,0
0.090562,0,0,0,0
0.091827,0,0,0,0
0.093093,0,0,0,0
0.094359,0,0,0,0
0.095625,0,0,0,0
0.096945,0,0,0,0
0.098243,0,0,0,0
0.099540,0,0,0,0
0.100899,0,0,0,0
0.102083,0,0,0,0
0.103494,0,0,0,0
0.104840,0,0,0,0
0.106142,0,0,0,0
0.107500,0,0,0,0
0.108799,0,0,0,0
0.110096,0,0,0,0
0.111394,0,0,0,0
0.112689,0,0,0,0
0.113955,0,0,0,0
0.115220,0,0,0,0
0.116484,0,0,0,0
0.117753,0,0,0,0
0.119017,0,0,0,0
0.120281,0,0,0,0
0.121583,0,0,0,0
0.122959,0,0,0,0
0.124329,0,0,0,0
0.125700,0,0,0,0
0.127071,0,0,0,0
0.128446,0,0,0,0
0.129707,0,0,0,0
0.131078,0,0,0,0
0.132449,0,0,0,0
0.133710,0,0,0,0
0.135081,0,0,0,0
0.136456,0,0,0,0
0.137720,0,0,0,0
0.139190,0,0,0,0
0.140663,0,0,0,0
0.142027,0,0,0,0
0.143390,0,0,0,0
0.144828,0,0,0,0
0.146210,0,0,0,0
0.147678,0,0,0,0
0.149044,0,0,0,0
0.150323,0,0,0,0
0.151681,0,0,0,0
0.153156,0,0,0,0
0.154631,0,0,0,0
0.156105,0,0,0,0
0.157738,0,0,0,0
0.159324,0,0,0,0
0.160825,0,0,0,0
0.162211,0,0,0,0
0.163592,0,0,0,0
0.164972,0,0,0,0
0.166354,0,0,0,0
0.167862,0,0,0,0
0.169279,0,0,0,0
0.170793,0,0,0,0
0.172348,0,0,0,0
0.173777,0,0,0,0
0.175164,0,0,0,0
0.176607,0,0,0,0
0.177998,0,0,0,0
0.179383,0,0,0,0
0.180770,0,0,0,0
0.182157,0,0,0,0
0.183683,0,0,0,0
0.185236,0,0,0,0
0.186787,0,0,0,0
0.188190,0,0,0,0
0.189702,0,0,0,0
