elapsed_s,PC_US_BV_STALLED_BY_UCHE_FEEDBACK,PC_US_VSD_RARB_DVIZ_FULL,PC_US_VSD_RARB_PVIZ_FULL,PC_US_VSD_RARB_TVIZ_FULL,PC_US_DP0_RARB_FULL,PC_US_DP1_RARB_FULL,PC_US_DP0_LIVE_PRIM,PC_US_DP1_LIVE_PRIM
0.001095,0,0,0,0,0,0,0,0
0.002575,0,0,0,0,0,0,0,0
0.004029,0,0,0,0,0,0,0,0
0.005486,0,0,0,0,0,0,0,0
0.007012,0,0,0,0,0,0,0,0
0.008462,0,0,0,0,0,0,0,0
0.009925,0,0,0,0,0,0,0,0
0.011377,0,0,0,0,0,0,0,0
0.012829,0,0,0,0,0,0,0,0
0.014280,0,0,0,0,0,0,0,0
0.015731,0,0,0,0,0,0,0,0
0.017219,0,0,0,0,0,0,0,0
0.018781,0,0,0,0,0,0,0,0
0.020235,0,0,0,0,0,0,0,0
0.021680,0,0,0,0,0,0,0,0
0.023231,0,0,0,0,0,0,0,0
0.024679,0,0,0,0,0,0,0,0
0.026291,0,0,0,0,0,0,0,0
0.027881,0,0,0,0,0,0,0,0
0.029333,0,0,0,0,0,0,0,0
0.030938,0,0,0,0,0,0,0,0
0.032392,0,0,0,0,0,0,0,0
0.033841,0,0,0,0,0,0,0,0
0.035291,0,0,0,0,0,0,0,0
0.036740,0,0,0,0,0,0,0,0
0.038189,0,0,0,0,0,0,0,0
0.039638,0,0,0,0,0,0,0,0
0.041096,0,0,0,0,0,0,0,0
0.042541,0,0,0,0,0,0,0,0
0.043969,0,0,0,0,0,0,0,0
0.045395,0,0,0,0,0,0,0,0
0.046844,0,0,0,0,0,0,0,0
0.048270,0,0,0,0,0,0,0,0
0.049698,0,0,0,0,0,0,0,0
0.051133,0,0,0,0,0,0,0,0
0.052901,0,0,0,0,0,0,0,0
0.054327,0,0,0,0,0,0,0,0
0.055756,0,0,0,0,0,0,0,0
0.057184,0,0,0,0,0,0,0,0
0.058599,0,0,0,0,0,0,0,0
0.059976,0,0,0,0,0,0,0,0
0.061361,0,0,0,0,0,0,0,0
0.062881,0,0,0,0,0,0,0,0
0.064258,0,0,0,0,0,0,0,0
0.065635,0,0,0,0,0,0,0,0
0.066975,0,0,0,0,0,0,0,0
0.068307,0,0,0,0,0,0,0,0
0.069683,0,0,0,0,0,0,0,0
0.071011,0,0,0,0,0,0,0,0
0.072341,0,0,0,0,0,0,0,0
0.073716,0,0,0,0,0,0,0,0
0.075042,0,0,0,0,0,0,0,0
0.076367,0,0,0,0,0,0,0,0
0.077768,0,0,0,0,0,0,0,0
0.079063,0,0,0,0,0,0,0,0
0.080351,0,0,0,0,0,0,0,0
0.081691,0,0,0,0,0,0,0,0
0.082986,0,0,0,0,0,0,0,0
0.084269,0,0,0,0,0,0,0,0
0.085552,0,0,0,0,0,0,0,0
0.086834,0,0,0,0,0,0,0,0
0.088116,0,0,0,0,0,0,0,0
0.089399,0,0,0,0,0,0,0,0
0.090682,0,0,0,0,0,0,0,0
0.091963,0,0,0,0,0,0,0,0
0.093298,0,0,0,0,0,0,0,0
0.094674,0,0,0,0,0,0,0,0
0.096002,0,0,0,0,0,0,0,0
0.097331,0,0,0,0,0,0,0,0
0.098747,0,0,0,0,0,0,0,0
0.099979,0,0,0,0,0,0,0,0
0.101423,0,0,0,0,0,0,0,0
0.102907,0,0,0,0,0,0,0,0
0.104292,0,0,0,0,0,0,0,0
0.105670,0,0,0,0,0,0,0,0
0.107046,0,0,0,0,0,0,0,0
0.108421,0,0,0,0,0,0,0,0
0.109818,0,0,0,0,0,0,0,0
0.111152,0,0,0,0,0,0,0,0
0.112484,0,0,0,0,0,0,0,0
0.113816,0,0,0,0,0,0,0,0
0.115151,0,0,0,0,0,0,0,0
0.116592,0,0,0,0,0,0,0,0
0.118033,0,0,0,0,0,0,0,0
0.119481,0,0,0,0,0,0,0,0
0.120704,0,0,0,0,0,0,0,0
0.122141,0,0,0,0,0,0,0,0
0.123579,0,0,0,0,0,0,0,0
0.125012,0,0,0,0,0,0,0,0
0.126453,0,0,0,0,0,0,0,0
0.127807,0,0,0,0,0,0,0,0
0.129254,0,0,0,0,0,0,0,0
0.130590,0,0,0,0,0,0,0,0
0.131882,0,0,0,0,0,0,0,0
0.133274,0,0,0,0,0,0,0,0
0.134668,0,0,0,0,0,0,0,0
0.136058,0,0,0,0,0,0,0,0
0.137450,0,0,0,0,0,0,0,0
0.138749,0,0,0,0,0,0,0,0
0.140026,0,0,0,0,0,0,0,0
0.141414,0,0,0,0,0,0,0,0
0.142752,0,0,0,0,0,0,0,0
0.144141,0,0,0,0,0,0,0,0
0.145532,0,0,0,0,0,0,0,0
0.146918,0,0,0,0,0,0,0,0
0.148309,0,0,0,0,0,0,0,0
0.149696,0,0,0,0,0,0,0,0
0.151084,0,0,0,0,0,0,0,0
0.152470,0,0,0,0,0,0,0,0
0.153879,0,0,0,0,0,0,0,0
0.155240,0,0,0,0,0,0,0,0
0.156599,0,0,0,0,0,0,0,0
0.157959,0,0,0,0,0,0,0,0
0.159332,0,0,0,0,0,0,0,0
0.160690,0,0,0,0,0,0,0,0
0.162050,0,0,0,0,0,0,0,0
0.163409,0,0,0,0,0,0,0,0
0.164766,0,0,0,0,0,0,0,0
0.166124,0,0,0,0,0,0,0,0
0.167481,0,0,0,0,0,0,0,0
0.168838,0,0,0,0,0,0,0,0
0.170350,0,0,0,0,0,0,0,0
0.171940,0,0,0,0,0,0,0,0
0.173512,0,0,0,0,0,0,0,0
0.175081,0,0,0,0,0,0,0,0
0.176645,0,0,0,0,0,0,0,0
0.178083,0,0,0,0,0,0,0,0
0.179627,0,0,0,0,0,0,0,0
0.181085,0,0,0,0,0,0,0,0
0.182503,0,0,0,0,0,0,0,0
0.183912,0,0,0,0,0,0,0,0
0.185320,0,0,0,0,0,0,0,0
0.186774,0,0,0,0,0,0,0,0
0.188181,0,0,0,0,0,0,0,0
0.189721,0,0,0,0,0,0,0,0
0.191307,0,0,0,0,0,0,0,0
0.192877,0,0,0,0,0,0,0,0
0.194451,0,0,0,0,0,0,0,0
0.196024,0,0,0,0,0,0,0,0
0.197598,0,0,0,0,0,0,0,0
0.199171,0,0,0,0,0,0,0,0
0.200742,0,0,0,0,0,0,0,0
0.202370,0,0,0,0,0,0,0,0
