elapsed_s,HLSQ_SPTROC_STCHE_MISS_INC_VS,HLSQ_SPTROC_STCHE_MISS_INC_FS,HLSQ_SPTROC_STCHE_MISS_INC_BV,HLSQ_SPTROC_STCHE_MISS_INC_LPAC,HLSQ_VSBR_S2W_CYCLES_SP,HLSQ_FS_S2W_CYCLES_SP
0.001127,0,0,0,0,0,0
0.003058,0,0,0,0,0,0
0.004591,0,0,0,0,0,0
0.006030,0,0,0,0,0,0
0.007471,0,0,0,0,0,0
0.008910,0,0,0,0,0,0
0.010344,0,0,0,0,0,0
0.011776,0,0,0,0,0,0
0.013208,0,0,0,0,0,0
0.014664,0,0,0,0,0,0
0.016103,0,0,0,0,0,0
0.017597,0,0,0,0,0,0
0.018991,0,0,0,0,0,0
0.020383,0,0,0,0,0,0
0.021857,0,0,0,0,0,0
0.023272,0,0,0,0,0,0
0.024689,0,0,0,0,0,0
0.026135,0,0,0,0,0,0
0.027569,0,0,0,0,0,0
0.029041,0,0,0,0,0,0
0.030474,0,0,0,0,0,0
0.031906,0,0,0,0,0,0
0.033628,0,0,0,0,0,0
0.035838,0,0,0,0,0,0
0.037287,0,0,0,0,0,0
0.038727,0,0,0,0,0,0
0.040171,0,0,0,0,0,0
0.041815,0,0,0,0,0,0
0.043225,0,0,0,0,0,0
0.044634,0,0,0,0,0,0
0.046044,0,0,0,0,0,0
0.047455,0,0,0,0,0,0
0.049192,0,0,0,0,0,0
0.050615,0,0,0,0,0,0
0.052104,0,0,0,0,0,0
0.053691,0,0,0,0,0,0
0.055179,0,0,0,0,0,0
0.056652,0,0,0,0,0,0
0.058090,0,0,0,0,0,0
0.059529,0,0,0,0,0,0
0.061007,0,0,0,0,0,0
0.062370,0,0,0,0,0,0
0.063844,0,0,0,0,0,0
0.065320,0,0,0,0,0,0
0.066794,0,0,0,0,0,0
0.068268,0,0,0,0,0,0
0.069688,0,0,0,0,0,0
0.071085,0,0,0,0,0,0
0.072458,0,0,0,0,0,0
0.073819,0,0,0,0,0,0
0.075181,0,0,0,0,0,0
0.076543,0,0,0,0,0,0
0.077848,0,0,0,0,0,0
0.079291,0,0,0,0,0,0
0.080629,0,0,0,0,0,0
0.081922,0,0,0,0,0,0
0.083220,0,0,0,0,0,0
0.084607,0,0,0,0,0,0
0.085992,0,0,0,0,0,0
0.087377,0,0,0,0,0,0
0.088812,0,0,0,0,0,0
0.090218,0,0,0,0,0,0
0.091606,0,0,0,0,0,0
0.093003,0,0,0,0,0,0
0.094394,0,0,0,0,0,0
0.095786,0,0,0,0,0,0
0.097236,0,0,0,0,0,0
0.098689,0,0,0,0,0,0
0.100201,0,0,0,0,0,0
0.101664,0,0,0,0,0,0
0.103060,0,0,0,0,0,0
0.104497,0,0,0,0,0,0
0.105914,0,0,0,0,0,0
0.107311,0,0,0,0,0,0
0.108699,0,0,0,0,0,0
0.110083,0,0,0,0,0,0
0.111467,0,0,0,0,0,0
0.112899,0,0,0,0,0,0
0.114290,0,0,0,0,0,0
0.115675,0,0,0,0,0,0
0.117109,0,0,0,0,0,0
0.118494,0,0,0,0,0,762
0.119644,0,0,0,0,0,1974
0.121027,0,0,0,0,0,0
0.122407,0,0,0,0,0,0
0.123786,0,0,0,0,0,0
0.125170,0,0,0,0,0,0
0.126550,0,0,0,0,0,0
0.127929,0,0,0,0,0,0
0.129309,0,0,0,0,0,0
0.130689,0,0,0,0,0,0
0.132069,0,0,0,0,0,0
0.133474,0,0,0,0,0,0
0.134857,0,0,0,0,0,0
0.136241,0,0,0,0,0,0
0.137620,0,0,0,0,0,0
0.139001,0,0,0,0,0,0
0.140272,0,0,0,0,0,0
0.141585,0,0,0,0,0,0
0.142966,0,0,0,0,0,0
0.144346,0,0,0,0,0,0
0.145726,0,0,0,0,0,0
0.147109,0,0,0,0,0,0
0.148487,0,0,0,0,0,0
0.149866,0,0,0,0,0,0
0.151244,0,0,0,0,0,0
0.152642,0,0,0,0,0,0
0.153994,0,0,0,0,0,0
0.155343,0,0,0,0,0,0
0.156693,0,0,0,0,0,0
0.158112,0,0,0,0,0,0
0.159462,0,0,0,0,0,0
0.160812,0,0,0,0,0,0
0.162162,0,0,0,0,0,0
0.163512,0,0,0,0,0,0
0.164862,0,0,0,0,0,0
0.166211,0,0,0,0,0,0
0.167560,0,0,0,0,0,0
0.168942,0,0,0,0,0,0
0.170370,0,0,0,0,0,0
0.171774,0,0,0,0,0,0
0.173175,0,0,0,0,0,0
0.174785,0,0,0,0,0,0
0.176241,0,0,0,0,0,0
0.177644,0,0,0,0,0,0
0.179052,0,0,0,0,0,0
0.180452,0,0,0,0,0,0
0.181849,0,0,0,0,0,0
0.183246,0,0,0,0,0,0
0.184685,0,0,0,0,0,0
0.186082,0,0,0,0,0,0
0.187610,0,0,0,0,0,0
0.189178,0,0,0,0,0,0
0.190759,0,0,0,0,0,0
0.192323,0,0,0,0,0,0
0.193894,0,0,0,0,0,0
0.195459,0,0,0,0,0,0
0.197026,0,0,0,0,0,0
0.198593,0,0,0,0,0,0
0.200157,0,0,0,0,0,0
0.201786,0,0,0,0,0,0
0.203350,0,0,0,0,0,0
0.204917,0,0,0,0,0,0
0.206485,0,0,0,0,0,0
0.208050,0,0,0,0,0,0
0.209483,0,0,0,0,0,0
0.211019,0,0,0,0,0,0
0.212472,0,0,0,0,0,0
0.214008,0,0,0,0,0,0
0.215572,0,0,0,0,0,0
0.217184,0,0,0,0,0,0
0.218751,0,0,0,0,0,0
0.220316,0,0,0,0,0,0
0.221878,0,0,0,0,0,0
0.223445,0,0,0,0,0,0
0.224877,0,0,0,0,0,0
0.226412,0,0,0,0,0,0
0.227974,0,0,0,0,0,0
0.229539,0,0,0,0,0,0
0.231106,0,0,0,0,0,0
0.232758,0,0,0,0,0,0
0.234337,0,0,0,0,0,0
0.235898,0,0,0,0,0,0
0.237464,0,0,0,0,0,0
0.239028,0,0,0,0,0,0
0.240595,0,0,0,0,0,0
0.242160,0,0,0,0,0,0
0.243723,0,0,0,0,0,0
0.245300,0,0,0,0,0,0
0.246865,0,0,0,0,0,0
0.248474,0,0,0,0,0,0
0.250041,0,0,0,0,0,0
0.251604,0,0,0,0,0,0
0.253171,0,0,0,0,0,0
0.254736,0,0,0,0,0,0
0.256311,0,0,0,0,0,0
0.257881,0,0,0,0,0,0
0.259442,0,0,0,0,0,0
0.261062,0,0,0,0,0,0
0.262476,0,0,0,0,0,0
0.263872,0,0,0,0,0,0
0.265267,0,0,0,0,0,0
0.266681,0,0,0,0,0,0
0.268077,0,0,0,0,0,0
0.269475,0,0,0,0,0,0
0.271004,0,0,0,0,0,0
0.272569,0,0,0,0,0,0
0.274134,0,0,0,0,0,0
0.275568,0,0,0,0,0,0
0.277120,0,0,0,0,0,0
0.278684,0,0,0,0,0,0
0.280247,0,0,0,0,0,0
0.281861,0,0,0,0,0,0
0.283423,0,0,0,0,0,0
0.284989,0,0,0,0,0,0
0.286599,0,0,0,0,0,0
0.288174,0,0,0,0,0,0
0.289742,0,0,0,0,0,0
0.291304,0,0,0,0,0,0
0.292926,0,0,0,0,0,0
0.294487,0,0,0,0,0,0
0.296662,0,0,0,0,0,0
0.298119,0,0,0,0,0,0
0.299520,0,0,0,0,0,0
0.300919,0,0,0,0,0,0
0.302316,0,0,0,0,0,0
0.303831,0,0,0,0,0,0
0.305394,0,0,0,0,0,0
0.306900,0,0,0,0,0,0
0.308367,0,0,0,0,0,0
0.309789,0,0,0,0,0,0
0.311190,0,0,0,0,0,0
0.312634,0,0,0,0,0,0
0.314033,0,0,0,0,0,0
0.315409,0,0,0,0,0,0
0.316941,0,0,0,0,0,0
0.318521,0,0,0,0,0,0
0.320085,0,0,0,0,0,0
0.321596,0,0,0,0,0,0
0.323131,0,0,0,0,0,0
0.324700,0,0,0,0,0,0
0.326267,0,0,0,0,0,0
0.327831,0,0,0,0,0,0
0.329410,0,0,0,0,0,0
0.330977,0,0,0,0,0,0
0.332545,0,0,0,0,0,0
0.334111,0,0,0,0,0,0
0.335677,0,0,0,0,0,0
0.337246,0,0,0,0,0,0
0.338813,0,0,0,0,0,0
0.340391,0,0,0,0,0,0
0.341838,0,0,0,0,0,0
0.343236,0,0,0,0,0,0
0.344633,0,0,0,0,0,0
0.346034,0,0,0,0,0,0
0.347431,0,0,0,0,0,0
0.348831,0,0,0,0,0,0
0.350348,0,0,0,0,0,0
0.351916,0,0,0,0,0,0
0.353351,0,0,0,0,0,0
0.354882,0,0,0,0,0,0
0.356557,0,0,0,0,0,0
0.358111,0,0,0,0,0,0
0.359665,0,0,0,0,0,0
0.361098,0,0,0,0,0,0
0.362644,0,0,0,0,0,0
0.364209,0,0,0,0,0,0
0.365779,0,0,0,0,0,0
0.367343,0,0,0,0,0,0
0.368911,0,0,0,0,0,0
0.370477,0,0,0,0,0,0
0.372041,0,0,0,0,0,0
0.373488,0,0,0,0,0,0
0.375026,0,0,0,0,0,0
0.376637,0,0,0,0,0,0
0.378205,0,0,0,0,0,0
0.379770,0,0,0,0,0,0
0.381336,0,0,0,0,0,0
0.382893,0,0,0,0,0,0
0.384533,0,0,0,0,0,0
0.386099,0,0,0,0,0,0
0.387597,0,0,0,0,0,0
0.389001,0,0,0,0,0,0
0.390403,0,0,0,0,0,0
0.391968,0,0,0,0,0,0
0.393424,0,0,0,0,0,0
0.394838,0,0,0,0,0,0
0.396235,0,0,0,0,0,0
0.397634,0,0,0,0,0,0
0.399029,0,0,0,0,0,0
0.400558,0,0,0,0,0,0
0.402122,0,0,0,0,0,0
0.403684,0,0,0,0,0,0
0.405259,0,0,0,0,0,0
0.406824,0,0,0,0,0,0
0.408385,0,0,0,0,0,0
0.409987,0,0,0,0,0,0
0.411390,0,0,0,0,0,0
0.412921,0,0,0,0,0,0
0.414485,0,0,0,0,0,0
0.416060,0,0,0,0,0,0
0.417675,0,0,0,0,0,0
0.419237,0,0,0,0,0,0
0.420803,0,0,0,0,0,0
0.422367,0,0,0,0,0,0
0.423929,0,0,0,0,0,0
0.425494,0,0,0,0,0,0
0.427069,0,0,0,0,0,0
0.428634,0,0,0,0,0,0
0.430198,0,0,0,0,0,0
0.431760,0,0,0,0,0,0
0.433323,0,0,0,0,0,0
0.434886,0,0,0,0,0,0
0.436451,0,0,0,0,0,0
0.438026,0,0,0,0,0,0
0.439587,0,0,0,0,0,0
0.441196,0,0,0,0,0,0
0.442761,0,0,0,0,0,0
0.444322,0,0,0,0,0,0
0.445890,0,0,0,0,0,0
0.447452,0,0,0,0,0,0
0.449030,0,0,0,0,0,0
0.450593,0,0,0,0,0,0
0.452155,0,0,0,0,0,0
0.453723,0,0,0,0,0,0
0.455285,0,0,0,0,0,0
0.456893,0,0,0,0,0,0
0.458456,0,0,0,0,0,0
0.460031,0,0,0,0,0,0
0.461512,0,0,0,0,0,0
0.463055,0,0,0,0,0,0
0.464620,0,0,0,0,0,0
0.466183,0,0,0,0,0,0
0.467745,0,0,0,0,0,0
0.469307,0,0,0,0,0,0
0.470881,0,0,0,0,0,0
0.472491,0,0,0,0,0,0
0.474054,0,0,0,0,0,0
0.475616,0,0,0,0,0,0
0.477180,0,0,0,0,0,0
0.478743,0,0,0,0,0,0
0.480304,0,0,0,0,0,0
0.481885,0,0,0,0,0,0
0.483447,0,0,0,0,0,0
0.485012,0,0,0,0,0,0
0.486449,0,0,0,0,0,0
0.487983,0,0,0,0,0,0
0.489548,0,0,0,0,0,0
0.491110,0,0,0,0,0,0
0.492689,0,0,0,0,0,0
0.494253,0,0,0,0,0,0
0.495814,0,0,0,0,0,0
0.497376,0,0,0,0,0,0
0.498814,0,0,0,0,0,0
0.500348,0,0,0,0,0,0
0.501794,0,0,0,0,0,0
0.503215,0,0,0,0,0,0
0.504794,0,0,0,0,0,0
0.506360,0,0,0,0,0,0
0.507923,0,0,0,0,0,0
0.509489,0,0,0,0,0,0
0.511044,0,0,0,0,0,0
0.512810,0,0,0,0,0,0
0.514329,0,0,0,0,0,0
0.515741,0,0,0,0,0,0
0.517145,0,0,0,0,0,0
0.518544,0,0,0,0,0,0
0.519942,0,0,0,0,0,0
0.521377,0,0,0,0,0,0
0.522905,0,0,0,0,0,0
0.524485,0,0,0,0,0,0
0.526051,0,0,0,0,0,0
0.527615,0,0,0,0,0,0
0.529182,0,0,0,0,0,0
0.530746,0,0,0,0,0,0
0.532321,0,0,0,0,0,0
0.533892,0,0,0,0,0,0
0.535467,0,0,0,0,0,0
0.537078,0,0,0,0,0,0
0.538644,0,0,0,0,0,0
0.540207,0,0,0,0,0,0
0.541776,0,0,0,0,0,0
0.543353,0,0,0,0,0,0
0.544919,0,0,0,0,0,0
0.546498,0,0,0,0,0,0
0.548061,0,0,0,0,0,0
0.549689,0,0,0,0,0,0
0.551254,0,0,0,0,0,0
0.552864,0,0,0,0,0,0
0.554430,0,0,0,0,0,0
0.555993,0,0,0,0,0,0
0.557571,0,0,0,0,0,0
0.559136,0,0,0,0,0,0
0.560703,0,0,0,0,0,0
0.562269,0,0,0,0,0,0
0.563831,0,0,0,0,0,0
0.565397,0,0,0,0,0,0
0.566961,0,0,0,0,0,0
0.568582,0,0,0,0,0,0
0.570150,0,0,0,0,0,0
0.571714,0,0,0,0,0,0
0.573279,0,0,0,0,0,0
0.574844,0,0,0,0,0,0
0.576407,0,0,0,0,0,0
0.577917,0,0,0,0,0,0
0.579328,0,0,0,0,0,0
0.580862,0,0,0,0,0,0
0.582428,0,0,0,0,0,0
0.583990,0,0,0,0,0,0
0.585556,0,0,0,0,0,0
