elapsed_s,HLSQ_STPROC_L0_INS_LATENCY_CYCLE,HLSQ_STPROC_DPS_RUN_COUNT,HLSQ_STPROC_DPS_RUN_CYCLE,HLSQ_VSDP_BR_QUERY_REQ,HLSQ_VSDP_BV_QUERY_REQ,HLSQ_VSDP_BR_QUERY_REQ_WHEN_BV_PENDING
0.001092,0,0,0,0,0,0
0.002567,0,0,0,0,0,0
0.004008,0,0,0,0,0,0
0.005444,0,0,0,0,0,0
0.006878,0,0,0,0,0,0
0.008310,0,0,0,0,0,0
0.009762,0,0,0,0,0,0
0.011413,0,0,0,0,0,0
0.012851,0,0,0,0,0,0
0.014352,0,0,0,0,0,0
0.015796,0,0,0,0,0,0
0.017267,0,0,0,0,0,0
0.018703,0,0,0,0,0,0
0.020134,0,0,0,0,0,0
0.021588,0,0,0,0,0,0
0.022982,0,0,0,0,0,0
0.024371,0,0,0,0,0,0
0.025762,0,0,0,0,0,0
0.027154,0,0,0,0,0,0
0.028544,0,0,0,0,0,0
0.029982,0,0,0,0,0,0
0.031395,0,0,0,0,0,0
0.032786,0,0,0,0,0,0
0.034179,0,0,0,0,0,0
0.035564,0,0,0,0,0,0
0.036946,0,0,0,0,0,0
0.038348,0,0,0,0,0,0
0.039713,0,0,0,0,0,0
0.041078,0,0,0,0,0,0
0.042455,0,0,0,0,0,0
0.043820,0,0,0,0,0,0
0.045185,0,0,0,0,0,0
0.046550,0,0,0,0,0,0
0.047916,0,0,0,0,0,0
0.049284,0,0,0,0,0,0
0.050650,0,0,0,0,0,0
0.052013,0,0,0,0,0,0
0.053451,0,0,0,0,0,0
0.054846,0,0,0,0,0,0
0.056173,0,0,0,0,0,0
0.057536,0,0,0,0,0,0
0.058853,0,0,0,0,0,0
0.060165,0,0,0,0,0,0
0.061478,0,0,0,0,0,0
0.062787,0,0,0,0,0,0
0.064106,0,0,0,0,0,0
0.065464,0,0,0,0,0,0
0.066773,0,0,0,0,0,0
0.068086,0,0,0,0,0,0
0.069400,0,0,0,0,0,0
0.070712,0,0,0,0,0,0
0.072024,0,0,0,0,0,0
0.073383,0,0,0,0,0,0
0.074701,0,0,0,0,0,0
0.076013,0,0,0,0,0,0
0.077322,0,0,0,0,0,0
0.078594,0,0,0,0,0,0
0.079921,0,0,0,0,0,0
0.081260,0,0,0,0,0,0
0.082545,0,0,0,0,0,0
0.083820,0,0,0,0,0,0
0.085154,0,0,0,0,0,0
0.086429,0,0,0,0,0,0
0.087703,0,0,0,0,0,0
0.089034,0,0,0,0,0,0
0.090310,0,0,0,0,0,0
0.091586,0,0,0,0,0,0
0.092861,0,0,0,0,0,0
0.094205,0,0,0,0,0,0
0.095574,0,0,0,0,0,0
0.097220,0,0,0,0,0,0
0.098657,0,0,0,0,0,0
0.099971,0,0,0,0,0,0
0.101333,0,0,0,0,0,0
0.102646,0,0,0,0,0,0
0.103956,0,0,0,0,0,0
0.105318,0,0,0,0,0,0
0.106641,0,0,0,0,0,0
0.108032,0,0,0,0,0,0
0.109464,0,0,0,0,0,0
0.110847,0,0,0,0,0,0
0.112229,0,0,0,0,0,0
0.113662,0,0,0,0,0,0
0.115045,0,0,0,0,0,0
0.116427,16,0,0,0,0,0
0.117624,0,0,0,0,0,0
0.119001,0,0,0,0,0,0
0.120378,0,0,0,0,0,0
0.121804,0,0,0,0,0,0
0.123181,0,0,0,0,0,0
0.124557,0,0,0,0,0,0
0.125983,0,0,0,0,0,0
0.127363,0,0,0,0,0,0
0.128740,0,0,0,0,0,0
0.130083,0,0,0,0,0,0
0.131461,0,0,0,0,0,0
0.132841,0,0,0,0,0,0
0.134220,0,0,0,0,0,0
0.135600,0,0,0,0,0,0
0.136980,0,0,0,0,0,0
0.138261,0,0,0,0,0,0
0.139641,0,0,0,0,0,0
0.141020,0,0,0,0,0,0
0.142290,0,0,0,0,0,0
0.143567,0,0,0,0,0,0
0.144947,0,0,0,0,0,0
0.146325,0,0,0,0,0,0
0.147594,0,0,0,0,0,0
0.148978,0,0,0,0,0,0
0.150388,0,0,0,0,0,0
0.151808,0,0,0,0,0,0
0.153311,0,0,0,0,0,0
0.154773,0,0,0,0,0,0
0.156161,0,0,0,0,0,0
0.157554,0,0,0,0,0,0
0.158946,0,0,0,0,0,0
0.160346,0,0,0,0,0,0
0.161741,0,0,0,0,0,0
0.163140,0,0,0,0,0,0
0.164537,0,0,0,0,0,0
0.165974,0,0,0,0,0,0
0.167373,0,0,0,0,0,0
0.168902,0,0,0,0,0,0
0.170475,0,0,0,0,0,0
0.172053,0,0,0,0,0,0
0.173621,0,0,0,0,0,0
0.175187,0,0,0,0,0,0
0.176752,0,0,0,0,0,0
0.178322,0,0,0,0,0,0
0.179887,0,0,0,0,0,0
0.181543,0,0,0,0,0,0
0.183122,0,0,0,0,0,0
0.184687,0,0,0,0,0,0
0.186316,0,0,0,0,0,0
0.187871,0,0,0,0,0,0
0.189300,0,0,0,0,0,0
0.190833,0,0,0,0,0,0
0.192395,0,0,0,0,0,0
0.194038,0,0,0,0,0,0
0.195615,0,0,0,0,0,0
0.197445,0,0,0,0,0,0
0.198854,0,0,0,0,0,0
0.200251,0,0,0,0,0,0
0.201650,0,0,0,0,0,0
0.203046,0,0,0,0,0,0
0.204456,0,0,0,0,0,0
0.205986,0,0,0,0,0,0
0.207548,0,0,0,0,0,0
0.209113,0,0,0,0,0,0
0.210675,0,0,0,0,0,0
0.212268,0,0,0,0,0,0
0.213726,0,0,0,0,0,0
0.215140,0,0,0,0,0,0
0.216540,0,0,0,0,0,0
0.217939,0,0,0,0,0,0
0.219335,0,0,0,0,0,0
0.220731,0,0,0,0,0,0
0.222210,0,0,0,0,0,0
0.223737,0,0,0,0,0,0
0.225315,0,0,0,0,0,0
0.226878,0,0,0,0,0,0
0.228439,0,0,0,0,0,0
0.230003,0,0,0,0,0,0
0.231564,0,0,0,0,0,0
0.233000,0,0,0,0,0,0
0.234591,0,0,0,0,0,0
0.236163,0,0,0,0,0,0
0.237606,0,0,0,0,0,0
0.239144,0,0,0,0,0,0
0.240708,0,0,0,0,0,0
0.242356,0,0,0,0,0,0
0.243919,0,0,0,0,0,0
0.245539,0,0,0,0,0,0
0.247119,0,0,0,0,0,0
0.248682,0,0,0,0,0,0
0.250303,0,0,0,0,0,0
0.251867,0,0,0,0,0,0
0.253435,0,0,0,0,0,0
0.255000,0,0,0,0,0,0
0.256559,0,0,0,0,0,0
0.258135,0,0,0,0,0,0
0.259700,0,0,0,0,0,0
0.261308,0,0,0,0,0,0
0.262874,0,0,0,0,0,0
0.264437,0,0,0,0,0,0
0.266001,0,0,0,0,0,0
0.267566,0,0,0,0,0,0
0.269146,0,0,0,0,0,0
0.270712,0,0,0,0,0,0
0.272275,0,0,0,0,0,0
0.273842,0,0,0,0,0,0
0.275407,0,0,0,0,0,0
0.276971,0,0,0,0,0,0
0.278533,0,0,0,0,0,0
0.279947,0,0,0,0,0,0
0.281482,0,0,0,0,0,0
0.283092,0,0,0,0,0,0
0.284656,0,0,0,0,0,0
0.286272,0,0,0,0,0,0
0.287837,0,0,0,0,0,0
0.289404,0,0,0,0,0,0
0.290982,0,0,0,0,0,0
0.292545,0,0,0,0,0,0
0.294111,0,0,0,0,0,0
0.295676,0,0,0,0,0,0
0.297242,0,0,0,0,0,0
0.298808,0,0,0,0,0,0
0.300372,0,0,0,0,0,0
0.301952,0,0,0,0,0,0
0.303517,0,0,0,0,0,0
0.305085,0,0,0,0,0,0
0.306650,0,0,0,0,0,0
0.308214,0,0,0,0,0,0
0.309863,0,0,0,0,0,0
0.311428,0,0,0,0,0,0
0.313072,0,0,0,0,0,0
0.314693,0,0,0,0,0,0
0.316247,0,0,0,0,0,0
0.317684,0,0,0,0,0,0
0.319222,0,0,0,0,0,0
0.320786,0,0,0,0,0,0
0.322354,0,0,0,0,0,0
0.323946,0,0,0,0,0,0
0.325558,0,0,0,0,0,0
0.327124,0,0,0,0,0,0
0.328688,0,0,0,0,0,0
0.330315,0,0,0,0,0,0
0.331879,0,0,0,0,0,0
0.333449,0,0,0,0,0,0
0.335024,0,0,0,0,0,0
