elapsed_s,VPC_BE_STALL_CYCLES_HLSQ_PRIM_ALLOC,VPC_BE_STALL_CYCLES_SP_LM,VPC_BE_NUM_PA_REQ,VPC_BE_NUM_LM_REQ_HIT,VPC_BE_NUM_ATTR_REQ_LM,VPC_BE_LM_TRANSACTION
0.001094,0,0,0,0,0,0
0.002776,0,0,0,0,0,0
0.004215,0,0,0,0,0,0
0.005646,0,0,0,0,0,0
0.007151,0,0,0,0,0,0
0.008586,0,0,0,0,0,0
0.010027,0,0,0,0,0,0
0.011459,0,0,0,0,0,0
0.012878,0,0,0,0,0,0
0.014317,0,0,0,0,0,0
0.015986,0,0,0,0,0,0
0.017479,0,0,0,0,0,0
0.018880,0,0,0,0,0,0
0.020271,0,0,0,0,0,0
0.021638,0,0,0,0,0,0
0.023001,0,0,0,0,0,0
0.024416,0,0,0,0,0,0
0.025782,0,0,0,0,0,0
0.027146,0,0,0,0,0,0
0.028511,0,0,0,0,0,0
0.029877,0,0,0,0,0,0
0.031249,0,0,0,0,0,0
0.032651,0,0,0,0,0,0
0.033998,0,0,0,0,0,0
0.035310,0,0,0,0,0,0
0.036673,0,0,0,0,0,0
0.037984,0,0,0,0,0,0
0.039297,0,0,0,0,0,0
0.040609,0,0,0,0,0,0
0.041954,0,0,0,0,0,0
0.043290,0,0,0,0,0,0
0.044635,0,0,0,0,0,0
0.045912,0,0,0,0,0,0
0.047186,0,0,0,0,0,0
0.048459,0,0,0,0,0,0
0.049743,0,0,0,0,0,0
0.051016,0,0,0,0,0,0
0.052294,0,0,0,0,0,0
0.053568,0,0,0,0,0,0
0.054840,0,0,0,0,0,0
0.056112,0,0,0,0,0,0
0.057385,0,0,0,0,0,0
0.058658,0,0,0,0,0,0
0.059930,0,0,0,0,0,0
0.061204,0,0,0,0,0,0
0.062483,0,0,0,0,0,0
0.063755,0,0,0,0,0,0
0.065029,0,0,0,0,0,0
0.066304,0,0,0,0,0,0
0.067579,0,0,0,0,0,0
