elapsed_s,TSE_BE_FACENESS_CULLED_PRIM,TSE_BE_ZERO_PIXEL_PRIM,TSE_BE_OUTPUT_NULL_PRIM,TSE_BE_OUTPUT_VISIBLE_PRIM
0.001100,0,0,0,0
0.002521,0,0,0,0
0.003902,0,0,0,0
0.005319,0,0,0,0
0.006718,0,0,0,0
0.008068,0,0,0,0
0.009529,0,0,0,0
0.010906,0,0,0,0
0.012255,0,0,0,0
0.013649,0,0,0,0
0.014948,0,0,0,0
0.016244,0,0,0,0
0.017679,0,0,0,0
0.019045,0,0,0,0
0.020422,0,0,0,0
0.021777,0,0,0,0
0.023090,0,0,0,0
0.024411,0,0,0,0
0.025691,0,0,0,0
0.026960,0,0,0,0
0.028224,0,0,0,0
0.029493,0,0,0,0
0.030758,0,0,0,0
0.032028,0,0,0,0
0.033343,0,0,0,0
0.034660,0,0,0,0
0.035928,0,0,0,0
0.037195,0,0,0,0
0.038510,0,0,0,0
0.039775,0,0,0,0
0.041090,0,0,0,18
0.042310,0,0,0,0
0.043687,0,0,0,0
0.045002,0,0,0,0
0.046303,0,0,0,0
0.047619,0,0,0,0
0.048945,0,0,0,0
0.050262,0,0,0,0
0.051579,0,0,0,0
0.052901,0,0,0,0
0.054247,0,0,0,0
0.055594,0,0,0,0
0.056940,0,0,0,0
0.058288,0,0,0,0
0.059635,0,0,0,0
0.060982,0,0,0,0
0.062330,0,0,0,0
0.063682,0,0,0,0
0.065028,0,0,0,0
0.066261,0,0,0,0
0.067721,0,0,0,0
0.069081,0,0,0,0
0.070391,0,0,0,0
0.071688,0,0,0,0
0.073034,0,0,0,0
0.074392,0,0,0,0
0.075691,0,0,0,0
0.077035,0,0,0,0
0.078299,0,0,0,0
0.079563,0,0,0,0
0.080875,0,0,0,0
0.082140,0,0,0,0
0.083403,0,0,0,0
0.084725,0,0,0,0
0.085919,0,0,0,0
0.087341,0,0,0,0
0.088762,0,0,0,0
0.090181,0,0,0,0
0.091599,0,0,0,0
0.093018,0,0,0,0
0.094439,0,0,0,0
0.095866,0,0,0,0
0.097291,0,0,0,0
0.098710,0,0,0,0
0.100041,0,0,0,0
0.101490,0,0,0,0
0.102863,0,0,0,0
0.104284,0,0,0,0
0.105743,0,0,0,0
0.107189,0,0,0,0
0.108704,0,0,0,0
0.110170,0,0,0,0
0.111552,0,0,0,0
0.112933,0,0,0,0
0.114311,0,0,0,0
0.115688,0,0,0,0
0.117069,0,0,0,0
0.118461,0,0,0,0
0.119840,0,0,0,0
0.121220,0,0,0,0
0.122600,0,0,0,0
0.123980,0,0,0,0
0.125361,0,0,0,0
0.126745,0,0,0,0
0.128132,0,0,0,0
0.129599,0,0,0,0
0.130978,0,0,0,0
0.132357,0,0,0,0
0.133811,0,0,0,0
0.135202,0,0,0,0
0.136726,0,0,0,0
0.138282,0,0,0,0
0.139844,0,0,0,0
0.141398,0,0,0,0
0.142955,0,0,0,0
0.144510,0,0,0,0
0.146062,0,0,0,0
0.147614,0,0,0,0
0.149258,0,0,0,0
0.150825,0,0,0,0
0.152380,0,0,0,0
0.153904,0,0,0,0
0.155297,0,0,0,0
0.156860,0,0,0,0
0.158718,0,0,0,0
0.160130,0,0,0,0
0.161542,0,0,0,0
0.162932,0,0,0,0
0.164320,0,0,0,0
0.165746,0,0,0,0
0.167133,0,0,0,0
0.168741,0,0,0,0
0.170294,0,0,0,0
0.171858,0,0,0,0
0.173411,0,0,0,0
0.174964,0,0,0,0
0.176518,0,0,0,0
0.178071,0,0,0,0
0.179621,0,0,0,0
0.181219,0,0,0,0
0.182787,0,0,0,0
0.184337,0,0,0,0
0.185891,0,0,0,0
0.187442,0,0,0,0
0.189039,0,0,0,0
0.190593,0,0,0,0
0.192144,0,0,0,0
0.193715,0,0,0,0
0.195266,0,0,0,0
0.196863,0,0,0,0
0.198417,0,0,0,0
0.199967,0,0,0,0
0.201520,0,0,0,0
0.203074,0,0,0,0
0.204683,0,0,0,0
0.206228,0,0,0,0
0.207769,0,0,0,0
0.209191,0,0,0,0
0.210716,0,0,0,0
0.212268,0,0,0,0
0.213872,0,0,0,0
0.215435,0,0,0,0
0.216990,0,0,0,0
0.218543,0,0,0,0
0.220094,0,0,0,0
0.221694,0,0,0,0
0.223245,0,0,0,0
0.224799,0,0,0,0
0.226365,0,0,0,0
0.227917,0,0,0,0
0.229469,0,0,0,0
0.231019,0,0,0,0
0.232571,0,0,0,0
0.234114,0,0,0,0
0.235577,0,0,0,0
0.236987,0,0,0,0
0.238377,0,0,0,0
0.239763,0,0,0,0
0.241153,0,0,0,0
0.242540,0,0,0,0
0.243926,0,0,0,0
0.245445,0,0,0,0
0.246999,0,0,0,0
0.248567,0,0,0,0
0.250120,0,0,0,0
0.251672,0,0,0,0
0.253228,0,0,0,0
0.254782,0,0,0,0
0.256333,0,0,0,0
0.257891,0,0,0,0
0.259455,0,0,0,0
0.261052,0,0,0,0
0.262606,0,0,0,0
0.264154,0,0,0,0
0.265709,0,0,0,0
0.267258,0,0,0,0
0.268854,0,0,0,0
0.270419,0,0,0,0
0.271968,0,0,0,0
0.273519,0,0,0,0
0.275071,0,0,0,0
0.276680,0,0,0,0
0.278232,0,0,0,0
0.279781,0,0,0,0
0.281345,0,0,0,0
0.282897,0,0,0,0
0.284493,0,0,0,0
0.286044,0,0,0,0
0.287595,0,0,0,0
0.289147,0,0,0,0
0.290605,0,0,0,0
0.292169,0,0,0,0
0.293768,0,0,0,0
0.295318,0,0,0,0
0.296872,0,0,0,0
0.298424,0,0,0,0
0.299972,0,0,0,0
0.301524,0,0,0,0
0.303088,0,0,0,0
0.304641,0,0,0,0
0.306206,0,0,0,0
0.307755,0,0,0,0
0.309307,0,0,0,0
0.310858,0,0,0,0
0.312501,0,0,0,0
0.313935,0,0,0,0
0.315364,0,0,0,0
0.316795,0,0,0,0
0.318183,0,0,0,0
0.319567,0,0,0,0
0.320953,0,0,0,0
0.322338,0,0,0,0
0.324026,0,0,0,0
0.325644,0,0,0,0
0.328150,0,0,0,0
0.329708,0,0,0,0
0.331090,0,0,0,0
0.332586,0,0,0,0
0.334048,0,0,0,0
0.335424,0,0,0,0
0.336774,0,0,0,0
0.338114,0,0,0,0
0.339449,0,0,0,0
0.340806,0,0,0,0
0.342195,0,0,0,0
0.343702,0,0,0,0
0.345121,0,0,0,0
0.346520,0,0,0,0
0.347902,0,0,0,0
0.349284,0,0,0,0
0.350667,0,0,0,0
0.352094,0,0,0,0
0.353795,0,0,0,0
0.355302,0,0,0,0
0.356735,0,0,0,0
0.358259,0,0,0,0
0.359810,0,0,0,0
0.361363,0,0,0,0
0.362915,0,0,0,0
0.364514,0,0,0,0
0.366068,0,0,0,0
0.367632,0,0,0,0
0.369187,0,0,0,0
0.370731,0,0,0,0
0.372273,0,0,0,0
0.373666,0,0,0,0
0.375058,0,0,0,0
0.376577,0,0,0,0
0.378140,0,0,0,0
0.379690,0,0,0,0
0.381242,0,0,0,0
0.382793,0,0,0,0
0.384343,0,0,0,0
0.385939,0,0,0,0
0.387488,0,0,0,0
0.389097,0,0,0,0
0.390649,0,0,0,0
0.392198,0,0,0,0
0.393754,0,0,0,0
0.395302,0,0,0,0
0.396897,0,0,0,0
0.398327,0,0,0,0
0.399865,0,0,0,0
0.401418,0,0,0,0
0.402970,0,0,0,0
0.404583,0,0,0,0
0.405969,0,0,0,0
0.407362,0,0,0,0
0.408882,0,0,0,0
0.410454,0,0,0,0
0.412004,0,0,0,0
0.413557,0,0,0,0
0.415116,0,0,0,0
0.416654,0,0,0,0
0.418545,0,0,0,0
0.420028,0,0,0,0
0.421453,0,0,0,0
0.423092,0,0,0,0
0.424672,0,0,0,18
0.426124,0,0,0,0
0.427503,0,0,0,0
0.428898,0,0,0,0
0.430285,0,0,0,0
0.431679,0,0,0,0
0.433062,0,0,0,0
0.434442,0,0,0,0
0.435825,0,0,0,0
0.437209,0,0,0,0
0.438716,0,0,0,0
0.440258,0,0,0,0
0.441816,0,0,0,0
0.443377,0,0,0,0
0.444863,0,0,0,0
0.446295,0,0,0,0
