elapsed_s,TSE_REG_PROGRAMMING_ONLY_CYCLE_L0,TSE_COMMON_RAM_WORKING_CYCLE_L2,TSE_COMMON_RAM_RD_WORKING_CYCLE_L3,TSE_COMMON_RAM_WR_WORKING_CYCLE_L3
0.001096,0,0,0,0
0.002550,0,0,0,0
0.004181,0,0,0,0
0.005610,0,0,0,0
0.007189,0,0,0,0
0.008622,0,0,0,0
0.010042,0,0,0,0
0.011465,0,0,0,0
0.012883,0,0,0,0
0.014241,0,0,0,0
0.015626,0,0,0,0
0.017229,0,0,0,0
0.018625,0,0,0,0
0.020129,0,0,0,0
0.021548,0,0,0,0
0.022961,0,0,0,0
0.024377,0,0,0,0
0.025791,0,0,0,0
0.027239,0,0,0,0
0.028655,0,0,0,0
0.030089,0,0,0,0
0.031528,0,0,0,0
0.033126,0,0,0,0
0.034693,0,0,0,0
0.036105,0,0,0,0
0.037518,0,0,0,0
0.038931,0,0,0,0
0.040419,0,0,0,0
0.042004,0,0,0,0
0.043554,0,0,0,0
0.045139,0,0,0,0
0.046548,0,0,0,0
0.048031,0,0,0,0
0.049425,0,0,0,0
0.050915,0,0,0,0
0.052333,0,0,0,0
0.055121,0,0,0,0
0.057268,0,0,0,0
0.059542,0,0,0,0
0.061017,0,0,0,0
0.063275,0,0,0,0
0.065392,0,0,0,0
0.066767,0,0,0,0
0.068159,0,0,0,0
0.069536,0,0,0,0
0.070841,0,0,0,0
0.072153,0,0,0,0
0.073458,0,0,0,0
0.074757,0,0,0,0
0.076062,0,0,0,0
0.077465,0,0,0,0
0.078834,0,0,0,0
0.080135,0,0,0,0
0.081434,0,0,0,0
0.082732,0,0,0,0
0.084087,0,0,0,0
0.085471,0,0,0,0
0.086910,0,0,0,0
0.088194,0,0,0,0
0.089572,0,0,0,0
0.090996,0,0,0,0
0.092369,0,0,0,0
0.093744,0,0,0,0
0.095175,0,0,0,0
0.096552,0,0,0,0
0.097929,0,0,0,0
0.099309,0,0,0,0
0.100724,0,0,0,0
0.102022,0,0,0,0
0.103482,0,0,0,0
0.104897,0,0,0,0
0.106326,0,0,0,0
0.107702,0,0,0,0
0.109077,0,0,0,0
0.110451,0,0,0,0
0.111858,0,0,0,0
0.113232,0,0,0,0
0.114609,0,0,0,0
0.115986,0,0,0,0
0.117369,0,0,0,0
0.118745,0,0,0,0
0.120011,0,0,0,0
0.121387,0,0,0,0
0.122762,0,0,0,0
0.123906,0,0,0,0
0.125283,0,0,0,0
0.126654,0,0,0,0
0.128029,0,0,0,0
0.129399,0,0,0,0
0.130771,0,0,0,0
0.132141,0,0,0,0
0.133510,0,0,0,0
0.134930,0,0,0,0
0.136302,0,0,0,0
0.137673,0,0,0,0
0.138952,0,0,0,0
0.140324,0,0,0,0
0.141696,0,0,0,0
0.143068,0,0,0,0
0.144439,0,0,0,0
0.145811,0,0,0,0
