elapsed_s,TSE_CLIP_VP_FMUL_0_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_1_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_2_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_3_WORKING_CYCLE_L3
0.001096,0,0,0,0
0.002548,0,0,0,0
0.003975,0,0,0,0
0.005409,0,0,0,0
0.006825,0,0,0,0
0.008238,0,0,0,0
0.009664,0,0,0,0
0.011078,0,0,0,0
0.012493,0,0,0,0
0.013907,0,0,0,0
0.015318,0,0,0,0
0.016727,0,0,0,0
0.018151,0,0,0,0
0.019519,0,0,0,0
0.020944,0,0,0,0
0.022301,0,0,0,0
0.023643,0,0,0,0
0.025078,0,0,0,0
0.026426,0,0,0,0
0.027773,0,0,0,0
0.029141,0,0,0,0
0.030489,0,0,0,0
0.031844,0,0,0,0
0.033190,0,0,0,0
0.034486,0,0,0,0
0.035783,0,0,0,0
0.037151,0,0,0,0
0.038453,0,0,0,0
0.039750,0,0,0,0
0.041056,0,0,0,0
0.042358,0,0,0,0
0.043657,0,0,0,0
0.044977,0,0,0,0
0.046274,0,0,0,0
0.047571,0,0,0,0
0.048868,0,0,0,0
0.050165,0,0,0,0
0.051463,0,0,0,0
0.052763,0,0,0,0
0.054027,0,0,0,0
0.055301,0,0,0,0
0.056564,0,0,0,0
0.057828,0,0,0,0
0.059143,0,0,0,0
0.060408,0,0,0,0
0.061674,0,0,0,0
0.063021,0,0,0,0
0.064345,0,0,0,0
0.065663,0,0,0,0
0.066979,0,0,0,0
0.068295,0,0,0,0
0.069645,0,0,0,0
0.070994,0,0,0,0
0.072342,0,0,0,0
0.073696,0,0,0,0
0.075044,0,0,0,0
0.076392,0,0,0,0
0.077735,0,0,0,0
0.079142,0,0,0,0
0.080697,0,0,0,0
0.082112,0,0,0,0
0.083410,0,0,0,0
0.084763,0,0,0,0
0.086061,0,0,0,0
0.087358,0,0,0,0
0.088657,0,0,0,0
0.089954,0,0,0,0
0.091251,0,0,0,0
0.092548,0,0,0,0
0.093844,0,0,0,0
