elapsed_s,RAS_STARVE_CYCLES_TSE,RAS_SUPER_TILES,RAS_8X4_TILES,RAS_MASKGEN_ACTIVE
0.001093,11838,0,0,0
0.002659,11793,0,0,0
0.004078,13779,0,0,0
0.005495,13506,0,0,0
0.006910,12855,0,0,0
0.008323,13485,0,0,0
0.009740,13047,0,0,0
0.011167,13329,0,0,0
0.012582,12495,0,0,0
0.013995,13536,0,0,0
0.015411,11910,0,0,0
0.016825,12054,0,0,0
0.018313,12786,0,0,0
0.019677,13410,0,0,0
0.021024,13491,0,0,0
0.022462,13227,0,0,0
0.023811,12969,0,0,0
0.025159,12969,0,0,0
0.026565,12897,0,0,0
0.027916,12969,0,0,0
0.029262,12033,0,0,0
0.030621,11742,0,0,0
0.031968,11958,0,0,0
0.033379,11985,0,0,0
0.034676,12558,0,0,0
0.035973,13221,0,0,0
0.037270,11913,0,0,0
0.038615,13191,0,0,0
0.039913,11670,0,0,0
0.041210,12174,0,0,0
0.042518,12411,0,0,0
0.043819,12273,0,0,0
0.045115,11535,0,0,0
0.046488,10260,0,0,0
0.047776,10236,0,0,0
0.049051,10320,0,0,0
0.050317,10530,0,0,0
0.051582,10440,0,0,0
0.052846,10209,0,0,0
0.054164,10236,0,0,0
0.055427,10314,0,0,0
0.056690,10494,0,0,0
0.057963,10710,0,0,0
0.059227,10557,0,0,0
0.060548,11817,0,0,0
0.061821,10452,0,0,0
0.063143,11793,0,0,0
0.064431,11556,0,0,0
0.065698,11793,0,0,0
0.066963,11796,0,0,0
0.068231,11778,0,0,0
0.069545,10263,0,0,0
0.070808,10425,0,0,0
0.072073,10374,0,0,0
0.073342,11562,0,0,0
0.074611,11859,0,0,0
0.075876,11904,0,0,0
0.077141,10734,0,0,0
0.078485,13479,0,0,0
0.079788,16590,0,0,0
0.081453,11688,0,0,0
0.082865,12291,0,0,0
0.084158,12744,0,0,0
0.085508,11913,0,0,0
0.086807,11757,0,0,0
0.088104,11778,0,0,0
0.089400,11625,0,0,0
0.090697,12453,0,0,0
0.091995,12030,0,0,0
0.093292,11190,0,0,0
0.094566,10167,0,0,0
0.095838,10707,0,0,0
0.097104,11256,0,0,0
0.098402,11889,0,0,0
0.099666,10254,0,0,0
0.100978,4140,0,0,0
0.102189,26253,0,0,0
0.103572,14052,0,0,0
0.104946,13176,0,0,0
0.106362,19401,0,0,0
0.107732,14475,0,0,0
0.109101,14793,0,0,0
0.110490,14049,0,0,0
0.111860,14547,0,0,0
0.113229,14784,0,0,0
0.114510,14127,0,0,0
0.115937,14973,0,0,0
0.117314,14031,0,0,0
0.118624,14367,0,0,0
0.120082,15213,0,0,0
0.121511,15324,0,0,0
0.122972,13302,0,0,0
0.124439,13881,0,0,0
0.125909,14829,0,0,0
0.127183,13731,0,0,0
0.128561,13908,0,0,0
0.130240,14673,0,0,0
0.131799,14265,0,0,0
0.133902,14589,0,0,0
0.135325,13197,0,0,0
0.136732,14139,0,0,0
0.138123,14262,0,0,0
0.139515,14112,0,0,0
0.140896,13785,0,0,0
0.142276,14073,0,0,0
0.143785,14145,0,0,0
0.145325,13545,0,0,0
0.146893,13956,0,0,0
0.148279,15237,0,0,0
0.149673,13689,0,0,0
0.151054,13815,0,0,0
0.152433,13338,0,0,0
0.154146,14373,0,0,0
0.156501,15009,0,0,0
0.158649,13965,0,0,0
0.160058,18183,0,0,0
0.161492,15237,0,0,0
0.162876,14226,0,0,0
0.164255,15327,0,0,0
0.165635,14880,0,0,0
0.167142,14991,0,0,0
0.168683,14064,0,0,0
0.170112,13425,0,0,0
0.171628,13299,0,0,0
0.173169,14076,0,0,0
0.174649,13407,0,0,0
0.176047,13917,0,0,0
0.177517,14289,0,0,0
0.178906,15441,0,0,0
0.180304,14232,0,0,0
0.181693,13884,0,0,0
0.183210,14979,0,0,0
0.184761,14670,0,0,0
0.186315,14556,0,0,0
0.187868,13539,0,0,0
0.189422,14664,0,0,0
0.190988,14664,0,0,0
0.192540,14484,0,0,0
0.194138,14544,0,0,0
0.195692,14433,0,0,0
0.197243,14154,0,0,0
0.198793,13509,0,0,0
0.200335,14172,0,0,0
0.201764,13611,0,0,0
0.203285,14256,0,0,0
0.204709,14214,0,0,0
0.206276,14007,0,0,0
0.207828,14169,0,0,0
0.209426,14715,0,0,0
0.210978,13815,0,0,0
0.212540,14199,0,0,0
0.214095,15480,0,0,0
0.215647,14205,0,0,0
0.217197,13398,0,0,0
0.218755,13200,0,0,0
0.220303,13371,0,0,0
0.221856,14400,0,0,0
0.223420,13743,0,0,0
0.224970,14988,0,0,0
0.226391,13419,0,0,0
0.227912,13683,0,0,0
0.229464,13785,0,0,0
0.231016,14847,0,0,0
0.232565,15594,0,0,0
0.234003,16008,0,0,0
0.235524,14133,0,0,0
0.237093,13533,0,0,0
0.238605,13830,0,0,0
0.240028,13881,0,0,0
0.241460,14820,0,0,0
0.242855,14679,0,0,0
0.244252,13848,0,0,0
0.245641,14025,0,0,0
0.247027,14322,0,0,0
0.248411,13581,0,0,0
0.249797,13965,0,0,0
0.251181,14868,0,0,0
0.252565,13968,0,0,0
0.253950,14607,0,0,0
0.255343,14436,0,0,0
0.256727,13581,0,0,0
0.258150,15006,0,0,0
0.259534,13938,0,0,0
0.260918,14508,0,0,0
0.262304,15075,0,0,0
0.263689,14283,0,0,0
0.265073,13926,0,0,0
0.266468,13848,0,0,0
0.267852,14403,0,0,0
