elapsed_s,RAS_FULLY_COVERED_SUPER_TILES,RAS_FULLY_COVERED_8X4_TILES,RAS_PRIM_KILLED_INVISILBE,RAS_SUPERTILE_GEN_ACTIVE_CYCLES
0.001098,0,0,0,0
0.002554,0,0,0,0
0.003977,0,0,0,0
0.005487,0,0,0,0
0.006903,0,0,0,0
0.008340,0,0,0,0
0.009767,0,0,0,0
0.011180,0,0,0,0
0.012596,0,0,0,0
0.014012,0,0,0,0
0.015425,0,0,0,0
0.016837,0,0,0,0
0.018275,0,0,0,0
0.019693,0,0,0,0
0.021146,0,0,0,0
0.022550,0,0,0,0
0.023944,0,0,0,0
0.025307,0,0,0,0
0.026649,0,0,0,0
0.027989,0,0,0,0
0.029362,0,0,0,0
0.030705,0,0,0,0
0.032057,0,0,0,0
0.033560,0,0,0,0
0.034920,0,0,0,0
0.036310,0,0,0,0
0.037650,0,0,0,0
0.038987,0,0,0,0
0.040325,0,0,0,0
0.041678,0,0,0,0
0.043030,0,0,0,0
0.044363,0,0,0,0
0.045676,0,0,0,0
0.046988,0,0,0,0
0.048300,0,0,0,0
0.049615,0,0,0,0
0.050929,0,0,0,0
0.052243,0,0,0,0
0.053565,0,0,0,0
0.054881,0,0,0,0
0.056279,0,0,0,0
0.057601,0,0,0,0
0.058916,0,0,0,0
0.060262,0,0,0,0
0.061528,0,0,0,0
0.062792,0,0,0,0
0.064060,0,0,0,0
0.065345,0,0,0,0
0.066610,0,0,0,0
0.067874,0,0,0,0
0.069139,0,0,0,0
0.070403,0,0,0,0
0.071669,0,0,0,0
0.072932,0,0,0,0
0.074204,0,0,0,0
0.075474,0,0,0,0
0.076738,0,0,0,0
0.078002,0,0,0,0
0.079326,0,0,0,0
0.080601,0,0,0,0
0.081948,0,0,0,0
0.083226,0,0,0,0
0.084552,0,0,0,0
0.085820,0,0,0,0
0.087084,0,0,0,0
0.088398,0,0,0,0
0.089699,0,0,0,0
0.090998,0,0,0,0
0.092359,0,0,0,0
0.093713,0,0,0,0
0.095085,0,0,0,0
0.096434,0,0,0,0
0.097812,0,0,0,0
