elapsed_s,RBBM_US_VSC_BUSY,RBBM_US_UCHE_BUSY,RBBM_US_HLSQ_BUSY,RBBM_S_HLSQ_BUSY
0.001062,0,0,104,0
0.002582,0,0,104,0
0.003983,0,0,104,0
0.005364,0,0,104,0
0.006745,0,0,104,0
0.008127,0,0,104,0
0.009524,0,0,104,0
0.011005,0,0,104,0
0.012546,0,0,104,0
0.013903,0,0,104,0
0.015579,0,0,104,0
0.016949,0,0,104,0
0.018304,0,0,104,0
0.019655,0,0,104,0
0.020997,0,0,104,0
0.022338,0,0,104,0
0.023681,0,0,104,0
0.025023,0,0,104,0
0.026355,0,0,104,0
0.027660,0,0,104,0
0.028965,0,0,104,0
0.030374,0,0,104,0
0.031641,0,0,104,0
0.032919,0,0,104,0
0.034176,0,0,104,0
0.035517,0,0,104,0
0.036872,0,0,104,0
0.038217,0,0,104,0
0.039611,0,0,104,0
0.041064,0,0,104,0
0.042439,0,0,104,0
0.043822,0,0,104,0
0.045201,0,0,104,0
0.046628,0,0,104,0
0.048100,0,0,104,0
0.049491,0,0,104,0
0.050902,0,0,104,0
0.052318,0,0,104,0
0.053706,0,0,104,0
0.055160,0,0,104,0
0.056747,109,1897,1830,0
0.058142,0,0,104,0
0.059524,0,0,104,0
0.060904,0,0,104,0
0.062333,0,0,104,0
0.063715,0,0,104,0
0.065093,0,0,104,0
0.066475,533,411503,272728,0
0.067715,207,186808,119388,0
0.069096,0,0,104,0
0.070501,0,0,104,0
0.071883,0,0,104,0
0.073278,0,0,104,0
0.074663,0,0,104,0
0.076047,0,0,104,0
0.077430,0,0,104,0
0.078836,0,0,104,0
0.080225,0,0,104,0
0.081604,0,0,104,0
0.082983,0,0,104,0
0.084377,0,0,104,0
0.085756,0,0,104,0
0.087210,0,0,104,0
0.088590,0,0,104,0
0.090014,0,0,104,0
0.091408,0,0,104,0
0.092785,0,0,104,0
0.094251,0,0,104,0
0.097087,0,0,104,0
0.098469,0,0,104,0
0.099849,0,0,104,0
0.101227,0,0,104,0
0.102607,0,0,104,0
0.103986,0,0,104,0
0.105364,0,0,104,0
0.106744,0,0,104,0
0.108134,0,0,104,0
0.109513,0,0,104,0
0.110895,0,0,104,0
0.112280,0,0,104,0
0.113667,0,0,104,0
0.115087,0,0,104,0
0.116602,0,0,104,0
0.118150,0,0,104,0
0.119873,0,0,104,0
0.121423,0,0,104,0
0.122975,0,0,104,0
0.124524,0,0,104,0
0.126074,0,0,104,0
0.127628,0,0,104,0
0.129177,0,0,104,0
0.130619,0,0,104,0
0.132139,0,0,104,0
0.133685,0,0,104,0
0.135233,0,0,104,0
0.136782,0,0,104,0
0.138376,0,0,104,0
0.139925,0,0,104,0
0.141486,0,0,104,0
0.143037,0,0,104,0
0.144586,0,0,104,0
0.146273,0,0,104,0
0.147664,0,0,104,0
0.149058,0,0,104,0
0.150577,0,0,104,0
0.152014,0,0,104,0
0.153533,0,0,104,0
0.155085,0,0,104,0
0.156636,0,0,104,0
0.158252,0,0,104,0
0.159858,0,0,104,0
0.161398,0,0,104,0
0.162829,0,0,104,0
0.164350,0,0,104,0
0.165897,0,0,104,0
0.167448,0,0,104,0
0.168994,0,0,104,0
0.170587,0,0,104,0
0.172136,0,0,104,0
0.173696,0,0,104,0
0.175117,0,0,104,0
0.176636,0,0,104,0
0.178229,0,0,104,0
0.179775,0,0,104,0
0.181322,0,0,104,0
0.182872,0,0,104,0
0.184433,0,0,104,0
0.186022,0,0,104,0
0.187574,0,0,104,0
0.189123,0,0,104,0
0.190698,0,0,104,0
0.192250,0,0,104,0
0.193798,0,0,104,0
0.195344,0,0,104,0
0.196865,0,0,104,0
0.198416,0,0,104,0
0.199964,0,0,104,0
0.201511,0,0,104,0
0.203061,0,0,104,0
0.204610,0,0,104,0
0.206236,0,0,104,0
0.207848,0,0,104,0
0.209395,0,0,104,0
0.210947,0,0,104,0
0.212497,0,0,104,0
0.214044,0,0,104,0
0.215599,0,0,104,0
0.217160,0,0,104,0
0.218753,0,0,104,0
0.220301,0,0,104,0
0.221753,0,0,104,0
