elapsed_s,PC_RESERVED_56,PC_RESERVED_57,PC_RESERVED_58,PC_RESERVED_59,PC_S_BUSY_CYCLES,PC_S_WORKING_CYCLES,PC_S_STALL_CYCLES_VFD,PC_S_STALL_CYCLES_VPC_FE
0.001090,0,0,0,0,0,0,0,0
0.002592,0,0,0,0,0,0,0,0
0.003979,0,0,0,0,0,0,0,0
0.005338,0,0,0,0,0,0,0,0
0.006744,0,0,0,0,0,0,0,0
0.008118,0,0,0,0,0,0,0,0
0.009474,0,0,0,0,0,0,0,0
0.010882,0,0,0,0,0,0,0,0
0.012245,0,0,0,0,0,0,0,0
0.013608,0,0,0,0,0,0,0,0
0.015071,0,0,0,0,0,0,0,0
0.016410,0,0,0,0,0,0,0,0
0.017894,0,0,0,0,0,0,0,0
0.019424,0,0,0,0,0,0,0,0
0.020829,0,0,0,0,0,0,0,0
0.022294,0,0,0,0,0,0,0,0
0.023676,0,0,0,0,0,0,0,0
0.025056,0,0,0,0,0,0,0,0
0.026434,0,0,0,0,0,0,0,0
0.027812,0,0,0,0,0,0,0,0
0.029189,0,0,0,0,0,0,0,0
0.030569,0,0,0,0,0,0,0,0
0.031915,0,0,0,0,0,0,0,0
0.033261,0,0,0,0,0,0,0,0
0.034607,0,0,0,0,0,0,0,0
0.036149,0,0,0,0,0,0,0,0
0.037496,0,0,0,0,0,0,0,0
0.038843,0,0,0,0,0,0,0,0
0.040190,0,0,0,0,0,0,0,0
0.041541,0,0,0,0,0,0,0,0
0.042886,0,0,0,0,0,0,0,0
0.044232,0,0,0,0,0,0,0,0
0.045577,0,0,0,0,0,0,0,0
0.046932,0,0,0,0,0,0,0,0
0.048253,0,0,0,0,0,0,0,0
0.049574,0,0,0,0,0,0,0,0
0.050897,0,0,0,0,0,0,0,0
0.052229,0,0,0,0,0,0,0,0
0.053596,0,0,0,0,0,0,0,0
0.054987,0,0,0,0,0,0,0,0
0.056358,0,0,0,0,0,0,0,0
0.057728,0,0,0,0,0,0,0,0
0.059108,0,0,0,0,0,0,0,0
0.060485,0,0,0,0,0,0,0,0
0.061836,0,0,0,0,0,0,0,0
0.063313,0,0,0,0,0,0,0,0
0.064687,0,0,0,0,0,0,0,0
0.066064,0,0,0,0,0,0,0,0
0.067432,0,0,0,0,0,0,0,0
0.068796,0,0,0,0,0,0,0,0
0.070161,0,0,0,0,0,0,0,0
0.071536,0,0,0,0,324,399,0,0
0.072906,0,0,0,0,0,0,0,0
0.074292,0,0,0,0,0,0,0,0
0.075660,0,0,0,0,0,0,0,0
0.077027,0,0,0,0,0,0,0,0
0.078603,0,0,0,0,0,0,0,0
0.080060,0,0,0,0,0,0,0,0
0.081485,0,0,0,0,1026,1308,12,0
0.082946,0,0,0,0,2370,2919,84,0
0.084394,0,0,0,0,0,0,0,0
0.085804,0,0,0,0,0,0,0,0
0.087246,0,0,0,0,0,0,0,0
0.088655,0,0,0,0,0,0,0,0
0.090063,0,0,0,0,0,0,0,0
0.091472,0,0,0,0,0,0,0,0
0.092884,0,0,0,0,0,0,0,0
0.094290,0,0,0,0,0,0,0,0
0.095702,0,0,0,0,0,0,0,0
0.097100,0,0,0,0,0,0,0,0
0.098501,0,0,0,0,0,0,0,0
0.099900,0,0,0,0,0,0,0,0
0.101298,0,0,0,0,0,0,0,0
0.102696,0,0,0,0,0,0,0,0
0.104098,0,0,0,0,0,0,0,0
0.105499,0,0,0,0,0,0,0,0
0.106908,0,0,0,0,0,0,0,0
0.108307,0,0,0,0,0,0,0,0
0.110142,0,0,0,0,0,0,0,0
0.111630,0,0,0,0,0,0,0,0
0.113038,0,0,0,0,0,0,0,0
0.114523,0,0,0,0,0,0,0,0
0.115922,0,0,0,0,0,0,0,0
0.117332,0,0,0,0,0,0,0,0
0.118733,0,0,0,0,0,0,0,0
0.120135,0,0,0,0,0,0,0,0
0.121536,0,0,0,0,0,0,0,0
0.122939,0,0,0,0,0,0,0,0
0.124474,0,0,0,0,0,0,0,0
0.126091,0,0,0,0,0,0,0,0
0.127676,0,0,0,0,0,0,0,0
0.129245,0,0,0,0,0,0,0,0
0.130813,0,0,0,0,0,0,0,0
0.132383,0,0,0,0,0,0,0,0
0.133955,0,0,0,0,0,0,0,0
0.135526,0,0,0,0,0,0,0,0
0.137094,0,0,0,0,0,0,0,0
0.138677,0,0,0,0,0,0,0,0
0.140248,0,0,0,0,0,0,0,0
0.141859,0,0,0,0,0,0,0,0
0.143474,0,0,0,0,0,0,0,0
0.145043,0,0,0,0,0,0,0,0
0.146615,0,0,0,0,0,0,0,0
0.148184,0,0,0,0,0,0,0,0
0.149765,0,0,0,0,0,0,0,0
0.151254,0,0,0,0,0,0,0,0
0.152803,0,0,0,0,0,0,0,0
0.154377,0,0,0,0,0,0,0,0
0.155949,0,0,0,0,0,0,0,0
0.157520,0,0,0,0,0,0,0,0
0.159215,0,0,0,0,0,0,0,0
0.160673,0,0,0,0,0,0,0,0
0.162220,0,0,0,0,0,0,0,0
0.163793,0,0,0,0,0,0,0,0
0.165364,0,0,0,0,0,0,0,0
0.166937,0,0,0,0,0,0,0,0
0.168510,0,0,0,0,0,0,0,0
0.170085,0,0,0,0,0,0,0,0
0.171670,0,0,0,0,0,0,0,0
0.173241,0,0,0,0,0,0,0,0
0.174814,0,0,0,0,0,0,0,0
0.176386,0,0,0,0,0,0,0,0
0.177961,0,0,0,0,0,0,0,0
0.179532,0,0,0,0,0,0,0,0
0.181102,0,0,0,0,0,0,0,0
0.182689,0,0,0,0,0,0,0,0
0.184263,0,0,0,0,0,0,0,0
0.185835,0,0,0,0,0,0,0,0
0.187412,0,0,0,0,0,0,0,0
0.188983,0,0,0,0,0,0,0,0
0.190557,0,0,0,0,0,0,0,0
0.192131,0,0,0,0,0,0,0,0
0.193715,0,0,0,0,0,0,0,0
0.195292,0,0,0,0,0,0,0,0
0.196863,0,0,0,0,0,0,0,0
0.198438,0,0,0,0,0,0,0,0
0.200011,0,0,0,0,0,0,0,0
0.201582,0,0,0,0,0,0,0,0
0.203102,0,0,0,0,0,0,0,0
0.204654,0,0,0,0,0,0,0,0
0.206270,0,0,0,0,0,0,0,0
0.207843,0,0,0,0,0,0,0,0
0.209414,0,0,0,0,0,0,0,0
0.210986,0,0,0,0,0,0,0,0
0.212559,0,0,0,0,0,0,0,0
0.214133,0,0,0,0,0,0,0,0
0.215718,0,0,0,0,0,0,0,0
0.217288,0,0,0,0,0,0,0,0
0.218861,0,0,0,0,0,0,0,0
0.220433,0,0,0,0,0,0,0,0
0.222051,0,0,0,0,0,0,0,0
0.223625,0,0,0,0,0,0,0,0
0.225197,0,0,0,0,0,0,0,0
0.226782,0,0,0,0,0,0,0,0
0.228356,0,0,0,0,0,0,0,0
0.229994,0,0,0,0,0,0,0,0
0.231630,0,0,0,0,0,0,0,0
0.233200,0,0,0,0,0,0,0,0
0.234772,0,0,0,0,0,0,0,0
0.236345,0,0,0,0,0,0,0,0
0.237974,0,0,0,0,0,0,0,0
0.239548,0,0,0,0,0,0,0,0
0.241119,0,0,0,0,0,0,0,0
0.242692,0,0,0,0,0,0,0,0
0.244309,0,0,0,0,0,0,0,0
0.245879,0,0,0,0,0,0,0,0
0.247384,0,0,0,0,0,0,0,0
0.248806,0,0,0,0,0,0,0,0
0.250347,0,0,0,0,0,0,0,0
0.251910,0,0,0,0,0,0,0,0
0.253472,0,0,0,0,0,0,0,0
0.255039,0,0,0,0,0,0,0,0
0.256608,0,0,0,0,0,0,0,0
0.258068,0,0,0,0,0,0,0,0
0.259652,0,0,0,0,0,0,0,0
0.261220,0,0,0,0,0,0,0,0
0.262791,0,0,0,0,0,0,0,0
0.264362,0,0,0,0,0,0,0,0
0.265934,0,0,0,0,0,0,0,0
0.267506,0,0,0,0,0,0,0,0
0.269075,0,0,0,0,0,0,0,0
0.270536,0,0,0,0,0,0,0,0
0.272079,0,0,0,0,0,0,0,0
0.273647,0,0,0,0,0,0,0,0
0.275222,0,0,0,0,0,0,0,0
0.276791,0,0,0,0,0,0,0,0
0.278363,0,0,0,0,0,0,0,0
0.279932,0,0,0,0,0,0,0,0
0.281513,0,0,0,0,0,0,0,0
0.283084,0,0,0,0,0,0,0,0
0.284654,0,0,0,0,0,0,0,0
0.286281,0,0,0,0,0,0,0,0
0.287860,0,0,0,0,0,0,0,0
0.289429,0,0,0,0,0,0,0,0
0.290999,0,0,0,0,0,0,0,0
0.292583,0,0,0,0,0,0,0,0
0.294156,0,0,0,0,0,0,0,0
0.295728,0,0,0,0,0,0,0,0
0.297175,0,0,0,0,0,0,0,0
0.298582,0,0,0,0,0,0,0,0
0.299986,0,0,0,0,0,0,0,0
0.301385,0,0,0,0,0,0,0,0
0.302839,0,0,0,0,0,0,0,0
0.304245,0,0,0,0,0,0,0,0
0.305647,0,0,0,0,0,0,0,0
0.307104,0,0,0,0,0,0,0,0
0.308503,0,0,0,0,0,0,0,0
0.309994,0,0,0,0,0,0,0,0
0.311396,0,0,0,0,0,0,0,0
0.312794,0,0,0,0,0,0,0,0
0.314203,0,0,0,0,0,0,0,0
0.315602,0,0,0,0,0,0,0,0
0.317001,0,0,0,0,0,0,0,0
0.318394,0,0,0,0,0,0,0,0
0.319769,0,0,0,0,0,0,0,0
0.321143,0,0,0,0,0,0,0,0
0.322516,0,0,0,0,0,0,0,0
0.323889,0,0,0,0,0,0,0,0
0.325269,0,0,0,0,0,0,0,0
0.326642,0,0,0,0,0,0,0,0
0.328015,0,0,0,0,0,0,0,0
0.329387,0,0,0,0,0,0,0,0
0.330761,0,0,0,0,0,0,0,0
0.332135,0,0,0,0,0,0,0,0
0.333508,0,0,0,0,0,0,0,0
0.334906,0,0,0,0,0,0,0,0
0.336272,0,0,0,0,0,0,0,0
0.337631,0,0,0,0,0,0,0,0
0.339038,0,0,0,0,0,0,0,0
0.340397,0,0,0,0,0,0,0,0
0.341756,0,0,0,0,0,0,0,0
0.343366,0,0,0,0,0,0,0,0
0.344723,0,0,0,0,0,0,0,0
0.346080,0,0,0,0,0,0,0,0
0.347443,0,0,0,0,0,0,0,0
0.348800,0,0,0,0,0,0,0,0
