elapsed_s,HLSQ_L2STC_REQ_INS_HLSQ,HLSQ_L2STC_REQ_INS_HLSQ_HIT,HLSQ_L2STC_REQ_INS_SP,HLSQ_L2STC_REQ_INS_SP_HIT,HLSQ_L2STC_REQ_UCHE,HLSQ_L2STC_LATENCY_CYCLES
0.001093,0,0,0,0,0,0
0.002573,0,0,0,0,0,0
0.004009,0,0,0,0,0,0
0.005440,0,0,0,0,0,0
0.006873,0,0,0,0,0,0
0.008305,0,0,0,0,0,0
0.009849,0,0,0,0,0,0
0.011286,0,0,0,0,0,0
0.012722,0,0,0,0,0,0
0.014156,0,0,0,0,0,0
0.015590,0,0,0,0,0,0
0.017022,0,0,0,0,0,0
0.018453,0,0,0,0,0,0
0.020132,0,0,0,0,0,0
0.021690,0,0,0,0,0,0
0.023123,0,0,0,0,0,0
0.024577,0,0,0,0,0,0
0.026008,0,0,0,0,0,0
0.027439,0,0,0,0,0,0
0.028874,0,0,0,0,0,0
0.030291,0,0,0,0,0,0
0.031698,0,0,0,0,0,0
0.033104,0,0,0,0,0,0
0.034512,0,0,0,0,0,0
0.035919,0,0,0,0,0,0
0.037326,0,0,0,0,0,0
0.038734,0,0,0,0,0,0
0.040142,0,0,0,0,0,0
0.041557,0,0,0,0,0,0
0.042965,0,0,0,0,0,0
0.044417,0,0,0,0,0,0
0.045805,0,0,0,0,0,0
0.047199,0,0,0,0,0,0
0.048923,0,0,0,0,0,0
0.050323,0,0,0,0,0,0
0.051724,0,0,0,0,0,0
0.053116,0,0,0,0,0,0
0.054508,0,0,0,0,0,0
0.055900,0,0,0,0,0,0
0.057292,0,0,0,0,0,0
0.058685,0,0,0,0,0,0
0.060076,0,0,0,0,0,0
0.061494,0,0,0,0,0,0
0.062861,0,0,0,0,0,0
0.064215,0,0,0,0,0,0
0.065597,0,0,0,0,0,0
0.066953,0,0,0,0,0,0
0.068307,0,0,0,0,0,0
0.069676,0,0,0,0,0,0
0.071029,0,0,0,0,0,0
0.072382,0,0,0,0,0,0
0.073805,0,0,0,0,0,0
0.075121,0,0,0,0,0,0
0.076401,0,0,0,0,0,0
0.077741,0,0,0,0,0,0
0.079144,0,0,0,0,0,0
0.080506,0,0,0,0,0,0
0.081912,0,0,0,0,0,0
0.083267,0,0,0,0,0,0
0.084783,0,0,0,0,0,0
0.086192,0,0,0,0,0,0
0.087556,0,0,0,0,0,0
0.088920,0,0,0,0,0,0
0.090316,0,0,0,0,0,0
0.091710,0,0,0,0,0,0
0.093129,0,0,0,0,0,0
0.094585,0,0,0,0,0,0
0.096034,0,0,0,0,0,0
0.097469,72,32,0,0,112,1222
0.098929,0,0,0,0,0,0
0.100345,0,0,0,0,0,0
0.101752,0,0,0,0,0,0
0.103150,0,0,0,0,0,0
0.104574,0,0,0,0,0,0
0.105971,0,0,0,0,0,0
0.107375,0,0,0,0,0,0
0.108770,0,0,0,0,0,0
0.110160,0,0,0,0,0,0
0.111580,0,0,0,0,0,0
0.113667,0,0,0,0,0,0
0.115057,0,0,0,0,0,0
0.116447,0,0,0,0,0,0
0.117891,0,0,0,0,0,0
0.121770,0,0,0,0,0,0
0.123162,0,0,0,0,0,0
0.124559,0,0,0,0,0,0
0.125992,0,0,0,0,0,0
0.127362,0,0,0,0,0,0
0.128729,0,0,0,0,0,0
0.130082,0,0,0,0,0,0
0.131433,0,0,0,0,0,0
0.132783,0,0,0,0,0,0
0.134133,0,0,0,0,0,0
0.135483,0,0,0,0,0,0
0.136837,0,0,0,0,0,0
0.138185,0,0,0,0,0,0
0.139547,0,0,0,0,0,0
0.141030,0,0,0,0,0,0
0.142604,0,0,0,0,0,0
0.144164,0,0,0,0,0,0
0.145788,0,0,0,0,0,0
0.147348,0,0,0,0,0,0
0.148910,0,0,0,0,0,0
0.150485,0,0,0,0,0,0
0.152045,0,0,0,0,0,0
0.153606,0,0,0,0,0,0
0.155166,0,0,0,0,0,0
0.156772,0,0,0,0,0,0
