elapsed_s,TSE_BE_CINVOCATION,TSE_BE_CPRIMITIVES,TSE_BE_2D_INPUT_PRIM,TSE_BE_2D_ALIVE_CYCLES
0.001099,0,0,0,0
0.002770,0,0,0,0
0.004161,0,0,0,0
0.005742,0,0,0,0
0.007173,0,0,0,0
0.008554,0,0,0,0
0.009993,0,0,0,0
0.011362,0,0,0,0
0.012729,0,0,0,0
0.014165,0,0,0,0
0.015617,0,0,0,0
0.017041,0,0,0,0
0.018491,0,0,0,0
0.019908,0,0,0,0
0.021401,0,0,0,0
0.022777,0,0,0,0
0.024167,0,0,0,0
0.025556,0,0,0,0
0.026947,0,0,0,0
0.028337,0,0,0,0
0.029727,0,0,0,0
0.031118,0,0,0,0
0.032515,0,0,0,0
0.033906,0,0,0,0
0.035296,0,0,0,0
0.036684,0,0,0,0
0.038062,0,0,0,0
0.039400,0,0,0,0
0.040739,0,0,0,0
0.042079,0,0,0,0
0.043422,0,0,0,0
0.044761,0,0,0,0
0.046102,0,0,0,0
0.047440,0,0,0,0
0.048778,0,0,0,0
0.050115,0,0,0,0
0.051419,0,0,0,0
0.052722,0,0,0,0
0.054051,0,0,0,0
0.055432,0,0,0,0
0.056841,0,0,0,0
0.058243,0,0,0,0
0.059660,0,0,0,0
0.061016,0,0,0,0
0.062367,0,0,0,0
0.063716,0,0,0,0
0.065081,0,0,0,0
0.066470,0,0,0,0
0.067809,0,0,0,0
0.069346,0,0,0,0
0.070615,0,0,0,0
0.072026,0,0,0,0
0.073411,0,0,0,0
0.075304,0,0,0,0
0.076700,0,0,0,0
0.078083,0,0,0,0
0.079507,0,0,0,0
0.080879,0,0,0,0
0.082405,0,0,0,0
0.083791,0,0,0,0
0.085230,0,0,0,0
0.086631,0,0,0,0
0.088028,0,0,0,0
0.089412,0,0,0,0
0.090843,0,0,0,0
0.092225,0,0,0,0
0.093605,0,0,0,0
0.094982,0,0,0,0
0.096357,0,0,0,0
0.097812,0,0,0,0
0.099208,0,0,0,0
0.100587,0,0,0,0
0.101968,0,0,0,0
0.103348,0,0,0,0
0.104726,0,0,0,0
0.106107,0,0,0,0
0.107489,0,0,0,0
0.108872,0,0,0,0
0.110262,0,0,0,0
0.111641,0,0,0,0
0.113020,0,0,0,0
0.114402,0,0,0,0
0.115788,0,0,0,0
