elapsed_s,TP_NEVER_COUNT,TP_BUSY_CYCLES,TP_STALL_CYCLES_UCHE,TP_LATENCY_CYCLES,TP_LATENCY_TRANS,TP_FLAG_FIFO_DELAY_SAMPLES,TP_FLAG_FIFO_DELAY_CYCLES,TP_L1_CACHELINE_REQUESTS,TP_L1_CACHELINE_MISSES,TP_SP_TP_TRANS,TP_TP_SP_TRANS,TP_OUTPUT_PIXELS
0.001089,0,0,0,0,0,0,0,0,0,0,0,0
0.002757,0,0,0,0,0,0,0,0,0,0,0,0
0.004167,0,0,0,0,0,0,0,0,0,0,0,0
0.005572,0,0,0,0,0,0,0,0,0,0,0,0
0.006958,0,0,0,0,0,0,0,0,0,0,0,0
0.008372,0,0,0,0,0,0,0,0,0,0,0,0
0.009773,0,0,0,0,0,0,0,0,0,0,0,0
0.011160,0,0,0,0,0,0,0,0,0,0,0,0
0.012549,0,0,0,0,0,0,0,0,0,0,0,0
0.013929,0,0,0,0,0,0,0,0,0,0,0,0
0.015309,0,0,0,0,0,0,0,0,0,0,0,0
0.016733,0,0,0,0,0,0,0,0,0,0,0,0
0.018242,0,0,0,0,0,0,0,0,0,0,0,0
0.019649,0,0,0,0,0,0,0,0,0,0,0,0
0.021007,0,0,0,0,0,0,0,0,0,0,0,0
0.022364,0,0,0,0,0,0,0,0,0,0,0,0
0.023721,0,0,0,0,0,0,0,0,0,0,0,0
0.025077,0,0,0,0,0,0,0,0,0,0,0,0
0.026437,0,0,0,0,0,0,0,0,0,0,0,0
0.027795,0,0,0,0,0,0,0,0,0,0,0,0
0.029150,0,0,0,0,0,0,0,0,0,0,0,0
0.030513,0,0,0,0,0,0,0,0,0,0,0,0
0.031866,0,0,0,0,0,0,0,0,0,0,0,0
0.033305,0,0,0,0,0,0,0,0,0,0,0,0
0.034642,0,0,0,0,0,0,0,0,0,0,0,0
0.035979,0,0,0,0,0,0,0,0,0,0,0,0
0.037314,0,0,0,0,0,0,0,0,0,0,0,0
0.038650,0,0,0,0,0,0,0,0,0,0,0,0
0.039986,0,0,0,0,0,0,0,0,0,0,0,0
0.041330,0,0,0,0,0,0,0,0,0,0,0,0
0.042666,0,0,0,0,0,0,0,0,0,0,0,0
0.044003,0,0,0,0,0,0,0,0,0,0,0,0
0.045341,0,0,0,0,0,0,0,0,0,0,0,0
0.046682,0,0,0,0,0,0,0,0,0,0,0,0
0.048017,0,0,0,0,0,0,0,0,0,0,0,0
0.049348,0,0,0,0,0,0,0,0,0,0,0,0
0.050636,0,0,0,0,0,0,0,0,0,0,0,0
0.051980,0,0,0,0,0,0,0,0,0,0,0,0
0.053478,0,0,0,0,0,0,0,0,0,0,0,0
0.054829,0,0,0,0,0,0,0,0,0,0,0,0
0.056176,0,0,0,0,0,0,0,0,0,0,0,0
0.057565,0,0,0,0,0,0,0,0,0,0,0,0
0.058857,0,0,0,0,0,0,0,0,0,0,0,0
0.060154,0,0,0,0,0,0,0,0,0,0,0,0
0.061453,0,0,0,0,0,0,0,0,0,0,0,0
0.062836,0,0,0,0,0,0,0,0,0,0,0,0
0.064157,0,0,0,0,0,0,0,0,0,0,0,0
0.065567,0,0,0,0,0,0,0,0,0,0,0,0
0.067004,0,0,0,0,0,0,0,0,0,0,0,0
0.068447,0,0,0,0,0,0,0,0,0,0,0,0
0.069835,0,0,0,0,0,0,0,0,0,0,0,0
0.071227,0,0,0,0,0,0,0,0,0,0,0,0
0.072664,0,0,0,0,0,0,0,0,0,0,0,0
0.074121,0,576,0,0,0,0,0,0,0,0,0,0
0.075555,0,0,0,0,0,0,0,0,0,0,0,0
0.076950,0,0,0,0,0,0,0,0,0,0,0,0
0.078401,0,0,0,0,0,0,0,0,0,0,0,0
0.079848,0,0,0,0,0,0,0,0,0,0,0,0
0.081386,0,0,0,0,0,0,0,0,0,0,0,0
0.082892,0,0,0,0,0,0,0,0,0,0,0,0
0.084435,0,0,0,0,0,0,0,0,0,0,0,0
0.085930,0,0,0,0,0,0,0,0,0,0,0,0
0.087440,0,1073624,0,797388,7765,0,0,262144,262144,65536,1048576,2097152
0.088848,0,0,0,0,0,0,0,0,0,0,0,0
0.090283,0,0,0,0,0,0,0,0,0,0,0,0
0.091714,0,0,0,0,0,0,0,0,0,0,0,0
0.093144,0,0,0,0,0,0,0,0,0,0,0,0
0.094587,0,0,0,0,0,0,0,0,0,0,0,0
0.096017,0,0,0,0,0,0,0,0,0,0,0,0
0.097683,0,0,0,0,0,0,0,0,0,0,0,0
0.100441,0,0,0,0,0,0,0,0,0,0,0,0
0.101867,0,0,0,0,0,0,0,0,0,0,0,0
0.103291,0,0,0,0,0,0,0,0,0,0,0,0
0.105337,0,0,0,0,0,0,0,0,0,0,0,0
