elapsed_s,RB_NEVER_COUNT,RB_BUSY_CYCLES,RB_STALL_CYCLES_HLSQ,RB_STALL_CYCLES_FIFO0_FULL,RB_STALL_CYCLES_FIFO1_FULL,RB_STALL_CYCLES_FIFO2_FULL,RB_STARVE_CYCLES_SP,RB_STARVE_CYCLES_LRZ_TILE
0.001096,0,0,0,0,0,0,0,0
0.002641,0,0,0,0,0,0,0,0
0.004236,0,0,0,0,0,0,0,0
0.005649,0,0,0,0,0,0,0,0
0.007061,0,0,0,0,0,0,0,0
0.008483,0,0,0,0,0,0,0,0
0.009891,0,0,0,0,0,0,0,0
0.011294,0,0,0,0,0,0,0,0
0.012676,0,0,0,0,0,0,0,0
0.014069,0,0,0,0,0,0,0,0
0.015454,0,0,0,0,0,0,0,0
0.016837,0,0,0,0,0,0,0,0
0.018228,0,0,0,0,0,0,0,0
0.019615,0,0,0,0,0,0,0,0
0.020980,0,0,0,0,0,0,0,0
0.022343,0,0,0,0,0,0,0,0
0.023707,0,0,0,0,0,0,0,0
0.025070,0,0,0,0,0,0,0,0
0.026434,0,0,0,0,0,0,0,0
0.027835,0,0,0,0,0,0,0,0
0.029154,0,0,0,0,0,0,0,0
0.030478,0,0,0,0,0,0,0,0
0.031845,0,0,0,0,0,0,0,0
0.033165,0,0,0,0,0,0,0,0
0.034482,0,0,0,0,0,0,0,0
0.035870,0,0,0,0,0,0,0,0
0.037232,0,0,0,0,0,0,0,0
0.038592,0,0,0,0,0,0,0,0
0.039956,0,0,0,0,0,0,0,0
0.041342,0,0,0,0,0,0,0,0
0.042709,0,0,0,0,0,0,0,0
0.044333,0,0,0,0,0,0,0,0
0.045744,0,0,0,0,0,0,0,0
0.047319,0,0,0,0,0,0,0,0
0.048740,0,0,0,0,0,0,0,0
0.050172,0,0,0,0,0,0,0,0
0.051606,0,0,0,0,0,0,0,0
0.053025,0,0,0,0,0,0,0,0
0.054437,0,0,0,0,0,0,0,0
0.055843,0,0,0,0,0,0,0,0
0.057369,0,4188,0,0,0,0,0,1320
0.059185,0,0,0,0,0,0,0,0
0.060579,0,0,0,0,0,0,0,0
0.061866,0,0,0,0,0,0,0,0
0.063274,0,0,0,0,0,0,0,0
0.064679,0,0,0,0,0,0,0,0
0.066082,0,0,0,0,0,0,0,0
0.067488,0,0,0,0,0,0,0,0
0.068890,0,0,0,0,0,0,0,0
0.070292,0,0,0,0,0,0,0,0
0.071783,0,1820110,0,0,0,0,0,8676
0.073069,0,0,0,0,0,0,0,0
0.074475,0,0,0,0,0,0,0,0
0.075929,0,0,0,0,0,0,0,0
0.077338,0,0,0,0,0,0,0,0
0.078745,0,0,0,0,0,0,0,0
0.080228,0,0,0,0,0,0,0,0
0.081635,0,0,0,0,0,0,0,0
0.083327,0,0,0,0,0,0,0,0
0.084807,0,0,0,0,0,0,0,0
0.086207,0,0,0,0,0,0,0,0
0.087606,0,0,0,0,0,0,0,0
0.089010,0,0,0,0,0,0,0,0
0.090411,0,0,0,0,0,0,0,0
0.095113,0,0,0,0,0,0,0,0
0.096577,0,0,0,0,0,0,0,0
0.097980,0,0,0,0,0,0,0,0
0.099398,0,0,0,0,0,0,0,0
0.100765,0,0,0,0,0,0,0,0
0.102102,0,0,0,0,0,0,0,0
0.103435,0,0,0,0,0,0,0,0
0.104768,0,0,0,0,0,0,0,0
0.106100,0,0,0,0,0,0,0,0
0.107521,0,0,0,0,0,0,0,0
0.109067,0,0,0,0,0,0,0,0
0.110513,0,0,0,0,0,0,0,0
0.111923,0,0,0,0,0,0,0,0
0.113332,0,0,0,0,0,0,0,0
0.114775,0,0,0,0,0,0,0,0
0.116186,0,0,0,0,0,0,0,0
0.117604,0,0,0,0,0,0,0,0
0.119013,0,0,0,0,0,0,0,0
0.120421,0,0,0,0,0,0,0,0
0.121829,0,0,0,0,0,0,0,0
0.123272,0,0,0,0,0,0,0,0
0.124680,0,0,0,0,0,0,0,0
0.126216,0,0,0,0,0,0,0,0
0.127680,0,0,0,0,0,0,0,0
0.129090,0,0,0,0,0,0,0,0
0.130494,0,0,0,0,0,0,0,0
0.131941,0,0,0,0,0,0,0,0
0.133349,0,0,0,0,0,0,0,0
