elapsed_s,CP_LONG_PREEMPTIONS,CP_SQE_I_CACHE_STARVE,CP_SQE_IDLE,CP_SQE_PM4_STARVE_RB,CP_SQE_PM4_STARVE_IB1,CP_SQE_PM4_STARVE_IB2,CP_SQE_PM4_STARVE_IB3,CP_SQE_PM4_STARVE_FSDT,CP_SQE_PM4_STARVE_SDS,CP_SQE_MRB_STARVE,CP_SQE_RRB_STARVE,CP_SQE_VSD_STARVE,CP_VSD_DECODE_STARVE,CP_SQE_PIPE_OUT_STALL
0.001059,0,882,105730,47,0,0,0,0,0,0,52,0,0,0
0.002904,0,1028,95851,47,0,0,0,0,0,0,52,0,0,0
0.004560,0,1061,88773,47,0,0,0,0,0,0,51,0,0,0
0.006205,0,1045,89501,47,0,0,0,0,0,0,52,0,0,0
0.007857,0,1039,89512,48,0,0,0,0,0,0,52,0,0,0
0.009529,0,980,89532,47,0,0,0,0,0,0,52,0,0,0
0.011360,0,961,135326,47,0,0,0,0,0,0,52,0,0,0
0.014719,0,966,289505,47,0,0,0,0,0,0,52,0,0,0
0.016560,0,1025,91894,47,0,0,0,0,0,0,52,0,0,0
0.018247,0,1005,90618,47,0,0,0,0,0,0,51,0,0,0
0.019853,0,1020,86828,47,0,0,0,0,0,0,52,0,0,0
0.021423,0,1114,87266,48,0,0,0,0,0,0,52,0,0,0
0.022994,0,1112,86994,47,0,0,0,0,0,0,52,0,0,0
0.024565,0,1030,86764,47,0,0,0,0,0,0,52,0,0,0
0.026136,0,1031,87214,47,0,0,0,0,0,0,52,0,0,0
0.027707,0,953,87038,48,0,0,0,0,0,0,51,0,0,0
0.029277,0,927,87438,47,0,0,0,0,0,0,52,0,0,0
0.030860,0,992,86984,47,0,0,0,0,0,0,52,0,0,0
0.032430,0,1077,87320,47,0,0,0,0,0,0,52,0,0,0
0.034083,0,899,103338,47,0,0,0,0,0,0,52,0,0,0
0.035762,0,950,87739,47,0,0,0,0,0,0,52,0,0,0
0.037336,0,1022,104826,47,0,0,0,0,0,0,51,0,0,0
0.038983,0,1014,101003,47,0,0,0,0,0,0,52,0,0,0
0.040601,0,678,95712,47,0,0,0,0,0,0,52,0,0,0
0.042094,0,834,83507,47,0,0,0,0,0,0,51,0,0,0
0.043584,0,845,86637,47,0,0,0,0,0,0,51,0,0,0
0.045096,0,840,82833,47,0,0,0,0,0,0,51,0,0,0
0.046583,0,826,82560,47,0,0,0,0,0,0,52,0,0,0
0.048118,0,742,82560,47,0,0,0,0,0,0,51,0,0,0
0.049624,0,666,82890,47,0,0,0,0,0,0,52,0,0,0
0.051108,0,699,82548,47,0,0,0,0,0,0,52,0,0,0
0.052645,0,709,82343,47,0,0,0,0,0,0,51,0,0,0
0.054127,0,685,82816,47,0,0,0,0,0,0,51,0,0,0
0.055674,0,561,82716,47,0,0,0,0,0,0,52,0,0,0
0.057113,0,586,75196,47,0,0,0,0,0,0,51,0,0,0
0.058599,0,608,75112,47,0,0,0,0,0,0,51,0,0,0
0.060012,0,609,73608,47,0,0,0,0,0,0,52,0,0,0
0.061422,0,705,73478,47,0,0,0,0,0,0,52,0,0,0
0.062838,0,700,73273,47,0,0,0,0,0,0,52,0,0,0
0.064248,0,707,73599,47,0,0,0,0,0,0,52,0,0,0
0.065673,0,703,73334,47,0,0,0,0,0,0,51,0,0,0
0.067084,0,695,73074,47,0,0,0,0,0,0,52,0,0,0
0.068564,0,584,63276,47,0,0,0,0,0,0,52,0,0,0
0.069963,0,598,65629,47,0,0,0,0,0,0,52,0,0,0
0.071423,1,12967,63759,96,94,0,0,0,0,365,6319,0,0,0
0.073355,0,2686,77478,2,0,0,0,0,0,0,51,0,0,0
0.074865,0,683,75258,47,0,0,0,0,0,0,52,0,0,0
0.076348,0,703,75498,47,0,0,0,0,0,0,52,0,0,0
0.077832,0,755,75247,47,0,0,0,0,0,0,52,0,0,0
0.079312,0,709,82855,47,0,0,0,0,0,0,51,0,0,0
