elapsed_s,CP_SQE_SYNC_STALL,CP_SQE_PM4_WFI_STALL,CP_SQE_SYS_WFI_STALL,CP_WAIT_ON_OTHER_PIPE,CP_OUTPUT_BLOCKED,CP_SQE_T4_EXEC,CP_SQE_LOAD_STATE_EXEC,CP_SQE_SAVE_SDS_STATE,CP_SQE_DRAW_EXEC,CP_SQE_CTXT_REG_BUNCH_EXEC,CP_SQE_EXEC_PROFILED,CP_MEMORY_POOL_EMPTY,CP_MEMORY_POOL_SYNC_STALL,CP_MEMORY_POOL_ABOVE_THRESH
0.001102,0,0,0,0,0,0,0,0,0,0,123572,123399,0,0
0.003033,0,0,0,0,0,0,0,0,0,0,96457,96329,0,0
0.004763,0,0,0,0,0,0,0,0,0,0,94114,93941,0,0
0.006370,0,0,0,0,0,0,0,0,0,0,94595,94451,0,0
0.007990,0,0,0,0,0,0,0,0,0,0,92249,92128,0,0
0.009685,0,0,0,0,0,0,0,0,0,0,95709,95510,0,0
0.011313,0,0,0,0,0,0,0,0,0,0,90979,90817,0,0
0.012973,0,0,0,0,0,0,0,0,0,0,89196,89039,0,0
0.014548,0,0,0,0,0,0,0,0,0,0,89113,88951,0,0
0.016119,0,0,0,0,0,0,0,0,0,0,94989,96356,0,0
0.017757,0,0,0,0,0,0,0,0,0,0,90199,88538,0,0
0.019318,0,0,0,0,0,0,0,0,0,0,107897,107706,0,0
0.021068,0,0,0,0,0,0,0,0,0,0,89558,89384,0,0
0.022642,0,0,0,0,0,0,0,0,0,0,88789,88653,0,0
0.024212,0,0,0,0,0,0,0,0,0,0,100066,101361,0,0
0.025886,0,0,0,0,0,0,0,0,0,0,103290,101570,0,0
0.027491,0,0,0,0,0,0,0,0,0,0,104113,104699,0,0
0.029184,0,0,0,0,0,0,0,0,0,0,99896,101105,0,0
0.030832,0,0,0,0,0,0,0,0,0,0,103630,101402,0,0
0.032455,0,0,0,0,0,0,0,0,0,0,96821,96643,0,0
0.034049,0,0,0,0,0,0,0,0,0,0,100778,100632,0,0
0.035668,0,0,0,0,0,0,0,0,0,0,103005,102869,0,0
0.037300,0,0,0,0,0,0,0,0,0,0,101920,101783,0,0
0.038930,0,0,0,0,0,0,0,0,0,0,101280,101097,0,0
0.040553,0,0,0,0,0,0,0,0,0,0,89772,89652,0,0
0.042146,0,0,0,0,0,0,0,0,0,0,101466,101320,0,0
0.043769,0,0,0,0,0,0,0,0,0,0,88890,87729,0,0
0.045266,0,0,0,0,0,0,0,0,0,0,82797,82180,0,0
0.046738,0,0,0,0,0,0,0,0,0,0,81711,81580,0,0
0.048210,0,0,0,0,0,0,0,0,0,0,82925,82878,0,0
0.049695,0,0,0,0,0,0,0,0,0,0,81550,81316,0,0
0.051162,0,0,0,0,0,0,0,0,0,0,81234,81098,0,0
0.052655,0,0,0,0,0,0,0,0,0,0,78074,77938,0,0
0.054147,0,0,0,0,0,0,0,0,0,0,81652,81516,0,0
0.055624,0,0,0,0,0,0,0,0,0,0,81401,81277,0,0
0.057099,0,0,0,0,0,0,0,0,0,0,81104,80956,0,0
0.058611,0,0,0,0,0,0,0,0,0,0,83638,83591,0,0
0.060148,0,0,0,0,0,0,0,0,0,0,67585,67467,0,0
0.061555,0,0,0,0,0,0,0,0,0,0,68748,68588,0,0
0.062967,669,14,477,0,0,0,0,0,0,0,128470,135682,555,534
0.064384,0,0,0,0,0,0,0,0,0,0,68592,68574,0,0
0.065796,0,0,0,0,0,0,0,0,0,0,67739,67455,0,0
0.067198,0,0,0,0,0,0,0,0,0,0,67250,67133,0,0
0.068602,0,0,0,0,0,0,0,0,0,0,67499,67363,0,0
0.070006,0,0,0,0,0,0,0,0,0,0,67664,67508,0,0
0.071409,0,0,0,0,0,0,0,0,0,0,67648,67546,0,0
0.072811,767,14,113012,0,0,157,0,15,0,18,393302,415267,106465,106513
0.074139,0,0,0,0,0,0,0,0,0,0,481613,480683,0,0
0.075548,0,0,0,0,0,0,0,0,0,0,453617,453358,0,0
0.076955,0,0,0,0,0,0,0,0,0,0,457845,457517,0,0
0.078354,0,0,0,0,0,0,0,0,0,0,459220,459075,0,0
0.079754,0,0,0,0,0,0,0,0,0,0,458504,458334,0,0
0.081153,0,0,0,0,0,0,0,0,0,0,456449,456442,0,0
0.082553,0,0,0,0,0,0,0,0,0,0,462776,462484,0,0
0.083952,0,0,0,0,0,0,0,0,0,0,462413,461995,0,0
0.085345,0,0,0,0,0,0,0,0,0,0,449063,448882,0,0
0.086747,0,0,0,0,0,0,0,0,0,0,455601,455430,0,0
0.088146,0,0,0,0,0,0,0,0,0,0,455729,455519,0,0
0.089539,0,0,0,0,0,0,0,0,0,0,451572,451386,0,0
0.090975,0,0,0,0,0,0,0,0,0,0,453336,453149,0,0
0.092369,0,0,0,0,0,0,0,0,0,0,463035,462865,0,0
0.093833,0,0,0,0,0,0,0,0,0,0,479394,479240,0,0
0.095276,0,0,0,0,0,0,0,0,0,0,452762,452434,0,0
