elapsed_s,CP_PM4_DATA,CP_PM4_HEADERS,CP_VBIF_READ_BEATS,CP_VBIF_WRITE_BEATS,CP_SQE_INSTR_COUNTER,CP_CLUSTER_FE_US_FULL,CP_CLUSTER_FE_S_FULL,CP_CLUSTER_SP_VS_FULL,CP_CLUSTER_VPC_US_FULL,CP_CLUSTER_VPC_VS_FULL,CP_CLUSTER_GRAS_FULL,CP_CLUSTER_SP_PS_FULL,CP_CLUSTER_VPC_PS_FULL,CP_CLUSTER_PS_FULL
0.001102,0,0,34,1,233,0,0,0,0,0,0,0,0,0
0.002811,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.004592,0,0,34,1,237,0,0,0,0,0,0,0,0,0
0.006241,0,0,34,1,235,0,0,0,0,0,0,0,0,0
0.007961,0,0,34,1,233,0,0,0,0,0,0,0,0,0
0.009784,0,0,34,1,213,0,0,0,0,0,0,0,0,0
0.011494,0,0,34,1,237,0,0,0,0,0,0,0,0,0
0.013139,0,0,34,1,237,0,0,0,0,0,0,0,0,0
0.014783,0,0,34,1,231,0,0,0,0,0,0,0,0,0
0.016530,0,0,34,1,213,0,0,0,0,0,0,0,0,0
0.018194,0,0,34,1,241,0,0,0,0,0,0,0,0,0
0.019822,0,0,34,1,233,0,0,0,0,0,0,0,0,0
0.021526,0,0,34,1,237,0,0,0,0,0,0,0,0,0
0.023125,0,0,34,1,239,0,0,0,0,0,0,0,0,0
0.024723,0,0,34,1,239,0,0,0,0,0,0,0,0,0
0.026349,0,0,34,1,233,0,0,0,0,0,0,0,0,0
0.027980,0,0,34,1,239,0,0,0,0,0,0,0,0,0
0.029783,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.031407,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.033022,0,0,34,1,231,0,0,0,0,0,0,0,0,0
0.034637,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.036248,0,0,34,1,231,0,0,0,0,0,0,0,0,0
0.037960,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.039580,0,0,34,1,217,0,0,0,0,0,0,0,0,0
