elapsed_s,VFD_MODE_3_FIBERS,VFD_MODE_4_FIBERS,VFD_TOTAL_VERTICES,VFDP_STALL_CYCLES_VFD,VFDP_STALL_CYCLES_VFD_INDEX,VFDP_STALL_CYCLES_VFD_PROG,VFDP_STARVE_CYCLES_PC,VFDP_VS_STAGE_WAVES
0.001101,0,0,0,0,0,0,0,0
0.002726,0,0,0,0,0,0,0,0
0.004399,0,0,0,0,0,0,0,0
0.006007,0,0,0,0,0,0,0,0
0.007557,0,0,0,0,0,0,0,0
0.009127,0,0,0,0,0,0,0,0
0.010672,0,0,0,0,0,0,0,0
0.012312,0,0,0,0,0,0,0,0
0.013858,0,0,0,0,0,0,0,0
0.015399,0,0,0,0,0,0,0,0
0.016944,0,0,0,0,0,0,0,0
0.018489,0,0,0,0,0,0,0,0
0.020047,0,0,0,0,0,0,0,0
0.021674,0,0,0,0,0,0,0,0
0.023303,0,0,0,0,0,0,0,0
0.024824,0,0,0,0,0,0,0,0
0.026346,0,0,0,0,0,0,0,0
0.027868,0,0,0,0,0,0,0,0
0.029390,0,0,0,0,0,0,0,0
0.030918,0,0,0,0,0,0,0,0
0.032546,0,0,0,0,0,0,0,0
0.034071,0,0,0,0,0,0,0,0
0.035594,0,0,0,0,0,0,0,0
0.037170,0,0,0,0,0,0,0,0
0.038676,0,0,0,0,0,0,0,0
0.040287,0,0,0,0,0,0,0,0
0.041803,0,0,0,0,0,0,0,0
0.043440,0,0,0,0,0,0,0,0
0.045076,0,0,0,0,0,0,0,0
0.046709,0,0,0,0,0,0,0,0
0.048449,0,0,0,0,0,0,0,0
0.050085,0,0,0,0,0,0,0,0
0.051592,0,0,0,0,0,0,0,0
0.053166,0,0,0,0,0,0,0,0
0.054749,0,0,0,0,0,0,0,0
0.056477,0,0,0,0,0,0,0,0
0.058016,0,0,0,0,0,0,0,0
0.059551,0,0,0,0,0,0,0,0
0.061088,0,0,0,0,0,0,0,0
0.062625,0,0,0,0,0,0,0,0
0.064308,0,0,0,0,0,0,0,0
0.065692,0,0,0,0,0,0,0,0
0.067077,0,0,0,0,0,0,0,0
0.068522,0,0,0,0,0,0,0,0
0.069965,0,0,0,0,0,0,0,0
0.071421,0,0,0,0,0,0,0,0
0.072816,0,0,0,0,0,0,0,0
0.074203,0,0,0,0,0,0,0,0
0.075598,0,0,0,0,0,0,0,0
0.076982,0,0,0,0,0,0,0,0
0.078367,0,0,0,0,0,0,0,0
0.079804,0,0,0,0,0,0,0,0
0.081323,0,0,0,0,0,0,0,0
0.082827,0,0,0,30,30,0,891,0
0.084040,0,0,0,0,0,0,0,0
0.085499,0,0,0,0,0,0,0,0
0.086938,0,0,0,0,0,0,0,0
0.088410,0,0,0,0,0,0,0,0
0.089849,0,0,0,0,0,0,0,0
0.091331,0,0,0,0,0,0,0,0
0.092767,0,0,0,0,0,0,0,0
0.094201,0,0,0,0,0,0,0,0
0.095681,0,0,0,0,0,0,0,0
0.097066,0,0,0,72,78,0,125940,0
0.098541,0,0,0,48,42,0,65121,0
0.099965,0,0,0,0,0,0,0,0
0.101339,0,0,0,0,0,0,0,0
0.102714,0,0,0,0,0,0,0,0
0.104152,0,0,0,0,0,0,0,0
0.105513,0,0,0,0,0,0,0,0
0.106875,0,0,0,0,0,0,0,0
0.108321,0,0,0,0,0,0,0,0
0.109684,0,0,0,0,0,0,0,0
0.111039,0,0,0,0,0,0,0,0
0.112398,0,0,0,0,0,0,0,0
0.113756,0,0,0,0,0,0,0,0
0.115112,0,0,0,0,0,0,0,0
0.116707,0,0,0,0,0,0,0,0
0.118088,0,0,0,0,0,0,0,0
0.119465,0,0,0,0,0,0,0,0
0.120824,0,0,0,0,0,0,0,0
0.122180,0,0,0,0,0,0,0,0
0.123537,0,0,0,0,0,0,0,0
