elapsed_s,HLSQ_NEVER_COUNT,HLSQ_BUSY_CYCLES,HLSQ_STALL_CYCLES_SP_STATE,HLSQ_STALL_CYCLES_SP_FS_STAGE,HLSQ_UCHE_LATENCY_CYCLES,HLSQ_UCHE_LATENCY_COUNT
0.001131,0,104,0,0,0,0
0.002765,0,104,0,0,0,0
0.004285,0,104,0,0,0,0
0.005801,0,104,0,0,0,0
0.007317,0,104,0,0,0,0
0.008830,0,104,0,0,0,0
0.010499,0,104,0,0,0,0
0.012018,0,104,0,0,0,0
0.013536,0,104,0,0,0,0
0.015049,0,104,0,0,0,0
0.016564,0,104,0,0,0,0
0.018078,0,104,0,0,0,0
0.019672,0,104,0,0,0,0
0.021185,0,104,0,0,0,0
0.022675,0,104,0,0,0,0
0.024164,0,104,0,0,0,0
0.025653,0,104,0,0,0,0
0.027144,0,104,0,0,0,0
0.028633,0,104,0,0,0,0
0.030123,0,104,0,0,0,0
0.031622,0,104,0,0,0,0
0.033155,0,104,0,0,0,0
0.034698,0,104,0,0,0,0
0.036172,0,104,0,0,0,0
0.037774,0,104,0,0,0,0
0.039378,0,104,0,0,0,0
0.040981,0,104,0,0,0,0
0.042480,0,104,0,0,0,0
0.044084,0,104,0,0,0,0
0.045688,0,104,0,0,0,0
0.047292,0,104,0,0,0,0
0.048768,0,104,0,0,0,0
0.050338,0,104,0,0,0,0
0.051849,0,104,0,0,0,0
0.053428,0,104,0,0,0,0
0.054985,0,104,0,0,0,0
0.056542,0,104,0,0,0,0
0.058097,0,104,0,0,0,0
0.059650,0,104,0,0,0,0
0.061209,0,104,0,0,0,0
0.062647,0,104,0,0,0,0
0.064072,0,104,0,0,0,0
0.065502,0,104,0,0,0,0
0.066945,0,104,0,0,0,0
0.068443,0,104,0,0,0,0
0.069956,0,104,0,0,0,0
0.071501,0,104,0,0,0,0
0.072927,0,104,0,0,0,0
0.074389,0,101,0,0,0,0
0.075771,0,104,0,0,0,0
0.077130,0,104,0,0,0,0
0.078570,0,104,0,0,0,0
0.079996,0,104,0,0,0,0
0.081422,0,1691,0,0,0,0
0.082720,0,104,0,0,0,0
0.084181,0,104,0,0,0,0
0.085639,0,104,0,0,0,0
0.087078,0,104,0,0,0,0
0.088516,0,104,0,0,0,0
0.091245,0,104,0,0,0,0
0.092691,0,104,0,0,0,0
0.094135,0,66628,0,0,1101,6
0.095501,0,104,0,0,0,0
0.096900,0,104,0,0,0,0
0.098306,0,104,0,0,0,0
0.099701,0,104,0,0,0,0
0.101145,0,104,0,0,0,0
0.102540,0,104,0,0,0,0
0.103934,0,104,0,0,0,0
0.105327,0,104,0,0,0,0
0.106725,0,104,0,0,0,0
0.108117,0,104,0,0,0,0
0.109636,0,104,0,0,0,0
0.111780,0,104,0,0,0,0
0.113317,0,104,0,0,0,0
0.114852,0,104,0,0,0,0
0.116240,0,104,0,0,0,0
0.117635,0,104,0,0,0,0
0.119024,0,104,0,0,0,0
0.120413,0,104,0,0,0,0
0.121804,0,104,0,0,0,0
0.123226,0,104,0,0,0,0
0.124617,0,104,0,0,0,0
0.126010,0,104,0,0,0,0
0.127407,0,104,0,0,0,0
0.128818,0,104,0,0,0,0
0.130218,0,104,0,0,0,0
0.131652,0,104,0,0,0,0
0.133042,0,104,0,0,0,0
0.134470,0,104,0,0,0,0
0.135860,0,104,0,0,0,0
0.137250,0,104,0,0,0,0
0.138641,0,104,0,0,0,0
0.140039,0,104,0,0,0,0
0.141433,0,104,0,0,0,0
0.142828,0,104,0,0,0,0
0.144223,0,104,0,0,0,0
0.145621,0,104,0,0,0,0
0.147051,0,104,0,0,0,0
0.148447,0,104,0,0,0,0
0.149974,0,104,0,0,0,0
0.151423,0,104,0,0,0,0
0.152953,0,104,0,0,0,0
0.154519,0,104,0,0,0,0
0.156079,0,104,0,0,0,0
0.157641,0,104,0,0,0,0
0.159202,0,104,0,0,0,0
0.160762,0,104,0,0,0,0
0.162419,0,104,0,0,0,0
0.164024,0,104,0,0,0,0
0.165587,0,104,0,0,0,0
0.167148,0,104,0,0,0,0
0.168708,0,104,0,0,0,0
0.170269,0,104,0,0,0,0
0.171831,0,104,0,0,0,0
0.173407,0,104,0,0,0,0
0.174970,0,104,0,0,0,0
0.176530,0,104,0,0,0,0
0.178092,0,104,0,0,0,0
0.179655,0,104,0,0,0,0
0.181219,0,104,0,0,0,0
0.182781,0,104,0,0,0,0
0.184228,0,104,0,0,0,0
0.185763,0,104,0,0,0,0
0.187326,0,104,0,0,0,0
0.188886,0,104,0,0,0,0
0.190451,0,104,0,0,0,0
0.192010,0,104,0,0,0,0
0.193572,0,104,0,0,0,0
0.195190,0,104,0,0,0,0
0.196750,0,104,0,0,0,0
0.198276,0,104,0,0,0,0
0.199808,0,104,0,0,0,0
0.201372,0,104,0,0,0,0
0.202934,0,104,0,0,0,0
0.204493,0,104,0,0,0,0
0.206067,0,104,0,0,0,0
0.207625,0,104,0,0,0,0
0.209136,0,104,0,0,0,0
0.210569,0,104,0,0,0,0
0.212005,0,104,0,0,0,0
0.213394,0,104,0,0,0,0
0.214783,0,104,0,0,0,0
0.216183,0,104,0,0,0,0
0.217572,0,104,0,0,0,0
0.218967,0,104,0,0,0,0
0.220367,0,104,0,0,0,0
0.221758,0,104,0,0,0,0
0.223147,0,104,0,0,0,0
0.224534,0,104,0,0,0,0
0.225922,0,104,0,0,0,0
0.227368,0,104,0,0,0,0
0.228733,0,104,0,0,0,0
0.230097,0,104,0,0,0,0
0.231461,0,104,0,0,0,0
0.232824,0,104,0,0,0,0
0.234245,0,104,0,0,0,0
0.235608,0,104,0,0,0,0
0.236971,0,104,0,0,0,0
0.238449,0,104,0,0,0,0
0.239811,0,104,0,0,0,0
0.241300,0,104,0,0,0,0
0.242760,0,104,0,0,0,0
0.244073,0,104,0,0,0,0
0.245426,0,104,0,0,0,0
0.246729,0,104,0,0,0,0
0.248030,0,104,0,0,0,0
0.249393,0,104,0,0,0,0
0.250693,0,104,0,0,0,0
0.251995,0,104,0,0,0,0
0.253358,0,104,0,0,0,0
0.254694,0,104,0,0,0,0
0.256002,0,104,0,0,0,0
0.257309,0,104,0,0,0,0
0.258652,0,104,0,0,0,0
0.260026,0,104,0,0,0,0
0.261444,0,104,0,0,0,0
0.262815,0,104,0,0,0,0
0.264198,0,104,0,0,0,0
0.265615,0,104,0,0,0,0
0.266984,0,104,0,0,0,0
0.268404,0,104,0,0,0,0
0.269717,0,104,0,0,0,0
0.271091,0,104,0,0,0,0
0.272461,0,104,0,0,0,0
0.273880,0,104,0,0,0,0
0.275263,0,104,0,0,0,0
0.276523,0,104,0,0,0,0
0.277916,0,104,0,0,0,0
0.279260,0,104,0,0,0,0
0.280603,0,104,0,0,0,0
0.281962,0,104,0,0,0,0
0.283327,0,1906,0,0,0,0
0.284746,0,104,0,0,0,0
0.286187,0,104,0,0,0,0
0.287540,0,104,0,0,0,0
0.288894,0,104,0,0,0,0
0.290261,0,104,0,0,0,0
0.291635,0,104,0,0,0,0
0.293166,0,69305,0,0,806,6
0.294636,0,104,0,0,0,0
0.296038,0,104,0,0,0,0
0.297545,0,104,0,0,0,0
0.299014,0,104,0,0,0,0
0.300531,0,104,0,0,0,0
0.301929,0,104,0,0,0,0
0.303330,0,104,0,0,0,0
0.304726,0,104,0,0,0,0
0.306355,0,104,0,0,0,0
0.307792,0,104,0,0,0,0
0.309412,0,104,0,0,0,0
0.312267,0,104,0,0,0,0
0.317173,0,104,0,0,0,0
0.318578,0,104,0,0,0,0
0.319974,0,104,0,0,0,0
0.321653,0,104,0,0,0,0
0.323157,0,104,0,0,0,0
0.324572,0,104,0,0,0,0
0.325970,0,104,0,0,0,0
0.327366,0,104,0,0,0,0
0.328760,0,104,0,0,0,0
0.330218,0,104,0,0,0,0
0.331608,0,104,0,0,0,0
0.332996,0,104,0,0,0,0
0.334398,0,104,0,0,0,0
0.335809,0,104,0,0,0,0
0.337204,0,104,0,0,0,0
0.338764,0,104,0,0,0,0
0.340192,0,104,0,0,0,0
0.341589,0,104,0,0,0,0
0.342995,0,104,0,0,0,0
0.344392,0,104,0,0,0,0
0.345790,0,104,0,0,0,0
0.347207,0,104,0,0,0,0
0.348721,0,104,0,0,0,0
0.350347,0,104,0,0,0,0
0.351910,0,104,0,0,0,0
0.353476,0,104,0,0,0,0
0.355082,0,104,0,0,0,0
0.356645,0,104,0,0,0,0
0.358222,0,104,0,0,0,0
0.359786,0,104,0,0,0,0
0.361350,0,104,0,0,0,0
0.362914,0,104,0,0,0,0
0.364475,0,104,0,0,0,0
0.366039,0,104,0,0,0,0
0.367602,0,104,0,0,0,0
0.369179,0,104,0,0,0,0
0.370788,0,104,0,0,0,0
0.372351,0,104,0,0,0,0
0.373916,0,104,0,0,0,0
0.375478,0,104,0,0,0,0
0.377041,0,104,0,0,0,0
0.378470,0,104,0,0,0,0
0.379882,0,104,0,0,0,0
0.381413,0,104,0,0,0,0
0.382975,0,104,0,0,0,0
0.384537,0,104,0,0,0,0
0.386100,0,104,0,0,0,0
0.387665,0,104,0,0,0,0
0.389232,0,104,0,0,0,0
0.390809,0,104,0,0,0,0
0.392370,0,104,0,0,0,0
0.393936,0,104,0,0,0,0
0.395500,0,104,0,0,0,0
0.397062,0,104,0,0,0,0
0.398768,0,104,0,0,0,0
0.400210,0,104,0,0,0,0
0.401632,0,104,0,0,0,0
0.403085,0,104,0,0,0,0
0.404484,0,104,0,0,0,0
0.405884,0,104,0,0,0,0
0.407310,0,104,0,0,0,0
0.408859,0,104,0,0,0,0
0.410250,0,104,0,0,0,0
0.411631,0,104,0,0,0,0
0.412980,0,104,0,0,0,0
0.414334,0,104,0,0,0,0
0.415683,0,104,0,0,0,0
0.417030,0,104,0,0,0,0
0.418587,0,104,0,0,0,0
0.419961,0,104,0,0,0,0
0.421316,0,104,0,0,0,0
0.422682,0,104,0,0,0,0
0.424029,0,104,0,0,0,0
0.425378,0,104,0,0,0,0
0.426730,0,104,0,0,0,0
0.428076,0,104,0,0,0,0
0.429469,0,104,0,0,0,0
0.430811,0,104,0,0,0,0
0.432153,0,104,0,0,0,0
0.433552,0,104,0,0,0,0
0.434944,0,104,0,0,0,0
0.436261,0,104,0,0,0,0
0.437625,0,104,0,0,0,0
0.438940,0,104,0,0,0,0
0.440255,0,104,0,0,0,0
0.441620,0,104,0,0,0,0
0.442937,0,104,0,0,0,0
0.444279,0,104,0,0,0,0
0.445645,0,104,0,0,0,0
0.446961,0,104,0,0,0,0
0.448278,0,104,0,0,0,0
0.449644,0,104,0,0,0,0
0.450993,0,104,0,0,0,0
0.452295,0,104,0,0,0,0
0.453648,0,104,0,0,0,0
0.454961,0,104,0,0,0,0
0.456265,0,104,0,0,0,0
0.457568,0,104,0,0,0,0
0.458868,0,104,0,0,0,0
0.460167,0,104,0,0,0,0
0.461515,0,104,0,0,0,0
0.462822,0,104,0,0,0,0
0.464124,0,104,0,0,0,0
0.465483,0,104,0,0,0,0
0.466813,0,104,0,0,0,0
0.468182,0,104,0,0,0,0
0.469492,0,104,0,0,0,0
0.470860,0,104,0,0,0,0
0.472227,0,104,0,0,0,0
0.473644,0,104,0,0,0,0
0.475080,0,104,0,0,0,0
0.476515,0,104,0,0,0,0
0.477936,0,104,0,0,0,0
0.479310,0,104,0,0,0,0
0.480679,0,104,0,0,0,0
0.482093,0,104,0,0,0,0
0.483475,0,104,0,0,0,0
0.484843,0,104,0,0,0,0
0.486275,0,104,0,0,0,0
0.487638,0,104,0,0,0,0
0.488998,0,1299,0,0,0,0
0.490507,0,104,0,0,0,0
0.491855,0,104,0,0,0,0
0.493301,0,104,0,0,0,0
0.494725,0,104,0,0,0,0
0.496184,0,104,0,0,0,0
0.497637,0,104,0,0,0,0
0.499104,0,104,0,0,0,0
0.500548,0,82001,0,0,1059,6
0.501969,0,104,0,0,0,0
0.503369,0,104,0,0,0,0
0.504766,0,104,0,0,0,0
0.506258,0,104,0,0,0,0
0.507654,0,104,0,0,0,0
0.509051,0,104,0,0,0,0
0.510563,0,104,0,0,0,0
0.512015,0,104,0,0,0,0
0.513490,0,104,0,0,0,0
0.514945,0,104,0,0,0,0
0.516337,0,104,0,0,0,0
0.521154,0,104,0,0,0,0
0.522564,0,104,0,0,0,0
0.523962,0,104,0,0,0,0
0.525531,0,104,0,0,0,0
0.526956,0,104,0,0,0,0
0.528746,0,104,0,0,0,0
0.530189,0,104,0,0,0,0
0.531627,0,104,0,0,0,0
0.533036,0,104,0,0,0,0
0.534388,0,104,0,0,0,0
0.535758,0,104,0,0,0,0
0.537111,0,104,0,0,0,0
0.538462,0,104,0,0,0,0
0.539810,0,104,0,0,0,0
0.541158,0,104,0,0,0,0
0.542506,0,104,0,0,0,0
0.543871,0,104,0,0,0,0
0.545221,0,104,0,0,0,0
0.546571,0,104,0,0,0,0
0.547988,0,104,0,0,0,0
0.549388,0,104,0,0,0,0
0.550914,0,104,0,0,0,0
0.552475,0,104,0,0,0,0
0.554038,0,104,0,0,0,0
0.555613,0,104,0,0,0,0
0.557178,0,104,0,0,0,0
0.558750,0,104,0,0,0,0
0.560347,0,104,0,0,0,0
0.561912,0,104,0,0,0,0
0.563477,0,104,0,0,0,0
0.565038,0,104,0,0,0,0
0.566694,0,104,0,0,0,0
0.568254,0,104,0,0,0,0
0.569819,0,104,0,0,0,0
0.571384,0,104,0,0,0,0
0.572946,0,104,0,0,0,0
0.574514,0,104,0,0,0,0
0.576075,0,104,0,0,0,0
0.577652,0,104,0,0,0,0
0.579258,0,104,0,0,0,0
0.580820,0,104,0,0,0,0
0.582387,0,104,0,0,0,0
0.583950,0,104,0,0,0,0
0.585515,0,104,0,0,0,0
0.587079,0,104,0,0,0,0
