elapsed_s,HLSQ_STPROC_WAVE_CONTEXTS_LPAC,HLSQ_STPROC_WAVE_CONTEXT_CYCLES_LPAC,HLSQ_SPTROC_STCHE_WARMUP_INC_VS,HLSQ_SPTROC_STCHE_WARMUP_INC_FS,HLSQ_SPTROC_STCHE_WARMUP_INC_BV,HLSQ_SPTROC_STCHE_WARMUP_INC_LPAC
0.001114,0,0,0,0,0,0
0.002733,0,0,0,0,0,0
0.004255,0,0,0,0,0,0
0.005732,0,0,0,0,0,0
0.007210,0,0,0,0,0,0
0.008681,0,0,0,0,0,0
0.010177,0,0,0,0,0,0
0.011649,0,0,0,0,0,0
0.013120,0,0,0,0,0,0
0.014593,0,0,0,0,0,0
0.016064,0,0,0,0,0,0
0.017538,0,0,0,0,0,0
0.019035,0,0,0,0,0,0
0.020558,0,0,0,0,0,0
0.022105,0,0,0,0,0,0
0.023601,0,0,0,0,0,0
0.025096,0,0,0,0,0,0
0.026586,0,0,0,0,0,0
0.028075,0,0,0,0,0,0
0.029563,0,0,0,0,0,0
0.031063,0,0,0,0,0,0
0.032553,0,0,0,0,0,0
0.034164,0,0,0,0,0,0
0.035707,0,0,0,0,0,0
0.037251,0,0,0,0,0,0
0.038852,0,0,0,0,0,0
0.040454,0,0,0,0,0,0
0.042027,0,0,0,0,0,0
0.043632,0,0,0,0,0,0
0.045236,0,0,0,0,0,0
0.046841,0,0,0,0,0,0
0.048446,0,0,0,0,0,0
0.050045,0,0,0,0,0,0
0.051558,0,0,0,0,0,0
0.053161,0,0,0,0,0,0
0.054734,0,0,0,0,0,0
0.056309,0,0,0,0,0,0
0.057950,0,0,0,0,0,0
0.059508,0,0,0,0,0,0
0.061082,0,0,0,0,0,0
0.062505,0,0,0,0,0,0
0.063931,0,0,0,0,0,0
0.065354,0,0,0,0,0,0
0.066798,0,0,0,0,0,0
0.068240,0,0,0,0,0,0
0.069617,0,0,0,0,0,0
0.071118,0,0,0,0,0,0
0.072595,0,0,0,0,0,0
0.074043,0,0,0,0,0,0
0.075379,0,0,0,0,0,0
0.076710,0,0,0,0,0,0
0.078087,0,0,0,0,0,0
0.079462,0,0,0,0,0,0
0.080707,0,0,0,0,0,0
0.082205,0,0,0,0,0,0
0.083659,0,0,0,0,0,0
0.085070,0,0,0,0,0,0
0.086469,0,0,0,0,0,0
