elapsed_s,HLSQ_L2STC_LATENCY_COUNT,HLSQ_L2STC_STALL_SP_MISS_REQ,HLSQ_L2STC_BANK0_REPLACEMENT,HLSQ_L2STC_BANK1_REPLACEMENT,HLSQ_L2STC_BANK2_REPLACEMENT,HLSQ_L2STC_BANK3_REPLACEMENT
0.001106,0,0,0,0,0,0
0.002694,0,0,0,0,0,0
0.004299,0,0,0,0,0,0
0.005813,0,0,0,0,0,0
0.007427,0,0,0,0,0,0
0.009004,0,0,0,0,0,0
0.010552,0,0,0,0,0,0
0.012068,0,0,0,0,0,0
0.013581,0,0,0,0,0,0
0.015094,0,0,0,0,0,0
0.016611,0,0,0,0,0,0
0.018126,0,0,0,0,0,0
0.019709,0,0,0,0,0,0
0.021255,0,0,0,0,0,0
0.022780,0,0,0,0,0,0
0.024376,0,0,0,0,0,0
0.025868,0,0,0,0,0,0
0.027521,0,0,0,0,0,0
0.029012,0,0,0,0,0,0
0.030501,0,0,0,0,0,0
0.032000,0,0,0,0,0,0
0.033490,0,0,0,0,0,0
0.034978,0,0,0,0,0,0
0.036467,0,0,0,0,0,0
0.037955,0,0,0,0,0,0
0.039480,0,0,0,0,0,0
0.041022,0,0,0,0,0,0
0.042631,0,0,0,0,0,0
0.044236,0,0,0,0,0,0
0.045841,0,0,0,0,0,0
0.047478,0,0,0,0,0,0
0.049081,0,0,0,0,0,0
0.050686,0,0,0,0,0,0
0.052292,0,0,0,0,0,0
0.053903,0,0,0,0,0,0
0.055523,0,0,0,0,0,0
0.057035,0,0,0,0,0,0
0.058589,0,0,0,0,0,0
0.060144,0,0,0,0,0,0
0.061700,0,0,0,0,0,0
0.063317,0,0,0,0,0,0
0.064749,0,0,0,0,0,0
0.066188,0,0,0,0,0,0
0.067613,0,0,0,0,0,0
0.069037,0,0,0,0,0,0
0.070463,0,0,0,0,0,0
0.071907,0,0,0,0,0,0
0.073387,0,0,0,0,0,0
0.074780,0,0,0,0,0,0
0.076148,0,0,0,0,0,0
0.077513,0,0,0,0,0,0
0.078873,0,0,0,0,0,0
0.080227,0,0,0,0,0,0
0.081588,0,0,0,0,0,0
0.082946,0,0,0,0,0,0
0.084304,0,0,0,0,0,0
0.085545,0,0,0,0,0,0
0.086904,0,0,0,0,0,0
0.088276,0,0,0,0,0,0
0.089686,0,0,0,0,0,0
0.091086,0,0,0,0,0,0
0.092489,0,0,0,0,0,0
0.093887,0,0,0,0,0,0
0.095584,7,0,2,2,2,1
0.097272,0,1,0,0,0,0
0.098669,0,0,0,0,0,0
0.100065,0,0,0,0,0,0
0.101463,0,0,0,0,0,0
0.103301,0,0,0,0,0,0
0.104743,0,0,0,0,0,0
0.106156,0,0,0,0,0,0
0.107627,0,0,0,0,0,0
0.109063,0,0,0,0,0,0
0.110470,0,0,0,0,0,0
0.111865,0,0,0,0,0,0
0.113256,0,0,0,0,0,0
0.118238,0,0,0,0,0,0
0.119642,0,0,0,0,0,0
0.121083,0,0,0,0,0,0
0.122476,0,0,0,0,0,0
0.123896,0,0,0,0,0,0
0.125286,0,0,0,0,0,0
0.126676,0,0,0,0,0,0
0.128069,0,0,0,0,0,0
0.129466,0,0,0,0,0,0
0.130882,0,0,0,0,0,0
0.132273,0,0,0,0,0,0
0.133662,0,0,0,0,0,0
0.135052,0,0,0,0,0,0
0.136484,0,0,0,0,0,0
0.137875,0,0,0,0,0,0
0.139372,0,0,0,0,0,0
0.140767,0,0,0,0,0,0
0.142171,0,0,0,0,0,0
0.143595,0,0,0,0,0,0
0.145000,0,0,0,0,0,0
0.146416,0,0,0,0,0,0
0.147943,0,0,0,0,0,0
0.149501,0,0,0,0,0,0
0.151817,0,0,0,0,0,0
0.153295,0,0,0,0,0,0
0.154699,0,0,0,0,0,0
0.156097,0,0,0,0,0,0
0.157493,0,0,0,0,0,0
0.158890,0,0,0,0,0,0
0.160286,0,0,0,0,0,0
0.161788,0,0,0,0,0,0
0.163348,0,0,0,0,0,0
0.164919,0,0,0,0,0,0
0.166392,0,0,0,0,0,0
0.168029,0,0,0,0,0,0
0.169580,0,0,0,0,0,0
0.171013,0,0,0,0,0,0
0.172545,0,0,0,0,0,0
0.174108,0,0,0,0,0,0
0.175690,0,0,0,0,0,0
0.177252,0,0,0,0,0,0
0.178817,0,0,0,0,0,0
0.180382,0,0,0,0,0,0
0.181943,0,0,0,0,0,0
0.183510,0,0,0,0,0,0
0.185116,0,0,0,0,0,0
0.186692,0,0,0,0,0,0
0.188255,0,0,0,0,0,0
0.189816,0,0,0,0,0,0
0.191248,0,0,0,0,0,0
0.192778,0,0,0,0,0,0
0.194341,0,0,0,0,0,0
0.195903,0,0,0,0,0,0
0.197476,0,0,0,0,0,0
0.199039,0,0,0,0,0,0
0.200601,0,0,0,0,0,0
0.202162,0,0,0,0,0,0
0.203780,0,0,0,0,0,0
0.205341,0,0,0,0,0,0
0.206903,0,0,0,0,0,0
0.208480,0,0,0,0,0,0
0.209930,0,0,0,0,0,0
0.211327,0,0,0,0,0,0
0.212682,0,0,0,0,0,0
0.214029,0,0,0,0,0,0
0.215430,0,0,0,0,0,0
0.216778,0,0,0,0,0,0
0.218125,0,0,0,0,0,0
0.219486,0,0,0,0,0,0
0.220826,0,0,0,0,0,0
0.222237,0,0,0,0,0,0
0.223639,0,0,0,0,0,0
0.225006,0,0,0,0,0,0
0.226404,0,0,0,0,0,0
0.227747,0,0,0,0,0,0
0.229087,0,0,0,0,0,0
0.230500,0,0,0,0,0,0
0.231843,0,0,0,0,0,0
0.233163,0,0,0,0,0,0
0.234483,0,0,0,0,0,0
0.235803,0,0,0,0,0,0
0.237124,0,0,0,0,0,0
0.238491,0,0,0,0,0,0
0.239812,0,0,0,0,0,0
0.241141,0,0,0,0,0,0
0.242460,0,0,0,0,0,0
0.243777,0,0,0,0,0,0
0.245092,0,0,0,0,0,0
0.246458,0,0,0,0,0,0
0.247824,0,0,0,0,0,0
0.249200,0,0,0,0,0,0
0.250569,0,0,0,0,0,0
0.251833,0,0,0,0,0,0
0.253201,0,0,0,0,0,0
0.254569,0,0,0,0,0,0
0.255937,0,0,0,0,0,0
0.257305,0,0,0,0,0,0
0.258673,0,0,0,0,0,0
0.260041,0,0,0,0,0,0
0.261460,0,0,0,0,0,0
0.262885,0,0,0,0,0,0
0.264255,0,0,0,0,0,0
0.265625,0,0,0,0,0,0
0.266909,0,0,0,0,0,0
0.268260,0,0,0,0,0,0
0.269609,0,0,0,0,0,0
0.271013,0,0,0,0,0,0
0.272367,0,0,0,0,0,0
0.273804,0,0,0,0,0,0
0.275306,0,0,0,0,0,0
0.276658,0,0,0,0,0,0
0.278010,0,0,0,0,0,0
0.279365,0,0,0,0,0,0
0.282250,0,0,0,0,0,0
0.283744,7,1,2,2,2,1
0.285150,0,0,0,0,0,0
0.286691,0,0,0,0,0,0
0.288149,0,0,0,0,0,0
0.289551,0,0,0,0,0,0
0.290950,0,0,0,0,0,0
0.292390,0,0,0,0,0,0
0.293788,0,0,0,0,0,0
0.295194,0,0,0,0,0,0
0.296585,0,0,0,0,0,0
0.298294,0,0,0,0,0,0
0.299802,0,0,0,0,0,0
0.301190,0,0,0,0,0,0
0.306252,0,0,0,0,0,0
0.307761,0,0,0,0,0,0
0.309159,0,0,0,0,0,0
0.311008,0,0,0,0,0,0
0.312496,0,0,0,0,0,0
0.313892,0,0,0,0,0,0
0.315342,0,0,0,0,0,0
0.316737,0,0,0,0,0,0
0.318149,0,0,0,0,0,0
0.319553,0,0,0,0,0,0
0.320946,0,0,0,0,0,0
0.322474,0,0,0,0,0,0
0.323874,0,0,0,0,0,0
0.325229,0,0,0,0,0,0
0.326585,0,0,0,0,0,0
0.327960,0,0,0,0,0,0
0.329366,0,0,0,0,0,0
0.330764,0,0,0,0,0,0
0.332287,0,0,0,0,0,0
0.333847,0,0,0,0,0,0
0.335494,0,0,0,0,0,0
0.336923,0,0,0,0,0,0
0.338331,0,0,0,0,0,0
0.339742,0,0,0,0,0,0
0.341137,0,0,0,0,0,0
0.342539,0,0,0,0,0,0
0.343980,0,0,0,0,0,0
0.345373,0,0,0,0,0,0
0.346765,0,0,0,0,0,0
0.348156,0,0,0,0,0,0
0.349547,0,0,0,0,0,0
0.350950,0,0,0,0,0,0
0.352477,0,0,0,0,0,0
0.354037,0,0,0,0,0,0
0.355602,0,0,0,0,0,0
0.357162,0,0,0,0,0,0
0.358725,0,0,0,0,0,0
0.360330,0,0,0,0,0,0
0.361903,0,0,0,0,0,0
0.363468,0,0,0,0,0,0
0.365027,0,0,0,0,0,0
0.366590,0,0,0,0,0,0
0.368068,0,0,0,0,0,0
0.369479,0,0,0,0,0,0
