elapsed_s,HLSQ_S2W_STALL_BY_MISS_RETURN,HLSQ_MISS_RETURN_STALL_BY_S2W,HLSQ_STPROC_L0_STALL_INS_RD,HLSQ_STPROC_L0_INS_MISS,HLSQ_STPROC_L0_INS_HIT,HLSQ_STPROC_L0_INS_LATENCY_COUNT
0.001104,0,0,0,0,0,0
0.002687,0,0,0,0,0,0
0.004201,0,0,0,0,0,0
0.005747,0,0,0,0,0,0
0.007270,0,0,0,0,0,0
0.008748,0,0,0,0,0,0
0.010370,0,0,0,0,0,0
0.011846,0,0,0,0,0,0
0.013475,0,0,0,0,0,0
0.015057,0,0,0,0,0,0
0.016533,0,0,0,0,0,0
0.018024,0,0,0,0,0,0
0.019466,0,0,0,0,0,0
0.020920,0,0,0,0,0,0
0.022447,0,0,0,0,0,0
0.023892,0,0,0,0,0,0
0.025337,0,0,0,0,0,0
0.026781,0,0,0,0,0,0
0.028226,0,0,0,0,0,0
0.029720,0,0,0,0,0,0
0.031159,0,0,0,0,0,0
0.032662,0,0,0,0,0,0
0.034215,0,0,0,0,0,0
0.035718,0,0,0,0,0,0
0.037283,0,0,0,0,0,0
0.038793,0,0,0,0,0,0
0.040314,0,0,0,0,0,0
0.041824,0,0,0,0,0,0
0.043347,0,0,0,0,0,0
0.044854,0,0,0,0,0,0
0.046477,0,0,0,0,0,0
0.047871,0,0,0,0,0,0
0.049260,0,0,0,0,0,0
0.050709,0,0,0,0,0,0
0.052170,0,0,0,0,0,0
0.053558,0,0,0,0,0,0
0.054918,0,0,0,0,0,0
0.056266,0,0,0,0,0,0
0.057595,0,0,0,0,0,0
0.058920,0,0,0,0,0,0
0.060365,0,0,0,0,0,0
0.061868,0,0,0,0,0,0
0.063295,0,0,0,0,0,0
0.064706,0,0,0,0,0,0
0.066164,0,0,0,0,0,0
0.067567,0,0,0,0,0,0
0.068966,0,0,0,0,0,0
0.070474,0,0,0,0,0,0
0.071853,0,0,0,0,0,0
0.073217,0,0,0,0,0,0
0.074603,0,0,0,0,0,0
0.075958,0,0,0,1,15,1
0.077296,0,0,0,0,0,0
0.078654,0,0,0,0,0,0
0.080062,0,0,0,0,0,0
0.081420,0,0,0,0,0,0
0.082777,0,0,0,0,0,0
0.084131,0,0,0,0,0,0
0.085506,0,0,0,0,0,0
0.086860,0,0,0,0,0,0
0.088209,0,0,0,0,0,0
0.089557,0,0,0,0,0,0
0.090942,0,0,0,0,0,0
0.092336,0,0,0,0,0,0
0.093703,0,0,0,0,0,0
0.097233,0,0,0,0,0,0
0.098659,0,0,0,0,0,0
0.100062,0,0,0,0,0,0
0.101498,0,0,0,0,0,0
0.102974,0,0,0,0,0,0
0.104580,0,0,0,0,0,0
0.105971,0,0,0,0,0,0
0.107362,0,0,0,0,0,0
0.108770,0,0,0,0,0,0
0.110163,0,0,0,0,0,0
0.111609,0,0,0,0,0,0
0.113005,0,0,0,0,0,0
0.114405,0,0,0,0,0,0
0.115800,0,0,0,0,0,0
0.117196,0,0,0,0,0,0
0.118588,0,0,0,0,0,0
0.120000,0,0,0,0,0,0
0.121523,0,0,0,0,0,0
0.122924,0,0,0,0,0,0
0.124278,0,0,0,0,0,0
0.125631,0,0,0,0,0,0
0.127003,0,0,0,0,0,0
0.128399,0,0,0,0,0,0
0.129797,0,0,0,0,0,0
0.131326,0,0,0,0,0,0
0.132887,0,0,0,0,0,0
0.134454,0,0,0,0,0,0
0.136015,0,0,0,0,0,0
0.137579,0,0,0,0,0,0
0.139142,0,0,0,0,0,0
0.140703,0,0,0,0,0,0
0.142152,0,0,0,0,0,0
0.143687,0,0,0,0,0,0
0.145251,0,0,0,0,0,0
0.146814,0,0,0,0,0,0
0.148376,0,0,0,0,0,0
0.149940,0,0,0,0,0,0
0.151504,0,0,0,0,0,0
0.153079,0,0,0,0,0,0
0.154647,0,0,0,0,0,0
0.156206,0,0,0,0,0,0
0.157770,0,0,0,0,0,0
0.159375,0,0,0,0,0,0
0.160934,0,0,0,0,0,0
0.162499,0,0,0,0,0,0
0.164071,0,0,0,0,0,0
0.165635,0,0,0,0,0,0
0.167198,0,0,0,0,0,0
0.168758,0,0,0,0,0,0
0.170190,0,0,0,0,0,0
0.171719,0,0,0,0,0,0
0.173283,0,0,0,0,0,0
0.174899,0,0,0,0,0,0
0.176459,0,0,0,0,0,0
0.178021,0,0,0,0,0,0
0.179582,0,0,0,0,0,0
0.181142,0,0,0,0,0,0
0.182712,0,0,0,0,0,0
0.184272,0,0,0,0,0,0
0.185849,0,0,0,0,0,0
0.187411,0,0,0,0,0,0
0.188969,0,0,0,0,0,0
0.190424,0,0,0,0,0,0
0.191867,0,0,0,0,0,0
0.193269,0,0,0,0,0,0
0.194659,0,0,0,0,0,0
0.196062,0,0,0,0,0,0
0.197451,0,0,0,0,0,0
0.198840,0,0,0,0,0,0
0.200230,0,0,0,0,0,0
0.201619,0,0,0,0,0,0
0.203007,0,0,0,0,0,0
0.204395,0,0,0,0,0,0
0.205782,0,0,0,0,0,0
0.207231,0,0,0,0,0,0
0.208597,0,0,0,0,0,0
0.209961,0,0,0,0,0,0
0.211325,0,0,0,0,0,0
0.212689,0,0,0,0,0,0
0.214052,0,0,0,0,0,0
0.215417,0,0,0,0,0,0
0.216781,0,0,0,0,0,0
0.218151,0,0,0,0,0,0
0.219514,0,0,0,0,0,0
0.220876,0,0,0,0,0,0
0.222316,0,0,0,0,0,0
0.223714,0,0,0,0,0,0
0.225064,0,0,0,0,0,0
0.226452,0,0,0,0,0,0
0.227802,0,0,0,0,0,0
0.229157,0,0,0,0,0,0
0.230556,0,0,0,0,0,0
0.231906,0,0,0,0,0,0
0.233416,0,0,0,0,0,0
0.234766,0,0,0,0,0,0
0.236114,0,0,0,0,0,0
0.237462,0,0,0,0,0,0
0.238839,0,0,0,0,0,0
0.240265,0,0,0,0,0,0
0.241683,0,0,0,0,0,0
0.243101,0,0,0,0,0,0
0.244518,0,0,0,0,0,0
0.245936,0,0,0,0,0,0
0.247353,0,0,0,0,0,0
0.248771,0,0,0,0,0,0
0.250195,0,0,0,0,0,0
0.251575,0,0,0,0,0,0
0.252956,0,0,0,0,0,0
0.254336,0,0,0,0,0,0
0.255712,0,0,0,0,0,0
0.256972,0,0,0,0,0,0
0.258402,0,0,0,0,0,0
0.259751,0,0,0,0,0,0
0.261104,0,0,0,0,0,0
0.262487,0,0,0,0,0,0
0.264232,0,0,0,0,0,0
0.265617,0,0,0,0,0,0
0.266980,0,0,0,0,0,0
0.268334,0,0,0,0,0,0
0.269687,0,0,0,0,0,0
0.271057,0,0,0,0,0,0
0.272462,0,0,0,0,0,0
0.273927,0,0,0,1,15,1
0.275336,0,0,0,0,0,0
0.276739,0,0,0,0,0,0
0.278629,0,0,0,0,0,0
0.280029,0,0,0,0,0,0
0.281425,0,0,0,0,0,0
0.282823,0,0,0,0,0,0
0.284229,0,0,0,0,0,0
0.285723,0,0,0,0,0,0
0.287574,0,0,0,0,0,0
0.288967,0,0,0,0,0,0
0.290385,0,0,0,0,0,0
0.291779,0,0,0,0,0,0
0.293264,0,0,0,0,0,0
0.298379,0,0,0,0,0,0
0.299777,0,0,0,0,0,0
0.301179,0,0,0,0,0,0
0.302657,0,0,0,0,0,0
0.304099,0,0,0,0,0,0
0.305632,0,0,0,0,0,0
0.307035,0,0,0,0,0,0
0.308406,0,0,0,0,0,0
0.309759,0,0,0,0,0,0
0.311112,0,0,0,0,0,0
0.312461,0,0,0,0,0,0
0.313815,0,0,0,0,0,0
0.315166,0,0,0,0,0,0
0.316515,0,0,0,0,0,0
0.317866,0,0,0,0,0,0
0.319357,0,0,0,0,0,0
0.320804,0,0,0,0,0,0
0.322339,0,0,0,0,0,0
0.323902,0,0,0,0,0,0
0.325467,0,0,0,0,0,0
0.327028,0,0,0,0,0,0
0.328589,0,0,0,0,0,0
0.330163,0,0,0,0,0,0
0.331722,0,0,0,0,0,0
0.333282,0,0,0,0,0,0
0.334887,0,0,0,0,0,0
0.336445,0,0,0,0,0,0
0.338008,0,0,0,0,0,0
0.339570,0,0,0,0,0,0
0.341142,0,0,0,0,0,0
0.342727,0,0,0,0,0,0
0.344286,0,0,0,0,0,0
