elapsed_s,VPC_FE_SP_COMPONENTS,VPC_FE_STALL_CYCLES_VPCRAM_POS,VPC_FE_VS_BUSY_CYCLES,VPC_FE_VS_WORKING_CYCLES,VPC_FE_NUM_VPCRAM_READ_POS,VPC_FE_WIT_FULL_CYCLES
0.001849,0,0,0,0,0,0
0.003526,0,0,0,0,0,0
0.005053,0,0,0,0,0,0
0.006618,0,0,0,0,0,0
0.008372,0,0,0,0,0,0
0.009925,0,0,0,0,0,0
0.011411,0,0,0,0,0,0
0.012884,0,0,0,0,0,0
0.014622,0,0,0,0,0,0
0.016274,0,0,0,0,0,0
0.018009,0,0,0,0,0,0
0.019545,0,0,0,0,0,0
0.021057,0,0,0,0,0,0
0.022576,0,0,0,0,0,0
0.024131,0,0,0,0,0,0
0.025751,0,0,0,0,0,0
0.027276,0,0,0,0,0,0
0.028765,0,0,0,0,0,0
0.030347,0,0,0,0,0,0
0.031846,0,0,0,0,0,0
0.033395,0,0,0,0,0,0
0.034883,0,0,0,0,0,0
0.036370,0,0,0,0,0,0
0.037858,0,0,0,0,0,0
0.039413,0,0,0,0,0,0
0.040969,0,0,0,0,0,0
0.042571,0,0,0,0,0,0
0.044097,0,0,0,0,0,0
0.045597,0,0,0,0,0,0
0.047019,0,0,0,0,0,0
0.048441,0,0,0,0,0,0
0.049861,0,0,0,0,0,0
0.051301,0,0,0,0,0,0
0.052727,0,0,0,0,0,0
0.054147,0,0,0,0,0,0
0.055588,0,0,0,0,0,0
0.057008,0,0,0,0,0,0
0.058514,0,0,0,0,0,0
0.059937,0,0,0,0,0,0
0.061330,0,0,0,0,0,0
0.062692,0,0,0,0,0,0
0.064074,0,0,0,0,0,0
0.065429,0,0,0,0,0,0
0.066788,0,0,0,0,0,0
0.068143,0,0,0,0,0,0
0.069497,0,0,0,0,0,0
0.070900,0,0,0,0,0,0
0.072253,0,0,0,0,0,0
0.073679,0,0,2541,795,0,0
0.074951,0,0,0,0,0,0
0.076321,0,0,0,0,0,0
0.077680,0,0,0,0,0,0
0.079031,0,0,0,0,0,0
0.080381,0,0,0,0,0,0
0.081777,0,0,0,0,0,0
0.083132,0,0,0,0,0,0
0.084500,0,0,6438,1785,0,0
0.085723,0,0,0,0,0,0
0.087099,0,0,0,0,0,0
0.088515,0,0,0,0,0,0
0.090672,0,0,0,0,0,0
0.092073,0,0,0,0,0,0
0.093471,0,0,0,0,0,0
0.094879,0,0,0,0,0,0
0.096268,0,0,0,0,0,0
0.098768,0,0,0,0,0,0
0.100160,0,0,0,0,0,0
0.104102,0,0,0,0,0,0
0.105651,0,0,0,0,0,0
0.107053,0,0,0,0,0,0
0.108407,0,0,0,0,0,0
0.109758,0,0,0,0,0,0
0.111106,0,0,0,0,0,0
0.112458,0,0,0,0,0,0
0.113812,0,0,0,0,0,0
0.115159,0,0,0,0,0,0
0.116528,0,0,0,0,0,0
0.117879,0,0,0,0,0,0
0.119339,0,0,0,0,0,0
0.120691,0,0,0,0,0,0
0.122040,0,0,0,0,0,0
0.123388,0,0,0,0,0,0
0.124737,0,0,0,0,0,0
0.126087,0,0,0,0,0,0
0.127447,0,0,0,0,0,0
0.128796,0,0,0,0,0,0
0.130146,0,0,0,0,0,0
0.131496,0,0,0,0,0,0
0.132844,0,0,0,0,0,0
0.134267,0,0,0,0,0,0
0.135746,0,0,0,0,0,0
0.137324,0,0,0,0,0,0
0.138900,0,0,0,0,0,0
0.140460,0,0,0,0,0,0
0.142023,0,0,0,0,0,0
0.143585,0,0,0,0,0,0
0.145208,0,0,0,0,0,0
0.146768,0,0,0,0,0,0
0.148329,0,0,0,0,0,0
0.149906,0,0,0,0,0,0
0.151513,0,0,0,0,0,0
0.153074,0,0,0,0,0,0
0.154641,0,0,0,0,0,0
0.156202,0,0,0,0,0,0
0.157767,0,0,0,0,0,0
0.159329,0,0,0,0,0,0
0.160914,0,0,0,0,0,0
0.162412,0,0,0,0,0,0
0.163951,0,0,0,0,0,0
0.165514,0,0,0,0,0,0
0.167119,0,0,0,0,0,0
0.168679,0,0,0,0,0,0
0.170241,0,0,0,0,0,0
0.171814,0,0,0,0,0,0
0.173377,0,0,0,0,0,0
0.174931,0,0,0,0,0,0
0.176357,0,0,0,0,0,0
0.177929,0,0,0,0,0,0
0.179464,0,0,0,0,0,0
0.181025,0,0,0,0,0,0
0.182606,0,0,0,0,0,0
0.184222,0,0,0,0,0,0
0.185785,0,0,0,0,0,0
0.187347,0,0,0,0,0,0
0.188907,0,0,0,0,0,0
0.190482,0,0,0,0,0,0
0.192041,0,0,0,0,0,0
0.193617,0,0,0,0,0,0
0.195186,0,0,0,0,0,0
0.196746,0,0,0,0,0,0
0.198204,0,0,0,0,0,0
0.199615,0,0,0,0,0,0
0.201099,0,0,0,0,0,0
0.202536,0,0,0,0,0,0
0.203896,0,0,0,0,0,0
0.205319,0,0,0,0,0,0
0.206705,0,0,0,0,0,0
0.208060,0,0,0,0,0,0
0.209409,0,0,0,0,0,0
0.210759,0,0,0,0,0,0
0.212107,0,0,0,0,0,0
0.213509,0,0,0,0,0,0
0.214928,0,0,0,0,0,0
0.216250,0,0,0,0,0,0
0.217569,0,0,0,0,0,0
0.218887,0,0,0,0,0,0
0.220202,0,0,0,0,0,0
0.221567,0,0,0,0,0,0
0.222888,0,0,0,0,0,0
0.224207,0,0,0,0,0,0
0.225535,0,0,0,0,0,0
0.226850,0,0,0,0,0,0
0.228165,0,0,0,0,0,0
0.229529,0,0,0,0,0,0
0.230886,0,0,0,0,0,0
0.232263,0,0,0,0,0,0
0.233524,0,0,0,0,0,0
0.234784,0,0,0,0,0,0
0.236155,0,0,0,0,0,0
0.237524,0,0,0,0,0,0
0.238785,0,0,0,0,0,0
0.240153,0,0,0,0,0,0
0.241522,0,0,0,0,0,0
0.242783,0,0,0,0,0,0
0.244151,0,0,0,0,0,0
0.245575,0,0,0,0,0,0
0.246977,0,0,0,0,0,0
0.248307,0,0,0,0,0,0
0.249661,0,0,0,0,0,0
0.251013,0,0,0,0,0,0
0.252366,0,0,0,0,0,0
0.253713,0,0,0,0,0,0
0.255065,0,0,0,0,0,0
0.256421,0,0,0,0,0,0
0.257791,0,0,1968,315,0,0
0.259424,0,0,0,0,0,0
0.260778,0,0,0,0,0,0
0.262130,0,0,0,0,0,0
0.264052,0,0,0,0,0,0
0.265473,0,0,0,0,0,0
0.266871,0,0,0,0,0,0
0.268387,0,0,6489,1785,0,0
0.269662,0,0,0,0,0,0
0.271059,0,0,0,0,0,0
0.272454,0,0,0,0,0,0
0.273850,0,0,0,0,0,0
0.275246,0,0,0,0,0,0
0.276642,0,0,0,0,0,0
0.278501,0,0,0,0,0,0
0.279956,0,0,0,0,0,0
0.281347,0,0,0,0,0,0
0.282740,0,0,0,0,0,0
0.284130,0,0,0,0,0,0
0.285519,0,0,0,0,0,0
0.286906,0,0,0,0,0,0
0.288333,0,0,0,0,0,0
0.289720,0,0,0,0,0,0
0.291118,0,0,0,0,0,0
0.292508,0,0,0,0,0,0
0.293933,0,0,0,0,0,0
0.295371,0,0,0,0,0,0
0.296776,0,0,0,0,0,0
0.298178,0,0,0,0,0,0
0.299567,0,0,0,0,0,0
0.300957,0,0,0,0,0,0
0.302388,0,0,0,0,0,0
0.303778,0,0,0,0,0,0
0.305244,0,0,0,0,0,0
0.306640,0,0,0,0,0,0
0.308033,0,0,0,0,0,0
0.309429,0,0,0,0,0,0
0.311001,0,0,0,0,0,0
0.312575,0,0,0,0,0,0
0.314150,0,0,0,0,0,0
0.315609,0,0,0,0,0,0
0.317019,0,0,0,0,0,0
0.318552,0,0,0,0,0,0
0.320116,0,0,0,0,0,0
0.321681,0,0,0,0,0,0
0.323257,0,0,0,0,0,0
0.324820,0,0,0,0,0,0
0.326448,0,0,0,0,0,0
0.328055,0,0,0,0,0,0
0.329621,0,0,0,0,0,0
0.331185,0,0,0,0,0,0
0.332746,0,0,0,0,0,0
0.334195,0,0,0,0,0,0
0.335729,0,0,0,0,0,0
0.337295,0,0,0,0,0,0
0.338858,0,0,0,0,0,0
0.340420,0,0,0,0,0,0
0.341987,0,0,0,0,0,0
0.343551,0,0,0,0,0,0
0.345126,0,0,0,0,0,0
0.346560,0,0,0,0,0,0
0.347965,0,0,0,0,0,0
0.349497,0,0,0,0,0,0
0.351060,0,0,0,0,0,0
0.352620,0,0,0,0,0,0
0.354182,0,0,0,0,0,0
0.355756,0,0,0,0,0,0
0.357320,0,0,0,0,0,0
0.358926,0,0,0,0,0,0
0.360487,0,0,0,0,0,0
0.362049,0,0,0,0,0,0
0.363611,0,0,0,0,0,0
0.365174,0,0,0,0,0,0
0.366749,0,0,0,0,0,0
0.368310,0,0,0,0,0,0
0.369873,0,0,0,0,0,0
0.371436,0,0,0,0,0,0
0.372997,0,0,0,0,0,0
0.374600,0,0,0,0,0,0
0.376207,0,0,0,0,0,0
0.377784,0,0,0,0,0,0
0.379347,0,0,0,0,0,0
0.380908,0,0,0,0,0,0
0.382362,0,0,0,0,0,0
0.383747,0,0,0,0,0,0
0.385097,0,0,0,0,0,0
