elapsed_s,VPC_BE_TSE_BE_PRIMITIVES,VPC_BE_TSE_BE_TRANSACTIONS,VPC_BE_STARVE_CYCLES_LRZ,VPC_BE_LRZ_ASSIGN_PRIMITIVES,VPC_BE_RB_VISIBLE_PRIMITIVES,VPC_BE_STARVE_CYCLES_RB
0.001166,0,0,0,0,0,0
0.003026,0,0,0,0,0,0
0.004521,0,0,0,0,0,0
0.005996,0,0,0,0,0,0
0.007516,0,0,0,0,0,0
0.009018,0,0,0,0,0,0
0.010497,0,0,0,0,0,0
0.012177,0,0,0,0,0,0
0.013851,0,0,0,0,0,0
0.015404,0,0,0,0,0,0
0.016854,0,0,0,0,0,0
0.018374,0,0,0,0,0,0
0.019956,0,0,0,0,0,0
0.021401,0,0,0,0,0,0
0.022855,0,0,0,0,0,0
0.024355,0,0,0,0,0,0
0.025849,0,0,0,0,0,0
0.027299,0,0,0,0,0,0
0.028763,0,0,0,0,0,0
0.030300,0,0,0,0,0,0
0.031850,0,0,0,0,0,0
0.033380,0,0,0,0,0,0
0.034897,0,0,0,0,0,0
0.036407,0,0,0,0,0,0
0.037962,0,0,0,0,0,0
0.039516,0,0,0,0,0,0
0.041027,0,0,0,0,0,0
0.042531,0,0,0,0,0,0
0.044012,0,0,0,0,0,0
0.045555,0,0,0,0,0,0
0.047074,0,0,0,0,0,0
0.048425,0,0,0,0,0,0
0.049872,0,0,0,0,0,0
0.051212,0,0,0,0,0,0
0.052658,0,0,0,0,0,0
0.054104,0,0,0,0,0,0
0.055558,0,0,0,0,0,0
0.057020,0,0,0,0,0,0
0.058364,0,0,0,0,0,0
0.059858,0,0,0,0,0,0
0.061325,0,0,0,0,0,0
0.062679,0,0,0,0,0,0
0.064045,0,0,0,0,0,0
0.065395,0,0,1998,0,0,0
0.067031,0,0,0,0,0,0
0.068386,0,0,0,0,0,0
0.069742,0,0,0,0,0,0
0.071092,0,0,0,0,0,0
0.072503,0,0,0,0,0,0
0.073856,0,0,0,0,0,0
0.075208,0,0,0,0,0,0
0.076574,0,0,3915,0,0,0
0.077803,0,0,0,0,0,0
0.079153,0,0,0,0,0,0
0.080508,0,0,0,0,0,0
0.081860,0,0,0,0,0,0
0.083232,0,0,0,0,0,0
0.084585,0,0,0,0,0,0
0.085937,0,0,0,0,0,0
0.087289,0,0,0,0,0,0
0.088639,0,0,0,0,0,0
0.089984,0,0,0,0,0,0
0.091330,0,0,0,0,0,0
0.092722,0,0,0,0,0,0
0.094082,0,0,0,0,0,0
0.095428,0,0,0,0,0,0
0.096772,0,0,0,0,0,0
0.098115,0,0,0,0,0,0
0.099460,0,0,0,0,0,0
0.100804,0,0,0,0,0,0
0.102148,0,0,0,0,0,0
0.103495,0,0,0,0,0,0
0.104863,0,0,0,0,0,0
0.106209,0,0,0,0,0,0
0.107556,0,0,0,0,0,0
0.108926,0,0,0,0,0,0
0.110351,0,0,0,0,0,0
0.111754,0,0,0,0,0,0
0.113149,0,0,0,0,0,0
0.114542,0,0,0,0,0,0
0.116015,0,0,0,0,0,0
0.117408,0,0,0,0,0,0
0.118865,0,0,0,0,0,0
0.120262,0,0,0,0,0,0
0.121659,0,0,0,0,0,0
0.123059,0,0,0,0,0,0
0.124494,0,0,0,0,0,0
0.125970,0,0,0,0,0,0
0.127380,0,0,0,0,0,0
0.128906,0,0,0,0,0,0
0.130467,0,0,0,0,0,0
0.132093,0,0,0,0,0,0
0.133653,0,0,0,0,0,0
0.135218,0,0,0,0,0,0
0.136781,0,0,0,0,0,0
0.138353,0,0,0,0,0,0
0.139916,0,0,0,0,0,0
0.141479,0,0,0,0,0,0
0.143080,0,0,0,0,0,0
0.144642,0,0,0,0,0,0
0.146202,0,0,0,0,0,0
0.147765,0,0,0,0,0,0
0.149342,0,0,0,0,0,0
0.150907,0,0,0,0,0,0
0.152470,0,0,0,0,0,0
0.154031,0,0,0,0,0,0
0.155595,0,0,0,0,0,0
0.157159,0,0,0,0,0,0
0.158720,0,0,0,0,0,0
0.160300,0,0,0,0,0,0
0.161861,0,0,0,0,0,0
0.163425,0,0,0,0,0,0
0.164979,0,0,0,0,0,0
0.166530,0,0,0,0,0,0
0.168115,0,0,0,0,0,0
0.169645,0,0,0,0,0,0
0.171220,0,0,0,0,0,0
0.172825,0,0,0,0,0,0
0.174384,0,0,0,0,0,0
0.175945,0,0,0,0,0,0
0.177505,0,0,0,0,0,0
0.179069,0,0,0,0,0,0
0.180631,0,0,0,0,0,0
0.182077,0,0,0,0,0,0
0.183611,0,0,0,0,0,0
0.185172,0,0,0,0,0,0
0.186732,0,0,0,0,0,0
0.188298,0,0,0,0,0,0
0.189861,0,0,0,0,0,0
0.191292,0,0,0,0,0,0
0.192703,0,0,0,0,0,0
0.194094,0,0,0,0,0,0
0.195483,0,0,0,0,0,0
0.196874,0,0,0,0,0,0
0.198262,0,0,0,0,0,0
0.199651,0,0,0,0,0,0
0.201039,0,0,0,0,0,0
0.202427,0,0,0,0,0,0
0.203827,0,0,0,0,0,0
0.205275,0,0,0,0,0,0
0.206641,0,0,0,0,0,0
0.208022,0,0,0,0,0,0
0.209386,0,0,0,0,0,0
0.210750,0,0,0,0,0,0
0.212194,0,0,0,0,0,0
0.213557,0,0,0,0,0,0
0.214969,0,0,0,0,0,0
0.216333,0,0,0,0,0,0
0.217696,0,0,0,0,0,0
0.219059,0,0,0,0,0,0
0.220459,0,0,0,0,0,0
0.221808,0,0,0,0,0,0
0.223157,0,0,0,0,0,0
0.224505,0,0,0,0,0,0
0.225858,0,0,0,0,0,0
0.227209,0,0,0,0,0,0
0.228557,0,0,0,0,0,0
0.229907,0,0,0,0,0,0
0.231258,0,0,0,0,0,0
0.232607,0,0,0,0,0,0
0.233957,0,0,0,0,0,0
0.235304,0,0,0,0,0,0
0.236679,0,0,0,0,0,0
0.238098,0,0,0,0,0,0
0.239516,0,0,0,0,0,0
0.240935,0,0,0,0,0,0
0.242354,0,0,0,0,0,0
0.243773,0,0,0,0,0,0
0.245190,0,0,0,0,0,0
0.246614,0,0,0,0,0,0
0.248020,0,0,0,0,0,0
0.249442,0,0,0,0,0,0
0.250860,0,0,0,0,0,0
0.252279,0,0,0,0,0,0
0.253601,0,0,0,0,0,0
0.255020,0,0,0,0,0,0
0.256440,0,0,0,0,0,0
0.257858,0,0,0,0,0,0
0.259281,0,0,1893,0,0,0
0.260780,0,0,0,0,0,0
0.262200,0,0,0,0,0,0
0.263620,0,0,0,0,0,0
0.265038,0,0,0,0,0,0
0.266456,0,0,0,0,0,0
0.267894,0,0,0,0,0,0
