elapsed_s,VPC_BE_CCHE_NUM_POS_REQ,VPC_BE_STALL_CYCLES_LM_ACK,VPC_BE_STALL_CYCLES_PRG_END_VPCPS,VPC_BE_POS_OVERFETCH_ATTR,VPC_BE_BOTTLENECK
0.001175,0,0,0,0,0
0.002612,0,0,0,0,0
0.003977,0,0,0,0,0
0.005329,0,0,0,0,0
0.006673,0,0,0,0,0
0.008014,0,0,0,0,0
0.009425,0,0,0,0,0
0.010762,0,0,0,0,0
0.012097,0,0,0,0,0
0.013489,0,0,0,0,0
0.014839,0,0,0,0,0
0.016334,0,0,0,0,0
0.017717,0,0,0,0,0
0.019063,0,0,0,0,0
0.020423,0,0,0,0,0
0.021776,0,0,0,0,0
0.023112,0,0,0,0,0
0.024427,0,0,0,0,0
0.025862,0,0,0,0,0
0.027192,0,0,0,0,0
0.028510,0,0,0,0,0
0.029839,0,0,0,0,0
0.031166,0,0,0,0,0
0.032484,0,0,0,0,0
0.033806,0,0,0,0,0
0.035120,0,0,0,0,0
0.036434,0,0,0,0,0
0.037759,0,0,0,0,0
0.039120,0,0,0,0,0
0.040488,0,0,0,0,0
0.041856,0,0,0,0,0
0.043221,0,0,0,0,0
0.044585,0,0,0,0,0
0.045949,0,0,0,0,0
0.047314,0,0,0,0,0
0.048678,0,0,0,0,0
0.050044,0,0,0,0,0
0.051408,0,0,0,0,0
0.052667,0,0,0,0,0
0.054032,0,0,0,0,0
0.055358,0,0,0,0,0
0.056628,0,0,0,0,0
0.057995,0,0,0,0,0
0.059362,0,0,0,0,0
0.060778,0,0,0,0,0
0.062144,0,0,0,0,0
0.063409,0,0,0,0,0
0.064824,0,0,0,0,0
0.066189,0,0,0,0,0
0.067568,0,0,0,0,0
0.068932,0,0,0,0,0
0.070312,0,0,0,0,0
0.071676,0,0,0,0,0
0.073359,0,0,0,0,0
0.076583,0,0,0,0,0
0.078329,0,0,0,0,0
0.079728,0,0,0,0,0
0.081049,0,0,0,0,0
0.082447,0,0,0,0,0
0.083840,0,0,0,0,0
0.085843,0,0,0,0,0
0.087311,0,0,0,0,0
0.088703,0,0,0,0,0
0.090093,0,0,0,0,0
0.091479,0,0,0,0,0
0.092887,0,0,0,0,0
0.094299,0,0,0,0,0
0.095665,0,0,0,0,0
0.097013,0,0,0,0,0
0.098387,0,0,0,0,0
0.099730,0,0,0,0,0
0.101074,0,0,0,0,0
0.103549,0,0,0,0,0
0.104939,0,0,0,0,0
0.106330,0,0,0,0,0
0.107722,0,0,0,0,0
0.109132,0,0,0,0,0
0.110518,0,0,0,0,0
0.111903,0,0,0,0,0
0.113289,0,0,0,0,0
0.114674,0,0,0,0,0
0.116186,0,0,0,0,0
0.118241,0,0,0,0,0
0.119821,0,0,0,0,0
0.121346,0,0,0,0,0
0.122894,0,0,0,0,0
0.124447,0,0,0,0,0
0.126007,0,0,0,0,0
0.127561,0,0,0,0,0
0.129024,0,0,0,0,0
0.130585,0,0,0,0,0
0.132138,0,0,0,0,0
0.133695,0,0,0,0,0
0.135251,0,0,0,0,0
0.136808,0,0,0,0,0
0.138364,0,0,0,0,0
0.139919,0,0,0,0,0
0.141487,0,0,0,0,0
0.143042,0,0,0,0,0
0.144676,0,0,0,0,0
0.146297,0,0,0,0,0
0.147852,0,0,0,0,0
0.149279,0,0,0,0,0
0.150845,0,0,0,0,0
0.152412,0,0,0,0,0
0.153864,0,0,0,0,0
0.155260,0,0,0,0,0
0.156784,0,0,0,0,0
0.158461,0,0,0,0,0
0.159959,0,0,0,0,0
0.161490,0,0,0,0,0
0.162933,0,0,0,0,0
0.164458,0,0,0,0,0
0.168935,0,0,0,0,0
0.170436,0,0,0,0,0
0.171841,0,0,0,0,0
0.173246,0,0,0,0,0
0.174642,0,0,0,0,0
0.176034,0,0,0,0,0
0.177429,0,0,0,0,0
0.178820,0,0,0,0,0
0.180211,0,0,0,0,0
0.181603,0,0,0,0,0
0.183125,0,0,0,0,0
0.184579,0,0,0,0,0
0.186007,0,0,0,0,0
0.187401,0,0,0,0,0
0.188796,0,0,0,0,0
0.190187,0,0,0,0,0
0.191579,0,0,0,0,0
0.193114,0,0,0,0,0
0.194573,0,0,0,0,0
0.195935,0,0,0,0,0
0.197325,0,0,0,0,0
0.198662,0,0,0,0,0
0.199998,0,0,0,0,0
0.201383,0,0,0,0,0
0.202720,0,0,0,0,0
0.204058,0,0,0,0,0
0.205464,0,0,0,0,0
0.206807,0,0,0,0,0
0.208149,0,0,0,0,0
0.209490,0,0,0,0,0
0.210832,0,0,0,0,0
0.212172,0,0,0,0,0
0.213559,0,0,0,0,0
0.214952,0,0,0,0,0
0.216277,0,0,0,0,0
0.217592,0,0,0,0,0
0.218906,0,0,0,0,0
0.220221,0,0,0,0,0
0.221585,0,0,0,0,0
0.222901,0,0,0,0,0
0.224214,0,0,0,0,0
