elapsed_s,TSE_FE_ILLEGAL_BOUNDING_BOX_PRIM,TSE_FE_VP_OUT_IS_NAN,TSE_FE_EXCLUDED_PRIM,TSE_FE_EARLY_CULL_CLIPPED_PRIM
0.001103,0,0,0,0
0.002865,0,0,0,0
0.004335,0,0,0,0
0.005781,0,0,0,0
0.007268,0,0,0,0
0.008783,0,0,0,0
0.010321,0,0,0,0
0.011809,0,0,0,0
0.013249,0,0,0,0
0.014689,0,0,0,0
0.016130,0,0,0,0
0.017569,0,0,0,0
0.019054,0,0,0,0
0.020505,0,0,0,0
0.021946,0,0,0,0
0.023535,0,0,0,0
0.025041,0,0,0,0
0.026462,0,0,0,0
0.027875,0,0,0,0
0.029288,0,0,0,0
0.030713,0,0,0,0
0.032125,0,0,0,0
0.033540,0,0,0,0
0.035022,0,0,0,0
0.036469,0,0,0,0
0.037898,0,0,0,0
0.039435,0,0,0,0
0.040917,0,0,0,0
0.042413,0,0,0,0
0.043899,0,0,0,0
0.045374,0,0,0,0
0.046850,0,0,0,0
0.048348,0,0,0,0
0.049825,0,0,0,0
0.051435,0,0,0,0
0.052909,0,0,0,0
0.054390,0,0,0,0
0.055779,0,0,0,0
0.057143,0,0,0,0
0.058536,0,0,0,0
0.059875,0,0,0,0
0.061217,0,0,0,0
0.062576,0,0,0,0
0.063920,0,0,0,0
0.065278,0,0,0,0
0.066622,0,0,0,0
0.067969,0,0,0,0
0.069366,0,0,0,0
0.070714,0,0,0,0
0.072082,0,0,0,0
0.073518,0,0,0,0
0.074945,0,0,0,0
0.076334,0,0,0,0
0.077719,0,0,0,0
0.079102,0,0,0,0
0.080487,0,0,0,0
0.081874,0,0,0,0
0.083260,0,0,0,0
0.084653,0,0,0,0
0.085901,0,0,0,0
0.087380,0,0,0,0
0.088812,0,0,0,0
0.090197,0,0,0,0
0.092903,0,0,0,0
0.094273,0,0,0,0
0.095671,0,0,0,0
0.097056,0,0,0,0
0.099591,0,0,0,0
0.101062,0,0,0,0
0.102579,0,0,0,0
0.107476,0,0,0,0
0.108833,0,0,0,0
0.110174,0,0,0,0
0.111569,0,0,0,0
0.112910,0,0,0,0
0.114248,0,0,0,0
0.115585,0,0,0,0
0.116923,0,0,0,0
0.118279,0,0,0,0
0.119615,0,0,0,0
0.121005,0,0,0,0
0.122339,0,0,0,0
0.123677,0,0,0,0
0.125010,0,0,0,0
0.126348,0,0,0,0
0.127684,0,0,0,0
0.129032,0,0,0,0
0.130370,0,0,0,0
0.131706,0,0,0,0
0.133041,0,0,0,0
0.134378,0,0,0,0
0.135714,0,0,0,0
0.137243,0,0,0,0
0.138794,0,0,0,0
0.140356,0,0,0,0
0.141919,0,0,0,0
0.143560,0,0,0,0
0.145109,0,0,0,0
0.146661,0,0,0,0
0.148212,0,0,0,0
0.149762,0,0,0,0
0.151325,0,0,0,0
0.152876,0,0,0,0
0.154428,0,0,0,0
0.155979,0,0,0,0
0.157527,0,0,0,0
0.159080,0,0,0,0
0.160630,0,0,0,0
0.162192,0,0,0,0
0.163804,0,0,0,0
0.165194,0,0,0,0
0.166712,0,0,0,0
0.168306,0,0,0,0
0.169855,0,0,0,0
0.171404,0,0,0,0
0.172968,0,0,0,0
0.174521,0,0,0,0
0.176071,0,0,0,0
0.177622,0,0,0,0
0.179172,0,0,0,0
0.180723,0,0,0,0
0.182276,0,0,0,0
0.183882,0,0,0,0
0.185431,0,0,0,0
0.186983,0,0,0,0
0.188533,0,0,0,0
0.190082,0,0,0,0
0.191637,0,0,0,0
0.193186,0,0,0,0
0.194752,0,0,0,0
0.196302,0,0,0,0
0.197854,0,0,0,0
0.199278,0,0,0,0
0.200709,0,0,0,0
0.202090,0,0,0,0
0.203624,0,0,0,0
0.205014,0,0,0,0
0.206416,0,0,0,0
0.207796,0,0,0,0
0.209175,0,0,0,0
0.210552,0,0,0,0
0.211932,0,0,0,0
0.213310,0,0,0,0
0.214814,0,0,0,0
0.216252,0,0,0,0
0.217607,0,0,0,0
0.218962,0,0,0,0
0.220316,0,0,0,0
0.221670,0,0,0,0
0.223025,0,0,0,0
0.224378,0,0,0,0
0.225732,0,0,0,0
0.227092,0,0,0,0
0.228445,0,0,0,0
0.229799,0,0,0,0
0.231151,0,0,0,0
0.232540,0,0,0,0
0.233880,0,0,0,0
0.235227,0,0,0,0
0.237028,0,0,0,0
0.238378,0,0,0,0
0.239720,0,0,0,0
0.241062,0,0,0,0
0.242562,0,0,0,0
0.243902,0,0,0,0
0.245241,0,0,0,0
0.246580,0,0,0,0
0.247950,0,0,0,0
0.249368,0,0,0,0
0.250778,0,0,0,0
0.252216,0,0,0,0
0.253587,0,0,0,0
0.254949,0,0,0,0
0.256310,0,0,0,0
0.257726,0,0,0,0
0.259136,0,0,0,0
0.260453,0,0,0,0
0.261863,0,0,0,0
0.263313,0,0,0,0
0.264723,0,0,0,0
0.266142,0,0,0,0
0.267634,0,0,0,0
0.269094,0,0,0,0
0.270574,0,0,0,0
0.272173,0,0,0,0
0.273536,0,0,0,0
0.275419,0,0,0,0
0.276842,0,0,0,0
0.278288,0,0,0,0
0.279777,0,0,0,0
0.281172,0,0,0,0
0.282554,0,0,0,0
0.283823,0,0,0,0
0.285208,0,0,0,0
0.286595,0,0,0,0
0.287981,0,0,0,0
0.289366,0,0,0,0
0.290751,0,0,0,0
0.292144,0,0,0,0
0.293520,0,0,0,0
0.294905,0,0,0,0
0.296288,0,0,0,0
0.297668,0,0,0,0
0.299047,0,0,0,0
0.300432,0,0,0,0
0.301814,0,0,0,0
0.306273,0,0,0,0
0.307662,0,0,0,0
0.309049,0,0,0,0
0.310479,0,0,0,0
0.313141,0,0,0,0
0.314515,0,0,0,0
0.315856,0,0,0,0
0.317193,0,0,0,0
0.318530,0,0,0,0
0.319867,0,0,0,0
0.321203,0,0,0,0
0.322538,0,0,0,0
0.323874,0,0,0,0
0.325221,0,0,0,0
0.326560,0,0,0,0
0.328026,0,0,0,0
0.329586,0,0,0,0
0.331136,0,0,0,0
0.332684,0,0,0,0
0.334429,0,0,0,0
0.335930,0,0,0,0
0.337317,0,0,0,0
0.338700,0,0,0,0
0.340082,0,0,0,0
0.341462,0,0,0,0
0.342845,0,0,0,0
0.344404,0,0,0,0
0.345953,0,0,0,0
0.347521,0,0,0,0
0.349069,0,0,0,0
0.350622,0,0,0,0
0.352173,0,0,0,0
0.353721,0,0,0,0
0.355271,0,0,0,0
0.356820,0,0,0,0
0.358429,0,0,0,0
0.360023,0,0,0,0
0.361572,0,0,0,0
0.363122,0,0,0,0
0.364673,0,0,0,0
0.366307,0,0,0,0
0.367835,0,0,0,0
0.369234,0,0,0,0
0.370789,0,0,0,0
0.372379,0,0,0,0
0.373944,0,0,0,0
0.375420,0,0,0,0
0.376891,0,0,0,0
0.378442,0,0,0,0
0.379883,0,0,0,0
0.381405,0,0,0,0
0.382958,0,0,0,0
0.384509,0,0,0,0
0.386057,0,0,0,0
0.387613,0,0,0,0
0.389160,0,0,0,0
0.390725,0,0,0,0
0.392318,0,0,0,0
0.393868,0,0,0,0
0.395484,0,0,0,0
0.396907,0,0,0,0
0.398301,0,0,0,0
0.399682,0,0,0,0
0.401073,0,0,0,0
0.402452,0,0,0,0
0.403830,0,0,0,0
0.405209,0,0,0,0
0.406682,0,0,0,0
0.408109,0,0,0,0
0.409487,0,0,0,0
0.410865,0,0,0,0
0.412255,0,0,0,0
0.413631,0,0,0,0
0.415007,0,0,0,0
0.416384,0,0,0,0
0.417760,0,0,0,0
0.419138,0,0,0,0
0.420520,0,0,0,0
0.421896,0,0,0,0
0.423598,0,0,0,0
0.425009,0,0,0,0
0.426348,0,0,0,0
0.427701,0,0,0,0
0.429053,0,0,0,0
0.430438,0,0,0,0
0.431793,0,0,0,0
0.433146,0,0,0,0
0.434507,0,0,0,0
0.435862,0,0,0,0
0.437217,0,0,0,0
0.438573,0,0,0,0
0.439964,0,0,0,0
0.441379,0,0,0,0
0.442789,0,0,0,0
0.444198,0,0,0,0
0.445614,0,0,0,0
0.447025,0,0,0,0
0.448435,0,0,0,0
0.449846,0,0,0,0
0.451257,0,0,0,0
0.452679,0,0,0,0
0.454113,0,0,0,0
0.455536,0,0,0,0
0.456816,0,0,0,0
0.458177,0,0,0,0
0.459539,0,0,0,0
0.460899,0,0,0,0
0.462311,0,0,0,0
0.463673,0,0,0,0
0.465036,0,0,0,0
0.466450,0,0,0,0
0.467813,0,0,0,0
0.469173,0,0,0,0
0.470475,0,0,0,0
0.471850,0,0,0,0
0.473210,0,0,0,0
0.474607,0,0,0,0
0.476014,0,0,0,0
0.477398,0,0,0,0
0.478797,0,0,0,0
0.480201,0,0,0,0
0.481601,0,0,0,0
0.482989,0,0,0,0
0.484377,0,0,0,0
0.485761,0,0,0,0
0.487963,0,0,0,0
0.489365,0,0,0,0
0.490751,0,0,0,0
0.492138,0,0,0,0
0.493523,0,0,0,0
0.494902,0,0,0,0
0.496282,0,0,0,0
0.497661,0,0,0,0
0.499040,0,0,0,0
0.500462,0,0,0,0
0.501839,0,0,0,0
0.503239,0,0,0,0
0.504677,0,0,0,0
0.506057,0,0,0,0
0.507466,0,0,0,0
0.508851,0,0,0,0
0.510239,0,0,0,0
0.511627,0,0,0,0
0.513006,0,0,0,0
0.514386,0,0,0,0
0.515949,0,0,0,0
0.517454,0,0,0,0
0.518874,0,0,0,0
0.522516,0,0,0,0
0.527431,0,0,0,0
0.528827,0,0,0,0
0.530220,0,0,0,0
0.531603,0,0,0,0
0.532983,0,0,0,0
0.534364,0,0,0,0
0.535794,0,0,0,0
0.537180,0,0,0,0
0.538581,0,0,0,0
0.539966,0,0,0,0
0.541350,0,0,0,0
0.542735,0,0,0,0
0.544119,0,0,0,0
0.545502,0,0,0,0
0.546887,0,0,0,0
0.548272,0,0,0,0
0.549666,0,0,0,0
0.551056,0,0,0,0
0.552477,0,0,0,0
0.553861,0,0,0,0
0.555246,0,0,0,0
0.556630,0,0,0,0
0.558013,0,0,0,0
0.559399,0,0,0,0
0.560800,0,0,0,0
0.562317,0,0,0,0
0.563867,0,0,0,0
0.565415,0,0,0,0
0.566967,0,0,0,0
0.568560,0,0,0,0
0.570109,0,0,0,0
0.571677,0,0,0,0
0.573224,0,0,0,0
0.574776,0,0,0,0
0.576326,0,0,0,0
0.577875,0,0,0,0
0.579372,0,0,0,0
0.580893,0,0,0,0
0.582456,0,0,0,0
0.584051,0,0,0,0
0.585600,0,0,0,0
0.587148,0,0,0,0
0.588698,0,0,0,0
0.590249,0,0,0,0
0.591806,0,0,0,0
0.593883,0,0,0,0
0.595275,0,0,0,0
0.596657,0,0,0,0
0.598035,0,0,0,0
0.599443,0,0,0,0
0.600821,0,0,0,0
0.602198,0,0,0,0
0.603655,0,0,0,0
0.605282,0,0,0,0
0.606666,0,0,0,0
0.608043,0,0,0,0
0.609421,0,0,0,0
0.610797,0,0,0,0
0.612174,0,0,0,0
0.613549,0,0,0,0
0.614925,0,0,0,0
0.616364,0,0,0,0
0.617719,0,0,0,0
0.619072,0,0,0,0
0.620427,0,0,0,0
0.621779,0,0,0,0
0.623132,0,0,0,0
0.624491,0,0,0,0
0.625843,0,0,0,0
0.627203,0,0,0,0
0.628559,0,0,0,0
0.629912,0,0,0,0
0.631266,0,0,0,0
0.632656,0,0,0,0
0.633997,0,0,0,0
0.635357,0,0,0,0
0.636696,0,0,0,0
0.638043,0,0,0,0
0.639457,0,0,0,0
0.640797,0,0,0,0
0.642135,0,0,0,0
0.643803,0,0,0,0
0.645142,0,0,0,0
0.646480,0,0,0,0
0.647849,0,0,0,0
0.649267,0,0,0,0
0.650678,0,0,0,0
0.652088,0,0,0,0
0.653497,0,0,0,0
0.654906,0,0,0,0
0.656315,0,0,0,0
0.657806,0,0,0,0
0.659140,0,0,0,0
0.660507,0,0,0,0
0.661868,0,0,0,0
0.663314,0,0,0,0
0.664674,0,0,0,0
0.666036,0,0,0,0
0.667497,0,0,0,0
0.669485,0,0,0,0
0.671064,0,0,0,0
0.673022,0,0,0,0
0.674410,0,0,0,0
0.675796,0,0,0,0
0.677175,0,0,0,0
0.678642,0,0,0,0
0.680110,0,0,0,0
0.681504,0,0,0,0
0.682748,0,0,0,0
0.684135,0,0,0,0
0.685519,0,0,0,0
0.686903,0,0,0,0
0.688289,0,0,0,0
0.689673,0,0,0,0
0.691059,0,0,0,0
0.692454,0,0,0,0
0.693837,0,0,0,0
0.695881,0,0,0,0
0.697291,0,0,0,0
0.698666,0,0,0,0
0.700045,0,0,0,0
0.701423,0,0,0,0
0.702811,0,0,0,0
0.704191,0,0,0,0
0.705570,0,0,0,0
0.707831,0,0,0,0
0.709294,0,0,0,0
0.711395,0,0,0,0
0.712945,0,0,0,0
0.714331,0,0,0,0
0.715716,0,0,0,0
0.717099,0,0,0,0
0.718568,0,0,0,0
0.719949,0,0,0,0
0.721515,0,0,0,0
0.722936,0,0,0,0
0.724468,0,0,0,0
0.726019,0,0,0,0
0.727574,0,0,0,0
0.729171,0,0,0,0
0.730724,0,0,0,0
0.732276,0,0,0,0
0.733826,0,0,0,0
0.735388,0,0,0,0
0.736948,0,0,0,0
0.738354,0,0,0,0
0.739743,0,0,0,0
0.741128,0,0,0,0
0.742515,0,0,0,0
0.743942,0,0,0,0
0.745471,0,0,0,0
0.747024,0,0,0,0
0.748574,0,0,0,0
0.750124,0,0,0,0
0.751680,0,0,0,0
0.753228,0,0,0,0
0.754781,0,0,0,0
0.756343,0,0,0,0
0.757893,0,0,0,0
0.759417,0,0,0,0
0.760946,0,0,0,0
0.762499,0,0,0,0
0.764050,0,0,0,0
0.765599,0,0,0,0
0.767038,0,0,0,0
0.768559,0,0,0,0
0.770108,0,0,0,0
0.771662,0,0,0,0
0.773212,0,0,0,0
0.774807,0,0,0,0
0.776291,0,0,0,0
0.777726,0,0,0,0
0.779125,0,0,0,0
0.780512,0,0,0,0
0.781898,0,0,0,0
0.783309,0,0,0,0
0.784825,0,0,0,0
0.786378,0,0,0,0
0.787942,0,0,0,0
0.789490,0,0,0,0
0.791041,0,0,0,0
0.792592,0,0,0,0
0.794607,0,0,0,0
0.796011,0,0,0,0
0.797401,0,0,0,0
0.798798,0,0,0,0
0.800178,0,0,0,0
0.801557,0,0,0,0
0.802934,0,0,0,0
0.804312,0,0,0,0
0.805690,0,0,0,0
0.807068,0,0,0,0
0.808503,0,0,0,0
0.809866,0,0,0,0
0.811220,0,0,0,0
0.812574,0,0,0,0
0.813928,0,0,0,0
0.815343,0,0,0,0
0.816696,0,0,0,0
0.818049,0,0,0,0
0.819497,0,0,0,0
0.820857,0,0,0,0
0.822221,0,0,0,0
0.823574,0,0,0,0
0.824957,0,0,0,0
0.826423,0,0,0,0
0.827763,0,0,0,0
0.829101,0,0,0,0
0.830439,0,0,0,0
0.831786,0,0,0,0
0.833125,0,0,0,0
0.834465,0,0,0,0
0.835807,0,0,0,0
0.837147,0,0,0,0
0.838502,0,0,0,0
0.839870,0,0,0,0
0.841280,0,0,0,0
0.842696,0,0,0,0
0.844106,0,0,0,0
0.845515,0,0,0,0
0.846925,0,0,0,0
0.848335,0,0,0,0
0.849743,0,0,0,0
0.851153,0,0,0,0
0.852564,0,0,0,0
0.853980,0,0,0,0
0.855305,0,0,0,0
0.856728,0,0,0,0
0.858139,0,0,0,0
0.859605,0,0,0,0
0.861002,0,0,0,0
0.862483,0,0,0,0
0.864783,0,0,0,0
0.867419,0,0,0,0
0.868809,0,0,0,0
0.870196,0,0,0,0
0.871563,0,0,0,0
0.873277,0,0,0,0
0.875101,0,0,0,0
0.876497,0,0,0,0
0.877896,0,0,0,0
0.879411,0,0,0,0
0.880800,0,0,0,0
0.882186,0,0,0,0
0.883746,0,0,0,0
0.885145,0,0,0,0
0.886525,0,0,0,0
0.887934,0,0,0,0
0.889318,0,0,0,0
0.890844,0,0,0,0
0.892225,0,0,0,0
0.893604,0,0,0,0
0.898268,0,0,0,0
0.899668,0,0,0,0
0.901052,0,0,0,0
0.902455,0,0,0,0
0.903884,0,0,0,0
0.905263,0,0,0,0
0.906776,0,0,0,0
0.908169,0,0,0,0
0.909514,0,0,0,0
0.910874,0,0,0,0
0.912215,0,0,0,0
