elapsed_s,TSE_FE_BR_STALLS_DUETO_BV_CLIP,TSE_FE_BR_STALLS_DUETO_BV_POLY,TSE_FE_BV_STALLS_DUETO_BR_CLIP,TSE_FE_BV_STALLS_DUETO_BR_POLY
0.001105,0,0,0,0
0.002955,0,0,0,0
0.004422,0,0,0,0
0.005867,0,0,0,0
0.007362,0,0,0,0
0.008791,0,0,0,0
0.010305,0,0,0,0
0.011757,0,0,0,0
0.013190,0,0,0,0
0.014670,0,0,0,0
0.016190,0,0,0,0
0.017601,0,0,0,0
0.019127,0,0,0,0
0.020555,0,0,0,0
0.021964,0,0,0,0
0.023390,0,0,0,0
0.024805,0,0,0,0
0.026268,0,0,0,0
0.027684,0,0,0,0
0.029099,0,0,0,0
0.030563,0,0,0,0
0.031986,0,0,0,0
0.033383,0,0,0,0
0.034934,0,0,0,0
0.036454,0,0,0,0
0.038036,0,0,0,0
0.039483,0,0,0,0
0.041024,0,0,0,0
0.042608,0,0,0,0
0.044137,0,0,0,0
0.045660,0,0,0,0
0.047431,0,0,0,0
0.048915,0,0,0,0
0.050391,0,0,0,0
0.051884,0,0,0,0
0.053367,0,0,0,0
0.054907,0,0,0,0
0.056393,0,0,0,0
0.057871,0,0,0,0
0.059346,0,0,0,0
0.060822,0,0,0,0
0.062340,0,0,0,0
0.063724,0,0,0,0
0.065166,0,0,0,0
0.066513,0,0,0,0
0.067856,0,0,0,0
0.069194,0,0,0,0
0.070644,0,0,0,0
0.072003,0,0,0,0
0.073351,0,0,0,0
0.074714,0,0,0,0
0.076063,0,0,0,0
0.077406,0,0,0,0
0.078767,0,0,0,0
0.080626,0,0,0,0
0.082059,0,0,0,0
0.083482,0,0,0,0
0.084915,0,0,0,0
0.086335,0,0,0,0
0.087763,0,0,0,0
0.089189,0,0,0,0
0.090608,0,0,0,0
0.092039,0,0,0,0
0.093412,0,0,0,0
0.094932,0,0,0,0
0.096737,0,0,0,0
0.098275,0,0,0,0
0.099684,0,0,0,0
0.101072,0,0,0,0
0.102924,0,0,0,0
0.104306,0,0,0,0
0.105969,0,0,0,0
0.108546,0,0,0,0
0.110122,0,0,0,0
0.112035,0,0,0,0
0.113379,0,0,0,0
0.114718,0,0,0,0
0.116062,0,0,0,0
0.117400,0,0,0,0
0.118758,0,0,0,0
0.120098,0,0,0,0
