elapsed_s,TSE_SETUP_FMUL_3_WORKING_CYCLE_L3,TSE_SETUP_FMUL_4_WORKING_CYCLE_L3,TSE_SETUP_FMUL_5_WORKING_CYCLE_L3,TSE_EDGE_SETUP_WORKING_CYCLE_L1
0.001107,0,0,0,0
0.002700,0,0,0,0
0.004221,0,0,0,0
0.005705,0,0,0,0
0.007249,0,0,0,0
0.008729,0,0,0,0
0.010222,0,0,0,0
0.011706,0,0,0,0
0.013187,0,0,0,0
0.014732,0,0,0,0
0.016211,0,0,0,0
0.017693,0,0,0,0
0.019175,0,0,0,0
0.020668,0,0,0,0
0.022148,0,0,0,0
0.023708,0,0,0,0
0.025168,0,0,0,0
0.026701,0,0,0,0
0.028159,0,0,0,0
0.029617,0,0,0,0
0.031084,0,0,0,0
0.032543,0,0,0,0
0.034010,0,0,0,0
0.035468,0,0,0,0
0.036925,0,0,0,0
0.038456,0,0,0,0
0.039909,0,0,0,0
0.041510,0,0,0,0
0.043083,0,0,0,0
0.044655,0,0,0,0
0.046229,0,0,0,0
0.047800,0,0,0,0
0.049329,0,0,0,0
0.050792,0,0,0,0
0.052372,0,0,0,0
0.053942,0,0,0,0
0.055566,0,0,0,0
0.057090,0,0,0,0
0.058594,0,0,0,0
0.060074,0,0,0,0
0.061539,0,0,0,0
0.062912,0,0,0,0
0.064280,0,0,0,0
0.065647,0,0,0,0
0.067014,0,0,0,0
0.068381,0,0,0,0
0.069748,0,0,0,0
0.071138,0,0,0,0
0.072578,0,0,0,0
0.074005,0,0,0,0
0.075424,0,0,0,0
0.076844,0,0,0,0
0.078265,0,0,0,0
0.079684,0,0,0,0
0.081102,0,0,0,0
0.082414,0,0,0,0
0.083836,105,105,96,0
0.084987,0,0,0,0
0.086353,0,0,0,0
0.087738,0,0,0,0
0.089104,0,0,0,0
0.090493,0,0,0,0
0.092092,0,0,0,0
0.093488,0,0,0,0
0.094917,0,0,0,0
0.096335,0,0,0,0
0.097925,0,0,0,0
0.099366,735,735,816,0
0.100625,0,0,0,0
0.102011,0,0,0,0
0.103443,0,0,0,0
0.104827,0,0,0,0
0.106301,0,0,0,0
0.107687,0,0,0,0
