elapsed_s,RAS_LRZ_INTF_WORKING_CYCLES,RAS_BLOCKS,RAS_FALSE_PARTIAL_STILE,RAS_SLICE_BLOCK_NONEMTPY
0.001104,0,0,0,0
0.002730,0,0,0,0
0.004218,0,0,0,0
0.005738,0,0,0,0
0.007221,0,0,0,0
0.008714,0,0,0,0
0.010195,0,0,0,0
0.011677,0,0,0,0
0.013189,0,0,0,0
0.014733,0,0,0,0
0.016216,0,0,0,0
0.017763,0,0,0,0
0.019258,0,0,0,0
0.020740,0,0,0,0
0.022225,0,0,0,0
0.023712,0,0,0,0
0.025194,0,0,0,0
0.026716,0,0,0,0
0.028202,0,0,0,0
0.029900,0,0,0,0
0.031364,0,0,0,0
0.032824,0,0,0,0
0.034283,0,0,0,0
0.035742,0,0,0,0
0.037199,0,0,0,0
0.038657,0,0,0,0
0.040123,0,0,0,0
0.041684,0,0,0,0
0.043142,0,0,0,0
0.044749,0,0,0,0
0.046270,0,0,0,0
0.047799,0,0,0,0
0.049324,0,0,0,0
0.050870,0,0,0,0
0.052400,0,0,0,0
0.053929,0,0,0,0
0.055454,0,0,0,0
0.056980,0,0,0,0
0.058508,0,0,0,0
0.060034,0,0,0,0
0.061608,0,0,0,0
0.063034,0,0,0,0
0.064461,0,0,0,0
0.065821,0,0,0,0
0.067302,0,0,0,0
0.068764,0,0,0,0
0.070137,0,0,0,0
0.071462,0,0,0,0
0.072807,0,0,0,0
0.074134,0,0,0,0
0.075452,0,0,0,0
0.076896,0,0,0,0
0.078311,0,0,0,0
0.079761,66,0,0,0
0.081315,0,0,0,0
0.082742,0,0,0,0
0.084176,0,0,0,0
0.085642,0,0,0,0
0.087061,0,0,0,0
0.089711,0,0,0,0
0.091133,0,0,0,0
0.092699,168,0,0,0
0.094083,0,0,0,0
0.095525,0,0,0,0
0.096911,0,0,0,0
0.098296,0,0,0,0
0.099681,0,0,0,0
0.101067,0,0,0,0
0.102451,0,0,0,0
0.103828,0,0,0,0
0.105732,0,0,0,0
0.107197,0,0,0,0
0.112426,0,0,0,0
0.113812,0,0,0,0
0.115192,0,0,0,0
0.116607,0,0,0,0
0.117988,0,0,0,0
0.119368,0,0,0,0
0.121950,0,0,0,0
0.123380,0,0,0,0
0.124763,0,0,0,0
0.126185,0,0,0,0
0.127581,0,0,0,0
0.128961,0,0,0,0
0.130341,0,0,0,0
0.131720,0,0,0,0
0.133101,0,0,0,0
0.134486,0,0,0,0
0.135869,0,0,0,0
0.137255,0,0,0,0
0.138656,0,0,0,0
0.140162,0,0,0,0
0.141576,0,0,0,0
0.143029,0,0,0,0
0.144940,0,0,0,0
0.146330,0,0,0,0
0.147715,0,0,0,0
0.149118,0,0,0,0
0.150501,0,0,0,0
0.151891,0,0,0,0
0.153472,0,0,0,0
0.155026,0,0,0,0
0.156580,0,0,0,0
0.158178,0,0,0,0
0.159742,0,0,0,0
0.161295,0,0,0,0
0.162849,0,0,0,0
0.164403,0,0,0,0
0.165956,0,0,0,0
0.167507,0,0,0,0
0.169061,0,0,0,0
0.170627,0,0,0,0
0.172180,0,0,0,0
0.173737,0,0,0,0
0.175334,0,0,0,0
0.176888,0,0,0,0
0.178442,0,0,0,0
0.179993,0,0,0,0
0.181510,0,0,0,0
0.183033,0,0,0,0
0.184586,0,0,0,0
0.186140,0,0,0,0
0.187691,0,0,0,0
0.189246,0,0,0,0
0.190791,0,0,0,0
0.192223,0,0,0,0
0.193733,0,0,0,0
0.195281,0,0,0,0
0.196834,0,0,0,0
0.198385,0,0,0,0
0.199936,0,0,0,0
0.201487,0,0,0,0
0.203051,0,0,0,0
0.204602,0,0,0,0
0.206088,0,0,0,0
0.207463,0,0,0,0
0.208850,0,0,0,0
0.210191,0,0,0,0
0.211527,0,0,0,0
0.212883,0,0,0,0
0.214215,0,0,0,0
0.215546,0,0,0,0
0.216926,0,0,0,0
0.218265,0,0,0,0
0.219601,0,0,0,0
0.220937,0,0,0,0
0.222263,0,0,0,0
0.223576,0,0,0,0
0.224932,0,0,0,0
0.226242,0,0,0,0
0.227551,0,0,0,0
0.228860,0,0,0,0
0.230165,0,0,0,0
0.231470,0,0,0,0
0.232825,0,0,0,0
0.234142,0,0,0,0
0.235451,0,0,0,0
0.236759,0,0,0,0
0.238106,0,0,0,0
0.239469,0,0,0,0
0.240878,0,0,0,0
0.242132,0,0,0,0
0.243492,0,0,0,0
0.244747,0,0,0,0
0.246108,0,0,0,0
0.247467,0,0,0,0
0.248877,0,0,0,0
0.250237,0,0,0,0
0.251598,0,0,0,0
0.253024,0,0,0,0
0.254479,0,0,0,0
0.255916,0,0,0,0
0.257348,0,0,0,0
0.259229,0,0,0,0
0.260625,0,0,0,0
0.262014,0,0,0,0
0.263402,0,0,0,0
0.264839,24,0,0,0
0.266238,0,0,0,0
0.267619,0,0,0,0
0.269002,0,0,0,0
0.270432,0,0,0,0
0.271814,0,0,0,0
0.273198,0,0,0,0
0.274583,168,0,0,0
0.275969,0,0,0,0
0.277365,0,0,0,0
0.278751,0,0,0,0
0.280136,0,0,0,0
0.281508,0,0,0,0
0.282891,0,0,0,0
0.284274,0,0,0,0
0.286913,0,0,0,0
0.288441,0,0,0,0
0.292078,0,0,0,0
0.293530,0,0,0,0
0.294913,0,0,0,0
0.296356,0,0,0,0
0.297738,0,0,0,0
0.299153,0,0,0,0
0.300936,0,0,0,0
0.302312,0,0,0,0
0.303699,0,0,0,0
0.305087,0,0,0,0
0.306472,0,0,0,0
0.307856,0,0,0,0
0.309257,0,0,0,0
0.310637,0,0,0,0
0.312017,0,0,0,0
0.313468,0,0,0,0
0.314852,0,0,0,0
0.316236,0,0,0,0
0.317724,0,0,0,0
0.319141,0,0,0,0
0.320535,0,0,0,0
0.321919,0,0,0,0
0.323302,0,0,0,0
0.324688,0,0,0,0
0.326202,0,0,0,0
0.327750,0,0,0,0
0.329301,0,0,0,0
0.330864,0,0,0,0
0.332415,0,0,0,0
0.334009,0,0,0,0
0.335558,0,0,0,0
0.337110,0,0,0,0
0.338661,0,0,0,0
0.340210,0,0,0,0
0.341778,0,0,0,0
0.343327,0,0,0,0
0.344877,0,0,0,0
0.346427,0,0,0,0
0.347975,0,0,0,0
0.349475,0,0,0,0
0.350995,0,0,0,0
0.352560,0,0,0,0
0.354111,0,0,0,0
0.355660,0,0,0,0
0.357210,0,0,0,0
0.358759,0,0,0,0
0.360364,0,0,0,0
0.361956,0,0,0,0
0.363389,0,0,0,0
0.364913,0,0,0,0
0.366521,0,0,0,0
0.368071,0,0,0,0
0.369628,0,0,0,0
0.371179,0,0,0,0
0.372733,0,0,0,0
0.374299,0,0,0,0
0.375850,0,0,0,0
0.377401,0,0,0,0
0.378952,0,0,0,0
0.380506,0,0,0,0
0.382102,0,0,0,0
0.383652,0,0,0,0
0.385217,0,0,0,0
0.386806,0,0,0,0
0.388251,0,0,0,0
0.389757,0,0,0,0
0.391139,0,0,0,0
0.392517,0,0,0,0
0.393896,0,0,0,0
0.395282,0,0,0,0
0.396661,0,0,0,0
0.398082,0,0,0,0
0.399459,0,0,0,0
0.400839,0,0,0,0
0.402218,0,0,0,0
0.403594,0,0,0,0
0.404970,0,0,0,0
0.406356,0,0,0,0
0.407733,0,0,0,0
0.409187,0,0,0,0
0.410621,0,0,0,0
0.412036,0,0,0,0
0.413557,0,0,0,0
0.414978,0,0,0,0
0.416349,0,0,0,0
0.418776,0,0,0,0
0.420129,0,0,0,0
0.421535,0,0,0,0
0.422893,0,0,0,0
0.424251,0,0,0,0
0.425596,0,0,0,0
0.426950,0,0,0,0
0.428415,0,0,0,0
0.429772,0,0,0,0
0.431135,0,0,0,0
0.432546,0,0,0,0
0.433956,0,0,0,0
0.435367,0,0,0,0
0.436777,0,0,0,0
0.438188,0,0,0,0
0.439605,0,0,0,0
0.441016,0,0,0,0
0.442466,0,0,0,0
0.443836,0,0,0,0
0.445264,0,0,0,0
0.446676,0,0,0,0
0.448087,0,0,0,0
0.449554,0,0,0,0
0.450949,0,0,0,0
0.452358,0,0,0,0
0.453891,0,0,0,0
0.455283,0,0,0,0
0.459727,24,0,0,0
0.461120,0,0,0,0
0.462551,0,0,0,0
0.463933,0,0,0,0
0.465336,0,0,0,0
0.466753,168,0,0,0
0.468214,0,0,0,0
0.469628,0,0,0,0
0.470984,0,0,0,0
0.472347,0,0,0,0
0.473694,0,0,0,0
0.475038,0,0,0,0
0.476381,0,0,0,0
0.477717,0,0,0,0
0.479313,0,0,0,0
0.480701,0,0,0,0
0.482083,0,0,0,0
0.483474,0,0,0,0
0.488362,0,0,0,0
0.489748,0,0,0,0
0.491128,0,0,0,0
0.492509,0,0,0,0
0.494044,0,0,0,0
0.495441,0,0,0,0
0.496786,0,0,0,0
0.498128,0,0,0,0
0.499468,0,0,0,0
0.500808,0,0,0,0
0.502147,0,0,0,0
0.503487,0,0,0,0
0.504840,0,0,0,0
0.506182,0,0,0,0
0.507519,0,0,0,0
0.508862,0,0,0,0
0.510340,0,0,0,0
0.511773,0,0,0,0
0.513293,0,0,0,0
0.514846,0,0,0,0
0.516413,0,0,0,0
0.517966,0,0,0,0
0.519519,0,0,0,0
0.521072,0,0,0,0
0.522625,0,0,0,0
0.524175,0,0,0,0
0.525733,0,0,0,0
0.527344,0,0,0,0
0.528899,0,0,0,0
0.530450,0,0,0,0
0.532001,0,0,0,0
0.533646,0,0,0,0
0.535197,0,0,0,0
0.536751,0,0,0,0
0.538192,0,0,0,0
0.539713,0,0,0,0
0.541266,0,0,0,0
0.542821,0,0,0,0
0.544376,0,0,0,0
0.545929,0,0,0,0
0.547478,0,0,0,0
0.549045,0,0,0,0
0.550597,0,0,0,0
0.552146,0,0,0,0
0.553783,0,0,0,0
0.555173,0,0,0,0
0.556690,0,0,0,0
0.558300,0,0,0,0
0.559859,0,0,0,0
0.561411,0,0,0,0
0.562961,0,0,0,0
0.564515,0,0,0,0
0.566067,0,0,0,0
0.567616,0,0,0,0
0.569166,0,0,0,0
0.570728,0,0,0,0
0.572277,0,0,0,0
0.573894,0,0,0,0
0.575443,0,0,0,0
0.576996,0,0,0,0
0.579134,0,0,0,0
0.580562,0,0,0,0
0.581962,0,0,0,0
0.583343,0,0,0,0
0.584721,0,0,0,0
0.586099,0,0,0,0
0.587476,0,0,0,0
0.588853,0,0,0,0
0.590272,0,0,0,0
0.591649,0,0,0,0
0.593037,0,0,0,0
0.594416,0,0,0,0
0.595794,0,0,0,0
0.597171,0,0,0,0
0.598548,0,0,0,0
0.599924,0,0,0,0
0.601300,0,0,0,0
0.602679,0,0,0,0
0.604064,0,0,0,0
0.605526,0,0,0,0
0.606899,0,0,0,0
0.608253,0,0,0,0
0.609694,0,0,0,0
0.611045,0,0,0,0
0.616337,0,0,0,0
0.617723,0,0,0,0
0.619085,0,0,0,0
0.620462,0,0,0,0
0.621856,0,0,0,0
0.623271,0,0,0,0
0.624681,0,0,0,0
0.626091,0,0,0,0
0.627502,0,0,0,0
0.628919,0,0,0,0
0.630221,0,0,0,0
0.631631,0,0,0,0
0.633040,0,0,0,0
0.634460,0,0,0,0
0.635839,0,0,0,0
0.637189,0,0,0,0
0.638554,0,0,0,0
0.639920,0,0,0,0
0.641323,0,0,0,0
0.642740,0,0,0,0
0.644135,0,0,0,0
0.645852,66,0,0,0
0.648098,0,0,0,0
0.649501,0,0,0,0
0.650903,0,0,0,0
0.652284,0,0,0,0
0.653815,0,0,0,0
0.655179,0,0,0,0
0.656794,168,0,0,0
0.658156,0,0,0,0
0.659792,0,0,0,0
0.661304,0,0,0,0
0.662741,0,0,0,0
0.664129,0,0,0,0
0.665539,0,0,0,0
0.666925,0,0,0,0
0.668369,0,0,0,0
0.669868,0,0,0,0
0.671258,0,0,0,0
0.673700,0,0,0,0
0.675455,0,0,0,0
0.679580,0,0,0,0
0.683667,0,0,0,0
0.685978,0,0,0,0
0.687446,0,0,0,0
0.689019,0,0,0,0
0.690600,0,0,0,0
0.691957,0,0,0,0
0.693299,0,0,0,0
0.694641,0,0,0,0
0.695995,0,0,0,0
0.697402,0,0,0,0
0.698741,0,0,0,0
0.700079,0,0,0,0
0.701421,0,0,0,0
0.702778,0,0,0,0
0.704172,0,0,0,0
0.705627,0,0,0,0
0.707149,0,0,0,0
0.708538,0,0,0,0
0.709923,0,0,0,0
0.711306,0,0,0,0
0.712692,0,0,0,0
0.714076,0,0,0,0
0.715459,0,0,0,0
0.716976,0,0,0,0
0.718464,0,0,0,0
0.719856,0,0,0,0
0.721244,0,0,0,0
0.722629,0,0,0,0
0.724014,0,0,0,0
0.725459,0,0,0,0
0.726974,0,0,0,0
0.728526,0,0,0,0
0.730134,0,0,0,0
0.731682,0,0,0,0
0.733232,0,0,0,0
0.734784,0,0,0,0
0.736335,0,0,0,0
0.737886,0,0,0,0
0.739434,0,0,0,0
0.740999,0,0,0,0
0.742549,0,0,0,0
0.744097,0,0,0,0
0.745651,0,0,0,0
0.747200,0,0,0,0
0.748752,0,0,0,0
0.750416,0,0,0,0
0.751975,0,0,0,0
0.753471,0,0,0,0
0.754990,0,0,0,0
0.756542,0,0,0,0
0.758092,0,0,0,0
0.759641,0,0,0,0
0.761192,0,0,0,0
0.762628,0,0,0,0
0.764148,0,0,0,0
0.765575,0,0,0,0
0.767137,0,0,0,0
0.768690,0,0,0,0
0.770239,0,0,0,0
0.771949,0,0,0,0
0.773363,0,0,0,0
0.774753,0,0,0,0
0.776138,0,0,0,0
0.777581,0,0,0,0
0.778960,0,0,0,0
0.780360,0,0,0,0
0.781739,0,0,0,0
0.783161,0,0,0,0
0.784547,0,0,0,0
0.785926,0,0,0,0
0.787304,0,0,0,0
0.788681,0,0,0,0
0.790058,0,0,0,0
0.791434,0,0,0,0
0.792811,0,0,0,0
0.794226,0,0,0,0
0.795612,0,0,0,0
0.796989,0,0,0,0
0.798415,0,0,0,0
