elapsed_s,RAS_SAMPLE_MASK_GEN_LANE_15_WORKING_CC_L2,RAS_EMPTY_SBLOCK_SCAN_CYCLE_PERFCOUNTER,RAS_STEGN_STALL_BY_LATENCY_FIFO,RAS_STALL_CYCLES_LRZ_PREFETCH
0.001103,0,0,0,0
0.002883,0,0,0,0
0.004423,0,0,0,0
0.005869,0,0,0,0
0.007359,0,0,0,0
0.008800,0,0,0,0
0.010269,0,0,0,0
0.011710,0,0,0,0
0.013158,0,0,0,0
0.014592,0,0,0,0
0.016167,0,0,0,0
0.017625,0,0,0,0
0.019070,0,0,0,0
0.020603,0,0,0,0
0.022020,0,0,0,0
0.023436,0,0,0,0
0.024851,0,0,0,0
0.026266,0,0,0,0
0.027729,0,0,0,0
0.029155,0,0,0,0
0.030580,0,0,0,0
0.032052,0,0,0,0
0.033498,0,0,0,0
0.034909,0,0,0,0
0.036379,0,0,0,0
0.037860,0,0,0,0
0.039335,0,0,0,0
0.040818,0,0,0,0
0.042300,0,0,0,0
0.043775,0,0,0,0
0.045251,0,0,0,0
0.046728,0,0,0,0
0.048147,0,0,0,0
0.049517,0,0,0,0
0.050937,0,0,0,0
0.052321,0,0,0,0
0.053687,0,0,0,0
0.055129,0,0,0,0
0.056468,0,0,0,0
0.057808,0,0,0,0
0.059146,0,0,0,0
0.060489,0,0,0,0
0.061901,0,0,0,0
0.063302,0,0,0,0
0.064651,0,0,0,0
0.065996,0,0,0,0
0.067343,0,0,0,0
0.068709,0,0,0,0
0.070308,0,0,0,0
0.071776,0,0,0,0
0.073170,0,0,0,0
0.074558,0,0,0,0
0.075978,0,0,0,0
0.077364,0,0,0,0
0.078752,0,0,0,0
0.080265,0,0,0,0
0.081650,0,0,0,0
0.083211,0,0,0,0
0.084610,0,0,0,0
0.085998,0,0,0,0
0.087384,0,0,0,0
0.088771,0,0,0,0
0.090156,0,0,0,0
0.092604,0,0,0,0
0.094002,0,0,0,0
0.095385,0,0,0,0
0.096765,0,0,0,0
0.098148,0,0,0,0
0.099528,0,0,0,0
0.100959,0,0,0,0
0.102340,0,0,0,0
0.106948,0,0,0,0
0.108377,0,0,0,0
0.109760,0,0,0,0
0.111168,0,0,0,0
0.112549,0,0,0,0
0.113929,0,0,0,0
0.115618,0,0,0,0
0.117138,0,0,0,0
0.118544,0,0,0,0
0.119899,0,0,0,0
0.121237,0,0,0,0
0.122575,0,0,0,0
0.123917,0,0,0,0
0.125255,0,0,0,0
0.126593,0,0,0,0
0.127931,0,0,0,0
0.129280,0,0,0,0
0.130618,0,0,0,0
0.131960,0,0,0,0
0.133317,0,0,0,0
0.134704,0,0,0,0
0.136092,0,0,0,0
0.137477,0,0,0,0
0.138996,0,0,0,0
0.140434,0,0,0,0
0.141955,0,0,0,0
0.143508,0,0,0,0
0.145059,0,0,0,0
0.146608,0,0,0,0
0.148185,0,0,0,0
0.149778,0,0,0,0
0.151345,0,0,0,0
0.152896,0,0,0,0
0.154445,0,0,0,0
0.156059,0,0,0,0
0.157610,0,0,0,0
0.159164,0,0,0,0
0.160715,0,0,0,0
0.162278,0,0,0,0
0.163829,0,0,0,0
0.165381,0,0,0,0
0.166935,0,0,0,0
0.168486,0,0,0,0
0.170035,0,0,0,0
0.171588,0,0,0,0
0.173153,0,0,0,0
0.174702,0,0,0,0
0.176258,0,0,0,0
0.177808,0,0,0,0
0.179362,0,0,0,0
0.180965,0,0,0,0
0.182515,0,0,0,0
0.184083,0,0,0,0
0.185633,0,0,0,0
0.187186,0,0,0,0
0.188738,0,0,0,0
0.190169,0,0,0,0
0.191695,0,0,0,0
0.193245,0,0,0,0
0.194810,0,0,0,0
0.196405,0,0,0,0
0.197959,0,0,0,0
0.199381,0,0,0,0
0.200772,0,0,0,0
0.202160,0,0,0,0
0.203539,0,0,0,0
0.204930,0,0,0,0
0.206308,0,0,0,0
0.207687,0,0,0,0
0.209066,0,0,0,0
0.210443,0,0,0,0
0.211820,0,0,0,0
0.213258,0,0,0,0
0.214613,0,0,0,0
0.216058,0,0,0,0
0.217412,0,0,0,0
0.218765,0,0,0,0
0.220119,0,0,0,0
0.221473,0,0,0,0
0.222845,0,0,0,0
0.224226,0,0,0,0
0.225580,0,0,0,0
0.226939,0,0,0,0
0.228291,0,0,0,0
0.229630,0,0,0,0
0.230985,0,0,0,0
0.232325,0,0,0,0
0.233664,0,0,0,0
0.235005,0,0,0,0
0.236346,0,0,0,0
0.237692,0,0,0,0
0.239091,0,0,0,0
0.240432,0,0,0,0
0.241772,0,0,0,0
0.243111,0,0,0,0
0.244479,0,0,0,0
0.245890,0,0,0,0
0.247300,0,0,0,0
0.248714,0,0,0,0
0.250124,0,0,0,0
0.251534,0,0,0,0
0.252945,0,0,0,0
0.254395,0,0,0,0
0.255820,0,0,0,0
0.257141,0,0,0,0
0.258505,0,0,0,0
0.259844,0,0,0,0
0.261218,0,0,0,0
0.262579,0,0,0,0
0.264060,0,0,0,0
0.265420,0,0,0,0
0.266777,0,0,0,0
0.268233,0,0,0,0
0.270498,0,0,0,0
0.271928,0,0,0,0
0.273284,0,0,0,0
0.274641,0,0,0,0
0.276008,0,0,0,0
0.277380,0,0,0,0
0.278763,0,0,0,0
0.280355,0,0,0,0
0.281747,0,0,0,0
0.283333,0,0,0,0
0.284700,0,0,0,0
0.286095,0,0,0,0
0.287482,0,0,0,0
0.288864,0,0,0,0
0.290241,0,0,0,0
0.291707,0,0,0,0
0.293185,0,0,0,0
0.294568,0,0,0,0
0.298853,0,0,0,0
0.300238,0,0,0,0
0.301627,0,0,0,0
0.303068,0,0,0,0
0.304447,0,0,0,0
0.306272,0,0,0,0
0.308242,0,0,0,0
0.309662,0,0,0,0
0.311004,0,0,0,0
0.312347,0,0,0,0
0.313698,0,0,0,0
0.315036,0,0,0,0
0.316374,0,0,0,0
0.317710,0,0,0,0
0.319047,0,0,0,0
0.320383,0,0,0,0
0.321720,0,0,0,0
0.323060,0,0,0,0
0.324538,0,0,0,0
0.325975,0,0,0,0
0.328062,0,0,0,0
0.329759,0,0,0,0
0.331174,0,0,0,0
0.332560,0,0,0,0
0.333942,0,0,0,0
0.335337,0,0,0,0
0.336723,0,0,0,0
0.338107,0,0,0,0
0.339624,0,0,0,0
0.341176,0,0,0,0
0.342725,0,0,0,0
0.344280,0,0,0,0
0.345841,0,0,0,0
0.347391,0,0,0,0
0.348807,0,0,0,0
0.350317,0,0,0,0
0.351737,0,0,0,0
0.353129,0,0,0,0
0.354515,0,0,0,0
0.356003,0,0,0,0
0.357389,0,0,0,0
0.358775,0,0,0,0
0.360199,0,0,0,0
0.361713,0,0,0,0
0.363266,0,0,0,0
0.364817,0,0,0,0
0.366380,0,0,0,0
0.367932,0,0,0,0
0.369483,0,0,0,0
0.371035,0,0,0,0
0.372629,0,0,0,0
0.374178,0,0,0,0
0.375728,0,0,0,0
0.377293,0,0,0,0
0.378846,0,0,0,0
0.380396,0,0,0,0
0.381944,0,0,0,0
0.383497,0,0,0,0
0.385050,0,0,0,0
0.386599,0,0,0,0
0.388168,0,0,0,0
0.389764,0,0,0,0
0.391299,0,0,0,0
0.392733,0,0,0,0
0.394124,0,0,0,0
0.395510,0,0,0,0
0.396890,0,0,0,0
0.398279,0,0,0,0
0.399659,0,0,0,0
0.401042,0,0,0,0
0.402428,0,0,0,0
0.403807,0,0,0,0
0.405227,0,0,0,0
0.406606,0,0,0,0
0.407966,0,0,0,0
0.409352,0,0,0,0
0.410729,0,0,0,0
0.412136,0,0,0,0
0.413513,0,0,0,0
0.414890,0,0,0,0
0.416268,0,0,0,0
0.417645,0,0,0,0
0.419023,0,0,0,0
0.420459,0,0,0,0
0.421814,0,0,0,0
0.423167,0,0,0,0
0.424521,0,0,0,0
0.425874,0,0,0,0
0.427227,0,0,0,0
0.428580,0,0,0,0
0.429934,0,0,0,0
0.431295,0,0,0,0
0.432650,0,0,0,0
0.434005,0,0,0,0
0.435360,0,0,0,0
0.436751,0,0,0,0
0.438165,0,0,0,0
0.439575,0,0,0,0
0.440878,0,0,0,0
0.442295,0,0,0,0
0.443706,0,0,0,0
0.445117,0,0,0,0
0.446527,0,0,0,0
0.447937,0,0,0,0
0.449351,0,0,0,0
0.450768,0,0,0,0
0.452029,0,0,0,0
0.453405,0,0,0,0
0.454767,0,0,0,0
0.456020,0,0,0,0
0.457381,0,0,0,0
0.458799,0,0,0,0
0.460159,0,0,0,0
0.461482,0,0,0,0
0.462937,0,0,0,0
0.464351,0,0,0,0
0.465763,0,0,0,0
0.467173,0,0,0,0
0.468598,0,0,0,0
0.470010,0,0,0,0
0.471440,0,0,0,0
0.472820,0,0,0,0
0.474202,0,0,0,0
0.475595,0,0,0,0
0.477109,0,0,0,0
0.478594,0,0,0,0
0.480012,0,0,0,0
0.481399,0,0,0,0
0.482900,0,0,0,0
0.485473,0,0,0,0
0.486874,0,0,0,0
0.488297,0,0,0,0
