elapsed_s,RB_C_WRITE,RB_TOTAL_PASS,RB_Z_PASS,RB_Z_FAIL,RB_S_FAIL,RB_BLENDED_FXP_COMPONENTS,RB_BLENDED_FP16_COMPONENTS,RB_PS_INVOCATIONS
0.001106,0,0,0,0,0,0,0,0
0.002787,0,0,0,0,0,0,0,0
0.004397,0,0,0,0,0,0,0,0
0.005935,0,0,0,0,0,0,0,0
0.007484,0,0,0,0,0,0,0,0
0.009033,0,0,0,0,0,0,0,0
0.010568,0,0,0,0,0,0,0,0
0.012066,0,0,0,0,0,0,0,0
0.013564,0,0,0,0,0,0,0,0
0.015109,0,0,0,0,0,0,0,0
0.016602,0,0,0,0,0,0,0,0
0.018271,0,0,0,0,0,0,0,0
0.019855,0,0,0,0,0,0,0,0
0.021371,0,0,0,0,0,0,0,0
0.022932,0,0,0,0,0,0,0,0
0.024437,0,0,0,0,0,0,0,0
0.025926,0,0,0,0,0,0,0,0
0.027420,0,0,0,0,0,0,0,0
0.028919,0,0,0,0,0,0,0,0
0.030408,0,0,0,0,0,0,0,0
0.031912,0,0,0,0,0,0,0,0
0.033488,0,0,0,0,0,0,0,0
0.034963,0,0,0,0,0,0,0,0
0.036442,0,0,0,0,0,0,0,0
0.037942,0,0,0,0,0,0,0,0
0.039465,0,0,0,0,0,0,0,0
0.040936,0,0,0,0,0,0,0,0
0.042466,0,0,0,0,0,0,0,0
0.044095,0,0,0,0,0,0,0,0
0.045634,0,0,0,0,0,0,0,0
0.047210,0,0,0,0,0,0,0,0
0.048597,0,0,0,0,0,0,0,0
0.049982,0,0,0,0,0,0,0,0
0.051370,0,0,0,0,0,0,0,0
0.052757,0,0,0,0,0,0,0,0
0.054143,0,0,0,0,0,0,0,0
0.055531,0,0,0,0,0,0,0,0
0.056933,0,0,0,0,0,0,0,0
0.058319,0,0,0,0,0,0,0,0
0.059780,0,0,0,0,0,0,0,0
0.061151,0,0,0,0,0,0,0,0
0.062599,0,0,0,0,0,0,0,0
0.063972,0,0,0,0,0,0,0,0
0.065397,0,0,0,0,0,0,0,0
0.066802,0,0,0,0,0,0,0,0
0.068173,0,0,0,0,0,0,0,0
0.069534,0,0,0,0,0,0,0,0
0.070902,0,0,0,0,0,0,0,0
0.072271,0,0,0,0,0,0,0,0
