elapsed_s,RB_2D_ALIVE_CYCLES,RB_2D_STARVE_CYCLES_SP,RB_2D_VALID_PIXELS,RB_3D_PIXELS,RB_BLENDER_WORKING_CYCLES,RB_ZPROC_WORKING_CYCLES,RB_CPROC_WORKING_CYCLES,RB_SAMPLER_WORKING_CYCLES
0.001100,0,0,0,0,0,0,0,0
0.002836,0,0,0,0,0,0,0,0
0.004389,0,0,0,0,0,0,0,0
0.006066,0,0,0,0,0,0,0,0
0.007611,0,0,0,0,0,0,0,0
0.009186,0,0,0,0,0,0,0,0
0.010772,0,0,0,0,0,0,0,0
0.012374,0,0,0,0,0,0,0,0
0.013981,0,0,0,0,0,0,0,0
0.015519,0,0,0,0,0,0,0,0
0.017072,0,0,0,0,0,0,0,0
0.018666,0,0,0,0,0,0,0,0
0.020142,0,0,0,0,0,0,0,0
0.021647,0,0,0,0,0,0,0,0
0.023130,0,0,0,0,0,0,0,0
0.024607,0,0,0,0,0,0,0,0
0.026308,0,0,0,0,0,0,0,0
0.027955,0,0,0,0,0,0,0,0
0.029508,0,0,0,0,0,0,0,0
0.031031,0,0,0,0,0,0,0,0
0.032563,0,0,0,0,0,0,0,0
0.034284,0,0,0,0,0,0,0,0
0.035916,0,0,0,0,0,0,0,0
0.037550,0,0,0,0,0,0,0,0
0.039058,0,0,0,0,0,0,0,0
0.040760,0,0,0,0,0,0,0,0
0.042295,0,0,0,0,0,0,0,0
0.043940,0,0,0,0,0,0,0,0
0.045577,0,0,0,0,0,0,0,0
0.047212,0,0,0,0,0,0,0,0
0.049296,0,0,0,0,0,0,0,0
0.050867,0,0,0,0,0,0,0,0
0.052450,0,0,0,0,0,0,0,0
0.054076,0,0,0,0,0,0,0,0
0.055618,0,0,0,0,0,0,0,0
0.057155,0,0,0,0,0,0,0,0
0.058689,0,0,0,0,0,0,0,0
0.060224,0,0,0,0,0,0,0,0
0.061801,0,0,0,0,0,0,0,0
0.063335,0,0,0,0,0,0,0,0
0.064915,0,0,0,0,0,0,0,0
0.066338,0,0,0,0,0,0,0,0
0.067719,0,0,0,0,0,0,0,0
0.069063,0,0,0,0,0,0,0,0
0.070533,0,0,0,0,0,0,0,0
0.071987,0,0,0,0,0,0,0,0
0.073529,0,0,0,0,0,0,0,0
0.074876,0,0,0,0,0,0,0,0
0.076227,0,0,0,0,0,0,0,0
0.077567,0,0,0,0,0,0,0,0
0.078904,0,0,0,0,0,0,0,0
0.080241,0,0,0,0,0,0,0,0
0.081583,0,0,0,0,0,1500,3216,708
0.083157,0,0,0,0,0,0,0,0
0.084575,0,0,0,0,0,0,0,0
0.086016,0,0,0,0,0,0,0,0
0.087453,0,0,0,0,0,0,0,0
0.088869,0,0,0,0,0,0,0,0
0.090287,0,0,0,0,0,0,0,0
0.091704,0,0,0,0,0,0,0,0
0.093119,0,0,0,0,0,2034,142003,1092
0.095072,0,0,0,0,0,1470,139948,744
0.096488,0,0,0,0,0,0,0,0
0.097901,0,0,0,0,0,0,0,0
0.099316,0,0,0,0,0,0,0,0
0.100737,0,0,0,0,0,0,0,0
0.102205,0,0,0,0,0,0,0,0
0.103611,0,0,0,0,0,0,0,0
0.105015,0,0,0,0,0,0,0,0
0.106417,0,0,0,0,0,0,0,0
0.107865,0,0,0,0,0,0,0,0
0.109288,0,0,0,0,0,0,0,0
0.110654,0,0,0,0,0,0,0,0
0.112015,0,0,0,0,0,0,0,0
0.113375,0,0,0,0,0,0,0,0
0.114790,0,0,0,0,0,0,0,0
0.116148,0,0,0,0,0,0,0,0
0.117505,0,0,0,0,0,0,0,0
0.118864,0,0,0,0,0,0,0,0
0.120241,0,0,0,0,0,0,0,0
0.121602,0,0,0,0,0,0,0,0
0.122968,0,0,0,0,0,0,0,0
0.124326,0,0,0,0,0,0,0,0
0.125685,0,0,0,0,0,0,0,0
0.127045,0,0,0,0,0,0,0,0
0.128404,0,0,0,0,0,0,0,0
0.129822,0,0,0,0,0,0,0,0
0.131191,0,0,0,0,0,0,0,0
0.132551,0,0,0,0,0,0,0,0
0.133911,0,0,0,0,0,0,0,0
0.135268,0,0,0,0,0,0,0,0
0.136625,0,0,0,0,0,0,0,0
0.137986,0,0,0,0,0,0,0,0
0.139343,0,0,0,0,0,0,0,0
0.140702,0,0,0,0,0,0,0,0
0.142084,0,0,0,0,0,0,0,0
0.143441,0,0,0,0,0,0,0,0
0.144799,0,0,0,0,0,0,0,0
0.146157,0,0,0,0,0,0,0,0
0.147614,0,0,0,0,0,0,0,0
0.149032,0,0,0,0,0,0,0,0
0.150443,0,0,0,0,0,0,0,0
0.151977,0,0,0,0,0,0,0,0
0.153434,0,0,0,0,0,0,0,0
0.154975,0,0,0,0,0,0,0,0
0.156547,0,0,0,0,0,0,0,0
0.158124,0,0,0,0,0,0,0,0
0.159694,0,0,0,0,0,0,0,0
0.161268,0,0,0,0,0,0,0,0
0.162762,0,0,0,0,0,0,0,0
0.164321,0,0,0,0,0,0,0,0
0.165937,0,0,0,0,0,0,0,0
0.167509,0,0,0,0,0,0,0,0
0.169064,0,0,0,0,0,0,0,0
0.170636,0,0,0,0,0,0,0,0
0.172206,0,0,0,0,0,0,0,0
