elapsed_s,PC_US_STALL_CYCLES_UCHE0,PC_US_STALL_CYCLES_UCHE1,PC_US_UCHE_0_TRANS,PC_US_UCHE_1_TRANS,PC_US_BV_STALLED_BY_ATTR,PC_US_BV_STARVED_BY_RARB,PC_US_VPC_PRIM_COUNT_STALLS_BR,PC_US_VPC_PRIM_COUNT_STALLS_BV
0.001133,0,0,0,0,0,0,0,0
0.002782,0,0,0,0,0,0,0,0
0.004394,0,0,0,0,0,0,0,0
0.006132,0,0,0,0,0,0,0,0
0.007684,0,0,0,0,0,0,0,0
0.009260,0,0,0,0,0,0,0,0
0.011096,0,0,0,0,0,0,0,0
0.012939,0,0,0,0,0,0,0,0
0.014497,0,0,0,0,0,0,0,0
0.016019,0,0,0,0,0,0,0,0
0.017543,0,0,0,0,0,0,0,0
0.019067,0,0,0,0,0,0,0,0
0.020666,0,0,0,0,0,0,0,0
0.022301,0,0,0,0,0,0,0,0
0.023838,0,0,0,0,0,0,0,0
0.025421,0,0,0,0,0,0,0,0
0.026954,0,0,0,0,0,0,0,0
0.028522,0,0,0,0,0,0,0,0
0.030108,0,0,0,0,0,0,0,0
0.031651,0,0,0,0,0,0,0,0
0.033233,0,0,0,0,0,0,0,0
0.034615,0,0,0,0,0,0,0,0
0.036011,0,0,0,0,0,0,0,0
0.037417,0,0,0,0,0,0,0,0
0.038779,0,0,0,0,0,0,0,0
0.040151,0,0,0,0,0,0,0,0
0.041524,0,0,0,0,0,0,0,0
0.042955,0,0,0,0,0,0,0,0
0.044425,0,0,0,0,0,0,0,0
0.045841,0,0,0,0,0,0,0,0
0.047255,0,0,0,0,0,0,0,0
0.048672,0,0,0,0,0,0,0,0
0.050098,0,0,0,0,0,0,0,0
0.051572,0,0,0,0,0,0,0,0
0.053069,0,0,0,0,0,0,0,0
0.054447,0,0,0,0,0,0,0,0
0.055820,0,0,0,0,0,0,0,0
0.057258,0,0,0,0,0,0,0,0
0.058673,0,0,0,0,0,0,0,0
0.060255,0,0,0,0,0,0,0,0
0.061633,0,0,0,0,0,0,0,0
0.062999,0,0,0,0,0,0,0,0
0.064373,0,0,0,0,0,0,0,0
0.065783,0,0,0,0,0,0,0,0
0.067149,0,0,0,0,0,0,0,0
0.068545,0,0,0,0,0,0,0,0
0.070346,0,0,0,0,0,0,0,0
0.071760,0,0,0,0,0,0,0,0
0.073188,0,0,0,0,0,0,0,0
0.074607,0,0,0,0,0,0,0,0
0.076016,0,0,0,0,0,0,0,0
0.077424,0,0,0,0,0,0,0,0
0.078832,0,0,0,0,0,0,0,0
0.080239,0,0,0,0,0,0,0,0
0.081645,0,0,0,0,0,0,0,0
0.083049,0,0,0,0,0,0,0,0
0.084449,0,0,0,0,0,0,0,0
0.085861,0,0,0,0,0,0,0,0
0.087263,0,0,0,0,0,0,0,0
0.088664,0,0,0,0,0,0,0,0
0.090085,0,0,0,0,0,0,0,0
0.091482,0,0,0,0,0,0,0,0
0.092972,0,0,0,0,0,0,0,0
0.094446,0,0,0,0,0,0,0,0
0.095847,0,0,0,0,0,0,0,0
0.097255,0,0,0,0,0,0,0,0
0.098654,0,0,0,0,0,0,0,0
0.100093,0,0,0,0,0,0,0,0
0.101495,0,0,0,0,0,0,0,0
0.102896,0,0,0,0,0,0,0,0
0.104298,0,0,0,0,0,0,0,0
0.105699,0,0,0,0,0,0,0,0
0.107101,0,0,0,0,0,0,0,0
0.108545,0,0,0,0,0,0,0,0
0.110050,0,0,0,0,0,0,0,0
0.111586,0,0,0,0,0,0,0,0
0.113159,0,0,0,0,0,0,0,0
0.114731,0,0,0,0,0,0,0,0
0.116343,0,0,0,0,0,0,0,0
0.117914,0,0,0,0,0,0,0,0
0.119500,0,0,0,0,0,0,0,0
0.121073,0,0,0,0,0,0,0,0
0.122644,0,0,0,0,0,0,0,0
0.124255,0,0,0,0,0,0,0,0
0.125827,0,0,0,0,0,0,0,0
0.127399,0,0,0,0,0,0,0,0
0.128972,0,0,0,0,0,0,0,0
0.130557,0,0,0,0,0,0,0,0
0.132170,0,0,0,0,0,0,0,0
0.133620,0,0,0,0,0,0,0,0
0.135166,0,0,0,0,0,0,0,0
0.136738,0,0,0,0,0,0,0,0
0.138315,0,0,0,0,0,0,0,0
0.139929,0,0,0,0,0,0,0,0
0.141518,0,0,0,0,0,0,0,0
0.143091,0,0,0,0,0,0,0,0
0.144662,0,0,0,0,0,0,0,0
0.146253,0,0,0,0,0,0,0,0
0.147857,0,0,0,0,0,0,0,0
0.149357,0,0,0,0,0,0,0,0
0.150903,0,0,0,0,0,0,0,0
0.152484,0,0,0,0,0,0,0,0
0.154117,0,0,0,0,0,0,0,0
0.155687,0,0,0,0,0,0,0,0
0.157302,0,0,0,0,0,0,0,0
0.158873,0,0,0,0,0,0,0,0
0.160442,0,0,0,0,0,0,0,0
0.161883,0,0,0,0,0,0,0,0
0.163432,0,0,0,0,0,0,0,0
0.165004,0,0,0,0,0,0,0,0
0.166575,0,0,0,0,0,0,0,0
0.168144,0,0,0,0,0,0,0,0
0.169716,0,0,0,0,0,0,0,0
0.171287,0,0,0,0,0,0,0,0
0.172862,0,0,0,0,0,0,0,0
0.174372,0,0,0,0,0,0,0,0
0.175914,0,0,0,0,0,0,0,0
0.177486,0,0,0,0,0,0,0,0
0.179057,0,0,0,0,0,0,0,0
0.180627,0,0,0,0,0,0,0,0
0.182202,0,0,0,0,0,0,0,0
0.183771,0,0,0,0,0,0,0,0
0.185358,0,0,0,0,0,0,0,0
0.186833,0,0,0,0,0,0,0,0
0.188400,0,0,0,0,0,0,0,0
0.189833,0,0,0,0,0,0,0,0
0.191203,0,0,0,0,0,0,0,0
0.192562,0,0,0,0,0,0,0,0
0.193974,0,0,0,0,0,0,0,0
0.195363,0,0,0,0,0,0,0,0
0.196771,0,0,0,0,0,0,0,0
0.198212,0,0,0,0,0,0,0,0
0.199540,0,0,0,0,0,0,0,0
0.200867,0,0,0,0,0,0,0,0
0.202197,0,0,0,0,0,0,0,0
0.203528,0,0,0,0,0,0,0,0
0.204884,0,0,0,0,0,0,0,0
0.206206,0,0,0,0,0,0,0,0
0.207519,0,0,0,0,0,0,0,0
