elapsed_s,PC_S_TESS_SETUP_ACTIVE,PC_S_TESS_PID_ACTIVE,PC_S_TESS_PRIM_GEN_ACTIVE,PC_S_TESS_FACTOR_TRANS,PC_S_TESS_PC_UV_TRANS,PC_S_TESS_PC_UV_PATCHES,PC_S_MESH_VS_WAVES
0.001107,0,0,0,0,0,0,0
0.002757,0,0,0,0,0,0,0
0.004608,0,0,0,0,0,0,0
0.006193,0,0,0,0,0,0,0
0.007744,0,0,0,0,0,0,0
0.009279,0,0,0,0,0,0,0
0.010821,0,0,0,0,0,0,0
0.012354,0,0,0,0,0,0,0
0.013885,0,0,0,0,0,0,0
0.015415,0,0,0,0,0,0,0
0.016944,0,0,0,0,0,0,0
0.018474,0,0,0,0,0,0,0
0.020091,0,0,0,0,0,0,0
0.021685,0,0,0,0,0,0,0
0.023190,0,0,0,0,0,0,0
0.024822,0,0,0,0,0,0,0
0.026461,0,0,0,0,0,0,0
0.027966,0,0,0,0,0,0,0
0.029489,0,0,0,0,0,0,0
0.030993,0,0,0,0,0,0,0
0.032528,0,0,0,0,0,0,0
0.034032,0,0,0,0,0,0,0
0.035594,0,0,0,0,0,0,0
0.037212,0,0,0,0,0,0,0
0.038830,0,0,0,0,0,0,0
0.040458,0,0,0,0,0,0,0
0.042077,0,0,0,0,0,0,0
0.043706,0,0,0,0,0,0,0
0.045387,0,0,0,0,0,0,0
0.047007,0,0,0,0,0,0,0
0.048627,0,0,0,0,0,0,0
0.050248,0,0,0,0,0,0,0
0.051920,0,0,0,0,0,0,0
0.053624,0,0,0,0,0,0,0
0.055058,0,0,0,0,0,0,0
0.056538,0,0,0,0,0,0,0
0.057966,0,0,0,0,0,0,0
0.059396,0,0,0,0,0,0,0
0.060824,0,0,0,0,0,0,0
0.062252,0,0,0,0,0,0,0
0.063681,0,0,0,0,0,0,0
0.065115,0,0,0,0,0,0,0
0.066543,0,0,0,0,0,0,0
0.068029,0,0,0,0,0,0,0
0.069506,0,0,0,0,0,0,0
0.070904,0,0,0,0,0,0,0
0.072285,0,0,0,0,0,0,0
0.073667,0,0,0,0,0,0,0
0.075047,0,0,0,0,0,0,0
0.076491,0,0,0,0,0,0,0
0.077877,0,0,0,0,0,0,0
0.079263,0,0,0,0,0,0,0
0.080642,0,0,0,0,0,0,0
0.082030,0,0,0,0,0,0,0
0.083424,0,0,0,0,0,0,0
0.084856,0,0,0,0,0,0,0
0.086286,0,0,0,0,0,0,0
0.087718,0,0,0,0,0,0,0
0.089146,0,0,0,0,0,0,0
0.090574,0,0,0,0,0,0,0
0.092002,0,0,0,0,0,0,0
0.093516,0,0,0,0,0,0,0
0.094945,0,0,0,0,0,0,0
0.096419,0,0,0,0,0,0,0
0.097630,0,0,0,0,0,0,0
0.099005,0,0,0,0,0,0,0
0.100307,0,0,0,0,0,0,0
0.101661,0,0,0,0,0,0,0
0.103019,0,0,0,0,0,0,0
0.104382,0,0,0,0,0,0,0
0.105744,0,0,0,0,0,0,0
0.107103,0,0,0,0,0,0,0
0.108461,0,0,0,0,0,0,0
0.109824,0,0,0,0,0,0,0
0.111178,0,0,0,0,0,0,0
0.112531,0,0,0,0,0,0,0
0.113882,0,0,0,0,0,0,0
0.115286,0,0,0,0,0,0,0
0.116638,0,0,0,0,0,0,0
0.117989,0,0,0,0,0,0,0
0.119339,0,0,0,0,0,0,0
0.120710,0,0,0,0,0,0,0
0.122060,0,0,0,0,0,0,0
0.123412,0,0,0,0,0,0,0
0.124767,0,0,0,0,0,0,0
0.126121,0,0,0,0,0,0,0
0.127474,0,0,0,0,0,0,0
0.128828,0,0,0,0,0,0,0
0.130182,0,0,0,0,0,0,0
0.131587,0,0,0,0,0,0,0
0.132940,0,0,0,0,0,0,0
0.134294,0,0,0,0,0,0,0
0.135648,0,0,0,0,0,0,0
0.137001,0,0,0,0,0,0,0
0.138355,0,0,0,0,0,0,0
0.139709,0,0,0,0,0,0,0
0.141065,0,0,0,0,0,0,0
0.142429,0,0,0,0,0,0,0
0.143782,0,0,0,0,0,0,0
0.145136,0,0,0,0,0,0,0
0.146489,0,0,0,0,0,0,0
0.147973,0,0,0,0,0,0,0
0.149558,0,0,0,0,0,0,0
0.151122,0,0,0,0,0,0,0
0.152580,0,0,0,0,0,0,0
0.154117,0,0,0,0,0,0,0
0.155681,0,0,0,0,0,0,0
0.157247,0,0,0,0,0,0,0
0.158814,0,0,0,0,0,0,0
0.160381,0,0,0,0,0,0,0
0.161945,0,0,0,0,0,0,0
0.163581,0,0,0,0,0,0,0
0.165042,0,0,0,0,0,0,0
0.166605,0,0,0,0,0,0,0
0.168169,0,0,0,0,0,0,0
0.169740,0,0,0,0,0,0,0
0.171305,0,0,0,0,0,0,0
0.172872,0,0,0,0,0,0,0
0.174328,0,0,0,0,0,0,0
0.175868,0,0,0,0,0,0,0
0.177489,0,0,0,0,0,0,0
0.179056,0,0,0,0,0,0,0
0.180668,0,0,0,0,0,0,0
0.182235,0,0,0,0,0,0,0
0.183801,0,0,0,0,0,0,0
0.185379,0,0,0,0,0,0,0
0.186945,0,0,0,0,0,0,0
0.188513,0,0,0,0,0,0,0
0.190079,0,0,0,0,0,0,0
0.191643,0,0,0,0,0,0,0
0.193209,0,0,0,0,0,0,0
0.194775,0,0,0,0,0,0,0
0.196355,0,0,0,0,0,0,0
0.197945,0,0,0,0,0,0,0
0.199509,0,0,0,0,0,0,0
0.201076,0,0,0,0,0,0,0
0.202642,0,0,0,0,0,0,0
0.204207,0,0,0,0,0,0,0
0.205837,0,0,0,0,0,0,0
0.207414,0,0,0,0,0,0,0
0.208981,0,0,0,0,0,0,0
0.210547,0,0,0,0,0,0,0
0.211989,0,0,0,0,0,0,0
