elapsed_s,VFD_STALL_CYCLES_PRG_END_FE,VFD_STALL_CYCLES_CBSYNC,VFD_BOTTLENECK_CYCLES,VFD_WORKING_CYCLES
0.001138,0,0,0,0
0.002733,0,0,0,0
0.004224,0,0,0,0
0.005707,0,0,0,0
0.007190,0,0,0,0
0.008731,0,0,0,0
0.010334,0,0,0,0
0.011816,0,0,0,0
0.013304,0,0,0,0
0.014788,0,0,0,0
0.016271,0,0,0,0
0.017754,0,0,0,0
0.019235,0,0,0,0
0.020745,0,0,0,0
0.022319,0,0,0,0
0.023796,0,0,0,0
0.025401,0,0,0,0
0.026860,0,0,0,0
0.028319,0,0,0,0
0.029778,0,0,0,0
0.031246,0,0,0,0
0.032703,0,0,0,0
0.034225,0,0,0,0
0.035682,0,0,0,0
0.037304,0,0,0,0
0.038832,0,0,0,0
0.040349,0,0,0,0
0.041893,0,0,0,0
0.043417,0,0,0,0
0.044938,0,0,0,0
0.046410,0,0,0,0
0.047818,0,0,0,0
0.049229,0,0,0,0
0.050636,0,0,0,0
0.052043,0,0,0,0
0.053496,0,0,0,0
0.054903,0,0,0,0
0.056329,0,0,0,0
0.057755,0,0,0,0
0.059129,0,0,0,0
0.060504,0,0,0,0
0.062087,0,0,0,0
0.063593,0,0,0,0
0.064939,0,0,0,0
0.066303,0,0,0,0
0.067652,0,0,0,0
0.068996,0,0,0,0
0.070341,0,0,0,0
0.071685,0,0,0,0
0.073042,0,0,0,0
0.074478,0,0,0,0
0.076073,0,0,0,0
0.077461,0,0,0,0
0.078849,0,0,0,0
0.080234,0,0,0,0
0.081757,0,0,0,0
0.083144,0,0,0,0
0.084537,0,0,0,0
0.086403,0,0,0,0
0.087860,0,0,0,0
0.089303,0,0,0,0
0.090689,0,0,0,0
0.092074,0,0,0,0
0.093473,0,0,0,0
0.094870,0,0,0,0
0.096254,0,0,0,0
0.097631,0,0,0,0
0.099011,0,0,0,0
0.100391,0,0,0,0
0.102585,0,0,0,0
0.103966,0,0,0,0
0.109209,0,0,0,0
0.110664,0,0,0,0
0.112044,0,0,0,0
0.113906,0,0,0,0
0.115287,0,0,0,0
0.116675,0,0,0,0
0.118055,0,0,0,0
0.119435,0,0,0,0
0.120907,0,0,0,0
0.122361,0,0,0,0
0.123721,0,0,0,0
0.125142,0,0,0,0
0.126559,0,0,0,0
0.127909,0,0,0,0
0.129251,0,0,0,0
0.130591,0,0,0,0
0.131930,0,0,0,0
0.133271,0,0,0,0
0.134609,0,0,0,0
0.135947,0,0,0,0
0.137483,0,0,0,0
0.139046,0,0,0,0
0.140593,0,0,0,0
0.142142,0,0,0,0
0.143564,0,0,0,0
0.145153,0,0,0,0
0.146768,0,0,0,0
0.148316,0,0,0,0
0.149881,0,0,0,0
0.151432,0,0,0,0
0.152982,0,0,0,0
0.154538,0,0,0,0
0.156088,0,0,0,0
0.157640,0,0,0,0
0.159192,0,0,0,0
0.160753,0,0,0,0
0.162251,0,0,0,0
0.163769,0,0,0,0
0.165321,0,0,0,0
0.166863,0,0,0,0
0.168446,0,0,0,0
0.169866,0,0,0,0
0.171540,0,0,0,0
0.172971,0,0,0,0
0.174368,0,0,0,0
0.175753,0,0,0,0
0.177141,0,0,0,0
0.178529,0,0,0,0
0.179915,0,0,0,0
0.181494,0,0,0,0
0.183040,0,0,0,0
0.184596,0,0,0,0
0.186145,0,0,0,0
0.188198,0,0,0,0
0.189604,0,0,0,0
0.190995,0,0,0,0
0.192392,0,0,0,0
0.193828,0,0,0,0
0.195280,0,0,0,0
0.196765,0,0,0,0
0.198306,0,0,0,0
0.199900,0,0,0,0
0.201377,0,0,0,0
0.202769,0,0,0,0
0.204106,0,0,0,0
0.205486,0,0,0,0
0.206818,0,0,0,0
0.208148,0,0,0,0
0.209525,0,0,0,0
0.210856,0,0,0,0
0.212184,0,0,0,0
0.213572,0,0,0,0
0.214901,0,0,0,0
0.216280,0,0,0,0
0.217635,0,0,0,0
0.218940,0,0,0,0
0.220246,0,0,0,0
0.221599,0,0,0,0
0.222904,0,0,0,0
0.224218,0,0,0,0
0.225571,0,0,0,0
0.226875,0,0,0,0
0.228179,0,0,0,0
0.229531,0,0,0,0
0.230836,0,0,0,0
0.232177,0,0,0,0
0.233591,0,0,0,0
0.234956,0,0,0,0
0.236208,0,0,0,0
0.237568,0,0,0,0
0.238929,0,0,0,0
0.240289,0,0,0,0
0.241700,0,0,0,0
0.243061,0,0,0,0
0.244421,0,0,0,0
0.245785,0,0,0,0
0.247145,0,0,0,0
0.248610,0,0,0,0
0.250031,0,0,0,0
0.251422,0,0,0,0
0.252940,0,0,0,0
0.254418,0,0,0,0
0.255814,0,0,0,0
0.258042,0,0,0,0
0.259636,0,0,0,0
0.260981,0,0,0,0
0.262440,0,0,0,0
0.263831,0,0,0,0
0.265455,0,0,0,0
0.266835,0,0,0,0
0.268229,0,0,0,0
0.269616,0,0,0,0
0.271004,0,0,0,0
0.272388,0,0,0,0
0.273773,0,0,0,0
0.275458,0,0,0,0
0.277170,0,0,0,0
0.278715,0,0,0,0
0.280143,0,0,0,0
0.284085,0,0,0,0
0.287582,0,0,0,0
0.288973,0,0,0,0
0.290424,0,0,0,0
0.291828,0,0,0,0
0.293216,0,0,0,0
0.294593,0,0,0,0
0.296049,0,0,0,0
0.297482,0,0,0,0
0.298862,0,0,0,0
0.300259,0,0,0,0
0.301640,0,0,0,0
0.303025,0,0,0,0
0.304540,0,0,0,0
0.305944,0,0,0,0
0.307293,0,0,0,0
0.308632,0,0,0,0
0.309974,0,0,0,0
0.311332,0,0,0,0
0.312804,0,0,0,0
0.314371,0,0,0,0
0.315921,0,0,0,0
0.317475,0,0,0,0
0.319026,0,0,0,0
0.320576,0,0,0,0
0.322018,0,0,0,0
0.323412,0,0,0,0
0.324799,0,0,0,0
0.326248,0,0,0,0
0.327634,0,0,0,0
0.329060,0,0,0,0
0.330612,0,0,0,0
0.332173,0,0,0,0
0.333724,0,0,0,0
0.335275,0,0,0,0
0.336822,0,0,0,0
0.338378,0,0,0,0
0.339927,0,0,0,0
0.341480,0,0,0,0
0.343043,0,0,0,0
0.344633,0,0,0,0
0.346184,0,0,0,0
0.347734,0,0,0,0
0.349286,0,0,0,0
0.350837,0,0,0,0
0.352387,0,0,0,0
0.353950,0,0,0,0
0.355501,0,0,0,0
0.357049,0,0,0,0
0.358554,0,0,0,0
0.359946,0,0,0,0
0.361553,0,0,0,0
0.363103,0,0,0,0
0.364664,0,0,0,0
0.366214,0,0,0,0
0.367765,0,0,0,0
0.369317,0,0,0,0
0.370867,0,0,0,0
0.372416,0,0,0,0
0.373966,0,0,0,0
0.375529,0,0,0,0
0.377149,0,0,0,0
0.378763,0,0,0,0
0.380310,0,0,0,0
0.381860,0,0,0,0
0.383289,0,0,0,0
0.384676,0,0,0,0
0.386069,0,0,0,0
0.387447,0,0,0,0
0.388826,0,0,0,0
0.390291,0,0,0,0
0.391669,0,0,0,0
0.393151,0,0,0,0
0.394604,0,0,0,0
0.395983,0,0,0,0
0.397501,0,0,0,0
0.398976,0,0,0,0
0.400358,0,0,0,0
0.401735,0,0,0,0
0.403113,0,0,0,0
0.404489,0,0,0,0
0.405867,0,0,0,0
0.407245,0,0,0,0
0.408683,0,0,0,0
0.410039,0,0,0,0
0.411395,0,0,0,0
0.412748,0,0,0,0
0.414100,0,0,0,0
0.415454,0,0,0,0
0.416808,0,0,0,0
0.418240,0,0,0,0
0.419602,0,0,0,0
0.420955,0,0,0,0
0.422337,0,0,0,0
0.423692,0,0,0,0
0.425176,0,0,0,0
0.426517,0,0,0,0
0.427858,0,0,0,0
0.429197,0,0,0,0
0.430544,0,0,0,0
0.431883,0,0,0,0
0.433221,0,0,0,0
0.434560,0,0,0,0
0.435898,0,0,0,0
0.437429,0,0,0,0
0.438770,0,0,0,0
0.440139,0,0,0,0
0.441448,0,0,0,0
0.442858,0,0,0,0
0.444268,0,0,0,0
0.445679,0,0,0,0
0.447090,0,0,0,0
0.448501,0,0,0,0
0.449919,0,0,0,0
0.451290,0,0,0,0
0.452655,0,0,0,0
0.454017,0,0,0,0
0.455272,0,0,0,0
0.456648,0,0,0,0
0.458045,0,0,0,0
0.459452,0,0,0,0
0.460974,0,0,0,0
0.462440,0,0,0,0
0.464001,0,0,0,0
0.465388,0,0,0,0
0.466774,0,0,0,0
0.468156,0,0,0,0
0.469928,0,0,0,0
0.472169,0,0,0,0
0.473542,0,0,0,0
0.474934,0,0,0,0
0.476319,0,0,0,0
0.477705,0,0,0,0
0.479091,0,0,0,0
0.480475,0,0,0,0
0.482390,0,0,0,0
0.483797,0,0,0,0
0.485201,0,0,0,0
0.486579,0,0,0,0
0.487959,0,0,0,0
0.489388,0,0,0,0
0.490768,0,0,0,0
0.492147,0,0,0,0
0.493526,0,0,0,0
0.494913,0,0,0,0
0.496287,0,0,0,0
0.497663,0,0,0,0
0.499041,0,0,0,0
0.500420,0,0,0,0
0.501800,0,0,0,0
0.503181,0,0,0,0
0.504612,0,0,0,0
0.506000,0,0,0,0
0.507380,0,0,0,0
0.508760,0,0,0,0
0.510140,0,0,0,0
0.511520,0,0,0,0
0.512898,0,0,0,0
0.514270,0,0,0,0
0.515656,0,0,0,0
0.517131,0,0,0,0
0.518679,0,0,0,0
0.520271,0,0,0,0
0.521825,0,0,0,0
0.523376,0,0,0,0
0.524926,0,0,0,0
0.526483,0,0,0,0
0.528045,0,0,0,0
0.529598,0,0,0,0
0.531150,0,0,0,0
0.532700,0,0,0,0
0.534252,0,0,0,0
0.535805,0,0,0,0
0.537402,0,0,0,0
0.538842,0,0,0,0
0.540363,0,0,0,0
0.541916,0,0,0,0
0.543468,0,0,0,0
0.545020,0,0,0,0
0.546574,0,0,0,0
0.548125,0,0,0,0
0.549690,0,0,0,0
0.551234,0,0,0,0
0.552817,0,0,0,0
0.554387,0,0,0,0
0.555907,0,0,0,0
0.557458,0,0,0,0
0.559009,0,0,0,0
0.560568,0,0,0,0
0.562117,0,0,0,0
0.563667,0,0,0,0
0.565217,0,0,0,0
0.566768,0,0,0,0
0.568428,0,0,0,0
0.569976,0,0,0,0
0.571540,0,0,0,0
0.573172,0,0,0,0
0.574641,0,0,0,0
0.576031,0,0,0,0
0.577549,0,0,0,0
0.579099,0,0,0,0
0.580648,0,0,0,0
0.582208,0,0,0,0
0.583754,0,0,0,0
0.585249,0,0,0,0
0.586648,0,0,0,0
0.588037,0,0,0,0
0.589420,0,0,0,0
0.590799,0,0,0,0
0.592188,0,0,0,0
0.593566,0,0,0,0
0.594945,0,0,0,0
0.596323,0,0,0,0
0.597704,0,0,0,0
0.599120,0,0,0,0
0.600648,0,0,0,0
0.602004,0,0,0,0
0.603367,0,0,0,0
0.604720,0,0,0,0
0.606074,0,0,0,0
0.607441,0,0,0,0
0.608797,0,0,0,0
0.610207,0,0,0,0
0.611560,0,0,0,0
0.612912,0,0,0,0
0.614267,0,0,0,0
0.615621,0,0,0,0
0.617012,0,0,0,0
0.618443,0,0,0,0
0.619802,0,0,0,0
0.621153,0,0,0,0
0.622576,0,0,0,0
0.623916,0,0,0,0
0.625261,0,0,0,0
0.626602,0,0,0,0
0.627942,0,0,0,0
0.629282,0,0,0,0
0.630620,0,0,0,0
0.631959,0,0,0,0
0.633302,0,0,0,0
0.634713,0,0,0,0
0.636127,0,0,0,0
0.637539,0,0,0,0
0.638950,0,0,0,0
0.640366,0,0,0,0
0.641783,0,0,0,0
0.643174,0,0,0,0
0.644495,0,0,0,0
0.645908,0,0,0,0
0.647321,0,0,0,0
0.648637,0,0,0,0
0.650068,0,0,0,0
0.651448,0,0,0,0
0.653062,0,0,0,0
0.654534,0,0,0,0
0.656005,0,0,0,0
0.658081,0,0,0,0
0.659466,0,0,0,0
0.660846,0,0,0,0
0.662252,0,0,0,0
0.663630,0,0,0,0
0.665013,0,0,0,0
0.666284,0,0,0,0
0.667683,0,0,0,0
0.669159,0,0,0,0
0.670604,0,0,0,0
0.671990,0,0,0,0
0.674212,0,0,0,0
0.675597,0,0,0,0
0.677003,0,0,0,0
0.678382,0,0,0,0
0.679762,0,0,0,0
0.681219,0,0,0,0
0.683126,0,0,0,0
0.684505,0,0,0,0
0.689132,0,0,0,0
0.690528,0,0,0,0
0.691910,0,0,0,0
0.693431,0,0,0,0
