elapsed_s,HLSQ_BV_CTXT_BUF_FULL_BLOCK_CPI,HLSQ_VS_CONST_BUF_FULL_BLOCK_CPI,HLSQ_FS_CONST_BUF_FULL_BLOCK_CPI,HLSQ_BV_CONST_BUF_FULL_BLOCK_CPI,HLSQ_VS_INS_BUF_FULL_BLOCK_CPI,HLSQ_FS_INS_BUF_FULL_BLOCK_CPI
0.001315,0,0,0,0,0,0
0.002943,0,0,0,0,0,0
0.004416,0,0,0,0,0,0
0.005814,0,0,0,0,0,0
0.007211,0,0,0,0,0,0
0.008673,0,0,0,0,0,0
0.010187,0,0,0,0,0,0
0.011555,0,0,0,0,0,0
0.012923,0,0,0,0,0,0
0.014475,0,0,0,0,0,0
0.015931,0,0,0,0,0,0
0.017412,0,0,0,0,0,0
0.018887,0,0,0,0,0,0
0.020370,0,0,0,0,0,0
0.021848,0,0,0,0,0,0
0.023325,0,0,0,0,0,0
0.024834,0,0,0,0,0,0
0.026264,0,0,0,0,0,0
0.027684,0,0,0,0,0,0
0.029102,0,0,0,0,0,0
0.030530,0,0,0,0,0,0
0.032068,0,0,0,0,0,0
0.033613,0,0,0,0,0,0
0.034985,0,0,0,0,0,0
0.036357,0,0,0,0,0,0
0.037730,0,0,0,0,0,0
0.039103,0,0,0,0,0,0
0.040488,0,0,0,0,0,0
0.041937,0,0,0,0,0,0
0.043292,0,0,0,0,0,0
0.044642,0,0,0,0,0,0
0.046057,0,0,0,0,0,0
0.047418,0,0,0,0,0,0
0.048838,0,0,0,0,0,0
0.051166,0,0,0,0,0,0
0.052614,0,0,0,0,0,0
0.054022,0,0,0,0,0,0
0.055425,0,0,0,0,0,0
0.056834,0,0,0,0,0,0
0.058403,0,0,0,0,0,0
0.059783,0,0,0,0,0,0
0.061139,0,0,0,0,0,0
0.062494,0,0,0,0,0,0
0.063861,0,0,0,0,0,0
0.065286,0,0,0,0,0,0
0.066684,0,0,0,0,0,0
0.068082,0,0,9,0,0,2
0.069434,0,0,3,0,0,0
0.070829,0,0,0,0,0,0
0.072291,0,0,0,0,0,0
0.074938,0,0,0,0,0,0
0.076348,0,0,0,0,0,0
0.077745,0,0,0,0,0,0
0.079141,0,0,0,0,0,0
0.080581,0,0,0,0,0,0
0.081978,0,0,0,0,0,0
0.083379,0,0,0,0,0,0
0.084769,0,0,0,0,0,0
0.086384,0,0,0,0,0,0
0.087774,0,0,0,0,0,0
0.089218,0,0,0,0,0,0
0.090609,0,0,0,0,0,0
0.091999,0,0,0,0,0,0
0.097154,0,0,0,0,0,0
0.098570,0,0,0,0,0,0
0.099967,0,0,0,0,0,0
0.101487,0,0,0,0,0,0
0.102891,0,0,0,0,0,0
0.104266,0,0,0,0,0,0
0.105661,0,0,0,0,0,0
0.107053,0,0,0,0,0,0
0.108443,0,0,0,0,0,0
0.109845,0,0,0,0,0,0
0.111241,0,0,0,0,0,0
0.112673,0,0,0,0,0,0
0.114371,0,0,0,0,0,0
0.115768,0,0,0,0,0,0
0.117167,0,0,0,0,0,0
0.118564,0,0,0,0,0,0
0.120003,0,0,0,0,0,0
0.121402,0,0,0,0,0,0
0.122929,0,0,0,0,0,0
0.124490,0,0,0,0,0,0
0.126053,0,0,0,0,0,0
0.127617,0,0,0,0,0,0
0.129224,0,0,0,0,0,0
0.130801,0,0,0,0,0,0
