elapsed_s,HLSQ_BV2LPAC_SWITCH_CNT,HLSQ_LPAC2BV_SWITCH_CYC,HLSQ_BV2LPAC_SWITCH_CYC,HLSQ_VSDP_BV2BR_SWITCH_CYC,HLSQ_VS_SP_HCTX_ACTIVE_CNT,HLSQ_FS_SP_HCTX_ACTIVE_CNT
0.001100,0,0,0,0,0,0
0.002907,0,0,0,0,0,0
0.004408,0,0,0,0,0,0
0.005887,0,0,0,0,0,0
0.007418,0,0,0,0,0,0
0.008893,0,0,0,0,0,0
0.010377,0,0,0,0,0,0
0.011957,0,0,0,0,0,0
0.013401,0,0,0,0,0,0
0.014895,0,0,0,0,0,0
0.016340,0,0,0,0,0,0
0.017843,0,0,0,0,0,0
0.019402,0,0,0,0,0,0
0.020913,0,0,0,0,0,0
0.022413,0,0,0,0,0,0
0.024027,0,0,0,0,0,0
0.025448,0,0,0,0,0,0
0.026901,0,0,0,0,0,0
0.028398,0,0,0,0,0,0
0.029900,0,0,0,0,0,0
0.031274,0,0,0,0,0,0
0.032602,0,0,0,0,0,0
0.034106,0,0,0,0,0,0
0.035464,0,0,0,0,0,0
0.036824,0,0,0,0,0,0
0.038181,0,0,0,0,0,0
0.039533,0,0,0,0,0,0
0.040883,0,0,0,0,0,0
0.042305,0,0,0,0,0,0
0.043665,0,0,0,0,0,0
0.045079,0,0,0,0,0,0
0.046449,0,0,0,0,0,0
0.047965,0,0,0,0,0,0
0.049323,0,0,0,0,0,0
0.050696,0,0,0,0,0,0
0.052184,0,0,0,0,0,0
0.053838,0,0,0,0,0,0
0.055245,0,0,0,0,0,0
0.056648,0,0,0,0,0,0
0.058087,0,0,0,0,0,0
0.059486,0,0,0,0,0,0
0.060882,0,0,0,0,0,0
0.062280,0,0,0,0,0,0
0.063799,0,0,0,0,0,0
0.065194,0,0,0,0,0,0
0.066592,0,0,0,0,0,0
0.067961,0,0,0,0,0,0
0.069357,0,0,0,0,0,0
0.070753,0,0,0,0,0,0
0.072152,0,0,0,0,0,0
0.073558,0,0,0,0,0,0
0.075005,0,0,0,0,0,0
0.076400,0,0,0,0,0,0
0.077792,0,0,0,0,0,0
0.079182,0,0,0,0,0,0
0.080571,0,0,0,0,0,0
0.082002,0,0,0,0,0,0
0.083391,0,0,0,0,0,0
0.084789,0,0,0,0,0,0
0.086179,0,0,0,0,0,0
0.087571,0,0,0,0,0,0
0.088963,0,0,0,0,0,0
0.090488,0,0,0,0,0,0
0.091996,0,0,0,0,0,0
0.093393,0,0,0,0,0,0
0.094863,0,0,0,0,0,0
0.096264,0,0,0,0,0,0
0.097655,0,0,0,0,0,0
0.099082,0,0,0,0,0,0
0.100475,0,0,0,0,0,0
0.101867,0,0,0,0,0,0
0.103257,0,0,0,0,0,0
0.104648,0,0,0,0,0,0
0.106081,0,0,0,0,0,0
0.107472,0,0,0,0,0,0
0.108862,0,0,0,0,0,0
0.110379,0,0,0,0,0,0
0.111811,0,0,0,0,0,0
0.113342,0,0,0,0,0,0
0.114904,0,0,0,0,0,0
0.116476,0,0,0,0,0,0
0.118035,0,0,0,0,0,0
0.119597,0,0,0,0,0,0
0.121158,0,0,0,0,0,0
0.122717,0,0,0,0,0,0
0.124280,0,0,0,0,0,0
0.125839,0,0,0,0,0,0
0.127414,0,0,0,0,0,0
0.128974,0,0,0,0,0,0
0.130575,0,0,0,0,0,0
0.132140,0,0,0,0,0,0
0.133699,0,0,0,0,0,0
0.135392,0,0,0,0,0,0
0.136901,0,0,0,0,0,0
0.138356,0,0,0,0,0,0
0.139754,0,0,0,0,0,0
0.141155,0,0,0,0,0,0
0.142553,0,0,0,0,0,0
0.143959,0,0,0,0,0,0
0.145380,0,0,0,0,0,0
