elapsed_s,VPC_FE_TSE_FE_TRANSACTIONS,VPC_FE_STALL_CYCLES_CCU,VPC_FE_NUM_WM_HIT,VPC_FE_STALL_DQ_WACK,VPC_FE_STALL_CYCLES_PRG_END_FE,VPC_FE_STALL_CYCLES_PRG_END_VPCVS
0.001118,0,0,0,0,0,0
0.002732,0,0,0,0,0,0
0.004248,0,0,0,0,0,0
0.005760,0,0,0,0,0,0
0.007276,0,0,0,0,0,0
0.008789,0,0,0,0,0,0
0.010308,0,0,0,0,0,0
0.011821,0,0,0,0,0,0
0.013333,0,0,0,0,0,0
0.014848,0,0,0,0,0,0
0.016451,0,0,0,0,0,0
0.017942,0,0,0,0,0,0
0.019431,0,0,0,0,0,0
0.020929,0,0,0,0,0,0
0.022536,0,0,0,0,0,0
0.024027,0,0,0,0,0,0
0.025517,0,0,0,0,0,0
0.027139,0,0,0,0,0,0
0.028625,0,0,0,0,0,0
0.030240,0,0,0,0,0,0
0.031738,0,0,0,0,0,0
0.033276,0,0,0,0,0,0
0.034878,0,0,0,0,0,0
0.036480,0,0,0,0,0,0
0.038510,0,0,0,0,0,0
0.040115,0,0,0,0,0,0
0.041721,0,0,0,0,0,0
0.043334,0,0,0,0,0,0
0.044954,0,0,0,0,0,0
0.046595,0,0,0,0,0,0
0.048139,0,0,0,0,0,0
0.049696,0,0,0,0,0,0
0.051278,0,0,0,0,0,0
0.052831,0,0,0,0,0,0
0.054386,0,0,0,0,0,0
0.055937,0,0,0,0,0,0
0.057494,0,0,0,0,0,0
0.059049,0,0,0,0,0,0
0.060606,0,0,0,0,0,0
0.062294,0,0,0,0,0,0
0.063686,0,0,0,0,0,0
0.065097,0,0,0,0,0,0
0.066554,0,0,0,0,0,0
0.068006,0,0,0,0,0,0
0.069475,0,0,0,0,0,0
0.070808,0,0,0,0,0,0
0.072140,0,0,0,0,0,0
0.073593,0,0,0,0,0,0
0.075045,0,0,0,0,0,0
0.076511,0,0,0,0,0,0
0.077927,0,0,0,0,0,0
0.079328,0,0,0,0,0,0
0.080901,0,0,0,0,0,0
0.082334,0,0,0,0,0,0
0.083734,0,0,0,0,0,0
0.085128,0,0,0,0,0,0
0.086696,0,0,0,0,0,0
0.088117,0,0,0,0,0,0
0.089526,0,0,0,0,0,0
0.090930,0,0,0,0,0,0
0.092348,0,0,0,0,0,0
0.093588,0,0,0,0,0,0
0.094943,0,0,0,0,0,0
0.096358,0,0,0,0,0,0
0.097736,0,0,0,0,0,0
0.099093,0,0,0,0,0,0
0.100447,0,0,0,0,0,0
0.101802,0,0,0,0,0,0
0.103215,0,0,0,0,0,0
0.104586,0,0,0,0,0,0
0.106146,0,0,0,0,0,0
0.107498,0,0,0,0,0,0
0.108864,0,0,0,0,0,0
0.110221,0,0,0,0,0,0
0.111568,0,0,0,0,0,0
0.112967,0,0,0,0,0,0
0.114371,0,0,0,0,0,0
0.115743,0,0,0,0,0,0
0.117096,0,0,0,0,0,0
0.118522,0,0,0,0,0,0
0.120063,0,0,0,0,0,0
0.121473,0,0,0,0,0,0
0.122831,0,0,0,0,0,0
0.124181,0,0,0,0,0,0
0.125530,0,0,0,0,0,0
0.126880,0,0,0,0,0,0
0.128248,0,0,0,0,0,0
0.129644,0,0,0,0,0,0
0.131050,0,0,0,0,0,0
0.132444,0,0,0,0,0,0
0.133843,0,0,0,0,0,0
0.135238,0,0,0,0,0,0
0.136633,0,0,0,0,0,0
0.138030,0,0,0,0,0,0
0.139425,0,0,0,0,0,0
0.140949,0,0,0,0,0,0
0.142437,0,0,0,0,0,0
0.143838,0,0,0,0,0,0
0.145281,0,0,0,0,0,0
0.146677,0,0,0,0,0,0
0.148074,0,0,0,0,0,0
0.149472,0,0,0,0,0,0
0.150996,0,0,0,0,0,0
0.152568,0,0,0,0,0,0
0.154131,0,0,0,0,0,0
0.155692,0,0,0,0,0,0
0.157255,0,0,0,0,0,0
0.158817,0,0,0,0,0,0
0.160419,0,0,0,0,0,0
0.161980,0,0,0,0,0,0
0.163555,0,0,0,0,0,0
0.165117,0,0,0,0,0,0
0.166677,0,0,0,0,0,0
