elapsed_s,VPC_US_STARVE_CYCLES_TSE_FE,VPC_US_PTUS_FULL,VPC_US_COMP_INVIS_PRIM_COUNT,VPC_US_STALL_CYCLES_VSC,VPC_US_STALL_CYCLES_VPC_BE,VPC_US_STALL_CYCLES_UCHE
0.001356,0,0,0,0,0,0
0.003266,0,0,0,0,0,0
0.004759,0,0,0,0,0,0
0.006387,0,0,0,0,0,0
0.007915,0,0,0,0,0,0
0.009470,0,0,0,0,0,0
0.010937,0,0,0,0,0,0
0.012403,0,0,0,0,0,0
0.013917,0,0,0,0,0,0
0.015383,0,0,0,0,0,0
0.016848,0,0,0,0,0,0
0.018430,0,0,0,0,0,0
0.020010,0,0,0,0,0,0
0.021457,0,0,0,0,0,0
0.022903,0,0,0,0,0,0
0.024348,0,0,0,0,0,0
0.025793,0,0,0,0,0,0
0.027287,0,0,0,0,0,0
0.028732,0,0,0,0,0,0
0.030214,0,0,0,0,0,0
0.031668,0,0,0,0,0,0
0.033164,0,0,0,0,0,0
0.034609,0,0,0,0,0,0
0.036111,0,0,0,0,0,0
0.037621,0,0,0,0,0,0
0.039126,0,0,0,0,0,0
0.040638,0,0,0,0,0,0
0.042149,0,0,0,0,0,0
0.043653,0,0,0,0,0,0
0.045156,0,0,0,0,0,0
0.046657,0,0,0,0,0,0
0.048161,0,0,0,0,0,0
0.049659,0,0,0,0,0,0
0.051035,0,0,0,0,0,0
0.052423,0,0,0,0,0,0
0.053820,0,0,0,0,0,0
0.055175,0,0,0,0,0,0
0.056525,0,0,0,0,0,0
0.057874,0,0,0,0,0,0
0.059271,0,0,0,0,0,0
0.060697,0,0,0,0,0,0
0.062154,0,0,0,0,0,0
0.063517,0,0,0,0,0,0
0.064991,0,0,0,0,0,0
0.066396,0,0,0,0,0,0
0.067744,0,0,0,0,0,0
0.069140,84,0,0,0,0,0
0.070991,0,0,0,0,0,0
0.072363,0,0,0,0,0,0
0.073722,0,0,0,0,0,0
0.075077,0,0,0,0,0,0
0.076428,0,0,0,0,0,0
0.077783,0,0,0,0,0,0
0.079135,0,0,0,0,0,0
0.080500,171,0,0,0,0,0
0.081730,0,0,0,0,0,0
0.083097,0,0,0,0,0,0
0.084469,0,0,0,0,0,0
0.085887,0,0,0,0,0,0
0.087290,0,0,0,0,0,0
0.088689,0,0,0,0,0,0
0.090811,0,0,0,0,0,0
0.092207,0,0,0,0,0,0
0.096871,0,0,0,0,0,0
0.098329,0,0,0,0,0,0
0.099720,0,0,0,0,0,0
0.101302,0,0,0,0,0,0
0.102703,0,0,0,0,0,0
0.104074,0,0,0,0,0,0
0.105428,0,0,0,0,0,0
0.106779,0,0,0,0,0,0
0.108132,0,0,0,0,0,0
0.109480,0,0,0,0,0,0
0.110828,0,0,0,0,0,0
0.112178,0,0,0,0,0,0
0.113528,0,0,0,0,0,0
0.114890,0,0,0,0,0,0
0.116297,0,0,0,0,0,0
0.117648,0,0,0,0,0,0
0.118998,0,0,0,0,0,0
0.120345,0,0,0,0,0,0
0.121699,0,0,0,0,0,0
0.123050,0,0,0,0,0,0
0.124400,0,0,0,0,0,0
0.125764,0,0,0,0,0,0
0.127115,0,0,0,0,0,0
0.128464,0,0,0,0,0,0
0.129814,0,0,0,0,0,0
0.131164,0,0,0,0,0,0
0.132643,0,0,0,0,0,0
0.134220,0,0,0,0,0,0
0.135781,0,0,0,0,0,0
0.137314,0,0,0,0,0,0
0.138878,0,0,0,0,0,0
0.140436,0,0,0,0,0,0
0.141998,0,0,0,0,0,0
0.143557,0,0,0,0,0,0
0.145120,0,0,0,0,0,0
0.146681,0,0,0,0,0,0
0.148294,0,0,0,0,0,0
0.149856,0,0,0,0,0,0
0.151417,0,0,0,0,0,0
0.152980,0,0,0,0,0,0
0.154540,0,0,0,0,0,0
0.156099,0,0,0,0,0,0
0.157661,0,0,0,0,0,0
0.159235,0,0,0,0,0,0
0.160701,0,0,0,0,0,0
0.162183,0,0,0,0,0,0
0.163704,0,0,0,0,0,0
0.165178,0,0,0,0,0,0
0.166709,0,0,0,0,0,0
0.168267,0,0,0,0,0,0
0.169840,0,0,0,0,0,0
0.171400,0,0,0,0,0,0
0.172961,0,0,0,0,0,0
0.174520,0,0,0,0,0,0
0.176077,0,0,0,0,0,0
0.177639,0,0,0,0,0,0
0.179200,0,0,0,0,0,0
0.180771,0,0,0,0,0,0
0.182335,0,0,0,0,0,0
0.183893,0,0,0,0,0,0
0.185453,0,0,0,0,0,0
0.186890,0,0,0,0,0,0
0.188425,0,0,0,0,0,0
0.189988,0,0,0,0,0,0
0.191563,0,0,0,0,0,0
0.193166,0,0,0,0,0,0
0.194610,0,0,0,0,0,0
0.196050,0,0,0,0,0,0
0.197440,0,0,0,0,0,0
0.198828,0,0,0,0,0,0
0.200217,0,0,0,0,0,0
0.201618,0,0,0,0,0,0
0.203009,0,0,0,0,0,0
0.204399,0,0,0,0,0,0
0.205786,0,0,0,0,0,0
0.207173,0,0,0,0,0,0
0.208565,0,0,0,0,0,0
0.209957,0,0,0,0,0,0
0.211345,0,0,0,0,0,0
0.212791,0,0,0,0,0,0
0.214258,0,0,0,0,0,0
0.215620,0,0,0,0,0,0
0.216955,0,0,0,0,0,0
0.218319,0,0,0,0,0,0
0.219682,0,0,0,0,0,0
0.221098,0,0,0,0,0,0
0.222462,0,0,0,0,0,0
0.223831,0,0,0,0,0,0
0.225195,0,0,0,0,0,0
0.226557,0,0,0,0,0,0
0.227954,0,0,0,0,0,0
0.229302,0,0,0,0,0,0
0.230651,0,0,0,0,0,0
0.232000,0,0,0,0,0,0
0.233350,0,0,0,0,0,0
0.234705,0,0,0,0,0,0
0.236055,0,0,0,0,0,0
0.237404,0,0,0,0,0,0
0.238754,0,0,0,0,0,0
0.240102,0,0,0,0,0,0
0.241451,0,0,0,0,0,0
0.242799,0,0,0,0,0,0
0.244177,0,0,0,0,0,0
0.245602,0,0,0,0,0,0
0.247020,0,0,0,0,0,0
0.248437,0,0,0,0,0,0
0.249854,0,0,0,0,0,0
0.251272,0,0,0,0,0,0
0.252688,0,0,0,0,0,0
0.254127,0,0,0,0,0,0
0.255443,0,0,0,0,0,0
0.256818,0,0,0,0,0,0
0.258192,0,0,0,0,0,0
0.259452,0,0,0,0,0,0
0.260835,0,0,0,0,0,0
0.262156,0,0,0,0,0,0
0.263504,0,0,0,0,0,0
0.264852,0,0,0,0,0,0
0.266218,0,0,0,0,0,0
0.267584,24,0,0,0,0,0
0.268814,0,0,0,0,0,0
0.270172,0,0,0,0,0,0
0.271526,0,0,0,0,0,0
