elapsed_s,TSE_FE_STARVE_CYCLES_PC,TSE_FE_INPUT_PRIM,TSE_FE_INPUT_NULL_PRIM,TSE_FE_TRIVAL_REJ_PRIM
0.001162,0,0,0,0
0.002785,0,0,0,0
0.004308,0,0,0,0
0.005802,0,0,0,0
0.007245,0,0,0,0
0.008685,0,0,0,0
0.010199,0,0,0,0
0.011646,0,0,0,0
0.013080,0,0,0,0
0.014519,0,0,0,0
0.015986,0,0,0,0
0.017451,0,0,0,0
0.018864,0,0,0,0
0.020347,0,0,0,0
0.021830,0,0,0,0
0.023326,0,0,0,0
0.024800,0,0,0,0
0.026281,0,0,0,0
0.027758,0,0,0,0
0.029217,0,0,0,0
0.030595,0,0,0,0
0.031944,0,0,0,0
0.033293,0,0,0,0
0.034634,0,0,0,0
0.035979,0,0,0,0
0.037324,0,0,0,0
0.038672,0,0,0,0
0.040017,0,0,0,0
0.041367,0,0,0,0
0.042705,0,0,0,0
0.044082,0,0,0,0
0.045648,0,0,0,0
0.047143,0,0,0,0
0.048547,0,0,0,0
0.050302,0,0,0,0
0.051722,0,0,0,0
0.053150,0,0,0,0
0.054601,3588,0,0,0
0.055989,0,0,0,0
0.057373,0,0,0,0
0.058753,0,0,0,0
0.060178,0,0,0,0
0.061561,0,0,0,0
0.062958,0,0,0,0
0.064627,1236,0,0,0
0.066095,0,0,0,0
0.067488,0,0,0,0
0.068927,0,0,0,0
0.070369,0,0,0,0
0.071751,0,0,0,0
0.073163,0,0,0,0
0.074547,0,0,0,0
0.075929,0,0,0,0
0.077358,0,0,0,0
0.078740,0,0,0,0
0.080122,0,0,0,0
0.082681,0,0,0,0
0.084118,0,0,0,0
0.089133,0,0,0,0
0.090542,0,0,0,0
0.091924,0,0,0,0
0.093298,0,0,0,0
0.094637,0,0,0,0
0.095953,0,0,0,0
0.097415,0,0,0,0
0.098769,0,0,0,0
0.100103,0,0,0,0
0.101488,0,0,0,0
0.102869,0,0,0,0
0.104247,0,0,0,0
0.105729,0,0,0,0
0.107108,0,0,0,0
0.108522,0,0,0,0
0.109926,0,0,0,0
0.111419,0,0,0,0
0.112804,0,0,0,0
0.114194,0,0,0,0
0.115580,0,0,0,0
0.117010,0,0,0,0
0.118400,0,0,0,0
0.119787,0,0,0,0
0.121174,0,0,0,0
0.122689,0,0,0,0
0.124282,0,0,0,0
0.125837,0,0,0,0
0.127403,0,0,0,0
0.128953,0,0,0,0
0.130510,0,0,0,0
0.132102,0,0,0,0
0.133656,0,0,0,0
0.135208,0,0,0,0
0.136758,0,0,0,0
0.138285,0,0,0,0
0.139799,0,0,0,0
0.141258,0,0,0,0
0.142772,0,0,0,0
0.144313,0,0,0,0
0.145732,0,0,0,0
0.147252,0,0,0,0
0.148813,0,0,0,0
0.150366,0,0,0,0
0.151914,0,0,0,0
0.153466,0,0,0,0
0.155016,0,0,0,0
0.156608,0,0,0,0
0.158169,0,0,0,0
0.159746,0,0,0,0
0.161150,0,0,0,0
0.162669,0,0,0,0
0.164261,0,0,0,0
0.165815,0,0,0,0
0.167368,0,0,0,0
0.168920,0,0,0,0
0.170491,0,0,0,0
0.172083,0,0,0,0
0.173637,0,0,0,0
0.175190,0,0,0,0
0.176740,0,0,0,0
0.178248,0,0,0,0
0.179771,0,0,0,0
0.181254,0,0,0,0
0.182674,0,0,0,0
0.184053,0,0,0,0
0.185432,0,0,0,0
0.186811,0,0,0,0
0.188236,0,0,0,0
0.189592,0,0,0,0
0.190947,0,0,0,0
0.192309,0,0,0,0
0.193663,0,0,0,0
0.195017,0,0,0,0
0.196404,0,0,0,0
0.197744,0,0,0,0
0.199083,0,0,0,0
0.200422,0,0,0,0
0.201760,0,0,0,0
0.203105,0,0,0,0
0.204472,0,0,0,0
0.205883,0,0,0,0
0.207293,0,0,0,0
0.208704,0,0,0,0
0.210114,0,0,0,0
0.211524,0,0,0,0
0.212935,0,0,0,0
0.214351,0,0,0,0
0.215762,0,0,0,0
0.217173,0,0,0,0
0.218584,0,0,0,0
0.220006,0,0,0,0
0.221569,0,0,0,0
0.222953,0,0,0,0
0.224339,0,0,0,0
0.225963,0,0,0,0
0.227367,0,0,0,0
0.228795,0,0,0,0
0.232714,0,0,0,0
0.234075,528,0,0,0
0.235271,0,0,0,0
0.236709,0,0,0,0
0.238135,0,0,0,0
0.239545,0,0,0,0
0.240848,0,0,0,0
0.242269,0,0,0,0
0.243681,0,0,0,0
0.245133,0,0,0,0
0.246561,0,0,0,0
0.247973,0,0,0,0
0.249381,1230,0,0,0
0.250647,0,0,0,0
0.252081,0,0,0,0
0.253488,0,0,0,0
0.254878,0,0,0,0
0.256732,0,0,0,0
0.258135,0,0,0,0
0.259522,0,0,0,0
0.260950,0,0,0,0
0.262739,0,0,0,0
0.264120,0,0,0,0
0.265500,0,0,0,0
0.266877,0,0,0,0
0.268305,0,0,0,0
0.269683,0,0,0,0
0.271057,0,0,0,0
0.272432,0,0,0,0
0.273807,0,0,0,0
0.275184,0,0,0,0
0.276595,0,0,0,0
0.277976,0,0,0,0
0.279372,0,0,0,0
0.280758,0,0,0,0
0.282192,0,0,0,0
0.283571,0,0,0,0
0.284983,0,0,0,0
0.286385,0,0,0,0
0.287890,0,0,0,0
0.289311,0,0,0,0
0.290842,0,0,0,0
0.292434,0,0,0,0
0.293984,0,0,0,0
0.295535,0,0,0,0
0.297152,0,0,0,0
0.298781,0,0,0,0
0.300269,0,0,0,0
0.301686,0,0,0,0
0.303203,0,0,0,0
0.304751,0,0,0,0
0.306364,0,0,0,0
0.307912,0,0,0,0
0.309508,0,0,0,0
0.311056,0,0,0,0
0.312596,0,0,0,0
0.314151,0,0,0,0
0.315703,0,0,0,0
0.317256,0,0,0,0
0.318808,0,0,0,0
0.320358,0,0,0,0
0.321911,0,0,0,0
0.323467,0,0,0,0
0.325010,0,0,0,0
0.326410,0,0,0,0
0.327922,0,0,0,0
0.329419,0,0,0,0
0.330942,0,0,0,0
0.332535,0,0,0,0
0.334099,0,0,0,0
0.335651,0,0,0,0
0.337204,0,0,0,0
0.338756,0,0,0,0
0.340349,0,0,0,0
0.341903,0,0,0,0
0.343455,0,0,0,0
0.345018,0,0,0,0
0.346613,0,0,0,0
0.348207,0,0,0,0
0.349758,0,0,0,0
0.351300,0,0,0,0
0.352841,0,0,0,0
0.354448,0,0,0,0
0.356007,0,0,0,0
0.357559,0,0,0,0
0.359100,0,0,0,0
0.361256,0,0,0,0
0.363085,0,0,0,0
0.364593,0,0,0,0
0.365992,0,0,0,0
0.367375,0,0,0,0
0.368754,0,0,0,0
0.370131,0,0,0,0
0.371508,0,0,0,0
0.372939,0,0,0,0
0.374316,0,0,0,0
0.375669,0,0,0,0
0.377031,0,0,0,0
0.378452,0,0,0,0
0.379805,0,0,0,0
0.381227,0,0,0,0
0.382566,0,0,0,0
0.383906,0,0,0,0
0.385244,0,0,0,0
0.386584,0,0,0,0
0.387928,0,0,0,0
0.389271,0,0,0,0
0.390682,0,0,0,0
0.392093,0,0,0,0
0.393504,0,0,0,0
0.394915,0,0,0,0
0.396339,0,0,0,0
0.397772,0,0,0,0
0.399174,0,0,0,0
0.400841,0,0,0,0
0.402297,0,0,0,0
0.403680,0,0,0,0
0.405098,0,0,0,0
0.407032,0,0,0,0
0.408399,0,0,0,0
0.409887,0,0,0,0
0.411282,0,0,0,0
0.412666,0,0,0,0
0.414331,0,0,0,0
0.415712,0,0,0,0
0.417143,0,0,0,0
0.418519,528,0,0,0
0.419769,0,0,0,0
0.422242,0,0,0,0
0.423635,0,0,0,0
0.425025,0,0,0,0
0.426465,0,0,0,0
0.427848,0,0,0,0
0.429354,0,0,0,0
0.431779,1239,0,0,0
0.433197,0,0,0,0
0.434606,0,0,0,0
0.435990,0,0,0,0
0.437512,0,0,0,0
0.438930,0,0,0,0
0.440314,0,0,0,0
0.441699,0,0,0,0
0.443088,0,0,0,0
0.444507,0,0,0,0
0.446072,0,0,0,0
0.447454,0,0,0,0
0.448833,0,0,0,0
0.450318,0,0,0,0
0.451694,0,0,0,0
0.453151,0,0,0,0
0.454532,0,0,0,0
0.455954,0,0,0,0
0.457337,0,0,0,0
0.458713,0,0,0,0
0.460166,0,0,0,0
0.461609,0,0,0,0
0.462987,0,0,0,0
0.464365,0,0,0,0
0.465753,0,0,0,0
0.467133,0,0,0,0
0.468547,0,0,0,0
0.469930,0,0,0,0
0.471317,0,0,0,0
0.472831,0,0,0,0
0.474387,0,0,0,0
0.475949,0,0,0,0
0.477548,0,0,0,0
0.479099,0,0,0,0
0.480648,0,0,0,0
0.482199,0,0,0,0
0.483750,0,0,0,0
0.485345,0,0,0,0
0.486784,0,0,0,0
0.488305,0,0,0,0
0.489858,0,0,0,0
0.491410,0,0,0,0
0.492959,0,0,0,0
0.494514,0,0,0,0
0.496063,0,0,0,0
0.497629,0,0,0,0
0.499180,0,0,0,0
0.500771,0,0,0,0
0.502286,0,0,0,0
0.503806,0,0,0,0
0.505359,0,0,0,0
0.506901,0,0,0,0
0.508495,0,0,0,0
0.509942,0,0,0,0
0.511464,0,0,0,0
0.513012,0,0,0,0
0.514923,0,0,0,0
0.517306,0,0,0,0
0.518779,0,0,0,0
0.520176,0,0,0,0
0.521567,0,0,0,0
0.522953,0,0,0,0
0.524379,0,0,0,0
0.525766,0,0,0,0
0.527280,0,0,0,0
0.528827,0,0,0,0
0.530394,0,0,0,0
0.531942,0,0,0,0
0.533538,0,0,0,0
0.535087,0,0,0,0
0.536635,0,0,0,0
0.538185,0,0,0,0
0.539734,0,0,0,0
0.541217,0,0,0,0
0.542736,0,0,0,0
0.544922,0,0,0,0
0.546475,0,0,0,0
0.547857,0,0,0,0
0.549281,0,0,0,0
0.550659,0,0,0,0
0.552047,0,0,0,0
0.553425,0,0,0,0
0.554804,0,0,0,0
0.556232,0,0,0,0
0.557588,0,0,0,0
0.558942,0,0,0,0
0.560305,0,0,0,0
0.561660,0,0,0,0
0.563022,0,0,0,0
0.564409,0,0,0,0
0.565749,0,0,0,0
0.567088,0,0,0,0
0.568428,0,0,0,0
0.569766,0,0,0,0
0.571105,0,0,0,0
0.572473,0,0,0,0
0.573890,0,0,0,0
0.575299,0,0,0,0
0.576601,0,0,0,0
0.578010,0,0,0,0
0.579419,0,0,0,0
0.580842,0,0,0,0
0.582222,0,0,0,0
0.583587,0,0,0,0
0.584952,0,0,0,0
0.586241,0,0,0,0
0.587600,0,0,0,0
0.588964,0,0,0,0
0.590298,0,0,0,0
0.591710,0,0,0,0
0.593090,0,0,0,0
0.594478,0,0,0,0
0.595891,0,0,0,0
0.597257,0,0,0,0
0.600354,0,0,0,0
0.602060,0,0,0,0
0.603464,69,0,0,0
0.604993,0,0,0,0
0.606414,0,0,0,0
0.607762,0,0,0,0
0.609105,0,0,0,0
0.610450,0,0,0,0
0.611791,0,0,0,0
0.613319,0,0,0,0
0.615558,1299,0,0,0
0.616956,0,0,0,0
0.618394,0,0,0,0
0.619778,0,0,0,0
0.621210,0,0,0,0
0.622595,0,0,0,0
0.623980,0,0,0,0
0.626596,0,0,0,0
0.627991,0,0,0,0
0.632844,0,0,0,0
0.634302,0,0,0,0
0.635681,0,0,0,0
0.637155,0,0,0,0
0.638659,0,0,0,0
0.640016,0,0,0,0
0.641361,0,0,0,0
0.642705,0,0,0,0
0.644060,0,0,0,0
0.645442,0,0,0,0
0.646822,0,0,0,0
0.648327,0,0,0,0
0.649758,0,0,0,0
0.651153,0,0,0,0
0.652584,0,0,0,0
0.653974,0,0,0,0
0.655357,0,0,0,0
0.656739,0,0,0,0
0.658120,0,0,0,0
0.659628,0,0,0,0
0.661058,0,0,0,0
0.662584,0,0,0,0
0.663965,0,0,0,0
0.665348,0,0,0,0
0.666734,0,0,0,0
0.668154,0,0,0,0
0.669540,0,0,0,0
0.671113,0,0,0,0
0.672675,0,0,0,0
0.674224,0,0,0,0
0.675773,0,0,0,0
0.677369,0,0,0,0
0.678919,0,0,0,0
0.680467,0,0,0,0
0.682017,0,0,0,0
0.683580,0,0,0,0
0.685132,0,0,0,0
0.686684,0,0,0,0
0.688233,0,0,0,0
0.689784,0,0,0,0
0.691333,0,0,0,0
0.692882,0,0,0,0
0.694448,0,0,0,0
0.695996,0,0,0,0
0.697548,0,0,0,0
0.699099,0,0,0,0
0.700690,0,0,0,0
0.702239,0,0,0,0
0.703789,0,0,0,0
0.705229,0,0,0,0
0.706751,0,0,0,0
0.708342,0,0,0,0
0.709894,0,0,0,0
0.711444,0,0,0,0
0.712991,0,0,0,0
0.714546,0,0,0,0
0.716150,0,0,0,0
0.717701,0,0,0,0
0.719251,0,0,0,0
0.720840,0,0,0,0
0.722266,0,0,0,0
0.723785,0,0,0,0
0.725379,0,0,0,0
0.726940,0,0,0,0
0.728376,0,0,0,0
0.729778,0,0,0,0
0.731167,0,0,0,0
0.732593,0,0,0,0
0.733976,0,0,0,0
0.735354,0,0,0,0
0.736731,0,0,0,0
0.738120,0,0,0,0
0.739499,0,0,0,0
0.740924,0,0,0,0
0.742300,0,0,0,0
0.743652,0,0,0,0
0.745005,0,0,0,0
0.746379,0,0,0,0
0.747731,0,0,0,0
0.749098,0,0,0,0
0.750553,0,0,0,0
0.751892,0,0,0,0
0.753230,0,0,0,0
0.754569,0,0,0,0
0.755907,0,0,0,0
0.757251,0,0,0,0
0.758553,0,0,0,0
0.759967,0,0,0,0
0.761377,0,0,0,0
0.762787,0,0,0,0
0.764209,0,0,0,0
0.765638,0,0,0,0
0.767052,0,0,0,0
0.768434,0,0,0,0
0.770343,0,0,0,0
0.771721,0,0,0,0
0.773122,0,0,0,0
0.774937,0,0,0,0
0.776409,0,0,0,0
0.777912,0,0,0,0
0.779311,0,0,0,0
0.780747,0,0,0,0
0.782149,0,0,0,0
0.783566,0,0,0,0
0.784959,528,0,0,0
0.787607,0,0,0,0
0.789038,0,0,0,0
0.790499,0,0,0,0
0.791895,0,0,0,0
0.793275,0,0,0,0
0.794659,0,0,0,0
0.796136,1292,0,0,0
0.797385,0,0,0,0
0.798763,0,0,0,0
0.800161,0,0,0,0
0.801546,0,0,0,0
0.802941,0,0,0,0
0.804370,0,0,0,0
0.806957,0,0,0,0
0.808342,0,0,0,0
0.809724,0,0,0,0
0.811281,0,0,0,0
0.812927,0,0,0,0
0.814306,0,0,0,0
0.815687,0,0,0,0
0.817209,0,0,0,0
0.822437,0,0,0,0
0.823817,0,0,0,0
0.825175,0,0,0,0
0.826517,0,0,0,0
0.827854,0,0,0,0
0.829299,0,0,0,0
0.830738,0,0,0,0
0.832122,0,0,0,0
0.833501,0,0,0,0
0.834882,0,0,0,0
0.836306,0,0,0,0
0.837687,0,0,0,0
0.839074,0,0,0,0
0.840460,0,0,0,0
0.841848,0,0,0,0
0.843233,0,0,0,0
0.844652,0,0,0,0
0.846168,0,0,0,0
0.847609,0,0,0,0
0.849001,0,0,0,0
0.850393,0,0,0,0
0.851779,0,0,0,0
0.853211,0,0,0,0
0.854598,0,0,0,0
0.855982,0,0,0,0
0.857501,0,0,0,0
0.858940,0,0,0,0
0.860374,0,0,0,0
0.861764,0,0,0,0
0.863152,0,0,0,0
0.864538,0,0,0,0
0.865926,0,0,0,0
0.867312,0,0,0,0
0.868827,0,0,0,0
0.870270,0,0,0,0
0.871790,0,0,0,0
0.873415,0,0,0,0
0.874989,0,0,0,0
0.876661,0,0,0,0
0.878211,0,0,0,0
0.879763,0,0,0,0
0.881330,0,0,0,0
0.882880,0,0,0,0
0.884473,0,0,0,0
0.886027,0,0,0,0
0.887577,0,0,0,0
0.889129,0,0,0,0
0.890680,0,0,0,0
0.892285,0,0,0,0
0.893838,0,0,0,0
0.895390,0,0,0,0
0.896940,0,0,0,0
0.898495,0,0,0,0
0.900086,0,0,0,0
0.901638,0,0,0,0
0.903203,0,0,0,0
0.904752,0,0,0,0
0.906298,0,0,0,0
0.907694,0,0,0,0
0.909086,0,0,0,0
0.910474,0,0,0,0
0.911860,0,0,0,0
