elapsed_s,RAS_SAMPLE_MASK_GEN_LANE_3_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_4_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_5_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_6_WORKING_CC_L2
0.001130,0,0,0,0
0.002708,0,0,0,0
0.004263,0,0,0,0
0.005730,0,0,0,0
0.007189,0,0,0,0
0.008907,0,0,0,0
0.010548,0,0,0,0
0.012041,0,0,0,0
0.013528,0,0,0,0
0.014991,0,0,0,0
0.016524,0,0,0,0
0.017978,0,0,0,0
0.019398,0,0,0,0
0.020821,0,0,0,0
0.022378,0,0,0,0
0.023848,0,0,0,0
0.025266,0,0,0,0
0.026682,0,0,0,0
0.028097,0,0,0,0
0.029562,0,0,0,0
0.030991,0,0,0,0
0.032470,0,0,0,0
0.033970,0,0,0,0
0.035495,0,0,0,0
0.036899,0,0,0,0
0.038474,0,0,0,0
0.039889,0,0,0,0
0.041478,0,0,0,0
0.042878,0,0,0,0
0.044277,0,0,0,0
0.045839,0,0,0,0
0.047363,0,0,0,0
0.048998,0,0,0,0
0.050420,0,0,0,0
0.051826,0,0,0,0
0.053232,0,0,0,0
0.054635,0,0,0,0
0.056038,0,0,0,0
0.057492,0,0,0,0
0.058923,0,0,0,0
0.060327,0,0,0,0
0.061730,0,0,0,0
0.063138,0,0,0,0
0.064540,0,0,0,0
0.066054,0,0,0,0
0.067401,0,0,0,0
0.068755,0,0,0,0
0.070273,0,0,0,0
0.071650,0,0,0,0
0.073002,0,0,0,0
0.074360,0,0,0,0
0.075706,0,0,0,0
0.077046,0,0,0,0
0.078451,0,0,0,0
0.079960,0,0,0,0
0.081380,0,0,0,0
0.082776,0,0,0,0
0.084163,0,0,0,0
0.085558,0,0,0,0
0.086944,0,0,0,0
0.088328,0,0,0,0
0.089737,0,0,0,0
0.091000,0,0,0,0
0.092387,0,0,0,0
0.094601,0,0,0,0
0.096057,0,0,0,0
