elapsed_s,UCHE_RESERVED_120,UCHE_RESERVED_121,UCHE_RESERVED_122,UCHE_RESERVED_123,UCHE_RESERVED_124,UCHE_RESERVED_125,UCHE_RESERVED_126,UCHE_RESERVED_127,CCHE_BUSY_CYCLES,CCHE_STALL_CYCLES_UCHE,CCHE_UCHE_STALL_WRITE_DATA,CCHE_UCHE_LATENCY_CYCLES,CCHE_UCHE_LATENCY_SAMPLES,CCHE_READ_REQUESTS_SP_TOTAL,CCHE_READ_REQUESTS_SP_UBWC,CCHE_READ_REQUESTS_SP_GBIF,CCHE_READ_REQUESTS_SP_GMEM,CCHE_READ_REQUESTS_TP_TOTAL,CCHE_READ_REQUESTS_TP_UBWC,CCHE_READ_REQUESTS_TP_GBIF,CCHE_READ_REQUESTS_TP_GMEM,CCHE_READ_REQUESTS_VFD_TOTAL,CCHE_READ_REQUEST_VFD_GMEM,CCHE_READ_REQUEST_VFD_GBIF
0.001066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.021153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.022958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.024683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.026457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.028179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.030013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.031778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.033510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.035514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.037303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
