elapsed_s,TP_FILTER_WORKLOAD_16BIT,TP_FILTER_WORKLOAD_32BIT,TP_QUADS_RECEIVED,TP_QUADS_OFFSET,TP_QUADS_SHADOW,TP_QUADS_ARRAY,TP_QUADS_GRADIENT,TP_QUADS_1D,TP_QUADS_2D,TP_QUADS_BUFFER,TP_QUADS_3D,TP_QUADS_CUBE
0.001099,0,0,0,0,0,0,0,0,0,0,0,0
0.002862,0,0,0,0,0,0,0,0,0,0,0,0
0.004550,0,0,0,0,0,0,0,0,0,0,0,0
0.006252,0,0,0,0,0,0,0,0,0,0,0,0
0.007896,0,0,0,0,0,0,0,0,0,0,0,0
0.009508,0,0,0,0,0,0,0,0,0,0,0,0
0.011293,0,0,0,0,0,0,0,0,0,0,0,0
0.013042,0,0,0,0,0,0,0,0,0,0,0,0
0.014774,0,0,0,0,0,0,0,0,0,0,0,0
0.016515,0,0,0,0,0,0,0,0,0,0,0,0
0.018201,0,0,0,0,0,0,0,0,0,0,0,0
0.019800,0,0,0,0,0,0,0,0,0,0,0,0
0.021407,0,0,0,0,0,0,0,0,0,0,0,0
0.023123,0,0,0,0,0,0,0,0,0,0,0,0
0.024838,0,0,0,0,0,0,0,0,0,0,0,0
0.026555,0,0,0,0,0,0,0,0,0,0,0,0
0.028279,0,0,0,0,0,0,0,0,0,0,0,0
0.030146,0,0,0,0,0,0,0,0,0,0,0,0
0.031735,0,0,0,0,0,0,0,0,0,0,0,0
0.033320,0,0,0,0,0,0,0,0,0,0,0,0
0.034901,0,0,0,0,0,0,0,0,0,0,0,0
0.036469,0,0,0,0,0,0,0,0,0,0,0,0
0.038285,0,0,0,0,0,0,0,0,0,0,0,0
0.039960,0,0,0,0,0,0,0,0,0,0,0,0
0.041603,0,0,0,0,0,0,0,0,0,0,0,0
0.043242,0,0,0,0,0,0,0,0,0,0,0,0
0.044881,0,0,0,0,0,0,0,0,0,0,0,0
0.046342,0,0,0,0,0,0,0,0,0,0,0,0
0.047795,0,0,0,0,0,0,0,0,0,0,0,0
0.049252,0,0,0,0,0,0,0,0,0,0,0,0
0.050707,0,0,0,0,0,0,0,0,0,0,0,0
0.052176,0,0,0,0,0,0,0,0,0,0,0,0
0.053643,0,0,0,0,0,0,0,0,0,0,0,0
0.055172,0,0,0,0,0,0,0,0,0,0,0,0
0.056714,0,0,0,0,0,0,0,0,0,0,0,0
0.058220,0,0,0,0,0,0,0,0,0,0,0,0
0.059801,0,0,0,0,0,0,0,0,0,0,0,0
0.061315,0,0,0,0,0,0,0,0,0,0,0,0
0.062819,0,0,0,0,0,0,0,0,0,0,0,0
0.064311,0,0,0,0,0,0,0,0,0,0,0,0
0.065857,0,0,0,0,0,0,0,0,0,0,0,0
0.067227,0,0,0,0,0,0,0,0,0,0,0,0
0.068791,0,0,0,0,0,0,0,0,0,0,0,0
0.070224,0,0,0,0,0,0,0,0,0,0,0,0
0.071751,0,0,0,0,0,0,0,0,0,0,0,0
0.073149,0,0,0,0,0,0,0,0,0,0,0,0
0.074547,0,0,0,0,0,0,0,0,0,0,0,0
0.075943,0,0,0,0,0,0,0,0,0,0,0,0
0.077339,0,0,0,0,0,0,0,0,0,0,0,0
0.078731,0,0,0,0,0,0,0,0,0,0,0,0
0.080122,0,0,0,0,0,0,0,0,0,0,0,0
0.081540,0,65536,16384,0,0,0,0,0,0,16384,0,0
0.082870,0,0,0,0,0,0,0,0,0,0,0,0
0.084319,0,0,0,0,0,0,0,0,0,0,0,0
0.085831,0,0,0,0,0,0,0,0,0,0,0,0
0.087269,0,0,0,0,0,0,0,0,0,0,0,0
0.088705,0,0,0,0,0,0,0,0,0,0,0,0
0.090210,0,0,0,0,0,0,0,0,0,0,0,0
0.091638,0,0,0,0,0,0,0,0,0,0,0,0
0.093021,0,0,0,0,0,0,0,0,0,0,0,0
0.094403,0,0,0,0,0,0,0,0,0,0,0,0
0.095783,0,0,0,0,0,0,0,0,0,0,0,0
0.097163,0,0,0,0,0,0,0,0,0,0,0,0
0.098541,0,0,0,0,0,0,0,0,0,0,0,0
0.099969,0,0,0,0,0,0,0,0,0,0,0,0
0.101399,0,0,0,0,0,0,0,0,0,0,0,0
0.102827,0,0,0,0,0,0,0,0,0,0,0,0
0.104214,0,0,0,0,0,0,0,0,0,0,0,0
0.105657,0,0,0,0,0,0,0,0,0,0,0,0
0.107351,0,0,0,0,0,0,0,0,0,0,0,0
0.108755,0,0,0,0,0,0,0,0,0,0,0,0
0.110156,0,0,0,0,0,0,0,0,0,0,0,0
0.111537,0,0,0,0,0,0,0,0,0,0,0,0
0.112938,0,0,0,0,0,0,0,0,0,0,0,0
0.114319,0,0,0,0,0,0,0,0,0,0,0,0
0.115756,0,0,0,0,0,0,0,0,0,0,0,0
0.117137,0,0,0,0,0,0,0,0,0,0,0,0
0.118519,0,0,0,0,0,0,0,0,0,0,0,0
0.119900,0,0,0,0,0,0,0,0,0,0,0,0
0.121280,0,0,0,0,0,0,0,0,0,0,0,0
0.122662,0,0,0,0,0,0,0,0,0,0,0,0
0.124053,0,0,0,0,0,0,0,0,0,0,0,0
0.125433,0,0,0,0,0,0,0,0,0,0,0,0
0.126848,0,0,0,0,0,0,0,0,0,0,0,0
0.128229,0,0,0,0,0,0,0,0,0,0,0,0
0.129611,0,0,0,0,0,0,0,0,0,0,0,0
0.130992,0,0,0,0,0,0,0,0,0,0,0,0
0.132421,0,0,0,0,0,0,0,0,0,0,0,0
0.133907,0,0,0,0,0,0,0,0,0,0,0,0
0.135565,0,0,0,0,0,0,0,0,0,0,0,0
0.137161,0,0,0,0,0,0,0,0,0,0,0,0
0.138755,0,0,0,0,0,0,0,0,0,0,0,0
0.140347,0,0,0,0,0,0,0,0,0,0,0,0
0.142029,0,0,0,0,0,0,0,0,0,0,0,0
0.143621,0,0,0,0,0,0,0,0,0,0,0,0
0.145216,0,0,0,0,0,0,0,0,0,0,0,0
0.146821,0,0,0,0,0,0,0,0,0,0,0,0
0.148456,0,0,0,0,0,0,0,0,0,0,0,0
0.150054,0,0,0,0,0,0,0,0,0,0,0,0
0.151647,0,0,0,0,0,0,0,0,0,0,0,0
0.153243,0,0,0,0,0,0,0,0,0,0,0,0
0.154837,0,0,0,0,0,0,0,0,0,0,0,0
0.156429,0,0,0,0,0,0,0,0,0,0,0,0
0.158042,0,0,0,0,0,0,0,0,0,0,0,0
0.159635,0,0,0,0,0,0,0,0,0,0,0,0
0.161230,0,0,0,0,0,0,0,0,0,0,0,0
0.162824,0,0,0,0,0,0,0,0,0,0,0,0
0.164460,0,0,0,0,0,0,0,0,0,0,0,0
0.166057,0,0,0,0,0,0,0,0,0,0,0,0
0.167649,0,0,0,0,0,0,0,0,0,0,0,0
0.169257,0,0,0,0,0,0,0,0,0,0,0,0
0.170850,0,0,0,0,0,0,0,0,0,0,0,0
0.172441,0,0,0,0,0,0,0,0,0,0,0,0
0.174035,0,0,0,0,0,0,0,0,0,0,0,0
0.175628,0,0,0,0,0,0,0,0,0,0,0,0
0.177223,0,0,0,0,0,0,0,0,0,0,0,0
0.178818,0,0,0,0,0,0,0,0,0,0,0,0
0.180339,0,0,0,0,0,0,0,0,0,0,0,0
0.181846,0,0,0,0,0,0,0,0,0,0,0,0
0.183405,0,0,0,0,0,0,0,0,0,0,0,0
0.186010,0,0,0,0,0,0,0,0,0,0,0,0
0.187502,0,0,0,0,0,0,0,0,0,0,0,0
0.188938,0,0,0,0,0,0,0,0,0,0,0,0
0.190385,0,0,0,0,0,0,0,0,0,0,0,0
0.191858,0,0,0,0,0,0,0,0,0,0,0,0
