elapsed_s,TP_QUADS_CONSTANT_MULTIPLIED,TP_FRONTEND_WORKING_CYCLES,TP_L1_TAG_WORKING_CYCLES,TP_L1_DATA_WRITE_WORKING_CYCLES,TP_PRE_L1_DECOM_WORKING_CYCLES,TP_BACKEND_WORKING_CYCLES,TP_L1_5_CACHE_WORKING_CYCLES,TP_STARVE_CYCLES_SP,TP_STARVE_CYCLES_UCHE,TP_STALL_CYCLES_UFC,TP_FORMAT_DECOMP_POINT,TP_FILTER_POINT_FP16
0.001102,0,0,0,0,0,0,0,0,0,0,0,0
0.002779,0,0,0,0,0,0,0,0,0,0,0,0
0.004477,0,0,0,0,0,0,0,0,0,0,0,0
0.006088,0,0,0,0,0,0,0,0,0,0,0,0
0.007699,0,0,0,0,0,0,0,0,0,0,0,0
0.009320,0,0,0,0,0,0,0,0,0,0,0,0
0.010930,0,0,0,0,0,0,0,0,0,0,0,0
0.012723,0,0,0,0,0,0,0,0,0,0,0,0
0.014358,0,0,0,0,0,0,0,0,0,0,0,0
0.015930,0,0,0,0,0,0,0,0,0,0,0,0
0.017619,0,0,0,0,0,0,0,0,0,0,0,0
0.019192,0,0,0,0,0,0,0,0,0,0,0,0
0.020784,0,0,0,0,0,0,0,0,0,0,0,0
0.022354,0,0,0,0,0,0,0,0,0,0,0,0
0.023922,0,0,0,0,0,0,0,0,0,0,0,0
0.025568,0,0,0,0,0,0,0,0,0,0,0,0
0.027137,0,0,0,0,0,0,0,0,0,0,0,0
0.028842,0,0,0,0,0,0,0,0,0,0,0,0
0.030555,0,0,0,0,0,0,0,0,0,0,0,0
0.032279,0,0,0,0,0,0,0,0,0,0,0,0
0.033988,0,0,0,0,0,0,0,0,0,0,0,0
0.035703,0,0,0,0,0,0,0,0,0,0,0,0
0.037418,0,0,0,0,0,0,0,0,0,0,0,0
0.039131,0,0,0,0,0,0,0,0,0,0,0,0
0.040845,0,0,0,0,0,0,0,0,0,0,0,0
0.042567,0,0,0,0,0,0,0,0,0,0,0,0
0.044462,0,0,0,0,0,0,0,0,0,0,0,0
0.046126,0,0,0,0,0,0,0,0,0,0,0,0
0.047748,0,0,0,0,0,0,0,0,0,0,0,0
0.049391,0,0,0,0,0,0,0,0,0,0,0,0
0.050980,0,0,0,0,0,0,0,0,0,0,0,0
0.052625,0,0,0,0,0,0,0,0,0,0,0,0
0.054218,0,0,0,0,0,0,0,0,0,0,0,0
0.055809,0,0,0,0,0,0,0,0,0,0,0,0
0.057456,0,0,0,0,0,0,0,0,0,0,0,0
0.059048,0,0,0,0,0,0,0,0,0,0,0,0
0.060559,0,0,0,0,0,0,0,0,0,0,0,0
0.061987,0,0,0,0,0,0,0,0,0,0,0,0
0.063391,0,0,0,0,0,0,0,0,0,0,0,0
0.064799,0,0,0,0,0,0,0,0,0,0,0,0
0.066201,0,0,0,0,0,0,0,0,0,0,0,0
0.067659,0,0,0,0,0,0,0,0,0,0,0,0
0.069070,0,0,0,0,0,0,0,0,0,0,0,0
0.070473,0,0,0,0,0,0,0,0,0,0,0,0
0.071873,0,0,0,0,0,0,0,0,0,0,0,0
0.073323,0,0,0,0,0,0,0,0,0,0,0,0
0.074731,0,0,0,0,0,0,0,0,0,0,0,0
0.076150,0,0,0,0,0,0,0,0,0,0,0,0
0.077671,0,0,0,0,0,0,0,0,0,0,0,0
0.079150,0,0,0,0,0,0,0,0,0,0,0,0
0.080603,0,0,0,0,0,0,0,0,0,0,0,0
0.082082,0,0,0,0,0,0,0,1728,0,0,0,0
0.083407,0,0,0,0,0,0,0,0,0,0,0,0
0.084881,0,0,0,0,0,0,0,0,0,0,0,0
0.086334,0,0,0,0,0,0,0,0,0,0,0,0
0.087849,0,0,0,0,0,0,0,0,0,0,0,0
0.089331,0,0,0,0,0,0,0,0,0,0,0,0
0.090878,0,0,0,0,0,0,0,0,0,0,0,0
0.092372,0,0,0,0,0,0,0,0,0,0,0,0
0.093789,0,1152,1536,1920,2048,2048,3008,49550,41387,0,0,0
0.095589,0,7040,6656,6272,6144,6144,5184,30231,16352,0,0,0
0.097034,0,0,0,0,0,0,0,0,0,0,0,0
0.098426,0,0,0,0,0,0,0,0,0,0,0,0
0.099817,0,0,0,0,0,0,0,0,0,0,0,0
0.101206,0,0,0,0,0,0,0,0,0,0,0,0
0.102596,0,0,0,0,0,0,0,0,0,0,0,0
0.103985,0,0,0,0,0,0,0,0,0,0,0,0
0.105488,0,0,0,0,0,0,0,0,0,0,0,0
0.106876,0,0,0,0,0,0,0,0,0,0,0,0
0.108299,0,0,0,0,0,0,0,0,0,0,0,0
0.109724,0,0,0,0,0,0,0,0,0,0,0,0
0.111106,0,0,0,0,0,0,0,0,0,0,0,0
0.112487,0,0,0,0,0,0,0,0,0,0,0,0
0.113867,0,0,0,0,0,0,0,0,0,0,0,0
0.115244,0,0,0,0,0,0,0,0,0,0,0,0
0.116702,0,0,0,0,0,0,0,0,0,0,0,0
0.118139,0,0,0,0,0,0,0,0,0,0,0,0
0.119566,0,0,0,0,0,0,0,0,0,0,0,0
0.121119,0,0,0,0,0,0,0,0,0,0,0,0
0.122630,0,0,0,0,0,0,0,0,0,0,0,0
0.124089,0,0,0,0,0,0,0,0,0,0,0,0
0.125493,0,0,0,0,0,0,0,0,0,0,0,0
0.126892,0,0,0,0,0,0,0,0,0,0,0,0
0.128276,0,0,0,0,0,0,0,0,0,0,0,0
0.129668,0,0,0,0,0,0,0,0,0,0,0,0
0.131050,0,0,0,0,0,0,0,0,0,0,0,0
0.132431,0,0,0,0,0,0,0,0,0,0,0,0
0.133812,0,0,0,0,0,0,0,0,0,0,0,0
0.135193,0,0,0,0,0,0,0,0,0,0,0,0
0.136574,0,0,0,0,0,0,0,0,0,0,0,0
0.137967,0,0,0,0,0,0,0,0,0,0,0,0
0.139474,0,0,0,0,0,0,0,0,0,0,0,0
0.140950,0,0,0,0,0,0,0,0,0,0,0,0
0.142514,0,0,0,0,0,0,0,0,0,0,0,0
0.144107,0,0,0,0,0,0,0,0,0,0,0,0
0.145704,0,0,0,0,0,0,0,0,0,0,0,0
0.147296,0,0,0,0,0,0,0,0,0,0,0,0
0.148903,0,0,0,0,0,0,0,0,0,0,0,0
0.150497,0,0,0,0,0,0,0,0,0,0,0,0
0.152088,0,0,0,0,0,0,0,0,0,0,0,0
0.153685,0,0,0,0,0,0,0,0,0,0,0,0
0.155276,0,0,0,0,0,0,0,0,0,0,0,0
0.156869,0,0,0,0,0,0,0,0,0,0,0,0
0.158459,0,0,0,0,0,0,0,0,0,0,0,0
0.159943,0,0,0,0,0,0,0,0,0,0,0,0
0.161381,0,0,0,0,0,0,0,0,0,0,0,0
0.162943,0,0,0,0,0,0,0,0,0,0,0,0
0.164538,0,0,0,0,0,0,0,0,0,0,0,0
0.166132,0,0,0,0,0,0,0,0,0,0,0,0
0.167725,0,0,0,0,0,0,0,0,0,0,0,0
0.169319,0,0,0,0,0,0,0,0,0,0,0,0
0.170925,0,0,0,0,0,0,0,0,0,0,0,0
0.172522,0,0,0,0,0,0,0,0,0,0,0,0
0.174117,0,0,0,0,0,0,0,0,0,0,0,0
0.175709,0,0,0,0,0,0,0,0,0,0,0,0
0.177303,0,0,0,0,0,0,0,0,0,0,0,0
0.178888,0,0,0,0,0,0,0,0,0,0,0,0
0.180535,0,0,0,0,0,0,0,0,0,0,0,0
0.182718,0,0,0,0,0,0,0,0,0,0,0,0
0.184214,0,0,0,0,0,0,0,0,0,0,0,0
0.185695,0,0,0,0,0,0,0,0,0,0,0,0
0.187125,0,0,0,0,0,0,0,0,0,0,0,0
0.188815,0,0,0,0,0,0,0,0,0,0,0,0
0.191206,0,0,0,0,0,0,0,0,0,0,0,0
0.192647,0,0,0,0,0,0,0,0,0,0,0,0
0.194075,0,0,0,0,0,0,0,0,0,0,0,0
0.195504,0,0,0,0,0,0,0,0,0,0,0,0
0.196934,0,0,0,0,0,0,0,0,0,0,0,0
0.198361,0,0,0,0,0,0,0,0,0,0,0,0
0.199789,0,0,0,0,0,0,0,0,0,0,0,0
0.201349,0,0,0,0,0,0,0,0,0,0,0,0
0.202828,0,0,0,0,0,0,0,0,0,0,0,0
0.204306,0,0,0,0,0,0,0,0,0,0,0,0
0.205740,0,0,0,0,0,0,0,0,0,0,0,0
0.207225,0,0,0,0,0,0,0,0,0,0,0,0
0.208699,0,0,0,0,0,0,0,0,0,0,0,0
0.210094,0,0,0,0,0,0,0,0,0,0,0,0
0.211477,0,0,0,0,0,0,0,0,0,0,0,0
0.212917,0,0,0,0,0,0,0,0,0,0,0,0
0.214299,0,0,0,0,0,0,0,0,0,0,0,0
0.215679,0,0,0,0,0,0,0,0,0,0,0,0
0.217060,0,0,0,0,0,0,0,0,0,0,0,0
0.218435,0,0,0,0,0,0,0,0,0,0,0,0
0.219854,0,0,0,0,0,0,0,0,0,0,0,0
0.221278,0,0,0,0,0,0,0,0,0,0,0,0
0.222657,0,0,0,0,0,0,0,0,0,0,0,0
0.224049,0,0,0,0,0,0,0,0,0,0,0,0
0.225482,0,0,0,0,0,0,0,0,0,0,0,0
0.226854,0,0,0,0,0,0,0,0,0,0,0,0
0.228226,0,0,0,0,0,0,0,0,0,0,0,0
0.229619,0,0,0,0,0,0,0,0,0,0,0,0
0.230999,0,0,0,0,0,0,0,0,0,0,0,0
0.232378,0,0,0,0,0,0,0,0,0,0,0,0
0.233760,0,0,0,0,0,0,0,0,0,0,0,0
0.235150,0,0,0,0,0,0,0,0,0,0,0,0
0.236608,0,0,0,0,0,0,0,0,0,0,0,0
0.237958,0,0,0,0,0,0,0,0,0,0,0,0
0.239306,0,0,0,0,0,0,0,0,0,0,0,0
0.240655,0,0,0,0,0,0,0,0,0,0,0,0
0.242004,0,0,0,0,0,0,0,0,0,0,0,0
0.243354,0,0,0,0,0,0,0,0,0,0,0,0
0.244752,0,0,0,0,0,0,0,0,0,0,0,0
0.246144,0,0,0,0,0,0,0,0,0,0,0,0
0.247494,0,0,0,0,0,0,0,0,0,0,0,0
0.248845,0,0,0,0,0,0,0,0,0,0,0,0
0.250191,0,0,0,0,0,0,0,0,0,0,0,0
0.251570,0,0,0,0,0,0,0,0,0,0,0,0
0.253019,0,0,0,0,0,0,0,0,0,0,0,0
0.254409,0,0,0,0,0,0,0,0,0,0,0,0
0.255801,0,0,0,0,0,0,0,0,0,0,0,0
0.257195,0,0,0,0,0,0,0,0,0,0,0,0
0.258588,0,0,0,0,0,0,0,0,0,0,0,0
0.259979,0,0,0,0,0,0,0,0,0,0,0,0
0.261435,0,0,0,0,0,0,0,0,0,0,0,0
0.262827,0,0,0,0,0,0,0,0,0,0,0,0
0.264269,0,0,0,0,0,0,0,0,0,0,0,0
0.265611,0,0,0,0,0,0,0,0,0,0,0,0
0.266910,0,0,0,0,0,0,0,0,0,0,0,0
0.268369,0,0,0,0,0,0,0,0,0,0,0,0
0.269751,0,0,0,0,0,0,0,0,0,0,0,0
0.271148,0,0,0,0,0,0,0,0,0,0,0,0
0.272535,0,0,0,0,0,0,0,0,0,0,0,0
0.273918,0,0,0,0,0,0,0,0,0,0,0,0
0.275304,0,0,0,0,0,0,0,0,0,0,0,0
0.276704,0,0,0,0,0,0,0,648,0,0,0,0
0.278090,0,0,0,0,0,0,0,0,0,0,0,0
0.279490,0,0,0,0,0,0,0,0,0,0,0,0
0.280873,0,0,0,0,0,0,0,0,0,0,0,0
0.282260,0,0,0,0,0,0,0,0,0,0,0,0
0.283678,0,0,0,0,0,0,0,0,0,0,0,0
0.285138,0,0,0,0,0,0,0,0,0,0,0,0
0.286578,0,16384,16384,16384,16384,16384,16384,105907,84568,0,0,0
0.288150,0,0,0,0,0,0,0,0,0,0,0,0
0.289601,0,0,0,0,0,0,0,0,0,0,0,0
0.291034,0,0,0,0,0,0,0,0,0,0,0,0
0.292479,0,0,0,0,0,0,0,0,0,0,0,0
0.293934,0,0,0,0,0,0,0,0,0,0,0,0
0.295368,0,0,0,0,0,0,0,0,0,0,0,0
0.296797,0,0,0,0,0,0,0,0,0,0,0,0
0.298221,0,0,0,0,0,0,0,0,0,0,0,0
0.300115,0,0,0,0,0,0,0,0,0,0,0,0
0.302010,0,0,0,0,0,0,0,0,0,0,0,0
0.303434,0,0,0,0,0,0,0,0,0,0,0,0
0.308416,0,0,0,0,0,0,0,0,0,0,0,0
0.309857,0,0,0,0,0,0,0,0,0,0,0,0
0.311282,0,0,0,0,0,0,0,0,0,0,0,0
0.313283,0,0,0,0,0,0,0,0,0,0,0,0
0.314716,0,0,0,0,0,0,0,0,0,0,0,0
0.316210,0,0,0,0,0,0,0,0,0,0,0,0
0.317746,0,0,0,0,0,0,0,0,0,0,0,0
0.319170,0,0,0,0,0,0,0,0,0,0,0,0
0.320739,0,0,0,0,0,0,0,0,0,0,0,0
0.322176,0,0,0,0,0,0,0,0,0,0,0,0
